レースコード,予想1着,予想2着,予想3着,実際1着,実際2着,実際3着,1着的中,2着的中,3着的中,全的中,予想決まり手,決まり手,決まり手的中,艇1_予想コース,艇1_実際コース,艇2_予想コース,艇2_実際コース,艇3_予想コース,艇3_実際コース,艇4_予想コース,艇4_実際コース,艇5_予想コース,艇5_実際コース,艇6_予想コース,艇6_実際コース,コース一致数,進入完全一致,艇1_予想ST,艇1_実際ST,艇2_予想ST,艇2_実際ST,艇3_予想ST,艇3_実際ST,艇4_予想ST,艇4_実際ST,艇5_予想ST,艇5_実際ST,艇6_予想ST,艇6_実際ST,ST_MAE
202604092401,3,6,5,1,2,3,×,×,×,×,,逃げ,-,5,1.0,2,2.0,3,3.0,1,4.0,4,5.0,6,6.0,3,×,0.035,0.09,-0.016,0.1,0.17,0.14,0.184,0.27,0.038,0.27,-0.044,0.26,0.13716666666666666
202604092402,1,5,3,2,3,6,×,×,×,×,,まくり,-,6,1.0,2,2.0,3,3.0,5,4.0,1,5.0,4,6.0,2,×,0.01,0.27,0.014,0.31,0.085,0.26,0.039,0.26,0.009,0.26,0.016,0.24,0.23783333333333334
202604092403,6,2,5,4,2,1,×,○,×,×,,差し,-,3,1.0,4,2.0,6,3.0,5,4.0,2,5.0,1,6.0,0,×,0.049,0.18,0.1,0.16,-0.019,0.16,0.047,0.11,0.043,0.1,0.104,0.08,0.08566666666666667
202604092404,5,1,4,5,3,2,○,×,×,×,,差し,-,4,1.0,6,2.0,3,3.0,2,,5,5.0,1,6.0,2,×,-0.0,0.25,0.013,0.19,-0.009,0.11,0.012,,0.054,0.12,-0.059,0.14,0.16220000000000004
202604092405,3,6,5,2,1,3,×,×,×,×,,差し,-,1,1.0,6,2.0,2,3.0,3,4.0,5,5.0,4,6.0,2,×,-0.024,0.16,-0.039,0.15,0.007,0.19,-0.038,0.35,0.037,0.32,-0.008,0.36,0.2658333333333333
202604092406,6,4,3,4,6,3,×,×,○,×,,差し,-,3,1.0,2,2.0,6,3.0,4,4.0,1,5.0,5,6.0,2,×,-0.065,0.09,0.008,0.08,-0.048,0.11,0.094,0.08,-0.038,0.1,0.041,0.11,0.10100000000000002
202604092407,4,6,2,1,4,5,×,×,×,×,,逃げ,-,5,1.0,4,2.0,3,3.0,6,4.0,1,5.0,2,6.0,1,×,-0.013,0.13,0.169,0.15,0.036,0.17,0.034,0.17,0.005,0.18,-0.005,0.12,0.122
202604092408,4,6,3,6,1,5,×,×,×,×,,差し,-,2,1.0,1,3.0,5,6.0,6,5.0,3,2.0,4,4.0,1,×,0.002,0.07,-0.035,0.03,0.002,0.11,0.009,0.12,0.013,0.09,0.097,0.08,0.07433333333333333
202604092409,5,6,4,2,5,3,×,×,×,×,,差し,-,1,1.0,6,2.0,4,3.0,3,5.0,5,4.0,2,6.0,1,×,-0.053,0.23,-0.041,0.2,-0.036,0.17,0.044,0.25,0.079,0.21,0.146,0.27,0.1985
202604092410,5,6,3,1,3,5,×,×,×,×,,逃げ,-,5,1.0,4,2.0,3,3.0,1,4.0,2,5.0,6,6.0,2,×,0.019,0.09,-0.044,0.12,0.085,0.11,0.018,0.14,0.022,0.14,-0.006,0.14,0.10766666666666667
202604092411,6,3,5,1,2,3,×,×,×,×,,逃げ,-,3,1.0,4,2.0,5,3.0,1,4.0,6,5.0,2,6.0,0,×,0.007,0.08,0.03,0.1,0.065,0.11,0.044,0.16,0.026,0.13,-0.016,0.18,0.10066666666666668
202604092412,4,2,5,4,2,1,○,○,×,×,,差し,-,1,1.0,4,2.0,2,3.0,6,4.0,5,5.0,3,6.0,2,×,-0.016,0.12,0.032,0.12,0.031,0.09,-0.015,0.12,0.002,0.12,0.061,0.08,0.09250000000000001
202604092301,6,3,4,1,3,2,×,○,×,×,,逃げ,-,2,1.0,1,2.0,5,3.0,3,4.0,4,6.0,6,5.0,0,×,0.027,0.27,0.064,0.19,0.107,0.19,0.018,0.12,0.046,0.24,0.072,0.22,0.14933333333333335
202604092302,6,4,2,1,3,2,×,×,○,×,,逃げ,-,1,1.0,6,2.0,5,3.0,3,4.0,2,5.0,4,6.0,1,×,0.068,0.16,0.122,0.17,0.076,0.23,0.05,0.22,0.074,0.23,0.087,0.21,0.12383333333333335
202604092304,4,6,2,4,1,2,○,×,○,×,,まくり,-,4,1.0,1,2.0,2,3.0,6,4.0,3,5.0,5,6.0,0,×,0.098,0.23,0.048,0.3,0.057,0.16,0.053,0.17,0.033,0.29,0.106,0.36,0.18583333333333332
202604092305,6,2,4,1,2,4,×,○,○,×,,,-,1,1.0,3,2.0,2,3.0,4,4.0,5,5.0,6,6.0,4,×,0.06,0.25,0.094,0.24,0.041,0.27,0.031,0.31,0.119,0.41,0.112,0.47,0.24883333333333332
202604092306,5,6,3,1,6,4,×,○,×,×,,逃げ,-,1,1.0,3,2.0,4,3.0,5,4.0,6,5.0,2,6.0,1,×,0.077,0.35,0.039,0.37,0.113,0.31,0.044,0.27,0.141,0.52,0.067,0.25,0.2648333333333333
202604091601,5,4,1,1,4,2,×,○,×,×,,逃げ,-,4,1.0,2,2.0,1,3.0,5,4.0,6,5.0,3,6.0,1,×,0.026,0.12,0.003,0.2,0.048,0.16,-0.001,0.07,0.009,0.04,0.025,0.06,0.09000000000000001
202604091602,5,2,1,1,3,6,×,×,×,×,,逃げ,-,4,1.0,5,2.0,3,3.0,1,4.0,6,6.0,2,5.0,2,×,0.053,0.11,-0.061,0.14,-0.032,0.15,0.021,0.23,0.039,0.12,0.055,0.15,0.13749999999999998
202604091603,1,5,6,1,2,4,○,×,×,×,,逃げ,-,6,1.0,2,2.0,3,3.0,1,4.0,5,5.0,4,6.0,3,×,0.026,0.18,0.087,0.16,-0.006,0.21,-0.017,0.14,0.0,0.16,0.027,0.04,0.12883333333333336
202604091604,6,5,2,1,3,4,×,×,×,×,,逃げ,-,2,1.0,3,2.0,1,3.0,4,4.0,5,5.0,6,6.0,3,×,0.022,0.13,0.032,0.15,-0.054,0.14,-0.02,0.11,0.0,0.12,0.043,0.1,0.12116666666666669
