レースコード,レース日,レース場,レース回,締切時刻,取得日時,状態,艇1_体重(kg),艇1_体重調整(kg),艇1_展示タイム,艇1_チルト,艇2_体重(kg),艇2_体重調整(kg),艇2_展示タイム,艇2_チルト,艇3_体重(kg),艇3_体重調整(kg),艇3_展示タイム,艇3_チルト,艇4_体重(kg),艇4_体重調整(kg),艇4_展示タイム,艇4_チルト,艇5_体重(kg),艇5_体重調整(kg),艇5_展示タイム,艇5_チルト,艇6_体重(kg),艇6_体重調整(kg),艇6_展示タイム,艇6_チルト
202606301001,2026-06-30,10,01R,08:32,2026-06-30T08:22:22.062834+09:00,1,54.9,0.0,6.79,0.0,52.8,0.0,6.77,-0.5,56.1,0.0,6.78,-0.5,58.7,0.0,6.83,0.0,55.9,0.0,6.73,-0.5,53.2,0.0,6.78,0.0
202606302301,2026-06-30,23,01R,08:44,2026-06-30T08:34:23.558782+09:00,1,52.0,0.0,6.76,0.0,53.7,0.0,6.77,-0.5,47.0,0.0,6.7,-0.5,46.5,0.5,6.73,-0.5,51.0,0.0,6.78,-0.5,51.5,0.5,6.79,-0.5
202606301002,2026-06-30,10,02R,08:58,2026-06-30T08:48:19.994423+09:00,1,52.2,0.0,6.77,0.0,52.0,0.0,6.85,-0.5,55.7,0.0,6.74,-0.5,52.4,0.0,6.7,0.5,55.6,0.0,6.8,-0.5,44.0,3.0,6.83,-0.5
202606302302,2026-06-30,23,02R,09:10,2026-06-30T09:00:48.269194+09:00,1,52.8,0.0,6.74,-0.5,51.5,0.5,6.8,-0.5,45.0,2.0,6.71,-0.5,54.4,0.0,6.73,0.0,52.3,0.0,6.83,0.0,53.1,0.0,6.7,-0.5
202606301003,2026-06-30,10,03R,09:24,2026-06-30T09:14:24.140963+09:00,1,52.2,0.0,6.77,-0.5,52.6,0.0,6.81,-0.5,52.3,0.0,6.74,-0.5,51.0,1.0,6.8,0.0,53.0,0.0,6.8,-0.5,53.2,0.0,6.82,-0.5
202606302303,2026-06-30,23,03R,09:36,2026-06-30T09:26:23.509634+09:00,1,52.0,0.0,6.66,0.0,52.0,0.0,6.81,-0.5,47.0,0.0,6.69,0.0,52.0,0.0,6.65,0.0,52.6,0.0,6.74,0.0,50.0,2.0,6.8,-0.5
202606301004,2026-06-30,10,04R,09:50,2026-06-30T09:40:22.701542+09:00,1,45.0,2.0,6.77,-0.5,47.0,0.0,6.76,0.0,46.5,0.5,6.76,0.0,45.5,1.5,6.69,0.0,47.0,0.0,6.77,0.0,48.1,0.0,6.78,-0.5
202606302304,2026-06-30,23,04R,10:02,2026-06-30T09:52:25.689747+09:00,1,53.0,0.0,6.69,0.0,52.9,0.0,6.72,-0.5,55.3,0.0,6.76,-0.5,52.0,0.0,6.67,0.0,53.7,0.0,6.73,0.5,52.0,0.0,6.65,0.5
202606301005,2026-06-30,10,05R,10:18,2026-06-30T10:08:27.203082+09:00,1,52.0,0.0,6.75,0.0,57.6,0.0,6.95,-0.5,53.7,0.0,6.79,-0.5,53.4,0.0,6.86,-0.5,52.0,0.0,6.82,0.0,52.0,0.0,6.73,0.0
