レースコード,レース日,レース場,レース回,締切時刻,取得日時,状態,艇1_体重(kg),艇1_体重調整(kg),艇1_展示タイム,艇1_チルト,艇2_体重(kg),艇2_体重調整(kg),艇2_展示タイム,艇2_チルト,艇3_体重(kg),艇3_体重調整(kg),艇3_展示タイム,艇3_チルト,艇4_体重(kg),艇4_体重調整(kg),艇4_展示タイム,艇4_チルト,艇5_体重(kg),艇5_体重調整(kg),艇5_展示タイム,艇5_チルト,艇6_体重(kg),艇6_体重調整(kg),艇6_展示タイム,艇6_チルト
202606162101,2026-06-16,21,01R,08:32,2026-06-16T08:22:18.447790+09:00,1,47.5,0.0,6.72,-0.5,52.0,0.0,6.79,0.0,53.0,0.0,6.77,-0.5,52.0,0.0,6.77,-0.5,54.4,0.0,6.78,0.0,52.7,0.0,6.77,0.0
202606161001,2026-06-16,10,01R,08:39,2026-06-16T08:30:27.746556+09:00,1,52.0,0.0,6.84,0.0,55.6,0.0,6.69,-0.5,54.8,0.0,6.8,-0.5,52.2,0.0,6.7,-0.5,52.0,0.0,6.74,0.0,53.0,0.0,6.71,-0.5
202606161801,2026-06-16,18,01R,08:46,2026-06-16T08:36:22.223927+09:00,1,52.0,0.0,6.94,0.0,51.0,1.0,6.94,-0.5,52.7,0.0,6.93,0.0,56.0,0.0,7.0,0.0,52.6,0.0,6.98,0.0,53.5,0.0,6.96,-0.5
202606162102,2026-06-16,21,02R,09:00,2026-06-16T08:50:23.422672+09:00,1,55.8,0.0,6.74,-0.5,54.5,0.0,6.68,0.0,52.0,0.0,6.77,-0.5,52.0,0.0,6.75,-0.5,53.6,0.0,6.75,0.0,52.0,0.0,6.77,0.0
202606161002,2026-06-16,10,02R,09:05,2026-06-16T08:56:22.256470+09:00,1,52.2,0.0,6.75,0.0,52.9,0.0,6.73,-0.5,51.0,1.0,6.73,-0.5,52.1,0.0,6.71,0.0,52.0,0.0,6.74,0.0,52.6,0.0,6.49,3.0
202606161802,2026-06-16,18,02R,09:12,2026-06-16T09:02:25.947608+09:00,1,52.0,0.0,6.95,0.0,54.1,0.0,6.92,0.0,52.0,0.0,6.91,0.0,52.0,0.0,6.92,0.0,52.5,0.0,6.95,0.0,52.9,0.0,6.97,0.0
202606162103,2026-06-16,21,03R,09:26,2026-06-16T09:16:21.790050+09:00,1,52.0,0.0,6.72,0.0,52.0,0.0,6.72,0.0,52.0,0.0,6.8,0.0,52.0,0.0,6.79,0.0,55.6,0.0,6.69,-0.5,51.5,0.5,6.75,-0.5
202606161003,2026-06-16,10,03R,09:31,2026-06-16T09:22:20.934734+09:00,1,52.6,0.0,6.76,-0.5,52.2,0.0,6.69,0.0,52.8,0.0,6.7,0.0,52.1,0.0,6.75,-0.5,54.0,0.0,6.74,-0.5,52.1,0.0,6.72,0.0
202606161803,2026-06-16,18,03R,09:38,2026-06-16T09:28:21.605275+09:00,1,50.5,1.5,,0.0,55.0,0.0,,-0.5,53.0,0.0,,0.0,52.3,0.0,,-0.5,52.1,0.0,,0.0,52.0,0.0,,0.0
202606162104,2026-06-16,21,04R,09:52,2026-06-16T09:42:27.066931+09:00,1,52.0,0.0,6.67,0.0,53.0,0.0,6.78,0.0,53.2,0.0,6.76,-0.5,55.2,0.0,6.73,0.0,52.5,0.0,6.72,0.0,52.0,0.0,6.77,-0.5
202606161004,2026-06-16,10,04R,09:57,2026-06-16T09:48:20.456965+09:00,1,52.3,0.0,6.73,0.0,54.4,0.0,6.66,-0.5,55.4,0.0,6.72,-0.5,52.6,0.0,6.69,0.0,53.6,0.0,6.58,0.0,50.0,2.0,6.7,-0.5
202606161804,2026-06-16,18,04R,10:04,2026-06-16T09:54:23.925349+09:00,1,53.5,0.0,,0.0,57.7,0.0,,0.0,53.2,0.0,,0.0,53.0,0.0,,0.0,52.4,0.0,,0.0,52.1,0.0,,0.5
202606162105,2026-06-16,21,05R,10:18,2026-06-16T10:08:25.476516+09:00,1,46.0,1.0,6.72,0.0,47.0,0.0,6.69,0.0,47.0,0.0,6.71,0.0,47.3,0.0,6.73,0.0,47.5,0.0,6.69,-0.5,50.0,0.0,6.81,-0.5
202606161005,2026-06-16,10,05R,10:23,2026-06-16T10:14:23.729487+09:00,1,53.2,0.0,6.73,0.0,52.0,0.0,6.76,0.0,53.7,0.0,6.73,-0.5,52.0,0.0,6.75,-0.5,53.0,0.0,6.7,-0.5,53.2,0.0,6.72,0.5
202606161805,2026-06-16,18,05R,10:30,2026-06-16T10:20:23.551885+09:00,1,52.3,0.0,7.0,0.0,52.4,0.0,7.05,-0.5,53.9,0.0,7.01,0.0,53.2,0.0,7.01,0.0,52.3,0.0,7.01,0.0,54.0,0.0,7.06,0.0
202606160801,2026-06-16,08,01R,10:33,2026-06-16T10:24:22.242198+09:00,1,52.0,0.0,6.72,0.0,52.0,0.0,6.76,0.0,52.0,0.0,6.77,-0.5,52.0,0.0,6.74,0.0,52.1,0.0,6.78,0.0,53.1,0.0,6.72,-0.5
