stadium,n_samples,mu_course,sigma_course,mu_racer,sigma_racer,mu_motor,sigma_motor,mu_exhibit,sigma_exhibit,mu_weather,sigma_weather,w_course,w_racer,w_motor,w_exhibit,w_weather,mu_y,sigma_y,mse,r2,fallback
桐生,6479,16.692421,16.567365,53.788186,4.957683,0.012713,0.187204,50.003059,6.344472,-7.8e-05,0.17484,0.360551,0.213697,0.132608,0.219475,0.073669,3.532181,1.697034,0.780413,0.219587,0
戸田,5273,16.702324,13.465553,53.623517,5.035514,0.014525,0.16852,50.002617,6.187831,0.001083,0.455811,0.278289,0.267191,0.136644,0.228831,0.089045,3.536507,1.695546,0.838784,0.161216,0
江戸川,4820,16.660367,14.769531,53.636479,4.361331,0.008697,0.187295,50.015031,9.997932,-0.001048,0.198577,0.459185,0.255997,0.125745,0.080562,0.078511,3.547925,1.691198,0.800249,0.199751,0
平和島,5612,16.65766,14.611064,53.028271,4.168471,0.029007,0.181697,49.992141,6.336523,0.001283,0.290427,0.303168,0.290365,0.124353,0.213919,0.068195,3.534925,1.696825,0.748094,0.251906,0
多摩川,5710,16.718299,17.709437,53.383934,4.215564,0.015877,0.183897,50.007931,5.671488,0.000403,0.200591,0.353512,0.228464,0.084667,0.190872,0.142485,3.524869,1.699385,0.709363,0.290637,0
浜名湖,6410,16.701202,17.958963,53.796987,4.950484,0.015322,0.199733,49.98628,6.086852,-0.000452,0.409159,0.363718,0.20389,0.094391,0.245039,0.092963,3.534009,1.695874,0.755912,0.244088,0
蒲郡,6393,16.72952,18.954366,53.953783,5.489545,0.005378,0.165722,50.008392,6.223495,-0.000371,0.201867,0.37326,0.23998,0.089152,0.209543,0.088064,3.536055,1.696508,0.750837,0.249163,0
常滑,7094,16.686395,19.18759,53.782007,5.095155,-0.003933,0.176712,49.995458,6.356053,7.4e-05,0.190034,0.378284,0.198945,0.06505,0.231517,0.126204,3.524951,1.69923,0.726651,0.273349,0
津,5165,16.714191,19.396762,54.025706,5.250467,0.005281,0.182046,49.996801,5.573709,-0.00023,0.124194,0.388144,0.205946,0.087255,0.238463,0.080191,3.533591,1.696955,0.731412,0.268588,0
三国,5771,16.673423,16.737269,52.916228,3.634759,0.015064,0.180544,49.991505,6.922267,-4.1e-05,0.101935,0.364294,0.267286,0.093143,0.167757,0.10752,3.532663,1.695836,0.746728,0.253272,0
びわこ,6059,16.707148,17.399406,53.538473,4.515547,0.009016,0.183888,49.997425,5.873534,0.000129,0.131817,0.384521,0.204888,0.093163,0.187475,0.129953,3.531111,1.69652,0.760422,0.239578,0
住之江,5611,16.700433,19.42649,54.821037,5.915211,-0.022622,0.183742,49.998937,8.031734,0.000108,0.238895,0.406121,0.183373,0.096686,0.189287,0.124534,3.537694,1.695748,0.735585,0.264415,0
尼崎,6753,16.737422,20.86691,54.189541,5.330631,-0.012314,0.165484,49.999981,7.771881,5.6e-05,0.162589,0.406555,0.217355,0.117884,0.257168,0.001038,3.536058,1.696482,0.730331,0.269669,0
鳴門,4969,16.707746,15.731535,54.765996,5.678186,-0.005199,0.199496,50.018239,5.896097,3.8e-05,0.148377,0.382217,0.185814,0.102101,0.207035,0.122832,3.534715,1.696911,0.795681,0.204319,0
丸亀,6363,16.694574,18.109801,53.284328,3.998994,0.009543,0.17651,50.001044,6.079428,9.5e-05,0.162506,0.370151,0.238874,0.087237,0.22079,0.082948,3.530882,1.697392,0.711934,0.288066,0
児島,6848,16.686954,18.238402,53.546004,4.486447,0.007278,0.166244,49.999932,5.604193,3.6e-05,0.135645,0.384276,0.238974,0.114272,0.20012,0.062359,3.528621,1.698353,0.770871,0.229129,0
宮島,6188,16.761707,18.919328,54.038633,5.279583,-0.002662,0.17386,50.002044,6.032388,-0.000271,0.158543,0.425708,0.222199,0.100983,0.204319,0.046791,3.538946,1.694682,0.766672,0.233328,0
徳山,6439,16.722476,21.336177,53.063839,4.036126,0.032978,0.174794,50.023194,8.087459,2.8e-05,0.15586,0.427288,0.25033,0.069223,0.162148,0.091011,3.521975,1.699814,0.655921,0.344079,0
下関,5459,16.691838,20.506241,53.191142,4.300961,0.010623,0.155046,50.002897,6.40125,0.000206,0.115644,0.405248,0.248656,0.077681,0.187636,0.080779,3.526653,1.70002,0.691653,0.308347,0
若松,5921,16.700554,20.51744,53.984222,5.296239,-0.007509,0.152982,50.006668,6.994509,-1.4e-05,0.162592,0.385614,0.221192,0.074407,0.207779,0.111008,3.525249,1.69984,0.711897,0.288103,0
芦屋,4941,16.678063,20.248446,54.178597,5.444975,-0.004658,0.178514,49.992816,7.106081,-0.000154,0.187976,0.399967,0.189404,0.104186,0.236077,0.070367,3.535317,1.696878,0.773644,0.226356,0
福岡,4521,16.713131,20.283709,53.7702,5.090071,0.0012,0.181577,49.9907,6.830756,-0.000352,0.166689,0.398619,0.201122,0.075942,0.248117,0.076199,3.532183,1.696606,0.678466,0.321534,0
唐津,6495,16.708842,19.17501,53.613821,4.811281,0.005637,0.173404,50.000256,5.906587,-0.000138,0.144171,0.426023,0.243775,0.075128,0.163866,0.091207,3.539338,1.694428,0.706736,0.293264,0
大村,6118,16.700152,21.010433,53.671805,4.917294,0.004545,0.194,49.993626,6.645178,0.000311,0.158711,0.429219,0.19424,0.09488,0.182134,0.099527,3.533835,1.696317,0.720939,0.279061,0
