レースコード,レース日,レース場コード,レース回,1枠_登録番号,1枠_推定ST,2枠_登録番号,2枠_推定ST,3枠_登録番号,3枠_推定ST,4枠_登録番号,4枠_推定ST,5枠_登録番号,5枠_推定ST,6枠_登録番号,6枠_推定ST
202607220501,2026-07-22,05,01R,5316,0.1468,3542,0.1793,4550,0.1461,5425,0.231,4813,0.2087,4557,0.1954
202607220502,2026-07-22,05,02R,3461,0.1709,4199,0.148,3619,0.1684,4036,0.1552,4211,0.1319,5445,0.1868
202607220503,2026-07-22,05,03R,4635,0.1047,3807,0.1559,3935,0.1485,4676,0.1657,3072,0.1601,3744,0.1257
202607220504,2026-07-22,05,04R,3075,0.1116,3458,0.1545,3517,0.1333,5125,0.2063,4238,0.1374,4209,0.1731
202607220505,2026-07-22,05,05R,4520,0.1262,5085,0.1879,3868,0.1703,4557,0.179,3353,0.1398,4959,0.1647
202607220506,2026-07-22,05,06R,4377,0.1341,5316,0.1543,3461,0.1724,3406,0.1535,5425,0.2339,4547,0.1605
202607220507,2026-07-22,05,07R,4049,0.152,3957,0.1721,3226,0.1853,3613,0.1326,5197,0.1723,5354,0.1824
202607220508,2026-07-22,05,08R,4676,0.1612,3748,0.1788,4379,0.1444,3558,0.1563,3807,0.1558,5445,0.1868
202607220509,2026-07-22,05,09R,4211,0.1245,4813,0.2088,3712,0.16,3930,0.1323,3075,0.119,3353,0.1533
202607220510,2026-07-22,05,10R,4209,0.1522,4238,0.1375,4036,0.1522,4550,0.1491,4199,0.1479,3542,0.1927
202607220511,2026-07-22,05,11R,4959,0.1438,3072,0.1602,3613,0.1296,3517,0.1363,3957,0.172,4520,0.1471
202607220512,2026-07-22,05,12R,4547,0.1396,3744,0.1123,5354,0.163,4379,0.1474,5085,0.1878,4635,0.1256
202607220801,2026-07-22,08,01R,3713,0.1581,4253,0.1748,5360,0.1797,4346,0.1601,3848,0.1445,4358,0.2239
202607220802,2026-07-22,08,02R,3804,0.1397,5357,0.1609,4787,0.1243,4158,0.1575,4114,0.1833,5210,0.1466
202607220803,2026-07-22,08,03R,4730,0.1418,4940,0.1663,4317,0.1711,4011,0.149,5327,0.1941,4065,0.1811
202607220804,2026-07-22,08,04R,3893,0.1521,4381,0.1654,5388,0.1445,4782,0.1791,5419,0.2298,3721,0.127
202607220805,2026-07-22,08,05R,4193,0.1294,4796,0.1445,4323,0.1402,3696,0.1567,4234,0.1583,4644,0.1479
202607220806,2026-07-22,08,06R,4360,0.1625,3790,0.178,3982,0.1472,5360,0.1827,4918,0.1591,4064,0.173
202607220807,2026-07-22,08,07R,3848,0.1371,4839,0.1343,5327,0.1882,3590,0.1336,4158,0.1604,5077,0.1941
202607220808,2026-07-22,08,08R,4346,0.1556,4448,0.1458,3804,0.1412,3793,0.1522,4317,0.177,3319,0.161
202607220809,2026-07-22,08,09R,4114,0.1759,4607,0.168,4358,0.2045,4940,0.1633,4193,0.1368,5388,0.1639
202607220810,2026-07-22,08,10R,4040,0.1405,4065,0.1677,5210,0.1272,4253,0.1718,4360,0.1699,3696,0.1731
202607220811,2026-07-22,08,11R,4369,0.147,4644,0.1345,4918,0.1532,4839,0.1313,4730,0.1492,4381,0.1788
202607220812,2026-07-22,08,12R,3590,0.1291,4064,0.1596,3721,0.1076,4787,0.1273,4448,0.1457,4796,0.1579
202607220901,2026-07-22,09,01R,5120,0.1312,5013,0.1603,5234,0.1244,5205,0.1525,5035,0.1558,5039,0.1822
