レースコード,レース日,レース場コード,レース回,1枠_登録番号,1枠_推定ST,2枠_登録番号,2枠_推定ST,3枠_登録番号,3枠_推定ST,4枠_登録番号,4枠_推定ST,5枠_登録番号,5枠_推定ST,6枠_登録番号,6枠_推定ST
202607200201,2026-07-20,02,01R,3587,0.1489,3475,0.1752,4177,0.1641,4899,0.1414,4723,0.1552,4229,0.1939
202607200202,2026-07-20,02,02R,3690,0.1802,3661,0.1663,3870,0.1765,4079,0.157,5461,0.1967,3860,0.202
202607200203,2026-07-20,02,03R,5002,0.1524,3718,0.162,3905,0.1374,3583,0.1823,5402,0.2174,3869,0.1935
202607200204,2026-07-20,02,04R,3528,0.1829,4680,0.1932,5346,0.2054,4447,0.169,5399,0.2309,4927,0.1637
202607200205,2026-07-20,02,05R,4028,0.147,3827,0.1722,3850,0.1347,4930,0.1443,5359,0.1689,3411,0.1865
202607200206,2026-07-20,02,06R,3362,0.1714,4079,0.16,4899,0.1384,3587,0.1534,3554,0.1789,5461,0.2102
202607200207,2026-07-20,02,07R,3757,0.1611,4332,0.2122,3718,0.156,4489,0.1446,3475,0.1751,5402,0.2309
202607200208,2026-07-20,02,08R,3869,0.1726,4723,0.1553,4680,0.1872,4177,0.1671,4750,0.1534,5399,0.2444
202607200209,2026-07-20,02,09R,4229,0.173,3860,0.1886,3661,0.1603,3827,0.1692,5346,0.2113,5002,0.1733
202607200210,2026-07-20,02,10R,5359,0.1615,4447,0.172,4930,0.1413,3905,0.1404,3690,0.1876,3362,0.1923
202607200211,2026-07-20,02,11R,3554,0.1715,3583,0.1853,4489,0.1416,3870,0.1795,4028,0.1544,3757,0.182
202607200212,2026-07-20,02,12R,4926,0.1341,4513,0.1716,5005,0.1371,3412,0.154,4928,0.1424,4845,0.1593
202607200401,2026-07-20,04,01R,5201,0.1671,3507,0.1918,5304,0.1777,4174,0.1481,4603,0.1459,4406,0.1721
202607200402,2026-07-20,04,02R,4932,0.1402,4097,0.2187,3809,0.1776,4201,0.1534,3714,0.1464,4438,0.1251
202607200403,2026-07-20,04,03R,3477,0.182,3541,0.1698,4093,0.167,4553,0.1501,3716,0.1237,4692,0.1596
202607200404,2026-07-20,04,04R,4875,0.1615,4887,0.138,4934,0.1618,4167,0.1472,3952,0.1326,5046,0.2004
202607200405,2026-07-20,04,05R,5154,0.1601,3867,0.18,5011,0.1436,4112,0.1726,3548,0.1136,4573,0.163
202607200406,2026-07-20,04,06R,4260,0.1581,3459,0.1532,4201,0.1504,3361,0.1581,4640,0.1299,4174,0.1645
202607200407,2026-07-20,04,07R,4873,0.1671,4932,0.1477,4406,0.1527,4093,0.17,3929,0.1564,4077,0.1829
202607200408,2026-07-20,04,08R,5228,0.1433,4603,0.146,4167,0.1442,4851,0.1218,4692,0.1461,5235,0.1839
202607200409,2026-07-20,04,09R,4934,0.1584,3716,0.1238,4438,0.1057,5154,0.1646,3679,0.1471,3507,0.2052
202607200410,2026-07-20,04,10R,4112,0.1681,3809,0.1836,3952,0.1267,5201,0.1716,4260,0.1655,3562,0.1712
202607200411,2026-07-20,04,11R,4553,0.1456,4640,0.13,4573,0.1436,4873,0.1716,4875,0.1689,4233,0.1674
202607200412,2026-07-20,04,12R,4851,0.1173,3548,0.1137,3361,0.1551,5046,0.184,4077,0.1694,3541,0.1832
202607200501,2026-07-20,05,01R,3558,0.1462,5197,0.1695,3748,0.1638,4520,0.1317,4959,0.1481,3226,0.1951
202607200502,2026-07-20,05,02R,4211,0.1218,4049,0.162,3353,0.1391,4199,0.1427,3075,0.1191,3712,0.18
202607200503,2026-07-20,05,03R,3458,0.1453,3619,0.1727,3807,0.1502,5425,0.2256,4238,0.135,4209,0.1708
202607200504,2026-07-20,05,04R,3868,0.1729,4547,0.1505,4676,0.1682,3935,0.1537,3957,0.1699,3406,0.1695
202607200505,2026-07-20,05,05R,3748,0.1623,4036,0.1543,3542,0.1709,3461,0.1744,3930,0.1309,4377,0.1556
202607200506,2026-07-20,05,06R,5197,0.162,3613,0.1368,5125,0.2064,3744,0.1127,3517,0.1426,5445,0.1906
202607200507,2026-07-20,05,07R,4550,0.1457,5316,0.1579,4238,0.1291,4557,0.1777,3558,0.1536,4049,0.1754
202607200508,2026-07-20,05,08R,4379,0.1419,4199,0.1457,3406,0.1501,3619,0.1697,3226,0.1816,5085,0.2024
202607200509,2026-07-20,05,09R,4635,0.0997,4209,0.1574,4547,0.1445,3075,0.1162,3542,0.1768,3072,0.1745
202607200510,2026-07-20,05,10R,4959,0.1407,3712,0.1666,4813,0.1999,3613,0.1338,4377,0.1421,3935,0.1701
202607200511,2026-07-20,05,11R,4036,0.1468,4676,0.1742,5316,0.1519,3353,0.1421,4520,0.1346,5125,0.2258
202607200512,2026-07-20,05,12R,3744,0.1082,4550,0.1532,5354,0.1661,3868,0.1774,5085,0.1889,3930,0.1444
202607200901,2026-07-20,09,01R,5019,0.1447,5082,0.1647,5221,0.144,5252,0.1322,5280,0.1503,5141,0.1484
202607200902,2026-07-20,09,02R,5120,0.1334,5275,0.1314,5205,0.1529,4967,0.1425,5039,0.1619,5034,0.1441
