レースコード,レース日,レース場コード,レース回,1枠_登録番号,1枠_推定ST,2枠_登録番号,2枠_推定ST,3枠_登録番号,3枠_推定ST,4枠_登録番号,4枠_推定ST,5枠_登録番号,5枠_推定ST,6枠_登録番号,6枠_推定ST
202607250406,2026-07-25,04,06R,5361,0.1904,4419,0.1573,4891,0.1548,4765,0.1409,4464,0.1798,5347,0.1991
202607250407,2026-07-25,04,07R,5203,0.1447,4117,0.1961,5165,0.1705,5362,0.2237,5380,0.268,4845,0.1605
202607250408,2026-07-25,04,08R,4286,0.1392,5251,0.1782,5287,0.1775,4825,0.1402,5174,0.1885,5241,0.193
202607250409,2026-07-25,04,09R,4853,0.1986,5322,0.1697,4208,0.1533,4893,0.1515,5231,0.1612,5265,0.1653
202607250410,2026-07-25,04,10R,4443,0.168,4689,0.1572,5314,0.164,5297,0.2006,4123,0.1889,4569,0.1683
202607250411,2026-07-25,04,11R,4546,0.1491,4891,0.1608,4961,0.1507,5317,0.1475,4878,0.1736,4190,0.1728
202607250412,2026-07-25,04,12R,4825,0.1357,4845,0.1471,4464,0.1739,4627,0.1386,4225,0.1491,4680,0.2057
202607250601,2026-07-25,06,01R,5076,0.1506,3441,0.1886,3878,0.1595,5434,0.1451,5153,0.1838,5455,0.2003
202607250602,2026-07-25,06,02R,4778,0.1504,4560,0.1547,3687,0.1404,4389,0.177,4772,0.1165,5341,0.2148
202607250603,2026-07-25,06,03R,3684,0.1802,3391,0.1937,3284,0.1937,3784,0.1442,4826,0.1211,5427,0.2237
202607250604,2026-07-25,06,04R,3965,0.1487,5332,0.1731,4690,0.1712,5382,0.181,4414,0.1729,5131,0.1903
202607250605,2026-07-25,06,05R,3503,0.1599,4888,0.1653,3277,0.1707,4000,0.1615,5455,0.1868,3556,0.1489
202607250606,2026-07-25,06,06R,3687,0.1389,4230,0.154,3939,0.1396,4347,0.1613,5434,0.148,3811,0.1607
202607250607,2026-07-25,06,07R,4901,0.1477,4826,0.1212,4874,0.1494,4778,0.1549,5104,0.156,3606,0.1713
202607250608,2026-07-25,06,08R,4240,0.1445,5341,0.2014,4414,0.167,4734,0.1368,5076,0.158,3784,0.1606
202607250609,2026-07-25,06,09R,3747,0.1444,5153,0.1839,4389,0.174,3391,0.1907,5382,0.1839,4042,0.192
202607250610,2026-07-25,06,10R,3543,0.1595,4772,0.1166,3441,0.1826,3684,0.1847,4230,0.1539,5332,0.1865
