レースコード,レース日,レース場コード,レース回,1枠_登録番号,1枠_推定ST,2枠_登録番号,2枠_推定ST,3枠_登録番号,3枠_推定ST,4枠_登録番号,4枠_推定ST,5枠_登録番号,5枠_推定ST,6枠_登録番号,6枠_推定ST
202607210401,2026-07-21,04,01R,3809,0.176,3929,0.1577,5154,0.1633,5228,0.148,3477,0.1886,5304,0.1985
202607210402,2026-07-21,04,02R,3459,0.1453,4093,0.1789,3548,0.1118,3507,0.1921,5201,0.17,4201,0.1695
202607210403,2026-07-21,04,03R,5235,0.1649,4077,0.1738,4692,0.1349,4932,0.1425,5046,0.1885,4097,0.2286
202607210404,2026-07-21,04,04R,5011,0.145,4438,0.1103,4406,0.1511,4233,0.1511,4603,0.1463,3952,0.1455
202607210405,2026-07-21,04,05R,5304,0.1776,4887,0.1394,4640,0.1251,3541,0.1685,3714,0.1452,3867,0.1987
202607210406,2026-07-21,04,06R,4112,0.1695,4873,0.174,4167,0.1429,3361,0.157,3929,0.1576,4553,0.1655
202607210407,2026-07-21,04,07R,4201,0.1486,5046,0.1886,4875,0.1619,5154,0.1663,3562,0.1557,3809,0.1969
202607210408,2026-07-21,04,08R,4097,0.2077,3477,0.1887,5235,0.1664,3548,0.1148,3459,0.1527,5011,0.1659
202607210409,2026-07-21,04,09R,3952,0.1246,3714,0.1453,5228,0.145,4406,0.1541,4093,0.1788,4077,0.1872
202607210410,2026-07-21,04,10R,5201,0.1626,4603,0.1464,3541,0.1655,4640,0.1281,4438,0.1102,4112,0.1904
202607210411,2026-07-21,04,11R,3562,0.1483,4932,0.1455,4233,0.1481,4692,0.1379,4873,0.1739,4887,0.1528
202607210412,2026-07-21,04,12R,4260,0.1556,4174,0.1524,3716,0.1162,4573,0.1514,4851,0.1248,3679,0.1612
202607210501,2026-07-21,05,01R,3935,0.1459,5125,0.2064,3461,0.1719,3807,0.152,3613,0.1347,5425,0.2427
202607210502,2026-07-21,05,02R,3957,0.1608,5085,0.1898,3072,0.1572,4813,0.2042,4036,0.1535,3558,0.1711
202607210503,2026-07-21,05,03R,3542,0.1744,4520,0.1353,4211,0.1236,3458,0.1497,4635,0.1104,5445,0.188
202607210504,2026-07-21,05,04R,3517,0.1351,4238,0.1375,3930,0.1264,3748,0.1762,3353,0.1393,3868,0.1895
202607210505,2026-07-21,05,05R,3807,0.1475,4379,0.151,3075,0.111,4199,0.1439,5354,0.1721,5316,0.1666
202607210506,2026-07-21,05,06R,3226,0.1842,3744,0.1156,4377,0.1374,3072,0.1602,5425,0.2292,3619,0.1869
202607210507,2026-07-21,05,07R,4049,0.1538,3406,0.1576,5085,0.1838,4959,0.1478,3935,0.1533,5445,0.188
202607210508,2026-07-21,05,08R,3613,0.1273,4036,0.1536,5197,0.1679,4547,0.1451,3868,0.176,3458,0.1661
202607210509,2026-07-21,05,09R,5125,0.1989,3930,0.1324,4209,0.1539,5354,0.1692,4557,0.1809,4813,0.2206
202607210510,2026-07-21,05,10R,4520,0.1278,3517,0.1426,3558,0.1517,3744,0.1126,4379,0.1509,4550,0.167
202607210511,2026-07-21,05,11R,4199,0.1394,4635,0.1105,4959,0.1448,3226,0.1887,3712,0.1653,4676,0.1812
202607210512,2026-07-21,05,12R,4547,0.1406,4377,0.1434,4238,0.1315,3957,0.1653,4049,0.1612,4211,0.143
202607210901,2026-07-21,09,01R,5226,0.1438,5166,0.1525,5066,0.1443,5213,0.1869,5196,0.1972,5010,0.1573
202607210902,2026-07-21,09,02R,5252,0.1285,5114,0.1574,5139,0.1592,4984,0.1969,5246,0.1521,5220,0.133
202607210903,2026-07-21,09,03R,5013,0.1535,5034,0.1274,5089,0.1518,5221,0.1468,5229,0.1504,5039,0.1797
202607210904,2026-07-21,09,04R,5182,0.1411,5120,0.1411,5141,0.1276,5132,0.1405,4989,0.152,5275,0.1443
202607210905,2026-07-21,09,05R,5035,0.1478,5205,0.1574,5279,0.1475,5256,0.1351,5110,0.1456,5280,0.1645
202607210906,2026-07-21,09,06R,5082,0.1606,5088,0.1559,5216,0.1462,5166,0.1495,5042,0.129,5019,0.1627
202607210907,2026-07-21,09,07R,5234,0.1244,5090,0.165,5010,0.1379,4967,0.1416,5114,0.1573,5045,0.2239
202607210908,2026-07-21,09,08R,5191,0.0974,5255,0.1905,5289,0.1475,5139,0.1622,5213,0.1898,5132,0.1569
202607210909,2026-07-21,09,09R,5089,0.1503,4984,0.1999,5275,0.1249,5226,0.1483,5065,0.1242,5017,0.1327
202607210910,2026-07-21,09,10R,4914,0.1266,5112,0.146,5019,0.1433,4989,0.1491,5035,0.1552,4983,0.142
202607210911,2026-07-21,09,11R,5068,0.1284,5220,0.1196,5135,0.1525,5087,0.1554,5141,0.1335,5205,0.1708
202607210912,2026-07-21,09,12R,5256,0.1306,5229,0.1505,5252,0.13,5045,0.2075,5066,0.1502,5216,0.1656
202607211001,2026-07-21,10,01R,4816,0.1562,5286,0.1492,4979,0.1537,4683,0.1351,3808,0.1601,5355,0.1861
202607211002,2026-07-21,10,02R,3984,0.1483,4540,0.1269,4836,0.1475,5404,0.1649,4003,0.1596,3922,0.1958
202607211003,2026-07-21,10,03R,4388,0.1469,3339,0.1676,4024,0.1548,3596,0.1729,4598,0.1426,3992,0.1615
202607211004,2026-07-21,10,04R,4925,0.1355,3471,0.1702,4063,0.1253,4531,0.1451,4182,0.1749,4020,0.1766
202607211005,2026-07-21,10,05R,3901,0.2085,3484,0.177,3445,0.178,4315,0.1574,4883,0.1557,4832,0.1528
202607211006,2026-07-21,10,06R,4119,0.1571,3808,0.1602,4578,0.1537,4587,0.1628,5339,0.1536,4596,0.1707
202607211007,2026-07-21,10,07R,3922,0.1749,4016,0.1523,4683,0.1321,3339,0.1646,4459,0.1338,4848,0.1647
202607211008,2026-07-21,10,08R,5355,0.1652,4592,0.1565,4919,0.1639,4060,0.1524,3471,0.1701,3852,0.2006
202607211009,2026-07-21,10,09R,4020,0.1557,4598,0.1427,4315,0.1544,3853,0.176,4540,0.1268,5431,0.2328
202607211010,2026-07-21,10,10R,3992,0.1406,5339,0.1537,4531,0.1421,4024,0.1578,5286,0.1491,3984,0.1692
202607211011,2026-07-21,10,11R,4848,0.1438,4883,0.1558,4587,0.1598,4816,0.1607,4925,0.1429,4388,0.1678
202607211012,2026-07-21,10,12R,4832,0.1319,4459,0.1339,4060,0.1494,4836,0.1505,4016,0.1522,4119,0.178
202607211101,2026-07-21,11,01R,4202,0.1874,4725,0.1654,4271,0.1508,5187,0.2195,5318,0.1755,5400,0.169
202607211102,2026-07-21,11,02R,5223,0.1446,3105,0.1621,5282,0.1504,4292,0.1295,3306,0.1423,4100,0.1651
202607211103,2026-07-21,11,03R,4031,0.1544,4552,0.1601,4118,0.1492,4892,0.1757,4200,0.1716,4213,0.1796
202607211104,2026-07-21,11,04R,3327,0.154,4462,0.1501,4697,0.1649,4382,0.1571,3975,0.1308,3286,0.1801
202607211105,2026-07-21,11,05R,3508,0.1754,4272,0.1527,4210,0.155,3831,0.1375,3775,0.1722,4207,0.1523
202607211106,2026-07-21,11,06R,4402,0.1528,3761,0.1504,5400,0.1496,4271,0.1538,5282,0.1563,3839,0.1766
202607211107,2026-07-21,11,07R,3251,0.1816,5318,0.1756,4100,0.1457,4031,0.1589,4552,0.16,5075,0.1818
202607211108,2026-07-21,11,08R,4213,0.1587,3306,0.1424,5187,0.2165,4697,0.1679,3940,0.1479,5223,0.1655
202607211109,2026-07-21,11,09R,4382,0.1526,4892,0.1787,4462,0.1441,4210,0.158,3831,0.1404,4202,0.2083
202607211110,2026-07-21,11,10R,4200,0.1642,3508,0.1829,4725,0.1594,3327,0.1585,4402,0.1602,3105,0.1755
202607211111,2026-07-21,11,11R,3975,0.1234,4292,0.1325,4272,0.1467,3251,0.1861,4118,0.1551,3761,0.1638
202607211112,2026-07-21,11,12R,3643,0.1584,4350,0.131,4624,0.172,3612,0.1211,3837,0.1671,4593,0.1729
202607211201,2026-07-21,12,01R,4567,0.2126,5105,0.1811,4057,0.1486,4896,0.1961,5022,0.1668,5470,0.2253
202607211202,2026-07-21,12,02R,3297,0.207,5379,0.168,4669,0.1487,5396,0.1963,5134,0.1426,5420,0.1619
202607211203,2026-07-21,12,03R,5067,0.1399,4173,0.1655,4906,0.1528,3478,0.1447,3997,0.1534,3340,0.193
202607211204,2026-07-21,12,04R,3550,0.1409,4470,0.1377,4417,0.1918,5262,0.1977,3617,0.209,5383,0.1613
202607211205,2026-07-21,12,05R,4834,0.124,3873,0.1624,4306,0.1919,5338,0.1325,5105,0.181,3826,0.1661
202607211206,2026-07-21,12,06R,3680,0.1733,4739,0.144,3442,0.1489,2538,0.1984,4718,0.1543,5470,0.2253
202607211207,2026-07-21,12,07R,5022,0.1594,4294,0.1331,4960,0.1264,4669,0.1517,5420,0.1484,4567,0.2335
202607211208,2026-07-21,12,08R,3478,0.1402,5262,0.2007,3997,0.1475,4417,0.1948,5379,0.1679,5396,0.2127
202607211209,2026-07-21,12,09R,3617,0.2016,4057,0.1546,3297,0.2085,5134,0.1397,5067,0.1473,4834,0.1449
202607211210,2026-07-21,12,10R,4173,0.158,5338,0.1355,4739,0.138,3873,0.1594,4906,0.1587,3550,0.1618
202607211211,2026-07-21,12,11R,4470,0.1302,4718,0.1544,3826,0.1467,4294,0.1301,4306,0.1978,4960,0.1458
202607211212,2026-07-21,12,12R,4659,0.1297,5269,0.131,4619,0.1492,4074,0.1332,4295,0.1346,4677,0.144
202607211501,2026-07-21,15,01R,3907,0.1598,4186,0.1567,5244,0.1803,4169,0.1955,5177,0.1954,4163,0.1725
202607211502,2026-07-21,15,02R,3546,0.1655,5175,0.16,4944,0.1545,3988,0.1385,4302,0.1327,5443,0.2175
202607211503,2026-07-21,15,03R,3857,0.1736,4164,0.1671,4314,0.1457,3772,0.1429,5452,0.2146,4471,0.1719
202607211504,2026-07-21,15,04R,4729,0.1708,4319,0.1673,4214,0.1414,3212,0.1476,5372,0.17,4654,0.162
202607211505,2026-07-21,15,05R,3614,0.1631,4394,0.1469,4631,0.1413,4189,0.1772,5037,0.1611,4103,0.2272
202607211506,2026-07-21,15,06R,4788,0.1383,3523,0.1861,4152,0.1577,5352,0.1686,4096,0.144,4186,0.1701
202607211507,2026-07-21,15,07R,3988,0.134,5244,0.1863,4075,0.1224,4361,0.1303,4164,0.167,3516,0.1789
202607211508,2026-07-21,15,08R,4516,0.1436,4009,0.1234,3907,0.1613,4861,0.1583,4944,0.1604,5452,0.2281
202607211509,2026-07-21,15,09R,4348,0.1459,4471,0.1585,5177,0.1895,4337,0.1218,5175,0.1599,4214,0.1608
202607211510,2026-07-21,15,10R,3854,0.1508,4537,0.129,4788,0.1398,4314,0.1487,3212,0.1505,4169,0.2119
202607211511,2026-07-21,15,11R,4075,0.1209,4096,0.1441,4163,0.1531,3546,0.17,4189,0.1801,4319,0.1807
202607211512,2026-07-21,15,12R,4361,0.1258,4654,0.1486,4302,0.1268,4516,0.1481,4152,0.1636,4394,0.1603
202607211601,2026-07-21,16,01R,3866,0.1477,5376,0.156,5249,0.1378,5008,0.1307,4231,0.1635,3514,0.1762
