レースコード,レース日,レース場,レース回,締切時刻,取得日時,2連単_1-2,2連単_1-3,2連単_1-4,2連単_1-5,2連単_1-6,2連単_2-1,2連単_2-3,2連単_2-4,2連単_2-5,2連単_2-6,2連単_3-1,2連単_3-2,2連単_3-4,2連単_3-5,2連単_3-6,2連単_4-1,2連単_4-2,2連単_4-3,2連単_4-5,2連単_4-6,2連単_5-1,2連単_5-2,2連単_5-3,2連単_5-4,2連単_5-6,2連単_6-1,2連単_6-2,2連単_6-3,2連単_6-4,2連単_6-5,2連複_1=2,2連複_1=3,2連複_1=4,2連複_1=5,2連複_1=6,2連複_2=3,2連複_2=4,2連複_2=5,2連複_2=6,2連複_3=4,2連複_3=5,2連複_3=6,2連複_4=5,2連複_4=6,2連複_5=6
202607190406,2026-07-19,04,06R,14:28,2026-07-19T14:24:41.585776+09:00,5.8,28.7,31.1,25.7,32.9,3.9,13.5,7.1,11.3,6.5,27.6,140.1,249.0,117.9,117.9,117.9,21.9,249.0,32.9,89.6,203.7,18.3,320.2,39.3,93.4,124.5,37.3,172.4,224.1,101.8,1.5,18.4,17.2,38.1,19.7,10.4,7.8,16.1,8.0,59.3,59.3,53.4,89.0,48.5,66.7
202607191606,2026-07-19,16,06R,14:33,2026-07-19T14:24:41.585776+09:00,16.9,12.3,8.0,16.9,49.2,25.2,39.3,24.6,49.2,140.5,14.4,32.8,9.3,46.8,37.8,6.1,16.1,8.7,12.0,16.1,37.8,123.0,109.3,65.6,51.7,89.4,196.8,123.0,89.4,196.8,11.4,6.6,4.0,15.0,21.8,13.3,9.2,60.0,120.0,4.7,34.2,48.0,8.2,8.8,30.0
202607190507,2026-07-19,05,07R,14:35,2026-07-19T14:26:24.914286+09:00,19.9,18.3,9.7,4.9,73.2,21.9,146.5,43.9,36.6,439.5,15.6,109.8,43.9,39.9,146.5,15.1,54.9,54.9,9.3,146.5,5.1,19.9,31.3,6.7,39.9,0.0,0.0,219.7,439.5,146.5,10.4,29.2,7.3,4.8,146.2,14.6,13.2,8.6,20.8,36.5,18.2,36.5,2.5,48.7,36.5
