レースコード,レース日,レース場,レース回,締切時刻,取得日時,2連単_1-2,2連単_1-3,2連単_1-4,2連単_1-5,2連単_1-6,2連単_2-1,2連単_2-3,2連単_2-4,2連単_2-5,2連単_2-6,2連単_3-1,2連単_3-2,2連単_3-4,2連単_3-5,2連単_3-6,2連単_4-1,2連単_4-2,2連単_4-3,2連単_4-5,2連単_4-6,2連単_5-1,2連単_5-2,2連単_5-3,2連単_5-4,2連単_5-6,2連単_6-1,2連単_6-2,2連単_6-3,2連単_6-4,2連単_6-5,2連複_1=2,2連複_1=3,2連複_1=4,2連複_1=5,2連複_1=6,2連複_2=3,2連複_2=4,2連複_2=5,2連複_2=6,2連複_3=4,2連複_3=5,2連複_3=6,2連複_4=5,2連複_4=6,2連複_5=6
202607301001,2026-07-30,10,01R,08:32,2026-07-30T08:22:27.088245+09:00,6.8,4.1,5.3,6.6,12.7,21.6,59.5,79.3,119.0,178.5,11.9,79.3,26.4,64.9,54.9,17.4,34.0,28.5,32.4,51.0,42.0,142.8,178.5,39.6,79.3,71.4,357.0,238.0,357.0,714.0,3.1,2.5,4.9,4.5,18.4,184.5,61.5,36.9,0.0,30.7,46.1,46.1,61.5,92.2,0.0
202607302301,2026-07-30,23,01R,08:39,2026-07-30T08:31:09.827437+09:00,3.5,8.9,6.4,5.2,4.2,29.2,467.2,116.8,155.7,93.4,46.7,66.7,0.0,467.2,0.0,22.2,77.8,0.0,38.9,93.4,20.3,116.8,233.6,51.9,38.9,35.9,77.8,467.2,233.6,155.7,3.0,3.3,4.3,6.7,9.2,0.0,18.5,0.0,74.2,37.1,74.2,74.2,18.5,24.7,74.2
202607301801,2026-07-30,18,01R,08:46,2026-07-30T08:36:24.107821+09:00,2.0,10.3,4.8,7.1,142.1,21.0,94.7,43.7,113.7,284.2,43.7,81.2,113.7,189.5,568.5,11.1,56.8,63.1,25.8,142.1,27.0,189.5,284.2,29.9,113.7,568.5,0.0,0.0,568.5,0.0,1.4,4.5,7.1,7.1,0.0,10.4,52.1,104.2,0.0,208.5,0.0,0.0,208.5,208.5,0.0
202607301002,2026-07-30,10,02R,08:59,2026-07-30T08:51:01.773503+09:00,2.4,18.5,13.1,35.0,157.8,4.5,11.2,10.1,24.2,63.1,28.7,39.4,52.6,105.2,0.0,15.7,21.0,45.1,63.1,315.7,105.2,157.8,315.7,78.9,63.1,315.7,157.8,315.7,0.0,0.0,1.5,13.6,5.2,22.7,68.2,11.3,6.8,22.7,0.0,34.1,0.0,0.0,22.7,68.2,0.0
202607302302,2026-07-30,23,02R,09:05,2026-07-30T08:56:23.344452+09:00,1.5,16.5,11.3,45.5,13.5,24.3,52.0,33.1,182.2,36.4,30.3,30.3,60.7,121.5,182.2,60.7,40.5,60.7,121.5,121.5,364.5,0.0,0.0,0.0,72.9,18.2,26.0,91.1,40.5,182.2,1.0,8.9,16.6,116.2,38.7,116.2,38.7,0.0,116.2,116.2,116.2,0.0,116.2,116.2,0.0
202607301802,2026-07-30,18,02R,09:12,2026-07-30T09:02:26.734673+09:00,18.3,11.1,1.6,13.5,7.3,64.1,85.5,25.6,85.5,128.2,85.5,64.1,256.5,256.5,256.5,18.3,51.3,64.1,42.7,36.6,64.1,256.5,256.5,256.5,36.6,64.1,128.2,85.5,85.5,256.5,9.0,6.7,1.9,9.0,4.5,0.0,27.0,0.0,0.0,13.5,0.0,0.0,27.0,27.0,27.0
202607301003,2026-07-30,10,03R,09:24,2026-07-30T09:14:34.097140+09:00,4.8,3.0,13.4,12.6,9.1,80.8,80.8,57.7,134.7,134.7,23.7,57.7,50.5,202.1,134.7,6.6,17.5,134.7,101.0,17.5,80.8,101.0,202.1,67.3,67.3,101.0,101.0,404.2,33.6,0.0,3.0,1.8,4.9,84.7,12.1,28.2,28.2,0.0,0.0,21.1,0.0,0.0,42.3,84.7,0.0
