記録日,場コード,モーター番号,節,節最終日,走行日,日次,走,級別,グレード分類,進入,着順,生得点,セルμ,セルσ,残差z,減衰重み
2026-08-25,01,11,0,2026-08-16,2026-08-11,1,2,B2,全,6,5,25,13.9761,27.2611,0.404384,0.850667
2026-08-25,01,11,0,2026-08-16,2026-08-12,2,2,B2,全,3,5,25,43.9802,45.1338,-0.420531,0.860551
2026-08-25,01,11,0,2026-08-16,2026-08-13,3,1,B2,全,6,6,0,13.9761,27.2611,-0.512674,0.870551
2026-08-25,01,11,0,2026-08-16,2026-08-13,3,2,B2,全,4,5,25,34.5335,39.5254,-0.241199,0.870551
2026-08-25,01,11,0,2026-08-16,2026-08-14,4,1,B2,全,1,6,0,80.0,46.802,-1.709329,0.880666
2026-08-25,01,11,0,2026-08-16,2026-08-15,5,1,B2,全,3,2,100,43.9802,45.1338,1.241194,0.890899
2026-08-25,01,11,0,2026-08-16,2026-08-15,5,2,B2,全,5,2,100,29.9509,37.4493,1.870503,0.890899
2026-08-25,01,11,1,2026-08-05,2026-07-31,1,1,A2,G2_G3_一般,5,3,45,34.6041,22.3053,0.466075,0.749154
2026-08-25,01,11,1,2026-08-05,2026-07-31,1,2,A2,G2_G3_一般,2,3,45,45.2912,23.4355,-0.012426,0.749154
2026-08-25,01,11,1,2026-08-05,2026-08-01,2,1,A2,G2_G3_一般,1,1,75,61.7774,20.5266,0.644168,0.757858
2026-08-25,01,11,1,2026-08-05,2026-08-01,2,2,A2,G2_G3_一般,3,2,60,43.9418,25.3495,0.633472,0.757858
2026-08-25,01,11,1,2026-08-05,2026-08-02,3,2,A2,G2_G3_一般,5,1,75,34.6041,22.3053,1.811049,0.766664
2026-08-25,01,11,1,2026-08-05,2026-08-03,4,1,A2,G2_G3_一般,6,6,0,26.0245,22.1916,-1.172722,0.775572
2026-08-25,01,11,1,2026-08-05,2026-08-03,4,2,A2,G2_G3_一般,3,5,15,43.9418,25.3495,-1.141711,0.775572
2026-08-25,01,11,1,2026-08-05,2026-08-04,5,2,A2,G2_G3_一般,5,4,30,34.6041,22.3053,-0.206411,0.784584
2026-08-25,01,11,2,2026-07-27,2026-07-23,1,1,A2,G2_G3_一般,4,3,45,39.7342,23.7179,0.222018,0.68302
2026-08-25,01,11,2,2026-07-27,2026-07-23,1,2,A2,G2_G3_一般,1,1,75,61.7774,20.5266,0.644168,0.68302
2026-08-25,01,11,2,2026-07-27,2026-07-24,2,1,A2,G2_G3_一般,2,1,75,45.2912,23.4355,1.267685,0.690956
2026-08-25,01,11,2,2026-07-27,2026-07-24,2,2,A2,G2_G3_一般,3,1,75,43.9418,25.3495,1.2252,0.690956
2026-08-25,01,11,2,2026-07-27,2026-07-25,3,1,A2,G2_G3_一般,6,5,15,26.0245,22.1916,-0.496789,0.698985
2026-08-25,01,11,2,2026-07-27,2026-07-25,3,2,A2,G2_G3_一般,5,3,45,34.6041,22.3053,0.466075,0.698985
2026-08-25,01,11,2,2026-07-27,2026-07-26,4,1,A2,G2_G3_一般,6,4,30,26.0245,22.1916,0.179144,0.707107
2026-08-25,01,11,2,2026-07-27,2026-07-26,4,2,A2,G2_G3_一般,2,5,15,45.2912,23.4355,-1.292538,0.707107
2026-08-25,01,11,3,2026-07-19,2026-07-14,1,1,A1,G2_G3_一般,5,2,40,27.4707,16.4431,0.76198,0.615572
2026-08-25,01,11,3,2026-07-19,2026-07-14,1,2,A1,G2_G3_一般,1,1,50,44.5245,12.0334,0.455026,0.615572
2026-08-25,01,11,3,2026-07-19,2026-07-15,2,1,A1,G2_G3_一般,6,2,40,21.8233,16.3896,1.109037,0.622725
2026-08-25,01,11,3,2026-07-19,2026-07-15,2,2,A1,G2_G3_一般,3,1,50,32.0963,17.5109,1.022435,0.622725
2026-08-25,01,11,3,2026-07-19,2026-07-16,3,2,A1,G2_G3_一般,3,1,50,32.0963,17.5109,1.022435,0.629961
2026-08-25,01,11,3,2026-07-19,2026-07-17,4,1,A1,G2_G3_一般,2,2,40,33.5363,16.2999,0.396546,0.63728
2026-08-25,01,11,3,2026-07-19,2026-07-18,5,1,A1,G2_G3_一般,6,3,30,21.8233,16.3896,0.498894,0.644685
2026-08-25,01,11,3,2026-07-19,2026-07-18,5,2,A1,G2_G3_一般,1,1,50,44.5245,12.0334,0.455026,0.644685
2026-08-25,01,11,4,2026-06-30,2026-06-25,1,2,A2,G2_G3_一般,1,3,45,61.7774,20.5266,-0.817348,0.494257
2026-08-25,01,11,4,2026-06-30,2026-06-26,2,1,A2,G2_G3_一般,2,4,30,45.2912,23.4355,-0.652482,0.5
2026-08-25,01,11,4,2026-06-30,2026-06-26,2,2,A2,G2_G3_一般,6,6,0,26.0245,22.1916,-1.172722,0.5
2026-08-25,01,11,4,2026-06-30,2026-06-27,3,1,A2,G2_G3_一般,4,5,15,39.7342,23.7179,-1.042851,0.50581
2026-08-25,01,11,4,2026-06-30,2026-06-28,4,1,A2,G2_G3_一般,3,4,30,43.9418,25.3495,-0.549983,0.511687
2026-08-25,01,11,4,2026-06-30,2026-06-28,4,2,A2,G2_G3_一般,5,3,45,34.6041,22.3053,0.466075,0.511687
2026-08-25,01,11,4,2026-06-30,2026-06-29,5,1,A2,G2_G3_一般,6,4,30,26.0245,22.1916,0.179144,0.517632
2026-08-25,01,11,5,2026-06-18,2026-06-18,1,1,A1,G2_G3_一般,3,2,40,32.0963,17.5109,0.451361,0.455861
2026-08-25,01,11,5,2026-06-18,2026-06-18,1,2,A1,G2_G3_一般,1,3,30,44.5245,12.0334,-1.207015,0.455861
2026-08-25,01,11,5,2026-06-18,2026-06-18,2,1,A1,G2_G3_一般,3,1,50,32.0963,17.5109,1.022435,0.455861
2026-08-25,01,11,5,2026-06-18,2026-06-18,2,2,A1,G2_G3_一般,2,4,20,33.5363,16.2999,-0.830456,0.455861
2026-08-25,01,11,5,2026-06-18,2026-06-18,3,1,A1,G2_G3_一般,2,2,40,33.5363,16.2999,0.396546,0.455861
2026-08-25,01,11,5,2026-06-18,2026-06-18,4,1,A1,G2_G3_一般,1,1,50,44.5245,12.0334,0.455026,0.455861
2026-08-25,01,11,5,2026-06-18,2026-06-18,4,2,A1,G2_G3_一般,3,5,10,32.0963,17.5109,-1.261861,0.455861
2026-08-25,01,12,0,2026-08-16,2026-08-11,1,1,B1,全,1,1,100,69.8051,32.8965,0.917877,0.850667
2026-08-25,01,12,0,2026-08-16,2026-08-11,1,2,B1,全,5,5,20,35.7689,30.1501,-0.523013,0.850667
2026-08-25,01,12,0,2026-08-16,2026-08-12,2,2,B1,全,6,6,0,25.0893,25.8447,-0.970771,0.860551
2026-08-25,01,12,0,2026-08-16,2026-08-13,3,2,B1,全,4,4,40,40.2255,32.1703,-0.007011,0.870551
2026-08-25,01,12,0,2026-08-16,2026-08-14,4,1,B1,全,3,3,60,45.1319,33.2984,0.446511,0.880666
2026-08-25,01,12,0,2026-08-16,2026-08-14,4,2,B1,全,2,2,80,47.1708,32.6512,1.005452,0.880666
2026-08-25,01,12,0,2026-08-16,2026-08-15,5,1,B1,全,5,4,40,35.7689,30.1501,0.140334,0.890899
2026-08-25,01,12,0,2026-08-16,2026-08-15,5,2,B1,全,4,1,100,40.2255,32.1703,1.858064,0.890899
2026-08-25,01,12,1,2026-08-05,2026-07-31,1,1,B1,全,5,3,60,35.7689,30.1501,0.803681,0.749154
2026-08-25,01,12,1,2026-08-05,2026-07-31,1,2,B1,全,3,3,60,45.1319,33.2984,0.446511,0.749154
2026-08-25,01,12,1,2026-08-05,2026-08-01,2,2,B1,全,6,3,60,25.0893,25.8447,1.350788,0.757858
