記録日,場コード,モーター番号,節,節最終日,走行日,日次,走,級別,グレード分類,進入,着順,生得点,セルμ,セルσ,残差z,減衰重み
2026-08-20,02,1,0,2026-08-17,2026-08-12,1,1,B1,全,6,4,40,25.2276,25.9658,0.568919,0.911722
2026-08-20,02,1,0,2026-08-17,2026-08-13,2,1,B1,全,5,6,0,35.8968,29.9612,-1.198109,0.922316
2026-08-20,02,1,0,2026-08-17,2026-08-13,2,2,B1,全,1,4,40,69.5217,32.9886,-0.894907,0.922316
2026-08-20,02,1,0,2026-08-17,2026-08-14,3,2,B1,全,6,5,20,25.2276,25.9658,-0.201325,0.933033
2026-08-20,02,1,0,2026-08-17,2026-08-15,4,1,B1,全,3,6,0,45.0022,33.3025,-1.351318,0.943874
2026-08-20,02,1,0,2026-08-17,2026-08-15,4,2,B1,全,2,3,60,47.3147,32.3665,0.391927,0.943874
2026-08-20,02,1,0,2026-08-17,2026-08-16,5,1,B1,全,6,5,20,25.2276,25.9658,-0.201325,0.954842
2026-08-20,02,1,0,2026-08-17,2026-08-16,5,2,B1,全,5,4,40,35.8968,29.9612,0.136952,0.954842
2026-08-20,02,1,1,2026-08-09,2026-08-06,1,1,B1,全,6,6,0,25.2276,25.9658,-0.971568,0.850667
2026-08-20,02,1,1,2026-08-09,2026-08-07,2,1,B1,全,1,5,20,69.5217,32.9886,-1.501176,0.860551
2026-08-20,02,1,1,2026-08-09,2026-08-07,2,2,B1,全,3,1,100,45.0022,33.3025,1.651461,0.860551
2026-08-20,02,1,1,2026-08-09,2026-08-08,3,1,B1,全,2,3,60,47.3147,32.3665,0.391927,0.870551
2026-08-20,02,1,1,2026-08-09,2026-08-08,3,2,B1,全,6,6,0,25.2276,25.9658,-0.971568,0.870551
2026-08-20,02,2,0,2026-08-17,2026-08-12,1,1,B1,全,5,6,0,35.8968,29.9612,-1.198109,0.911722
2026-08-20,02,2,0,2026-08-17,2026-08-12,1,2,B1,全,3,5,20,45.0022,33.3025,-0.750762,0.911722
2026-08-20,02,2,0,2026-08-17,2026-08-13,2,2,B1,全,4,3,60,40.2881,32.0806,0.614451,0.922316
2026-08-20,02,2,0,2026-08-17,2026-08-14,3,1,B1,全,2,1,100,47.3147,32.3665,1.627771,0.933033
2026-08-20,02,2,0,2026-08-17,2026-08-14,3,2,B1,全,6,6,0,25.2276,25.9658,-0.971568,0.933033
2026-08-20,02,2,0,2026-08-17,2026-08-15,4,1,B1,全,1,4,40,69.5217,32.9886,-0.894907,0.943874
2026-08-20,02,2,0,2026-08-17,2026-08-16,5,1,B1,全,5,3,60,35.8968,29.9612,0.804482,0.954842
2026-08-20,02,2,0,2026-08-17,2026-08-16,5,2,B1,全,2,4,40,47.3147,32.3665,-0.225995,0.954842
2026-08-20,02,3,0,2026-08-17,2026-08-12,1,1,B1,全,1,1,100,69.5217,32.9886,0.923902,0.911722
2026-08-20,02,3,0,2026-08-17,2026-08-12,1,2,B1,全,4,3,60,40.2881,32.0806,0.614451,0.911722
2026-08-20,02,3,0,2026-08-17,2026-08-13,2,1,B1,全,5,4,40,35.8968,29.9612,0.136952,0.922316
2026-08-20,02,3,0,2026-08-17,2026-08-14,3,1,B1,全,3,5,20,45.0022,33.3025,-0.750762,0.933033
2026-08-20,02,3,0,2026-08-17,2026-08-14,3,2,B1,全,2,3,60,47.3147,32.3665,0.391927,0.933033
2026-08-20,02,3,0,2026-08-17,2026-08-15,4,1,B1,全,6,5,20,25.2276,25.9658,-0.201325,0.943874
2026-08-20,02,3,0,2026-08-17,2026-08-16,5,1,B1,全,1,1,100,69.5217,32.9886,0.923902,0.954842
2026-08-20,02,3,0,2026-08-17,2026-08-16,5,2,B1,全,5,2,80,35.8968,29.9612,1.472013,0.954842
2026-08-20,02,3,1,2026-08-09,2026-08-06,1,1,A1,G2_G3_一般,1,1,50,44.5558,11.7661,0.462706,0.850667
