記録日,場コード,モーター番号,節,節最終日,走行日,日次,走,級別,グレード分類,進入,着順,生得点,セルμ,セルσ,残差z,減衰重み
2026-08-28,01,11,0,2026-08-27,2026-08-25,1,2,A1,SG_G1,6,4,40,30.795,27.546,0.334169,0.965936
2026-08-28,01,11,0,2026-08-27,2026-08-26,2,1,A1,SG_G1,5,1,100,42.1849,29.6523,1.949768,0.97716
2026-08-28,01,11,0,2026-08-27,2026-08-26,2,2,A1,SG_G1,2,5,20,50.0877,36.2979,-0.828911,0.97716
2026-08-28,01,11,1,2026-08-16,2026-08-11,1,2,B2,全,6,5,25,13.7352,26.9447,0.418069,0.82169
2026-08-28,01,11,1,2026-08-16,2026-08-12,2,2,B2,全,3,5,25,43.9944,44.0079,-0.431613,0.831238
2026-08-28,01,11,1,2026-08-16,2026-08-13,3,1,B2,全,6,6,0,13.7352,26.9447,-0.509756,0.840896
2026-08-28,01,11,1,2026-08-16,2026-08-13,3,2,B2,全,4,5,25,33.7022,38.6645,-0.22507,0.840896
2026-08-28,01,11,1,2026-08-16,2026-08-14,4,1,B2,全,1,6,0,79.6218,46.6264,-1.707658,0.850667
2026-08-28,01,11,1,2026-08-16,2026-08-15,5,1,B2,全,3,2,100,43.9944,44.0079,1.272625,0.860551
2026-08-28,01,11,1,2026-08-16,2026-08-15,5,2,B2,全,5,2,100,29.4715,36.9894,1.90672,0.860551
2026-08-28,01,11,2,2026-08-05,2026-07-31,1,1,A2,G2_G3_一般,5,3,45,34.4482,22.2747,0.473712,0.723635
2026-08-28,01,11,2,2026-08-05,2026-07-31,1,2,A2,G2_G3_一般,2,3,45,45.0675,23.9232,-0.002822,0.723635
2026-08-28,01,11,2,2026-08-05,2026-08-01,2,1,A2,G2_G3_一般,1,1,75,61.8497,20.6182,0.637801,0.732043
2026-08-28,01,11,2,2026-08-05,2026-08-01,2,2,A2,G2_G3_一般,3,2,60,43.9987,25.1654,0.635845,0.732043
2026-08-28,01,11,2,2026-08-05,2026-08-02,3,2,A2,G2_G3_一般,5,1,75,34.4482,22.2747,1.820532,0.740549
2026-08-28,01,11,2,2026-08-05,2026-08-03,4,1,A2,G2_G3_一般,6,6,0,26.1786,22.3987,-1.168755,0.749154
2026-08-28,01,11,2,2026-08-05,2026-08-03,4,2,A2,G2_G3_一般,3,5,15,43.9987,25.1654,-1.152323,0.749154
2026-08-28,01,11,2,2026-08-05,2026-08-04,5,2,A2,G2_G3_一般,5,4,30,34.4482,22.2747,-0.199698,0.757858
2026-08-28,01,11,3,2026-07-27,2026-07-23,1,1,A2,G2_G3_一般,4,3,45,39.8171,23.7344,0.21837,0.659754
2026-08-28,01,11,3,2026-07-27,2026-07-23,1,2,A2,G2_G3_一般,1,1,75,61.8497,20.6182,0.637801,0.659754
2026-08-28,01,11,3,2026-07-27,2026-07-24,2,1,A2,G2_G3_一般,2,1,75,45.0675,23.9232,1.251193,0.66742
2026-08-28,01,11,3,2026-07-27,2026-07-24,2,2,A2,G2_G3_一般,3,1,75,43.9987,25.1654,1.231901,0.66742
2026-08-28,01,11,3,2026-07-27,2026-07-25,3,1,A2,G2_G3_一般,6,5,15,26.1786,22.3987,-0.499072,0.675175
2026-08-28,01,11,3,2026-07-27,2026-07-25,3,2,A2,G2_G3_一般,5,3,45,34.4482,22.2747,0.473712,0.675175
