レースコード,レース日,レース場,レース回,締切時刻,取得日時,気象観測時刻,風速(m),風向,波の高さ(cm),天候,気温(℃),水温(℃)
202607252309,2026-07-25,23,09R,12:25,2026-07-25T12:16:26.089110+09:00,1153,4.0,1,4.0,1,31.0,31.0
202607251409,2026-07-25,14,09R,12:27,2026-07-25T12:18:21.305691+09:00,1202,2.0,8,2.0,1,31.0,28.0
202607250805,2026-07-25,08,05R,12:32,2026-07-25T12:22:23.809049+09:00,1209,3.0,7,1.0,1,33.0,32.0
202607251704,2026-07-25,17,04R,12:34,2026-07-25T12:24:24.860332+09:00,1205,3.0,5,3.0,1,32.0,29.0
202607250304,2026-07-25,03,04R,12:35,2026-07-25T12:26:24.438205+09:00,1144,3.0,5,5.0,1,32.0,28.0
202607250603,2026-07-25,06,03R,12:40,2026-07-25T12:30:55.262677+09:00,1210,2.0,1,1.0,1,36.0,28.0
202607250205,2026-07-25,02,05R,12:44,2026-07-25T12:34:24.116305+09:00,1217,1.0,1,1.0,1,35.0,32.0
202607252110,2026-07-25,21,10R,12:47,2026-07-25T12:38:23.654406+09:00,1219,4.0,8,4.0,1,32.2,33.7
202607251306,2026-07-25,13,06R,12:51,2026-07-25T12:42:25.732147+09:00,1224,3.0,5,0.0,1,35.2,31.5
202607250403,2026-07-25,04,03R,12:53,2026-07-25T12:44:26.063172+09:00,1226,3.0,4,3.0,1,33.0,28.0
202607250806,2026-07-25,08,06R,12:59,2026-07-25T12:50:25.638339+09:00,1209,3.0,7,1.0,1,33.0,32.0
202607252310,2026-07-25,23,10R,13:00,2026-07-25T12:50:25.638339+09:00,1229,4.0,1,4.0,1,31.0,31.0
202607250305,2026-07-25,03,05R,13:02,2026-07-25T12:52:25.298649+09:00,1238,4.0,6,5.0,1,32.0,28.0
202607251410,2026-07-25,14,10R,13:05,2026-07-25T12:56:20.525961+09:00,1231,3.0,8,3.0,1,31.0,28.0
202607250604,2026-07-25,06,04R,13:09,2026-07-25T13:01:09.652957+09:00,1244,3.0,8,2.0,1,37.0,28.0
202607250206,2026-07-25,02,06R,13:14,2026-07-25T13:04:26.060824+09:00,1247,1.0,1,1.0,1,35.0,32.0
202607251705,2026-07-25,17,05R,13:13,2026-07-25T13:04:26.060824+09:00,1237,1.0,5,1.0,1,32.0,29.0
202607252111,2026-07-25,21,11R,13:18,2026-07-25T13:08:27.587229+09:00,1250,4.0,8,4.0,1,32.4,33.9
202607251307,2026-07-25,13,07R,13:20,2026-07-25T13:10:23.888764+09:00,1254,3.0,6,0.0,1,35.8,31.6
202607250404,2026-07-25,04,04R,13:23,2026-07-25T13:14:21.158371+09:00,1256,4.0,5,3.0,1,34.0,28.0
202607250807,2026-07-25,08,07R,13:28,2026-07-25T13:18:21.272814+09:00,1303,2.0,7,1.0,1,34.0,32.0
202607250306,2026-07-25,03,06R,13:29,2026-07-25T13:20:37.310424+09:00,1305,4.0,6,5.0,1,32.0,28.0
202607252311,2026-07-25,23,11R,13:33,2026-07-25T13:24:25.506981+09:00,1304,4.0,1,4.0,1,31.0,31.0
202607251411,2026-07-25,14,11R,13:35,2026-07-25T13:26:25.294800+09:00,1309,2.0,8,2.0,1,31.0,28.0
