レースコード,予想1着,予想2着,予想3着,予想決まり手,艇1_予想コース,艇2_予想コース,艇3_予想コース,艇4_予想コース,艇5_予想コース,艇6_予想コース,艇1_予想ST,艇2_予想ST,艇3_予想ST,艇4_予想ST,艇5_予想ST,艇6_予想ST
202604072201,2,6,3,,1,3,5,2,4,6,0.102,0.133,0.123,0.149,0.156,0.132
202604072202,6,3,5,,5,1,3,2,4,6,0.125,0.121,0.097,0.175,0.189,0.192
202604072203,3,2,6,,1,2,6,5,3,4,0.152,0.186,0.086,0.151,0.166,0.114
202604072204,4,6,5,,1,3,2,6,5,4,0.112,0.176,0.037,0.202,0.132,0.194
202604072205,4,6,3,,1,5,6,2,3,4,0.143,0.215,0.076,0.076,0.155,0.159
202604072206,5,6,3,,1,3,5,4,6,2,0.054,0.136,0.128,0.117,0.192,0.087
202604072207,3,1,6,,5,4,6,1,2,3,0.151,0.138,0.132,0.119,0.204,0.175
202604072208,6,5,2,,2,4,1,3,5,6,0.126,0.189,0.157,0.089,0.099,0.132
202604072209,5,2,3,,1,5,2,3,6,4,0.043,0.197,0.081,0.093,0.187,0.096
202604072210,5,1,3,,3,5,4,2,6,1,0.062,0.123,0.055,0.102,0.11,0.127
202604072211,5,6,2,,1,5,3,2,6,4,0.092,0.122,0.13,0.159,0.113,0.171
202604072212,5,1,3,,5,4,3,1,6,2,0.197,0.193,0.181,0.144,0.078,0.106
202604072101,2,5,4,,1,6,3,4,5,2,0.041,0.173,0.109,0.128,0.127,0.333
202604072105,4,5,2,,1,4,2,6,5,3,0.146,0.075,0.199,0.078,0.199,0.092
202604072106,6,3,5,,4,3,5,1,2,6,0.126,0.141,0.268,0.048,0.16,0.116
202604072110,6,3,5,,3,1,5,4,2,6,0.151,0.179,0.129,0.088,0.109,0.081
202604072111,5,6,1,,5,3,2,1,6,4,0.156,0.138,0.077,0.171,0.217,0.178
202604072112,5,2,3,,3,5,4,2,6,1,0.159,0.18,0.131,0.119,0.062,0.154
202604071701,6,2,3,,2,5,4,1,3,6,0.014,-0.028,0.008,-0.088,-0.011,-0.016
202604071702,3,2,4,,2,5,6,3,4,1,-0.119,0.016,-0.032,-0.055,0.012,-0.023
202604071703,2,3,5,,1,6,5,2,4,3,-0.035,0.002,-0.037,-0.1,-0.015,-0.051
202604071704,4,6,1,,2,3,1,6,4,5,0.059,-0.044,0.029,0.019,0.035,0.031
202604071705,3,6,4,,4,2,6,3,1,5,-0.03,0.026,-0.011,-0.009,-0.004,0.002
