集計月,n,PL_logloss,ブレンド_logloss,改善nat,95%CI下限,95%CI上限
2026-08,2639,4.0481,3.9170,+0.1311,+0.1091,+0.1530
累計,2639,4.0481,3.9170,+0.1311,+0.1091,+0.1530
