行種別,クラス,切片,w1_級別,w1_F本数,w1_全国勝率,w1_当地勝率,w1_全国2連対率,w1_モーター2連対率,w1_ボート2連対率,w1_全国平均ST,w2_級別,w2_F本数,w2_全国勝率,w2_当地勝率,w2_全国2連対率,w2_モーター2連対率,w2_ボート2連対率,w2_全国平均ST,w3_級別,w3_F本数,w3_全国勝率,w3_当地勝率,w3_全国2連対率,w3_モーター2連対率,w3_ボート2連対率,w3_全国平均ST,w4_級別,w4_F本数,w4_全国勝率,w4_当地勝率,w4_全国2連対率,w4_モーター2連対率,w4_ボート2連対率,w4_全国平均ST,w5_級別,w5_F本数,w5_全国勝率,w5_当地勝率,w5_全国2連対率,w5_モーター2連対率,w5_ボート2連対率,w5_全国平均ST,w6_級別,w6_F本数,w6_全国勝率,w6_当地勝率,w6_全国2連対率,w6_モーター2連対率,w6_ボート2連対率,w6_全国平均ST,レース回,場_01,場_02,場_03,場_04,場_05,場_06,場_07,場_08,場_09,場_10,場_11,場_12,場_13,場_14,場_15,場_16,場_17,場_18,場_19,場_20,場_21,場_22,場_23,場_24
coef,まくり_3,2.00984,-0.00432741,0.0139051,-0.0405495,-0.0405041,-0.0465861,0.00167457,-0.0146887,0.0217108,7.07132e-05,0.0097377,-0.0199537,-0.01761,-0.0506193,-0.0463781,0.0157036,0.0863925,0.0625548,-0.0378042,0.111053,0.0196357,0.208628,0.118539,0.0405605,-0.0535417,0.0150699,0.0366858,-0.0807146,-0.0198343,-0.0333193,-0.0272666,-0.0263384,0.0109251,0.00384411,0.0191729,-0.0358087,-0.00463958,0.0147296,-0.0320514,-0.0008697,0.0581209,-0.0490479,-0.0134189,-0.0553173,0.00467344,-0.0297851,0.00249959,-0.0148548,0.00871826,0.0149269,-0.0299098,0.106041,0.00759625,0.0618092,0.0146666,-0.0470706,-0.087914,-0.027159,-0.0431041,0.00500749,0.0439617,0.0184117,-0.0320349,0.0503879,-0.040491,-0.0475727,0.0566063,0.0294299,-0.0551394,0.00959031,0.0126838,0.102814,-0.0487474,-0.0328279
coef,まくり_4,1.95858,0.00343308,0.0292215,0.0175047,-0.00145426,0.010131,0.00740754,0.0215121,0.0137907,0.0124928,0.0193195,-0.0771229,-0.0411802,0.00474169,-0.0148422,0.00489323,0.0516966,0.039774,0.0297515,-0.159815,0.00659287,-0.0831551,-0.0640525,-0.0171624,0.0842495,0.0873557,-0.0695775,0.135342,0.0423832,0.191421,0.129197,0.00381183,-0.13339,0.0298958,-0.0359112,-0.0284236,-0.0161241,-0.0766301,-0.0472878,-0.00907448,0.0383747,-0.0493699,-0.00308104,-0.0425973,-0.0575447,-0.0112909,-0.0150494,-0.0161892,0.0239217,-0.021198,0.0551673,0.0574647,0.042003,-0.023798,0.0402075,-0.0499916,0.035478,0.0428273,-0.0115764,-0.0720074,-0.0510294,0.0181262,0.0223759,0.0208249,-0.0327634,-0.0320477,0.0514595,-0.0165203,-0.0282225,-0.0565908,0.0565707,-0.00355511,-0.0619245,-0.00318772
coef,まくり_5,0.671137,0.00514223,0.00368682,0.0291588,-0.0222577,0.0142479,-0.0080873,-0.0267779,0.0160135,-0.0691012,0.0169785,-0.0528819,-0.000873261,-0.00484962,-0.0318971,0.000982869,0.040568,-0.0388121,-0.0151747,-0.0501039,6.748e-05,-0.0649903,-0.0272282,-0.00236865,0.0749796,-0.00527991,0.013148,-0.112101,-0.00879487,-0.113793,-0.0581389,-0.0231297,0.0772813,0.120292,-0.0528402,0.0859103,0.0999995,0.157388,0.0857708,-0.0120749,-0.19076,0.0137336,0.00465117,-0.0226024,-0.0312899,-0.0248264,-0.0412331,0.0105512,0.00396943,-0.0579973,0.0605318,0.0542579,0.0607496,0.031141,0.0529464,-0.0671855,0.00559397,0.0204469,-0.0193362,-0.0758588,0.0202564,-0.00901999,-0.00376431,0.0203292,-0.0224742,3.40968e-05,0.0228548,-0.0441638,-0.0422651,-0.0571805,0.0715555,-0.0156155,0.00259592,-0.0534185
coef,まくり_6,-0.0195631,0.0767685,0.052953,0.045816,-0.0326764,0.00768409,-0.0415808,0.00729804,-0.0223572,0.030203,0.0296088,-0.047439,-0.078129,-0.0218509,-0.0169067,0.0591654,0.0110375,-0.0195204,0.0165183,-0.0646356,-0.108416,-0.0785321,-0.0172116,-0.0147152,0.0275263,-0.00665595,-0.000431331,-0.0709654,-0.00637359,-0.0507935,-0.0690903,0.0382492,0.11376,-0.0498538,0.0706016,-0.0256439,-0.00638277,-0.0821974,-0.0813277,-0.041645,0.154677,0.141533,-0.120786,0.172258,0.0279924,0.206457,0.0834063,-0.0296146,-0.0949326,0.0185141,-0.0261345,0.0584297,-0.0616431,0.071586,0.0663379,-0.0322311,0.0481488,0.0402878,-0.0155518,-0.0113145,-0.0535383,-0.0290596,-0.0476389,-0.0135239,0.019616,0.0218344,-0.00566229,-0.0873851,0.0544968,-0.0142099,0.0181124,-0.00518052,0.0116552,-0.00682488
coef,まくり差し_3,1.92626,0.0393025,-0.000604787,-0.0411593,-0.0101526,0.0821166,0.00117532,-0.0202579,-0.0373549,-0.00233214,0.00755131,-0.109751,-0.00141689,-0.144192,-0.0287572,-0.0180113,-0.00313745,0.167418,-0.0293484,0.278298,0.011935,0.083741,0.0842946,0.0192948,-0.121785,-0.0514701,0.0364934,-0.0321454,0.0159057,-0.0214747,-0.0120087,-0.0328728,0.00844538,-0.048861,0.0267485,-0.0420224,0.0425076,-0.0255632,-0.00849404,0.0113181,0.0201833,-0.0360811,0.00399261,-0.0682509,-0.00351171,-0.0344948,-0.0258652,0.00286321,0.0175685,-0.0375925,-0.0166983,-0.0546268,-0.0350269,-0.0343955,-0.00281339,0.014909,-0.0133556,-0.0487969,0.024795,0.00290822,0.0478534,-0.0226525,0.0337647,0.0388656,0.0590827,0.0745803,0.0296475,-0.0196915,0.0514912,-0.0211275,-0.0403924,-0.0689473,-0.0408104,0.0314887
coef,まくり差し_4,1.39019,-0.0473369,0.0149854,0.0244479,0.0135341,0.0356529,0.0131719,-0.0240626,-0.0317902,-0.057111,0.0458522,-0.100093,-0.0275641,-0.0328355,-0.00760326,-0.0422079,0.0912598,-0.03152,0.0647622,-0.0482398,0.00478302,-0.0717564,0.0234962,-0.0157408,0.0144385,0.102457,-0.0608622,0.185305,0.0930204,0.112423,0.0525683,-0.0128939,-0.142371,-0.038202,0.00414228,-0.00609914,0.00799699,-0.0330323,-0.0481578,-0.0416177,-0.0037899,-0.0250999,-0.0129895,-0.0283858,-0.0530694,-0.0614847,-0.0123574,-0.0105031,0.00611628,0.015217,0.00893353,-0.0169887,-0.0548547,-0.0102391,-0.00725265,-0.0181749,-0.00251804,-0.00518664,0.0191443,0.020286,0.049862,0.00539021,0.0401639,0.0269969,0.000180838,0.031608,0.022916,0.00349767,0.0593065,-0.0394706,-0.0563044,-0.0698509,-0.0278663,0.00885451
coef,まくり差し_5,1.60901,-0.0315069,-0.0189768,0.00423262,0.0164777,0.0715779,0.0337455,-0.000980487,0.00155353,-0.0363579,0.0107314,-0.0298246,-0.0474263,-0.0515494,-0.0221702,-0.00277287,0.0579402,-0.0286266,0.0737087,-0.0866276,-0.00422525,-0.0497598,-0.0625706,0.0151599,0.0800511,-0.0138012,0.035492,-0.0615692,-0.0155781,0.00342563,-0.0123278,-0.0238624,0.00174204,0.156774,-0.00919435,0.178932,0.0356132,0.178575,0.110231,-0.00571407,-0.232142,-0.083012,-0.00828499,0.00942888,-0.0134941,0.00566555,0.00358194,-0.0229515,0.00607463,-0.0209467,0.0210714,0.00134178,-0.078256,-0.0209754,-0.00503434,0.00822143,0.0549906,-0.000414735,0.0221769,-0.0326048,0.0346862,0.0106903,0.00804484,0.0343268,-0.0177198,0.0354396,0.0518241,-0.0614502,-0.0275184,-0.0224952,0.0323229,-0.0897775,-0.0171515,0.0477788
coef,まくり差し_6,0.366732,0.0268709,0.00431384,-0.0156182,-0.00287915,0.0314548,-0.0211256,0.0320504,-0.0383615,-0.0163024,0.0528963,-0.0676493,-0.00906747,-0.0464222,0.0312397,-0.0197536,0.0497997,-0.0497403,0.038498,-0.0887325,-0.0228031,-0.0179114,-0.0452338,0.00534491,0.0555607,-0.0518364,0.0640854,-0.0915957,-5.80535e-05,-0.0136201,-0.035473,0.0234313,0.0254343,-0.0323912,-0.0208641,-0.00262036,-0.109321,0.0128346,0.0091092,-0.0122264,0.0816623,0.141456,-0.0343711,0.214098,0.0882373,0.224856,0.0243205,-0.016652,-0.0869235,-0.00334366,0.0670842,-0.0274355,-0.0234798,-0.0609985,0.0313536,0.0419011,0.0708626,0.0471807,0.0101103,-0.0696991,0.0343648,-0.0125951,0.0106146,-0.0678509,0.0194716,0.0028149,-0.00712478,-0.0642569,0.0105288,-0.0185723,0.0534372,-0.135418,0.0152236,0.0484843
coef,差し_2,2.47282,-0.0383413,-0.0440563,7.97261e-05,0.0104688,-0.0143766,-0.018174,0.00777424,-0.009446,0.0952764,-0.0389375,0.346966,0.0600693,0.0757965,0.102626,-0.00531806,-0.0606761,-0.0167418,-0.0243347,-0.0410403,-0.0406171,-0.0328381,-0.0375997,0.00231167,-0.0382945,-0.052697,0.0423372,0.0130376,-0.0299864,-0.0592187,-0.0407015,-0.0178573,0.0287293,-0.0661625,0.0153322,0.000986355,-0.0174944,-0.0500098,-0.0404402,-0.0184978,0.0598612,-0.0571784,0.0182047,-0.0340784,-0.0240458,-0.052212,-0.00119243,-0.0349051,0.0398864,-0.0292052,-0.0782527,-0.0205234,0.00538672,0.0249735,-0.00170326,-0.0665163,-0.0719929,0.00854895,0.026036,0.0408943,0.0103638,0.0142049,0.0220538,0.015448,0.000264249,-0.000130058,-0.0105882,0.0425268,-0.0160835,0.0261049,-0.043735,0.0396018,0.00161903,0.0418271
coef,差し_3,0.803139,-0.110697,0.0611222,-0.0669674,-0.0333293,-0.0187223,-0.0271626,-0.0914885,0.102926,-0.0266083,-0.00410439,-0.00422371,-0.00208373,0.0442123,0.0269159,-0.0235306,0.0168859,0.115467,-0.0572063,0.233196,-0.000568616,0.12458,0.061924,0.0163438,-0.0633965,-0.013769,0.036358,-0.0293349,0.00994477,-0.0257756,-0.0188382,-0.00866228,0.0548508,0.0312764,0.0133898,-0.0202446,-0.0471656,-0.010029,-0.00439776,0.0213418,0.0553736,0.00692024,-0.0443489,-0.0677588,0.022188,-0.0760233,-0.056639,-0.0196132,0.050446,-0.00629225,-0.0208539,-0.0520601,-0.0316626,0.0448841,-0.00455475,0.0105739,-0.0401636,-0.0111193,-0.0252799,0.0126541,0.0402601,-0.02782,-0.0154105,-0.00856132,-0.0149151,0.0563616,0.018022,0.0490063,0.00827482,-0.0192727,-0.0238229,0.0303883,0.0435131,-0.0163647
coef,差し_4,0.947465,-0.00253124,0.0294617,-0.0559916,0.0394473,-0.0602484,-0.0736596,0.0447222,0.0296762,-0.0749032,-0.00383991,-0.0938612,0.0446163,-0.0199475,0.0284552,-0.0436139,-0.000372778,0.00653972,-0.0797976,-0.0460288,-0.0320628,0.0662934,0.0382053,-0.0184839,-0.0186457,0.182653,-0.00411339,0.177108,0.0412313,0.0688098,0.0812605,-0.00673294,-0.120297,0.0117191,-0.000345589,-0.042469,-0.0105524,-0.0216476,0.017456,0.0396431,0.00864156,-0.0953652,0.00140329,-0.0455858,0.0271135,-0.108933,-0.0294391,-0.0207394,0.0344101,-0.0696951,-0.068772,0.0229801,-0.0210145,0.0892528,0.00557879,-0.0285603,-0.0776308,-0.0201602,0.0417793,0.0189409,0.0115446,0.0274311,-0.00809926,-0.00988561,0.0185386,0.0331521,-0.0138972,0.0396115,-0.0527216,0.0489767,-0.0256552,-0.052244,0.0133741,0.0141564
coef,差し_5,-0.39786,0.0201663,0.0329391,-0.0568734,0.0154543,-0.0486091,-0.0123948,0.0455404,0.0977092,-0.0377673,0.0585337,-0.0210621,-0.026911,-0.0130429,0.0294067,0.0164242,0.0502148,-0.0218109,0.0475667,-0.0567676,0.00543494,-0.0633607,-0.10989,-0.0602523,0.0443713,-0.00446763,-0.0298783,-0.0465914,-0.043358,-0.0109401,0.016564,0.0101307,-0.0356192,0.0873109,-0.0578301,0.141488,0.0735134,0.116764,0.0485799,-0.00120266,-0.111573,0.0110639,0.0585902,0.00567674,-0.0610447,0.0149481,0.0292762,0.0493167,0.0299558,0.0264892,-0.0497303,0.0297984,-0.0126744,0.07131,-0.0364855,0.0494297,-0.0220146,-0.0476013,0.0425776,0.045679,0.046682,0.0496074,0.00645008,-0.0461962,0.078845,-0.0353191,-0.0449067,0.0520621,-0.0918437,-0.00918376,-0.00931314,-0.0706044,0.0272457,-0.0226961
coef,差し_6,-1.0801,-0.0238471,0.029396,-0.0221372,-0.0224479,0.00337994,0.049068,0.00129597,-0.0167384,-0.0714311,0.0426622,-0.0527534,-0.0212429,-0.0470953,-0.0254632,0.0458818,0.0935969,0.00839628,-0.0255996,-0.0645221,-0.00240094,-0.0371483,-0.00594373,-0.018546,0.00482543,0.0064535,-0.0132487,-0.00263748,-0.0613533,0.00239165,0.0364935,-0.0113961,0.00909927,-0.0461639,0.0653904,-0.00245468,0.0337327,-0.0154306,0.0542093,-0.00950324,0.0238175,0.116745,0.0581401,0.160657,0.134116,0.168863,0.0338736,-0.00216485,-0.0169257,-0.0382774,0.0605428,0.000861231,0.0905478,-0.0128154,0.0458925,-0.0833911,7.01542e-05,0.015635,0.0173191,0.124949,-0.0179598,-0.0353993,-0.0138988,0.0791067,-0.00342297,0.00707264,-0.0582641,0.00791109,-0.0645462,0.0327333,-0.0326225,-0.0684831,-0.0101982,-0.0786403
