行種別,クラス,切片,c1_級別,c1_F本数,c1_全国勝率,c1_当地勝率,c1_全国2連対率,c1_モーター2連対率,c1_ボート2連対率,c1_全国平均ST,c2_級別,c2_F本数,c2_全国勝率,c2_当地勝率,c2_全国2連対率,c2_モーター2連対率,c2_ボート2連対率,c2_全国平均ST,c3_級別,c3_F本数,c3_全国勝率,c3_当地勝率,c3_全国2連対率,c3_モーター2連対率,c3_ボート2連対率,c3_全国平均ST,c4_級別,c4_F本数,c4_全国勝率,c4_当地勝率,c4_全国2連対率,c4_モーター2連対率,c4_ボート2連対率,c4_全国平均ST,c5_級別,c5_F本数,c5_全国勝率,c5_当地勝率,c5_全国2連対率,c5_モーター2連対率,c5_ボート2連対率,c5_全国平均ST,c6_級別,c6_F本数,c6_全国勝率,c6_当地勝率,c6_全国2連対率,c6_モーター2連対率,c6_ボート2連対率,c6_全国平均ST,c1_スタート展示,c1_展示タイム,c1_チルト,c2_スタート展示,c2_展示タイム,c2_チルト,c3_スタート展示,c3_展示タイム,c3_チルト,c4_スタート展示,c4_展示タイム,c4_チルト,c5_スタート展示,c5_展示タイム,c5_チルト,c6_スタート展示,c6_展示タイム,c6_チルト,枠なり,前付け数,風速,波高,気温,水温,風向sin,風向cos,天候_1,天候_2,天候_3,天候_4,天候_5,レース回,場_01,場_02,場_03,場_04,場_05,場_06,場_07,場_08,場_09,場_10,場_11,場_12,場_13,場_14,場_15,場_16,場_17,場_18,場_19,場_20,場_21,場_22,場_23,場_24
coef,まくり差し_4,1.38995,-0.0392209,0.0136919,0.0126032,0.0103261,0.0181907,0.000334036,-0.033764,-0.0319152,-0.05988,0.0584825,-0.111655,-0.0315313,-0.00973627,-0.000852015,-0.0389151,0.0952347,-0.040417,0.0551601,-0.056291,0.0140394,-0.0796286,0.0154773,-0.00793696,0.0172263,0.123716,-0.0657838,0.261251,0.0908358,0.134233,0.0674067,-0.00189782,-0.0929853,-0.0560186,-0.000844503,0.0129764,0.00540837,-0.0702283,-0.046005,-0.0508032,-0.0130964,-0.0216008,-0.0198508,-0.0477391,-0.0422172,-0.0562751,-0.0300848,-0.0140106,0.0031717,0.0173847,-0.0728791,-0.00355497,0.00835331,0.159324,-0.0550289,0.00994132,-0.0570701,0.0972011,-0.0199685,-0.1852,-0.00891927,-0.00779326,0.00783722,-0.0530701,0.0188737,0.0733737,-0.00442349,0.0355811,0.0374789,0.0362428,0.00841481,0.0361148,0.0119967,-0.0244679,0.00467361,-0.0425981,-0.0100183,0.0444651,0.000217567,0,0.0170751,0.00444815,-0.0204029,-0.0374375,-0.00433979,-0.00975489,-0.0279395,-0.018314,-0.0150594,0.0174768,0.0155409,0.0499017,0.0157757,0.0349354,0.037004,-0.0011491,0.0374774,0.0143961,0.0246,0.0585359,-0.0332309,-0.0609215,-0.0697575,-0.0386402,0.0180838
coef,まくり差し_5,1.61602,-0.0393691,-0.01797,0.00983627,0.00934238,0.0704458,0.0263785,-0.00966382,-0.00466248,-0.0370717,0.00386308,-0.0282085,-0.0539294,-0.0581212,-0.0222314,-0.0119522,0.0578309,-0.0259634,0.0768583,-0.0885482,0.00560683,-0.0625633,-0.0596653,0.00777625,0.0766329,-0.00758789,0.0490919,-0.0938205,-0.0167464,0.00349767,-0.00270044,-0.0166795,-0.010977,0.141709,-0.0199403,0.295123,0.0541807,0.196091,0.0963878,-0.0101743,-0.100847,-0.102802,-0.00954003,0.00575022,-0.0116359,-0.00182157,0.009956,-0.00859948,-0.0136801,0.00594032,0.0303862,0.0477349,0.0351202,0.054062,0.0207809,0.0597356,0.0839687,-0.0178045,0.00725518,0.0448455,-0.0330364,-0.0648248,-0.235904,-0.0434549,0.0317092,0.0311729,-0.0715265,0.10275,-0.0102791,-0.00673559,-0.0207107,0.0435842,-0.0107467,0.0283334,0.0390129,0.0381229,0.0109804,0.0462256,0.0262277,0,-0.0180345,0.0212679,-0.00693609,-0.0527235,-0.0235378,-0.0147761,0.00839731,0.0505534,-0.0024954,0.0143644,-0.0262454,0.0351174,-0.00526332,0.000110032,0.0380695,-0.00931538,0.0345229,0.0497334,-0.0644006,-0.0200935,-0.0159134,0.0345675,-0.0913968,-0.012478,0.0498925
coef,まくり差し_6,0.35557,0.0168443,0.0178982,-0.0202583,-0.0152111,0.0230658,-0.0286788,0.0379799,-0.0400813,-0.0272535,0.0198517,-0.0731087,-0.00320749,-0.0475652,0.0210755,-0.0231442,0.05898,-0.042446,0.0698402,-0.0934187,-0.0310159,-0.00993752,-0.0295026,0.00995081,0.0618536,-0.0565802,0.0765321,-0.10597,0.00307813,-0.0421196,-0.0186214,0.0113137,0.00148547,-0.0533778,-0.0241292,-0.0763944,-0.102894,-0.00151165,-0.00859362,-0.0126611,-0.00617835,0.19673,-0.0514329,0.248515,0.0928686,0.256252,0.0243409,-0.0064187,-0.110626,0.0400075,-0.0844736,-0.0378204,-0.0231674,0.0513248,0.0372058,0.0101506,0.109185,0.0838086,0.0416506,0.0518488,-0.0098224,0.0188644,-0.0422404,0.0167962,-0.025644,-0.190314,0.0755274,-0.0543549,-0.0209039,0.0010328,-0.0271865,0.0169799,-0.0436269,0.0457132,-0.0367256,-0.00564919,-0.00187032,0.0109395,-0.00160308,0,-0.000719675,0.0644542,-0.0296901,-0.0442813,-0.0643297,0.0130924,0.029262,0.0674879,0.0415031,0.00881818,-0.0710922,0.019338,0.0097988,0.0161949,-0.067403,0.0257892,0.00552535,-0.0170494,-0.0423128,0.00949632,-0.00129329,0.0548689,-0.117032,0.019974,0.0445939
coef,差し_2,2.52792,-0.0522421,-0.0471106,-0.00687802,-0.00120065,-0.0256309,-0.0193776,0.00632009,-0.00397526,0.0922451,-0.0461978,0.342622,0.0737727,0.0714325,0.095348,-0.00028463,-0.061811,-0.0125687,-0.0200234,-0.0472878,-0.0388496,-0.0229566,-0.0289778,-0.00870873,-0.0364128,-0.0482868,0.0332578,0.012879,-0.0257121,-0.0637428,-0.0257888,-0.0195295,0.0156266,-0.0491217,0.0230112,-0.0111187,-0.0154563,-0.0429825,-0.0379067,-0.0173598,0.0538387,-0.0552583,0.0174327,-0.0358529,-0.0422424,-0.0311214,-0.000752766,-0.0258928,0.0367807,-0.0319835,0.058489,0.0473926,-0.0146798,-0.221575,0.0404907,0.0156329,0.0193721,-0.0175067,0.00551645,0.0781973,-0.0053433,-0.0872664,0.0918281,0.00550791,0.0460076,0.107552,-8.90033e-05,0.0160919,-0.17998,-0.0440637,0.0164963,-0.0267183,0.0153212,-0.00280631,-0.00323057,-0.0112438,0.0169267,-0.00167502,-0.0262829,0,-0.0314199,-0.0660646,-0.0169457,-0.0449895,0.0177284,0.00887102,-0.0466674,-0.03514,0.021381,0.0326117,0.0544753,0.0108838,0.000279682,0.0290736,0.000938943,0.000290459,-0.00417698,0.00474864,0.0136823,-0.0138624,0.0121463,-0.03279,0.0207239,0.0152947,0.0199619
coef,差し_3,0.833428,-0.11206,0.0621706,-0.0583148,-0.0426767,-0.0221985,-0.0165107,-0.096521,0.105671,-0.0125114,-0.0165057,-0.0332581,0.00896683,0.03468,0.0141489,-0.0333442,0.00753597,0.100658,-0.0689303,0.26864,0.00796366,0.16335,0.0776464,0.00185563,-0.0600904,-0.013308,0.0436017,-0.0311267,0.0172116,-0.0445466,0.00376898,-0.0124431,0.0428678,0.0258121,0.000906586,-0.0408347,-0.0432746,-0.0124601,-0.030391,0.0390056,0.0749552,0.0132936,-0.0208286,-0.0509526,0.00276782,-0.0681409,-0.0639222,-0.00283312,0.0414029,0.0284795,0.140979,0.00506319,-0.015214,-0.134538,0.102399,0.00819268,-0.0842431,-0.0532671,0.0150655,0.0915985,0.00924778,0.0102063,0.0467323,-0.0312696,-0.039373,-0.0177767,-0.0634618,0.013649,-0.0421665,0.0275084,-0.00754883,-0.0394159,0.00526758,-0.0281479,-0.0443771,-0.0367202,-0.0331077,0.021448,-0.021994,0,-0.010207,-0.0223363,-0.0494949,-0.0301388,0.047016,0.00296998,0.0142642,-0.0355892,-0.00997155,-0.0257683,0.0134316,0.0411572,-0.0329745,-0.0205392,-0.00709281,-0.0146278,0.0559148,0.0216265,0.0389115,0.00650288,-0.0206361,-0.0193229,0.0256633,0.0463205,-0.0228232
coef,差し_4,0.962393,-0.00267989,0.0304413,-0.0579124,0.0251816,-0.0658007,-0.0721504,0.041201,0.0340401,-0.0561268,-0.0071781,-0.108741,0.0531751,-0.0314453,0.0300399,-0.0505464,-0.00319007,-0.00241321,-0.0796969,-0.0595858,-0.0458112,0.0645219,0.0551767,-0.0152173,-0.0113315,0.174736,-0.00624777,0.234423,0.0741541,0.102543,0.0761939,-0.000836871,-0.105437,0.0169535,0.0218024,-0.0414255,-0.0248534,-0.0481612,0.0213176,0.014602,0.0205026,-0.119515,-0.00168219,-0.0499102,0.0378986,-0.0866116,-0.0345028,-0.00139617,0.0222923,-0.0128623,0.0811705,-0.0395245,0.0231424,-0.019013,0.0532007,-0.00752368,-0.0288934,0.0573749,-0.0951035,-0.0859539,-0.0328972,-0.0595466,0.10696,0.0126951,0.051653,0.107966,-0.0608402,0.0695551,-0.0878715,0.0153537,-0.00599162,-0.0531537,0.0150082,-0.00799127,0.0664566,0.0078529,0.0531265,0.0320683,0.000168893,0,-0.0740688,-0.0652746,0.0268244,-0.0431396,0.0812678,0.0201159,-0.0135523,-0.0550837,-0.0105541,0.0414866,0.0325482,0.0194228,0.00567448,-0.0113923,-0.0198543,0.0230245,0.0328714,0.00562189,0.00918741,-0.0492999,0.0271358,-0.014689,-0.0676194,0.0247208,0.00309226
coef,差し_5,-0.364825,0.0199776,0.0270779,-0.0560233,0.0230079,-0.0504635,-0.0202718,0.0420571,0.0929687,-0.0191408,0.0592776,-0.0201434,-0.0526037,-0.0128962,0.0275468,0.0235819,0.0568392,-0.0376815,0.0400195,-0.0539689,-0.00877471,-0.0482444,-0.0979501,-0.0536462,0.0262205,-0.00263681,-0.0179306,-0.0623995,-0.0397475,-0.0288081,0.00497903,-0.018963,-0.0199811,0.122203,-0.0500544,0.148104,0.076345,0.127876,0.0505068,0.0240537,-0.121769,-0.0441533,0.0467975,0.00451226,-0.0382044,-0.00134141,0.0367025,0.0434959,0.0398242,0.0853197,0.0329562,-0.0213596,-0.0561874,0.045843,0.0151135,-0.0386994,0.0435885,0.000152327,0.0182431,-0.0643416,0.0626315,0.00125221,-0.0802368,-0.057412,-0.0802712,0.0473312,0.00340093,0.0602503,-0.0114121,0.000844634,0.0238557,-0.00204985,-0.0124591,-0.00276272,-0.129861,0.0156517,-0.0103531,0.0269561,-0.00548809,0,0.0239851,-0.0447289,0.0335204,-0.0115339,0.0686556,-0.0342329,0.0543378,-0.0188616,-0.0472011,0.0402191,0.0460648,0.0488375,0.0509557,0.00430433,-0.0504803,0.0790839,-0.0349658,-0.0470409,0.0419776,-0.0924202,-0.00668009,-0.0105751,-0.0710685,0.0288216,-0.0260868
coef,差し_6,-1.04935,-0.0369656,0.0156979,-0.0317965,-0.0207003,-0.00487682,0.0504004,0.00301386,-0.0140338,-0.0603217,0.0678416,-0.0502644,-0.0328251,-0.0381197,-0.0355255,0.0513873,0.0858892,0.0010154,-0.0122078,-0.0667879,0.025409,-0.0361053,0.00265061,-0.0212369,0.00996855,0.00327712,0.000473714,-0.0205526,-0.0594025,-0.0069038,0.0368091,-0.00302078,0.0198554,-0.0757805,0.0350374,-0.0343791,-0.00543333,-0.0384029,0.0517029,-0.0221266,-0.0308267,0.152036,0.0486289,0.180139,0.142335,0.185019,0.0384825,-0.00210136,-0.0214485,-0.00285232,0.0131035,0.0151532,-0.00520335,0.0529476,-0.0792761,-0.0598902,0.0349259,0.0641854,-0.00584358,0.0184064,-0.0583184,-0.042422,0.0317432,0.00721581,-0.0488619,0.00120841,-0.0689532,0.0126465,0.0200441,-0.0129734,0.0449129,0.00697594,-0.00364286,0.0378825,-0.00565013,-0.0280307,0.0246509,-0.039467,-0.0379092,0,-0.0374677,0.0544703,0.000469987,0.0866088,-0.0227898,0.0493493,-0.0740963,0.0123619,0.0261968,0.0219836,0.129116,-0.0117939,-0.0457423,-0.00951674,0.0702525,-0.00261938,0.00262716,-0.0532762,-0.00706683,-0.0637789,0.022706,-0.0284618,-0.0712476,-0.00443597,-0.0801152
coef,抜き_1,1.46011,0.136018,-0.00327316,0.159525,0.0328865,0.128212,0.10736,-0.019883,-0.000209388,-0.00834678,-0.0408565,-0.0393304,-0.0280714,-0.00633636,-0.0246986,-0.0115133,-0.0105726,-0.0345404,-0.0284198,0.0149146,0.00248696,-0.0223352,-0.00262605,-0.0113824,0.00415663,-0.0324009,0.0138238,-0.0433622,0.0469359,-0.0475181,-0.0114183,0.0365245,0.0536777,0.0471422,-0.0298335,-0.0581556,0.0170324,-0.0271829,-0.0443087,0.00865537,0.017579,-0.0433696,0.0571529,-0.0493263,-0.0339302,-0.0362186,-0.0319476,-0.000599791,0.0123016,-0.0294077,-0.128808,0.0446256,-0.0149316,-0.00263606,0.00123042,0.0267964,0.0201057,-0.0225673,-0.0102141,0.129263,-0.048022,-0.0439949,0.00879865,-0.0136553,0.00908873,0.0503178,0.0128294,0.0309242,-0.118909,0.037297,0.000887011,0.0150428,0.004428,0.0699254,0.00307418,-0.0307199,0.0326782,0.0171348,0.0166105,0,0.0158266,-0.0674667,-0.0807659,0.0164403,-0.0714905,0.0309516,0.0069934,-0.0495947,0.0319719,0.00944781,0.00316136,-0.0172687,-0.0163748,-0.0337702,-0.043781,-0.0252706,0.000773815,0.0172586,0.0410374,0.0523405,-0.0151755,0.0461584,0.0928345,0.0160316,0.0605603
coef,抜き_2,0.526155,-0.135348,0.0156282,-0.0616901,0.0373149,-0.0287169,-0.0406833,-0.0739824,0.0158845,0.169302,-0.00272815,0.191298,0.141956,0.11301,0.0159595,0.0363672,-0.0182152,-0.0385784,-0.0363841,-0.0360513,-0.00936687,0.0120567,0.0349349,-0.0128302,0.0621084,0.0153205,-0.0213797,-0.0633169,0.0282524,-0.0593297,-0.0151302,-0.00216568,5.2826e-05,-0.0651459,0.03033,-0.0416381,-0.0539113,0.0134958,-0.0607866,0.0583012,0.0427635,-0.0504758,0.00273357,-0.0270245,-0.0480309,-0.0566001,0.0228455,-0.0329716,-0.0256878,0.0584859,0.0451112,0.00205055,-0.0913941,-0.121259,-0.0472541,0.0652613,0.0281599,-0.0983788,-0.00523225,0.0387673,0.0487832,-0.0204408,0.0698164,0.00714671,-0.0230976,0.0240582,-0.0546934,0.115544,-0.093077,0.011466,0.00369176,0.00346492,0.0358328,0.000273459,0.0120506,-0.0502159,0.0164162,-0.0346902,-0.0107327,0,0.0167202,-0.0783417,0.0248273,0.101729,-0.0600405,-0.0162474,-0.0215548,-0.0106541,-0.0174333,0.037238,-0.0546565,0.00283181,-0.0216705,0.0191871,-0.0548938,0.0266947,-0.0598405,0.0474723,0.0436286,0.00259064,0.00612084,0.0479201,0.0665582,-0.0050117,-0.017272
coef,抜き_3,0.657674,-0.0302945,-0.0101048,-0.0401394,0.00956799,-0.0877842,-0.0069804,0.0095594,-0.0196219,-0.0308284,0.0342877,-0.0768019,-0.0299991,-0.0432389,-0.101402,-0.0589114,-0.0247392,0.054474,-0.0264522,0.206817,0.0330857,0.168298,0.0831462,-0.0010294,-0.0221072,-0.052505,-0.0388647,0.0384518,-0.0424373,-0.0518308,0.00186317,0.041428,0.0658017,0.00172638,-0.00422242,-0.0348755,-0.0486159,-0.0152926,-0.0418113,-0.0252642,0.0378031,-0.0169647,0.0037944,-0.0260481,-0.00861764,-0.0639522,-0.0115572,-0.0256219,-0.062673,-0.0410575,0.0437769,0.0240961,0.0329061,0.0488529,-0.0355359,-0.0378365,-0.119056,-0.00298883,-0.00341281,0.0490536,0.00145525,-0.0157583,0.103106,-0.0835873,0.0565856,0.00279877,0.0199322,0.0312397,-0.0284188,0.0144879,-0.0355634,0.00167985,0.0150262,-0.0236137,-0.0190215,-0.0473512,1.88232e-05,-0.00027281,0.0417354,0,-0.0146421,-0.0526935,-0.000648003,0.0534931,-0.00721248,-0.0209932,-0.0127419,-0.00920453,-0.00516401,-0.0235928,0.007939,0.00891337,-0.0247694,0.00410247,0.0507993,-0.0689871,-0.0117768,0.0156621,0.0532369,-0.0198128,-0.000819136,0.0305409,0.0732702,0.0148953,-0.0387651
coef,抜き_4,0.028881,0.00383242,-0.0113084,-0.0237601,-0.0862957,-0.0501827,-0.0374147,0.0481197,0.00794102,-0.0738931,0.00240366,-0.0484981,0.00090109,-0.0291404,-0.039434,0.00281548,-0.0331509,-0.0571573,0.0286194,-0.12249,0.0485051,-0.105075,-0.0745262,-0.0109183,-0.0699124,0.140397,-0.00574527,0.205242,0.0184556,0.233653,0.0325809,-0.0262825,-0.0606232,-0.0251023,-0.0615576,-0.017924,0.0222927,-0.0225157,-0.00164249,-0.0439574,0.0249493,-0.0322823,0.0826392,-0.0760465,-0.0172737,-0.0682548,0.0264625,-0.0128529,0.0256312,0.00950108,0.0562358,0.00428932,0.062734,0.0399206,0.00360579,-0.0200323,0.0437352,0.0373491,-0.0449653,-0.145548,0.0106804,0.025638,0.0130071,-0.029483,-0.00518417,0.0106515,0.041498,0.0616499,-0.0319984,-0.0354109,0.00416326,-0.00282743,0.0289163,-8.42983e-05,-0.0226508,0.0110862,-0.0115482,-0.0414963,-0.0564449,0,-0.00193473,0.00284591,-0.0153408,0.0459614,0.0154167,0.00174703,0.016152,-0.0342525,-0.0414874,-0.046908,-0.00735475,-0.0424939,0.00644747,0.0334495,0.0167411,0.0471101,0.0293813,-0.0339077,-0.00786524,-0.0114041,0.0792709,-0.0434844,0.02394,-0.0201584,-0.0114074
coef,抜き_5,-0.200945,0.00233027,-0.0399864,-0.0671846,0.0334865,-0.0404558,-0.00413268,-0.0516134,-0.0664493,-0.0516828,-0.00346673,-0.0376974,-0.0232135,-0.0562079,-0.0174337,0.0209191,0.0468683,-0.0918612,0.0310461,-0.0353468,0.0782209,-0.0270746,-0.0146718,0.018135,0.0817941,-0.0607473,-0.0771948,0.0165264,-0.0516898,-0.0129966,0.0225013,0.0198851,0.0419201,0.153398,0.0139282,0.216044,0.0853541,0.173688,0.0549523,0.0459443,-0.0455538,-0.0282387,-0.0126568,-0.0718093,0.018391,-0.032039,-0.0244481,0.0424251,-0.0790923,0.000639538,0.0348383,-0.00706742,-0.00695993,-0.0170786,0.0493709,-0.0147952,0.038726,0.019095,0.0517909,0.0389825,0.0391396,-0.0260951,-0.0920629,0.0549351,0.101646,0.0155137,-0.0581453,-0.0105123,-0.0433273,-0.0221548,0.0682115,-0.0208148,0.0295021,0.10677,0.0619417,0.00607864,0.0653154,-0.0518655,-0.0138074,0,-0.051516,0.00334973,0.0409907,0.00214143,0.0111492,0.00788834,-0.00763708,0.0579808,-0.0218019,-0.00265174,0.0168327,0.020308,-0.081178,0.00687621,-0.0404001,0.0114806,-0.0562292,-0.0512073,0.00813999,0.0204102,-0.00270372,-0.0165987,0.0527583,-0.0184047,0.0391555
coef,抜き_6,-0.928253,-0.0799,-0.028424,-0.0157546,-0.0470924,-0.0409916,-0.0243546,0.0480976,0.0190537,-0.0574506,0.0433879,-0.066342,-0.0401877,-0.0578833,-0.0204085,-0.0148971,0.0232321,-0.0180524,-0.0482737,-0.00819751,-0.0413392,-0.0314081,-0.0321921,0.0388095,-0.0259287,-0.0481822,0.00147164,-0.0274265,0.00492398,0.00576456,-0.0647913,-0.0171497,0.0195728,-0.0841731,0.017755,-0.0838023,-0.0173492,-0.0671945,0.0250093,-0.0286784,-0.0551272,0.198098,0.0153604,0.198095,0.122705,0.213627,0.016629,-0.00316371,-0.015069,0.0333244,0.0150057,0.0245234,0.0672872,-0.00612607,0.00458789,0.0388746,0.00247224,-0.00723326,0.0109788,-0.0351764,0.00263734,0.0810201,-0.0085031,0.055702,-0.0451773,-0.0571727,-0.0187816,0.0748672,-0.0625566,0.0175653,0.007831,0.0482805,0.0113321,-0.0449456,-0.0125962,0.0120638,-0.0327611,-0.0124347,-0.0351242,0,0.0260952,0.0166251,0.011942,0.0188636,0.00659396,0.00210002,0.0318164,-0.0849238,-0.0889242,-0.00035283,0.037159,-0.0432724,0.0168116,0.02423,0.0321628,0.0529744,-0.00963221,-0.0169779,0.000416045,0.00939881,0.0236581,-0.00841255,0.0579373,-0.00505177,-0.0714559
coef,恵まれ_2,-1.14852,-0.00691024,-0.0130691,0.01889,0.0221758,0.0487277,0.0522898,-0.0213462,-0.0283061,0.0886347,-0.0496211,0.0618106,-0.0390887,0.0499138,0.00247884,0.0305508,-0.059602,-0.0287976,0.00580662,0.0247506,0.0293981,-0.0056818,-0.0933137,-0.072911,-0.0901431,0.0101628,0.0189272,0.00140871,0.0420053,-0.0148402,-0.00734168,-0.0708862,-0.0264427,-0.0101365,-0.071268,-0.022645,-0.0467254,-0.0171203,0.0316676,0.00555461,0.0150708,0.00794595,0.0422503,-0.0141219,-0.0994914,-0.0176662,-0.0349132,-0.0386182,0.0193938,0.00923959,0.00480304,0.0249576,0.0328069,-0.012084,-0.0386075,-0.0258149,0.0223618,-0.0137374,-0.00906986,0.000996146,0.0515206,0.0909874,-0.0185408,0.0360355,0.0611987,-0.0129857,0.0500945,-0.00469141,-0.00340367,0.0227614,-0.00509088,-0.00268834,-0.0214231,-0.0228711,-0.0195612,-0.0286384,-0.0103949,0.00547513,-0.0265722,0,0.0349166,-0.0605742,0.00765757,-0.0319401,0.017953,-0.0424583,0.014961,-0.0129672,-0.0101444,0.0582277,0.0257467,0.0390608,0.083287,-0.0405732,-0.0209377,0.00953331,0.0338363,-0.0229719,-0.0404659,-0.022113,-0.00347819,0.0229673,-0.0297307,0.00933315,0.0247786
coef,恵まれ_3,-1.32778,0.0230174,0.0254161,0.050686,0.0215483,0.0624661,0.0107512,0.0513329,-0.0213811,-0.0292109,-0.0514478,0.010433,0.0667489,0.0397555,-0.028853,0.0675861,-0.0118065,0.0308408,0.00159655,0.0384659,0.0867186,0.0325604,-0.0213714,0.0495858,-0.052664,0.00988632,0.0324431,0.0309778,0.0462238,0.0375026,-0.0489656,0.020942,-0.0336069,-0.00200398,-0.0183895,-0.0341305,0.0280582,-0.0667224,-0.0242787,0.0540021,0.030326,-0.0487407,-0.00908642,-0.0124267,0.00148209,-0.0260369,0.0316454,0.0565371,-0.0144552,0.00702017,0.0247679,0.0218155,0.0574445,0.0161573,-0.0314984,0.0726787,0.00261708,0.0526321,0.0513619,-0.00126734,0.0664838,0.00406785,0.0246575,-0.0101654,0.00694216,0.0226926,0.0630165,-0.0598173,0.0281871,-0.0427373,0.00771513,0.0221609,0.0422879,-0.0926205,-0.0189102,-0.000207093,0.0231649,-0.0229425,-0.0182127,0,-0.0145731,-0.0266334,0.00262392,0.0605503,-0.0357092,0.00936178,0.0109693,0.0042976,0.0163163,0.0288126,-0.0630613,0.0304535,0.0325676,-0.0122921,-0.0375904,-0.0657706,-0.0161832,0.0488577,0.0430922,0.0261848,-0.0223462,0.00890051,0.0422937,-0.0408792,-0.0414976
coef,恵まれ_4,-1.18518,0.0288191,-0.0628039,0.0559519,0.00333196,0.0540939,0.0206777,0.0313076,0.00459462,-0.000243532,-0.0522933,-0.0144453,0.00844906,-0.0293157,0.0382502,-0.0213622,0.00801467,0.0022191,0.0676323,-0.00881884,-0.00311719,-0.0260185,0.024554,0.00709173,-0.0200932,0.00546117,-0.0564217,0.0262511,-0.038762,0.0309792,0.0393767,0.0226988,-0.0318079,-0.050112,-0.022038,-0.0286888,-0.0539077,-0.000465497,0.0409071,-0.024528,0.0430981,0.000613901,-0.0277449,-0.0416233,-0.0400555,-0.0508162,0.00997695,0.000462698,-0.0395186,-0.0221639,-0.0287837,0.0449263,-0.00847683,-0.0109518,0.0166786,0.0338184,0.0141912,-0.01205,-0.0136603,-0.00894523,-0.00226952,0.0612063,-0.0103666,0.0207898,-0.00372502,0.000691535,0.0236492,-0.0224833,0.0413369,0.0368385,0.0530678,0.0230479,0.018243,0.00231576,0.0150846,0.033584,-0.00109637,0.00645594,-0.0250492,0,0.0449318,-0.0575233,-0.046225,0.00599908,0.0761212,-0.0184737,0.0357408,-0.0092879,-0.0265446,0.0445558,0.0478086,-0.0168224,-0.0536255,-0.0109299,0.00504512,-0.00737939,0.0192936,0.0391483,-0.0161602,-0.0429679,-0.00369302,0.0255921,0.020699,-0.00957648,0.00979081
coef,恵まれ_5,-1.48732,-0.0167748,-0.0284237,-0.0272744,-0.00975686,-0.0223318,-0.00824703,0.00161654,0.0270071,0.0113975,0.0355605,0.0146188,0.014389,0.0137422,0.0196991,-0.00821111,-9.72856e-05,-0.00771688,-0.0385235,0.0116764,-0.0268486,-0.0124808,0.0580756,-0.00618583,0.0222986,0.0203025,-0.0400312,-0.0412062,0.0081099,-0.031324,0.00457601,0.0334378,-0.0116806,0.0530373,-0.003793,0.0430608,0.0278187,0.0351671,0.0210962,-0.0343117,-0.00645694,-0.00357009,-0.0291355,-0.0104236,-0.0175748,-0.0187068,-0.0325493,0.0289048,-0.0381402,-0.0661068,-0.0595441,0.0094297,-0.0214185,0.0225209,0.0802555,-0.0277523,-0.0105287,-0.0671339,-0.0664182,-0.0424722,0.00683554,0.0272733,-0.0234028,-0.0482881,0.0224001,-0.0527538,0.0194861,-0.0907589,0.0760276,-0.0377963,0.00366534,-0.00197264,-0.0274005,-0.00168166,0.0157546,0.0288945,-0.0107436,0.0063711,0.0339377,0,0.0495228,0.0252434,-0.00308219,0.0276336,0.0333079,0.0469184,-0.009871,0.0242645,0.0369539,-0.00727821,-0.00426032,-0.0057763,-0.0263785,-0.0250267,-0.00523913,0.0419723,-0.0094372,-0.0617308,-0.0459935,-0.00968669,-0.0525658,0.0199929,-0.014374,0.00203048,0.0256822
coef,逃げ_1,4.58381,0.114491,-0.0486473,0.36996,0.044381,0.0590789,0.0781856,0.00747836,-0.105667,0.00269634,-0.032479,-0.0171985,-0.0346644,-0.0302357,-0.0249743,-0.0216935,-0.0117833,-0.0224397,0.00425417,-0.0211582,-0.0157522,-0.0217699,-0.0203935,0.0165295,-0.0213834,0.0302218,0.0238518,-0.0467216,-0.0102115,-0.0471961,-0.0256016,-0.0303258,0.0425473,-0.0171769,-0.000676767,-0.0357474,0.0121312,-0.0463471,-0.0399778,-0.00727779,0.0440383,-0.0405055,0.019086,-0.0259665,-0.0438239,-0.046527,-0.0169404,0.00327688,0.0261383,-0.0534598,-0.323705,0.0483934,0.0351421,0.074085,0.00721601,0.00903207,0.0553048,-0.0164423,-0.0081823,0.0848837,-0.0302191,-0.047814,0.0347767,-0.0175057,-0.0149841,0.0248199,-0.0156555,-0.0137147,-0.234337,-0.057687,-0.0320635,0.0488543,-0.0460533,0.0027211,-0.00650083,-0.0172418,-0.00563108,-0.0171871,-0.00487492,0,0.0452768,-0.0556938,-0.111745,-0.0175007,-0.0600103,0.000330032,-0.0306925,-0.0198504,0.0184655,0.0216062,-0.027549,0.00334858,0.0131293,0.0599636,-0.0373662,-0.00797306,0.00679161,0.0190425,0.0668564,0.0387426,0.0280106,-0.00295779,0.0481751,-0.0153429,0.0546618
