レースコード,タイトル,日次,レース日,レース場,レース回,レース名,距離(m),天候,風向,風速(m),波の高さ(cm),決まり手,単勝_艇番,単勝_払戻金,複勝_1着_艇番,複勝_1着_払戻金,複勝_2着_艇番,複勝_2着_払戻金,2連単_組番,2連単_払戻金,2連単_人気,2連複_組番,2連複_払戻金,2連複_人気,拡連複_1-2着_組番,拡連複_1-2着_払戻金,拡連複_1-2着_人気,拡連複_1-3着_組番,拡連複_1-3着_払戻金,拡連複_1-3着_人気,拡連複_2-3着_組番,拡連複_2-3着_払戻金,拡連複_2-3着_人気,3連単_組番,3連単_払戻金,3連単_人気,3連複_組番,3連複_払戻金,3連複_人気,1着_着順,1着_艇番,1着_登録番号,1着_選手名,1着_モーター番号,1着_ボート番号,1着_展示タイム,1着_進入コース,1着_スタートタイミング,1着_レースタイム,2着_着順,2着_艇番,2着_登録番号,2着_選手名,2着_モーター番号,2着_ボート番号,2着_展示タイム,2着_進入コース,2着_スタートタイミング,2着_レースタイム,3着_着順,3着_艇番,3着_登録番号,3着_選手名,3着_モーター番号,3着_ボート番号,3着_展示タイム,3着_進入コース,3着_スタートタイミング,3着_レースタイム,4着_着順,4着_艇番,4着_登録番号,4着_選手名,4着_モーター番号,4着_ボート番号,4着_展示タイム,4着_進入コース,4着_スタートタイミング,4着_レースタイム,5着_着順,5着_艇番,5着_登録番号,5着_選手名,5着_モーター番号,5着_ボート番号,5着_展示タイム,5着_進入コース,5着_スタートタイミング,5着_レースタイム,6着_着順,6着_艇番,6着_登録番号,6着_選手名,6着_モーター番号,6着_ボート番号,6着_展示タイム,6着_進入コース,6着_スタートタイミング,6着_レースタイム
202003072201,福岡県知事杯争奪　福岡都市圏開設３０周年記念競走,第3日,2020/03/07,福岡,01R,予選,1800,曇り,南,1,2,差し,2,170,2,110,3,150,2-3,420,2,2-3,180,1,2-3,110,2,2-4,100,1,3-4,130,3,2-3-4,660,1,2-3-4,190,1,1,2,4706,三 浦 洋次朗,43,124,6.9,3,0.07,110.1,2,3,4637,中 田 友 也,13,111,6.92,4,0.1,111.6,3,4,3243,佐 野 隆 仁,17,151,6.87,2,0.07,113.5,4,5,4968,宮 崎 光 基,24,125,6.86,6,0.16,116.0,5,6,3325,福 本 忠 治,50,172,6.85,5,0.12,,,,,,,,,,,
202003072202,福岡県知事杯争奪　福岡都市圏開設３０周年記念競走,第3日,2020/03/07,福岡,02R,予選,1800,曇り,南,1,2,まくり,5,760,5,100,6,900,5-6,2100,12,5-6,940,6,5-6,320,6,2-5,220,2,2-6,550,10,5-6-2,5240,23,2-5-6,1040,6,1,5,4504,前 田 将 太,54,121,6.85,4,0.09,115.2,2,6,4248,岡 本 大,61,130,6.96,5,0.13,119.2,3,2,4516,野 口 勝 弘,27,136,6.86,2,0.2,122.0,4,3,4228,吉 田 慎二郎,69,120,6.85,3,0.17,125.3,,,,,,,,,,,,,,,,,,,,
202003072203,福岡県知事杯争奪　福岡都市圏開設３０周年記念競走,第3日,2020/03/07,福岡,03R,予選,1800,曇り,北,1,2,,6,260,6,110,2,430,6-2,6920,16,2-6,8980,7,2-6,1140,11,4-6,130,1,2-4,480,8,6-2-4,12460,32,2-4-6,1150,5,1,6,4350,篠 崎 元 志,75,139,6.82,5,0.14,109.6,2,2,4995,田 邉 亮 蔵,14,148,6.8,2,0.14,110.5,3,4,3514,山 一 鉄 也,39,158,6.77,4,0.19,112.4,4,1,4899,占 部 一 真,49,152,6.8,1,0.13,113.5,5,3,3906,飯 山 晃 三,66,104,6.85,3,0.19,,6,5,5121,定 松 勇 樹,36,119,6.86,6,0.26,
202003072204,福岡県知事杯争奪　福岡都市圏開設３０周年記念競走,第3日,2020/03/07,福岡,04R,予選,1800,雨,北,1,2,まくり,4,190,4,130,5,310,4-5,590,3,4-5,480,2,4-5,410,5,4-6,410,5,5-6,1190,14,4-5-6,1100,1,4-5-6,590,3,1,4,4148,枝 尾 賢,26,105,6.76,4,0.08,109.0,2,5,4155,長 野 壮志郎,44,132,6.82,5,0.12,110.6,3,6,3679,飯 島 昌 弘,73,113,6.87,6,0.11,112.0,4,3,4201,佐 竹 友 樹,64,163,6.8,3,0.1,112.8,5,2,4513,河 野 真 也,21,161,6.87,2,0.15,,6,1,4677,片 橋 幸 貴,28,126,6.85,1,0.08,
202003072205,福岡県知事杯争奪　福岡都市圏開設３０周年記念競走,第3日,2020/03/07,福岡,05R,予選,1800,曇り,北,2,3,差し,2,300,2,130,1,260,2-1,1140,6,1-2,780,3,1-2,130,1,2-4,170,2,1-4,210,3,2-1-4,1720,7,1-2-4,300,1,1,2,4336,松 田 竜 馬,52,117,6.84,2,0.14,109.6,2,1,3701,大 西 隆 洋,58,128,6.87,1,0.17,110.9,3,4,4262,馬 場 貴 也,65,114,6.82,4,0.19,111.7,4,3,4855,江 頭 賢 太,20,159,6.8,3,0.18,113.6,5,5,5018,竹 下 大 樹,16,160,6.85,5,0.12,,6,6,4968,宮 崎 光 基,24,125,6.79,6,0.24,
202003072206,福岡県知事杯争奪　福岡都市圏開設３０周年記念競走,第3日,2020/03/07,福岡,06R,予選,1800,曇り,北,1,2,まくり,5,180,5,180,2,130,5-2,510,1,2-5,320,1,2-5,110,2,1-5,100,1,1-2,160,4,5-2-1,1120,2,1-2-5,230,1,1,5,4168,石 野 貴 之,70,129,6.78,4,0.13,108.6,2,2,4793,金 子 萌,55,102,6.85,2,0.12,109.6,3,1,4904,松 本 一 毅,19,109,6.85,1,0.11,112.0,4,6,4724,吉 田 祐 貴,46,171,6.89,6,0.11,114.2,5,3,4516,野 口 勝 弘,27,136,6.82,3,0.13,,6,4,3325,福 本 忠 治,50,172,6.86,5,0.11,
202003072207,福岡県知事杯争奪　福岡都市圏開設３０周年記念競走,第3日,2020/03/07,福岡,07R,予選,1800,雨,北,2,3,逃げ,1,100,1,100,4,110,1-4,300,1,1-4,220,1,1-4,100,1,1-6,160,3,4-6,170,4,1-4-6,510,1,1-4-6,320,1,1,1,3514,山 一 鉄 也,39,158,6.78,1,0.02,108.3,2,4,4573,佐 藤 翼,57,135,6.83,4,0.1,109.5,3,6,4189,川 上 剛,38,157,6.83,6,0.11,112.0,4,3,3964,宮 地 博 士,62,110,6.86,3,0.15,113.0,5,2,4837,酒 井 陽 祐,40,115,6.86,2,0.04,,6,5,4248,岡 本 大,61,130,6.92,5,0.19,
202003072208,福岡県知事杯争奪　福岡都市圏開設３０周年記念競走,第3日,2020/03/07,福岡,08R,予選  進入固定,1800,雨,北,1,2,逃げ,1,140,1,100,4,460,1-4,430,3,1-4,310,2,1-4,130,3,1-2,120,1,2-4,330,4,1-4-2,700,3,1-2-4,190,1,1,1,4155,長 野 壮志郎,44,132,6.82,1,0.16,110.2,2,4,4706,三 浦 洋次朗,43,124,6.95,4,0.14,111.0,3,2,4209,藤 田 竜 弘,29,137,6.83,2,0.13,113.1,4,3,3234,金 森 史 吉,34,167,6.91,3,0.11,114.0,5,6,3922,菅 沼 佳 昭,25,155,6.88,6,0.18,,6,5,5012,加 倉 侑 征,22,145,6.89,5,0.13,
202003072209,福岡県知事杯争奪　福岡都市圏開設３０周年記念競走,第3日,2020/03/07,福岡,09R,特賞,1800,雨,北,1,2,差し,4,190,4,120,3,230,4-3,380,1,3-4,300,1,3-4,110,1,2-4,180,4,2-3,140,2,4-3-2,980,1,2-3-4,450,3,1,4,4504,前 田 将 太,54,121,6.85,5,0.13,108.9,2,3,4608,荒 井 翔 伍,72,133,6.93,4,0.12,111.2,3,2,4201,佐 竹 友 樹,64,163,6.88,3,0.23,112.8,4,1,4855,江 頭 賢 太,20,159,6.9,1,0.16,113.9,5,6,5121,定 松 勇 樹,36,119,6.94,6,0.15,,6,5,3243,佐 野 隆 仁,17,151,6.96,2,0.18,
202003072210,福岡県知事杯争奪　福岡都市圏開設３０周年記念競走,第3日,2020/03/07,福岡,10R,特賞,1800,雨,東,1,2,逃げ,1,100,1,100,3,100,1-3,150,1,1-3,110,1,1-3,120,1,1-2,200,3,2-3,330,7,1-3-2,660,3,1-2-3,360,3,1,1,4148,枝 尾 賢,26,105,6.77,1,0.19,107.9,2,3,4350,篠 崎 元 志,75,139,6.87,3,0.16,110.2,3,2,3553,平 池 仁 志,15,140,6.94,2,0.16,112.2,4,5,4336,松 田 竜 馬,52,117,6.92,5,0.2,113.2,5,6,4143,浦 田 晃 嗣,41,146,6.88,6,0.23,,6,4,4637,中 田 友 也,13,111,6.91,4,0.21,
202003072211,福岡県知事杯争奪　福岡都市圏開設３０周年記念競走,第3日,2020/03/07,福岡,11R,特選,1800,雨,北,1,2,逃げ,1,100,1,180,3,200,1-3,320,2,1-3,300,2,1-3,200,2,1-5,100,1,3-5,320,7,1-3-5,580,2,1-3-5,190,1,1,1,4573,佐 藤 翼,57,135,6.8,1,0.17,107.9,2,3,4793,金 子 萌,55,102,6.82,3,0.18,109.6,3,5,4262,馬 場 貴 也,65,114,6.83,4,0.18,111.6,4,2,3906,飯 山 晃 三,66,104,6.86,2,0.21,113.5,5,6,4513,河 野 真 也,21,161,6.88,5,0.14,,6,4,4571,菅 章 哉,60,116,6.87,6,0.38,
202003072212,福岡県知事杯争奪　福岡都市圏開設３０周年記念競走,第3日,2020/03/07,福岡,12R,福岡選抜,1800,雨,東,1,2,逃げ,1,100,1,130,5,380,1-5,200,1,1-5,150,1,1-5,130,1,1-6,280,5,5-6,1100,12,1-5-6,1900,13,1-5-6,1490,7,1,1,4168,石 野 貴 之,70,129,6.79,1,0.15,109.3,2,5,4189,川 上 剛,38,157,6.8,5,0.09,110.6,3,6,5018,竹 下 大 樹,16,160,6.83,6,0.09,112.4,4,3,4677,片 橋 幸 貴,28,126,6.86,3,0.14,113.7,5,4,4209,藤 田 竜 弘,29,137,6.85,4,0.11,,6,2,4228,吉 田 慎二郎,69,120,6.83,2,0.21,
