レースコード,レース日,レース場コード,レース回,状態,荒れ度,P_その他_1,P_その他_2,P_その他_3,P_その他_4,P_その他_5,P_その他_6,P_まくり_2,P_まくり_3,P_まくり_4,P_まくり_5,P_まくり_6,P_まくり差し_3,P_まくり差し_4,P_まくり差し_5,P_まくり差し_6,P_差し_2,P_差し_3,P_差し_4,P_差し_5,P_差し_6,P_抜き_1,P_抜き_2,P_抜き_3,P_抜き_4,P_抜き_5,P_抜き_6,P_恵まれ_2,P_恵まれ_3,P_恵まれ_4,P_恵まれ_5,P_逃げ_1,P_逃げ_2
202608120101,2026-08-12,01,01R,daily,0.7002,0.006186,0.002871,0.001099,0.000348,0.000370,0.001063,0.080129,0.082170,0.044755,0.045380,0.009517,0.049530,0.020307,0.077841,0.037977,0.099531,0.024797,0.015449,0.008157,0.008974,0.017786,0.010435,0.013126,0.007429,0.009806,0.005944,0.001071,0.002013,0.001086,0.003039,0.299843,0.011973
202608120102,2026-08-12,01,02R,daily,0.7766,0.008848,0.005347,0.001355,0.000456,0.000397,0.001391,0.058551,0.041130,0.081430,0.054240,0.040143,0.030929,0.030111,0.116982,0.084730,0.055011,0.011174,0.018516,0.014308,0.020471,0.014050,0.009924,0.009567,0.008129,0.023034,0.018273,0.001306,0.001988,0.001487,0.003447,0.223394,0.009881
202608120103,2026-08-12,01,03R,daily,0.7578,0.006124,0.004458,0.001024,0.000384,0.000357,0.001095,0.023940,0.052171,0.051125,0.091407,0.034874,0.030548,0.018797,0.172197,0.091115,0.028306,0.014266,0.008236,0.020337,0.024507,0.016693,0.004102,0.009037,0.004677,0.021595,0.015192,0.001121,0.000934,0.001138,0.002816,0.242175,0.005251
202608120104,2026-08-12,01,04R,daily,0.7453,0.007230,0.003205,0.001536,0.000380,0.000336,0.001192,0.122258,0.058223,0.049636,0.022254,0.014507,0.038593,0.020872,0.040779,0.030591,0.175033,0.019477,0.013111,0.005450,0.008055,0.012052,0.028469,0.010804,0.005113,0.008745,0.007042,0.002003,0.001847,0.001384,0.003524,0.254696,0.031601
202608120105,2026-08-12,01,05R,daily,0.6189,0.004466,0.001087,0.000356,0.000209,0.000239,0.000669,0.064057,0.019907,0.107685,0.011054,0.001795,0.016876,0.056081,0.036112,0.004771,0.174197,0.005822,0.021565,0.002066,0.000706,0.010477,0.031614,0.003870,0.021235,0.004648,0.000500,0.001902,0.001215,0.001728,0.001209,0.381138,0.010743
202608120106,2026-08-12,01,06R,daily,0.3214,0.004087,0.001368,0.000439,0.000212,0.000158,0.000618,0.024780,0.026141,0.039570,0.010802,0.007060,0.028653,0.018353,0.022152,0.014385,0.046936,0.007594,0.006287,0.002402,0.001832,0.026011,0.005924,0.006495,0.004394,0.004419,0.001778,0.001106,0.001874,0.001481,0.001169,0.678623,0.002898
202608120107,2026-08-12,01,07R,daily,0.4427,0.003592,0.001436,0.000401,0.000154,0.000166,0.000484,0.013215,0.083655,0.033511,0.011856,0.001897,0.122062,0.022618,0.025852,0.005487,0.027824,0.023471,0.009447,0.002122,0.001146,0.019716,0.004047,0.011972,0.003359,0.003860,0.000849,0.001130,0.001534,0.001644,0.001014,0.557303,0.003176
202608120108,2026-08-12,01,08R,daily,0.5190,0.003635,0.001827,0.000455,0.000248,0.000256,0.000621,0.012173,0.025437,0.057566,0.065679,0.007376,0.013529,0.026248,0.158108,0.021149,0.031943,0.003909,0.008103,0.010379,0.004391,0.021620,0.005918,0.004687,0.005158,0.018026,0.002427,0.000928,0.000779,0.001032,0.001424,0.480953,0.004016
202608120109,2026-08-12,01,09R,daily,0.6879,0.005733,0.001676,0.000855,0.000288,0.000255,0.000975,0.125107,0.036063,0.090113,0.010775,0.003007,0.020320,0.036367,0.024635,0.007932,0.194489,0.017765,0.018014,0.003205,0.001751,0.013566,0.029444,0.007112,0.008422,0.004264,0.001715,0.002456,0.002515,0.001733,0.002671,0.312076,0.014701
202608120110,2026-08-12,01,10R,daily,0.6459,0.006992,0.002985,0.001379,0.000369,0.000321,0.001476,0.050436,0.074903,0.048301,0.027568,0.017154,0.056393,0.019148,0.048921,0.053073,0.088579,0.031947,0.009858,0.007480,0.009889,0.018258,0.011084,0.013512,0.003588,0.008260,0.011075,0.001591,0.002839,0.001557,0.003816,0.354089,0.013157
202608120111,2026-08-12,01,11R,daily,0.4499,0.003820,0.001263,0.000501,0.000139,0.000167,0.000723,0.016192,0.077728,0.017502,0.007340,0.002373,0.151028,0.013722,0.020438,0.006980,0.039137,0.020678,0.008977,0.001399,0.001333,0.018508,0.003513,0.015898,0.002518,0.003102,0.001361,0.001299,0.002383,0.000810,0.001380,0.550148,0.007640
202608120112,2026-08-12,01,12R,daily,0.2584,0.001810,0.000900,0.000321,0.000119,0.000118,0.000521,0.010332,0.033270,0.027185,0.003430,0.002108,0.044999,0.016012,0.006803,0.004330,0.045318,0.008832,0.006328,0.000760,0.000931,0.017055,0.005238,0.005917,0.002616,0.001513,0.000761,0.001291,0.001487,0.001075,0.001017,0.741635,0.005969
202608120201,2026-08-12,02,01R,daily,0.4896,0.000745,0.000527,0.000279,0.000185,0.000111,0.000362,0.003466,0.085911,0.125951,0.011353,0.002960,0.053693,0.077109,0.020616,0.002731,0.012262,0.006521,0.023153,0.002185,0.002233,0.017728,0.002374,0.013841,0.013581,0.002931,0.002236,0.001497,0.001146,0.000695,0.000620,0.510352,0.000642
202608120201,2026-08-12,02,01R,realtime,0.5961,0.001206,0.000062,0.000243,0.000245,0.000136,0.000272,0.004112,0.089127,0.188739,0.006537,0.001701,0.057988,0.101528,0.025769,0.002932,0.013728,0.006744,0.028089,0.001656,0.001692,0.021354,0.003060,0.013238,0.014409,0.004250,0.002364,0.001397,0.001497,0.001096,0.000431,0.403926,0.000470
202608120202,2026-08-12,02,02R,daily,0.8486,0.001540,0.000626,0.000699,0.000280,0.000201,0.000480,0.104384,0.197003,0.016988,0.030351,0.017109,0.053738,0.011513,0.014543,0.016243,0.215574,0.042025,0.011724,0.003279,0.003105,0.014585,0.036505,0.023971,0.002995,0.003229,0.007759,0.002384,0.001087,0.000510,0.002413,0.151386,0.011772
