レースコード,レース日,レース場コード,レース回,状態,荒れ度,P_その他_1,P_その他_2,P_その他_3,P_その他_4,P_その他_5,P_その他_6,P_まくり_2,P_まくり_3,P_まくり_4,P_まくり_5,P_まくり_6,P_まくり差し_3,P_まくり差し_4,P_まくり差し_5,P_まくり差し_6,P_差し_2,P_差し_3,P_差し_4,P_差し_5,P_差し_6,P_抜き_1,P_抜き_2,P_抜き_3,P_抜き_4,P_抜き_5,P_抜き_6,P_恵まれ_2,P_恵まれ_3,P_恵まれ_4,P_恵まれ_5,P_逃げ_1,P_逃げ_2
202608230201,2026-08-23,02,01R,daily,0.8107,0.002565,0.001210,0.000736,0.000309,0.000170,0.000613,0.169957,0.110872,0.094020,0.011750,0.014397,0.025970,0.026242,0.018587,0.012106,0.175053,0.010942,0.037737,0.004416,0.001989,0.008674,0.039131,0.010929,0.013789,0.005263,0.004357,0.001141,0.002502,0.001374,0.001117,0.189272,0.002811
202608230201,2026-08-23,02,01R,realtime,0.8094,0.001029,0.000742,0.000499,0.000231,0.000186,0.000535,0.149920,0.117829,0.095024,0.004283,0.008564,0.030776,0.017054,0.007512,0.008360,0.233238,0.008184,0.039751,0.003613,0.002283,0.007126,0.033902,0.011124,0.013394,0.003259,0.004459,0.000950,0.002457,0.000816,0.000642,0.190586,0.001671
202608230202,2026-08-23,02,02R,daily,0.7882,0.003206,0.001058,0.001219,0.000235,0.000246,0.000453,0.146173,0.226607,0.027604,0.027580,0.011736,0.062125,0.013444,0.024690,0.005168,0.098009,0.028846,0.012250,0.006570,0.002064,0.011370,0.020380,0.025614,0.002949,0.013593,0.002541,0.001486,0.002398,0.001075,0.002914,0.211752,0.004645
202608230202,2026-08-23,02,02R,realtime,0.6763,0.000926,0.000458,0.000863,0.000189,0.000237,0.000283,0.098408,0.183553,0.023291,0.035213,0.003633,0.065603,0.011643,0.023254,0.003847,0.105686,0.014345,0.010022,0.005501,0.002782,0.014565,0.025218,0.023798,0.002236,0.011685,0.001753,0.000819,0.001786,0.000836,0.001739,0.323714,0.002114
202608230203,2026-08-23,02,03R,daily,0.7060,0.002672,0.000667,0.000428,0.000225,0.000176,0.000597,0.162844,0.063765,0.049817,0.018011,0.010531,0.016864,0.012220,0.030742,0.009573,0.215261,0.010257,0.009829,0.006658,0.001358,0.015906,0.037588,0.008705,0.003666,0.005368,0.001705,0.000770,0.000814,0.001512,0.001519,0.293955,0.006000
202608230203,2026-08-23,02,03R,realtime,0.6890,0.000990,0.000691,0.000301,0.000190,0.000158,0.000462,0.151084,0.041885,0.038576,0.016909,0.003413,0.017611,0.007677,0.035979,0.008269,0.251521,0.008952,0.006517,0.005377,0.001346,0.016550,0.047873,0.005418,0.002343,0.008517,0.001651,0.000907,0.001073,0.001438,0.000835,0.310973,0.004516
202608230204,2026-08-23,02,04R,daily,0.7498,0.004003,0.000856,0.000712,0.000206,0.000213,0.000316,0.212632,0.084854,0.043664,0.013761,0.008818,0.032382,0.008973,0.019156,0.010051,0.189394,0.034705,0.009330,0.009693,0.002991,0.013165,0.010674,0.017068,0.001305,0.005449,0.002723,0.001772,0.000726,0.001142,0.002032,0.250164,0.007069
202608230204,2026-08-23,02,04R,realtime,0.7176,0.000925,0.001000,0.000706,0.000181,0.000208,0.000220,0.171845,0.059018,0.027552,0.015368,0.004026,0.031691,0.008924,0.018204,0.008128,0.251053,0.027313,0.011421,0.007188,0.003380,0.016646,0.016156,0.017962,0.000993,0.005677,0.002257,0.001073,0.000737,0.000914,0.001274,0.282418,0.005544
202608230205,2026-08-23,02,05R,daily,0.5991,0.001777,0.000883,0.000288,0.000225,0.000170,0.000551,0.014463,0.066130,0.197160,0.011476,0.002098,0.030926,0.081735,0.022804,0.003062,0.026590,0.007841,0.062303,0.002465,0.001361,0.014730,0.005447,0.018370,0.011224,0.005825,0.001518,0.001374,0.001522,0.001442,0.001624,0.400925,0.001690
202608230205,2026-08-23,02,05R,realtime,0.6231,0.001677,0.000234,0.000225,0.000202,0.000208,0.000379,0.009955,0.057692,0.234296,0.008117,0.001110,0.034116,0.068587,0.019710,0.002646,0.031899,0.008045,0.078077,0.001576,0.001024,0.014838,0.007125,0.017078,0.011081,0.006613,0.001223,0.001009,0.001321,0.001052,0.001055,0.376904,0.000927
202608230206,2026-08-23,02,06R,daily,0.8434,0.002792,0.001510,0.000642,0.000297,0.000157,0.000814,0.026739,0.280477,0.070977,0.012140,0.008027,0.157866,0.042352,0.016940,0.017245,0.020471,0.037974,0.051253,0.001855,0.002582,0.008774,0.006732,0.040583,0.007498,0.005584,0.010266,0.001090,0.004960,0.001529,0.001796,0.156589,0.001488
