レースコード,レース日,レース場コード,レース回,状態,1枠_枠番pt,1枠_寄与_枠番pt,1枠_選手pt,1枠_寄与_選手pt,1枠_モーターpt,1枠_寄与_モーターpt,1枠_展示pt,1枠_寄与_展示pt,1枠_気象pt,1枠_寄与_気象pt,1枠_展開優位pt,1枠_寄与_展開優位pt,1枠_強さpt,2枠_枠番pt,2枠_寄与_枠番pt,2枠_選手pt,2枠_寄与_選手pt,2枠_モーターpt,2枠_寄与_モーターpt,2枠_展示pt,2枠_寄与_展示pt,2枠_気象pt,2枠_寄与_気象pt,2枠_展開優位pt,2枠_寄与_展開優位pt,2枠_強さpt,3枠_枠番pt,3枠_寄与_枠番pt,3枠_選手pt,3枠_寄与_選手pt,3枠_モーターpt,3枠_寄与_モーターpt,3枠_展示pt,3枠_寄与_展示pt,3枠_気象pt,3枠_寄与_気象pt,3枠_展開優位pt,3枠_寄与_展開優位pt,3枠_強さpt,4枠_枠番pt,4枠_寄与_枠番pt,4枠_選手pt,4枠_寄与_選手pt,4枠_モーターpt,4枠_寄与_モーターpt,4枠_展示pt,4枠_寄与_展示pt,4枠_気象pt,4枠_寄与_気象pt,4枠_展開優位pt,4枠_寄与_展開優位pt,4枠_強さpt,5枠_枠番pt,5枠_寄与_枠番pt,5枠_選手pt,5枠_寄与_選手pt,5枠_モーターpt,5枠_寄与_モーターpt,5枠_展示pt,5枠_寄与_展示pt,5枠_気象pt,5枠_寄与_気象pt,5枠_展開優位pt,5枠_寄与_展開優位pt,5枠_強さpt,6枠_枠番pt,6枠_寄与_枠番pt,6枠_選手pt,6枠_寄与_選手pt,6枠_モーターpt,6枠_寄与_モーターpt,6枠_展示pt,6枠_寄与_展示pt,6枠_気象pt,6枠_寄与_気象pt,6枠_展開優位pt,6枠_寄与_展開優位pt,6枠_強さpt
202607070807,2026-07-07,08,7R,realtime,68.66,25.1,38.45,7.19,50.0,3.67,51.7,12.65,45.36,3.72,49.97,2.36,54.7,50.19,18.35,44.17,8.26,61.41,4.51,53.23,13.03,57.22,4.7,44.92,2.12,50.96,48.07,17.57,42.27,7.9,50.0,3.67,51.67,12.64,48.77,4.0,41.13,1.94,47.74,44.2,16.16,40.36,7.55,55.78,4.1,36.76,9.0,45.85,3.76,33.91,1.6,42.16,36.98,13.52,34.64,6.48,63.56,4.67,47.7,11.67,39.85,3.27,19.98,0.94,40.55,51.41,18.79,49.89,9.33,57.94,4.26,59.04,14.45,62.88,5.16,109.9,5.18,57.17
202607070808,2026-07-07,08,8R,daily,68.66,25.1,38.45,7.19,41.73,3.07,50.0,12.24,50.0,4.1,50.0,2.36,54.05,51.41,18.79,53.7,10.04,62.63,4.6,50.0,12.24,50.0,4.1,50.0,2.36,52.14,50.19,18.35,42.27,7.9,44.58,3.28,50.0,12.24,50.0,4.1,50.0,2.36,48.23,48.07,17.57,36.55,6.84,58.03,4.26,50.0,12.24,50.0,4.1,50.0,2.36,47.37,44.2,16.16,42.27,7.9,43.78,3.22,50.0,12.24,50.0,4.1,50.0,2.36,45.98,36.98,13.52,49.89,9.33,55.1,4.05,50.0,12.24,50.0,4.1,50.0,2.36,45.59
202607070808,2026-07-07,08,8R,realtime,68.66,25.1,38.45,7.19,41.73,3.07,47.16,11.54,45.36,3.72,49.97,2.36,52.98,51.41,18.79,53.7,10.04,62.63,4.6,62.35,15.26,62.88,5.16,49.97,2.36,56.21,50.19,18.35,42.27,7.9,44.58,3.28,49.2,12.04,57.22,4.7,49.97,2.36,48.62,48.07,17.57,36.55,6.84,58.03,4.26,40.15,9.82,48.77,4.0,49.97,2.36,44.85,44.2,16.16,42.27,7.9,43.78,3.22,45.17,11.05,45.85,3.76,49.97,2.36,44.45,36.98,13.52,49.89,9.33,55.1,4.05,56.04,13.71,39.85,3.27,49.97,2.36,46.24
202607070809,2026-07-07,08,9R,daily,68.66,25.1,42.27,7.9,63.19,4.64,50.0,12.24,50.0,4.1,50.0,2.36,56.34,51.41,18.79,49.89,9.33,58.27,4.28,50.0,12.24,50.0,4.1,50.0,2.36,51.1,50.19,18.35,38.45,7.19,50.0,3.67,50.0,12.24,50.0,4.1,50.0,2.36,47.91,48.07,17.57,49.89,9.33,50.0,3.67,50.0,12.24,50.0,4.1,50.0,2.36,49.27,44.2,16.16,46.08,8.62,41.16,3.02,50.0,12.24,50.0,4.1,50.0,2.36,46.5,36.98,13.52,42.27,7.9,50.58,3.72,50.0,12.24,50.0,4.1,50.0,2.36,43.84
202607070809,2026-07-07,08,9R,realtime,68.66,25.1,42.27,7.9,63.19,4.64,62.01,15.17,47.12,3.87,49.97,2.36,59.04,51.41,18.79,49.89,9.33,58.27,4.28,54.39,13.31,67.39,5.53,49.97,2.36,53.6,50.19,18.35,38.45,7.19,50.0,3.67,43.25,10.58,61.33,5.03,49.97,2.36,47.19,48.07,17.57,49.89,9.33,50.0,3.67,55.43,13.56,46.28,3.8,49.97,2.36,50.29,44.2,16.16,46.08,8.62,41.16,3.02,44.22,10.82,42.38,3.48,49.97,2.36,44.46,36.98,13.52,42.27,7.9,50.58,3.72,40.79,9.98,35.45,2.91,49.97,2.36,40.39
202607070810,2026-07-07,08,10R,daily,68.66,25.1,49.89,9.33,55.71,4.09,50.0,12.24,50.0,4.1,50.0,2.36,57.22,51.41,18.79,44.17,8.26,36.7,2.7,50.0,12.24,50.0,4.1,50.0,2.36,48.45,50.19,18.35,47.98,8.97,50.59,3.72,50.0,12.24,50.0,4.1,50.0,2.36,49.74,48.07,17.57,44.17,8.26,50.0,3.67,50.0,12.24,50.0,4.1,50.0,2.36,48.2,44.2,16.16,46.08,8.62,51.17,3.76,50.0,12.24,50.0,4.1,50.0,2.36,47.23,36.98,13.52,47.98,8.97,72.62,5.34,50.0,12.24,50.0,4.1,50.0,2.36,46.52
202607070810,2026-07-07,08,10R,realtime,68.66,25.1,49.89,9.33,55.71,4.09,40.54,9.92,45.36,3.72,49.97,2.36,54.52,50.19,18.35,44.17,8.26,36.7,2.7,60.04,14.69,57.22,4.7,44.92,2.12,50.81,48.07,17.57,47.98,8.97,50.59,3.72,53.67,13.13,48.77,4.0,41.13,1.94,49.34,44.2,16.16,44.17,8.26,50.0,3.67,49.11,12.02,45.85,3.76,33.91,1.6,45.47,36.98,13.52,46.08,8.62,51.17,3.76,45.19,11.06,39.85,3.27,19.98,0.94,41.17,51.41,18.79,47.98,8.97,72.62,5.34,51.53,12.61,62.88,5.16,109.9,5.18,56.06
202607070811,2026-07-07,08,11R,daily,68.66,25.1,49.89,9.33,38.52,2.83,50.0,12.24,50.0,4.1,50.0,2.36,55.96,51.41,18.79,47.98,8.97,39.04,2.87,50.0,12.24,50.0,4.1,50.0,2.36,49.33,50.19,18.35,49.89,9.33,50.0,3.67,50.0,12.24,50.0,4.1,50.0,2.36,50.05,48.07,17.57,49.89,9.33,62.49,4.59,50.0,12.24,50.0,4.1,50.0,2.36,50.19,44.2,16.16,47.98,8.97,65.53,4.81,50.0,12.24,50.0,4.1,50.0,2.36,48.64,36.98,13.52,47.98,8.97,50.0,3.67,50.0,12.24,50.0,4.1,50.0,2.36,44.86
202607070812,2026-07-07,08,12R,daily,68.66,25.1,55.61,10.4,44.54,3.27,50.0,12.24,50.0,4.1,50.0,2.36,57.47,51.41,18.79,59.42,11.11,62.51,4.59,50.0,12.24,50.0,4.1,50.0,2.36,53.2,50.19,18.35,49.89,9.33,57.94,4.26,50.0,12.24,50.0,4.1,50.0,2.36,50.63,48.07,17.57,57.52,10.76,40.67,2.99,50.0,12.24,50.0,4.1,50.0,2.36,50.01,44.2,16.16,55.61,10.4,50.0,3.67,50.0,12.24,50.0,4.1,50.0,2.36,48.93,36.98,13.52,53.7,10.04,62.63,4.6,50.0,12.24,50.0,4.1,50.0,2.36,46.86
202607071001,2026-07-07,10,1R,daily,67.54,25.45,61.82,17.15,70.58,5.44,50.0,8.45,50.0,3.73,50.0,1.25,61.47,52.66,19.85,42.13,11.69,47.66,3.67,50.0,8.45,50.0,3.73,50.0,1.25,48.64,50.78,19.14,44.94,12.47,59.99,4.62,50.0,8.45,50.0,3.73,50.0,1.25,49.66,47.83,18.02,42.13,11.69,44.8,3.45,50.0,8.45,50.0,3.73,50.0,1.25,46.6,43.93,16.56,44.94,12.47,48.0,3.7,50.0,8.45,50.0,3.73,50.0,1.25,46.15,36.87,13.89,44.94,12.47,50.0,3.85,50.0,8.45,50.0,3.73,50.0,1.25,43.65
