レースコード,レース日,レース場コード,レース回,状態,1枠_枠番pt,1枠_寄与_枠番pt,1枠_選手pt,1枠_寄与_選手pt,1枠_モーターpt,1枠_寄与_モーターpt,1枠_展示pt,1枠_寄与_展示pt,1枠_気象pt,1枠_寄与_気象pt,1枠_展開優位pt,1枠_寄与_展開優位pt,1枠_強さpt,2枠_枠番pt,2枠_寄与_枠番pt,2枠_選手pt,2枠_寄与_選手pt,2枠_モーターpt,2枠_寄与_モーターpt,2枠_展示pt,2枠_寄与_展示pt,2枠_気象pt,2枠_寄与_気象pt,2枠_展開優位pt,2枠_寄与_展開優位pt,2枠_強さpt,3枠_枠番pt,3枠_寄与_枠番pt,3枠_選手pt,3枠_寄与_選手pt,3枠_モーターpt,3枠_寄与_モーターpt,3枠_展示pt,3枠_寄与_展示pt,3枠_気象pt,3枠_寄与_気象pt,3枠_展開優位pt,3枠_寄与_展開優位pt,3枠_強さpt,4枠_枠番pt,4枠_寄与_枠番pt,4枠_選手pt,4枠_寄与_選手pt,4枠_モーターpt,4枠_寄与_モーターpt,4枠_展示pt,4枠_寄与_展示pt,4枠_気象pt,4枠_寄与_気象pt,4枠_展開優位pt,4枠_寄与_展開優位pt,4枠_強さpt,5枠_枠番pt,5枠_寄与_枠番pt,5枠_選手pt,5枠_寄与_選手pt,5枠_モーターpt,5枠_寄与_モーターpt,5枠_展示pt,5枠_寄与_展示pt,5枠_気象pt,5枠_寄与_気象pt,5枠_展開優位pt,5枠_寄与_展開優位pt,5枠_強さpt,6枠_枠番pt,6枠_寄与_枠番pt,6枠_選手pt,6枠_寄与_選手pt,6枠_モーターpt,6枠_寄与_モーターpt,6枠_展示pt,6枠_寄与_展示pt,6枠_気象pt,6枠_寄与_気象pt,6枠_展開優位pt,6枠_寄与_展開優位pt,6枠_強さpt
202607120201,2026-07-12,02,1R,daily,67.6,18.69,61.95,18.62,47.91,5.6,50.0,10.44,50.0,3.61,50.0,1.26,58.21,53.26,14.72,96.06,28.88,39.4,4.6,50.0,10.44,50.0,3.61,50.0,1.26,63.51,50.25,13.89,83.88,25.21,30.35,3.54,50.0,10.44,50.0,3.61,50.0,1.26,57.96,49.61,13.71,86.31,25.95,33.1,3.87,50.0,10.44,50.0,3.61,50.0,1.26,58.84,44.82,12.39,54.65,16.43,36.28,4.24,50.0,10.44,50.0,3.61,50.0,1.26,48.36,33.57,9.28,86.31,25.95,47.08,5.5,50.0,10.44,50.0,3.61,50.0,1.26,56.03
202607120201,2026-07-12,02,1R,realtime,67.6,18.69,61.95,18.62,47.91,5.6,69.76,14.57,51.26,3.7,49.91,1.25,62.43,53.26,14.72,96.06,28.88,39.4,4.6,59.3,12.38,30.48,2.2,49.91,1.25,64.04,49.61,13.71,83.88,25.21,30.35,3.54,51.63,10.78,65.31,4.71,47.27,1.19,59.16,50.25,13.89,86.31,25.95,33.1,3.87,47.38,9.9,42.23,3.05,52.55,1.32,57.97,44.82,12.39,54.65,16.43,36.28,4.24,32.65,6.82,56.72,4.09,49.91,1.25,45.22,33.57,9.28,86.31,25.95,47.08,5.5,39.3,8.21,53.85,3.89,49.91,1.25,54.07
202607120202,2026-07-12,02,2R,daily,67.6,18.69,100.93,30.34,44.81,5.23,50.0,10.44,50.0,3.61,50.0,1.26,69.57,53.26,14.72,88.75,26.68,24.4,2.85,50.0,10.44,50.0,3.61,50.0,1.26,59.56,50.25,13.89,74.13,22.29,51.14,5.97,50.0,10.44,50.0,3.61,50.0,1.26,57.46,49.61,13.71,47.34,14.23,43.27,5.05,50.0,10.44,50.0,3.61,50.0,1.26,48.31,44.82,12.39,103.37,31.07,46.19,5.39,50.0,10.44,50.0,3.61,50.0,1.26,64.17,33.57,9.28,69.26,20.82,47.25,5.52,50.0,10.44,50.0,3.61,50.0,1.26,50.93
202607120202,2026-07-12,02,2R,realtime,67.6,18.69,100.93,30.34,44.81,5.23,56.3,11.76,49.88,3.6,49.91,1.25,70.87,53.26,14.72,88.75,26.68,24.4,2.85,48.79,10.19,50.88,3.67,49.91,1.25,59.37,50.25,13.89,74.13,22.29,51.14,5.97,38.93,8.13,47.56,3.43,49.91,1.25,54.97,49.61,13.71,47.34,14.23,43.27,5.05,43.06,8.99,47.65,3.44,49.91,1.25,46.68,44.82,12.39,103.37,31.07,46.19,5.39,56.68,11.84,53.37,3.85,49.91,1.25,65.8,33.57,9.28,69.26,20.82,47.25,5.52,56.25,11.75,50.51,3.65,49.91,1.25,52.27
202607120203,2026-07-12,02,3R,daily,67.6,18.69,103.37,31.07,47.57,5.56,50.0,10.44,50.0,3.61,50.0,1.26,70.62,53.26,14.72,66.83,20.09,50.36,5.88,50.0,10.44,50.0,3.61,50.0,1.26,56.0,50.25,13.89,74.13,22.29,51.77,6.05,50.0,10.44,50.0,3.61,50.0,1.26,57.53,49.61,13.71,88.75,26.68,78.71,9.19,50.0,10.44,50.0,3.61,50.0,1.26,64.89,44.82,12.39,57.08,17.16,33.74,3.94,50.0,10.44,50.0,3.61,50.0,1.26,48.8,33.57,9.28,47.34,14.23,34.71,4.05,50.0,10.44,50.0,3.61,50.0,1.26,42.87
202607120203,2026-07-12,02,3R,realtime,67.6,18.69,103.37,31.07,47.57,5.56,55.88,11.67,49.88,3.6,49.91,1.25,71.84,53.26,14.72,66.83,20.09,50.36,5.88,47.85,9.99,50.88,3.67,49.91,1.25,55.61,50.25,13.89,74.13,22.29,51.77,6.05,66.08,13.8,47.56,3.43,49.91,1.25,60.71,49.61,13.71,88.75,26.68,78.71,9.19,52.5,10.97,47.65,3.44,49.91,1.25,65.25,44.82,12.39,57.08,17.16,33.74,3.94,46.38,9.69,53.37,3.85,49.91,1.25,48.28,33.57,9.28,47.34,14.23,34.71,4.05,31.31,6.54,50.51,3.65,49.91,1.25,39.0
202607120204,2026-07-12,02,4R,daily,67.6,18.69,71.7,21.55,45.71,5.34,50.0,10.44,50.0,3.61,50.0,1.26,60.89,53.26,14.72,64.39,19.36,34.36,4.01,50.0,10.44,50.0,3.61,50.0,1.26,53.4,50.25,13.89,47.34,14.23,31.72,3.7,50.0,10.44,50.0,3.61,50.0,1.26,47.14,49.61,13.71,93.62,28.14,34.86,4.07,50.0,10.44,50.0,3.61,50.0,1.26,61.24,44.82,12.39,98.5,29.61,52.77,6.16,50.0,10.44,50.0,3.61,50.0,1.26,63.47,33.57,9.28,105.8,31.8,20.87,2.44,50.0,10.44,50.0,3.61,50.0,1.26,58.83
202607120204,2026-07-12,02,4R,realtime,67.6,18.69,71.7,21.55,45.71,5.34,48.81,10.19,49.39,3.56,49.91,1.25,60.59,53.26,14.72,64.39,19.36,34.36,4.01,50.98,10.65,51.43,3.71,49.91,1.25,53.71,50.25,13.89,47.34,14.23,31.72,3.7,49.4,10.32,47.25,3.41,49.91,1.25,46.81,49.61,13.71,93.62,28.14,34.86,4.07,55.8,11.65,47.52,3.43,49.91,1.25,62.27,44.82,12.39,98.5,29.61,52.77,6.16,33.32,6.96,52.25,3.77,49.91,1.25,60.15,33.57,9.28,105.8,31.8,20.87,2.44,61.67,12.88,52.01,3.75,49.91,1.25,61.41
202607120205,2026-07-12,02,5R,daily,67.6,18.69,100.93,30.34,49.65,5.8,50.0,10.44,50.0,3.61,50.0,1.26,70.13,53.26,14.72,86.31,25.95,33.1,3.87,50.0,10.44,50.0,3.61,50.0,1.26,59.84,50.25,13.89,52.21,15.69,34.93,4.08,50.0,10.44,50.0,3.61,50.0,1.26,48.97,49.61,13.71,96.06,28.88,39.4,4.6,50.0,10.44,50.0,3.61,50.0,1.26,62.5,44.82,12.39,44.9,13.5,41.18,4.81,50.0,10.44,50.0,3.61,50.0,1.26,46.01,33.57,9.28,49.77,14.96,36.41,4.25,50.0,10.44,50.0,3.61,50.0,1.26,43.8
202607120205,2026-07-12,02,5R,realtime,67.6,18.69,100.93,30.34,49.65,5.8,70.34,14.69,49.39,3.56,49.91,1.25,74.34,53.26,14.72,86.31,25.95,33.1,3.87,64.01,13.37,51.43,3.71,49.91,1.25,62.87,50.25,13.89,52.21,15.69,34.93,4.08,45.0,9.4,47.25,3.41,49.91,1.25,47.73,49.61,13.71,96.06,28.88,39.4,4.6,45.01,9.4,47.52,3.43,49.91,1.25,61.28,44.82,12.39,44.9,13.5,41.18,4.81,29.39,6.14,52.25,3.77,49.91,1.25,41.86,33.57,9.28,49.77,14.96,36.41,4.25,46.24,9.66,52.01,3.75,49.91,1.25,43.16
202607120206,2026-07-12,02,6R,daily,67.6,18.69,88.75,26.68,48.88,5.71,50.0,10.44,50.0,3.61,50.0,1.26,66.38,53.26,14.72,93.62,28.14,59.91,7.0,50.0,10.44,50.0,3.61,50.0,1.26,65.17,50.25,13.89,57.08,17.16,25.97,3.03,50.0,10.44,50.0,3.61,50.0,1.26,49.39,49.61,13.71,88.75,26.68,24.4,2.85,50.0,10.44,50.0,3.61,50.0,1.26,58.55,44.82,12.39,86.31,25.95,48.55,5.67,50.0,10.44,50.0,3.61,50.0,1.26,59.32,33.57,9.28,103.37,31.07,39.55,4.62,50.0,10.44,50.0,3.61,50.0,1.26,60.28
202607120206,2026-07-12,02,6R,realtime,67.6,18.69,88.75,26.68,48.88,5.71,71.1,14.85,49.88,3.6,49.91,1.25,70.78,53.26,14.72,93.62,28.14,59.91,7.0,54.67,11.42,50.88,3.67,49.91,1.25,66.21,50.25,13.89,57.08,17.16,25.97,3.03,45.33,9.47,47.56,3.43,49.91,1.25,48.24,49.61,13.71,88.75,26.68,24.4,2.85,40.2,8.4,47.65,3.44,49.91,1.25,56.33,44.82,12.39,86.31,25.95,48.55,5.67,37.75,7.88,53.37,3.85,49.91,1.25,57.0,33.57,9.28,103.37,31.07,39.55,4.62,50.97,10.65,50.51,3.65,49.91,1.25,60.52
202607120207,2026-07-12,02,7R,daily,67.6,18.69,88.75,26.68,64.01,7.48,50.0,10.44,50.0,3.61,50.0,1.26,68.15,53.26,14.72,52.21,15.69,44.81,5.23,50.0,10.44,50.0,3.61,50.0,1.26,50.96,50.25,13.89,86.31,25.95,47.08,5.5,50.0,10.44,50.0,3.61,50.0,1.26,60.65,49.61,13.71,66.83,20.09,50.36,5.88,50.0,10.44,50.0,3.61,50.0,1.26,54.99,44.82,12.39,57.08,17.16,37.5,4.38,50.0,10.44,50.0,3.61,50.0,1.26,49.24,33.57,9.28,44.9,13.5,63.63,7.43,50.0,10.44,50.0,3.61,50.0,1.26,45.52
202607120207,2026-07-12,02,7R,realtime,67.6,18.69,88.75,26.68,64.01,7.48,52.52,10.97,50.18,3.62,49.91,1.25,68.69,53.26,14.72,52.21,15.69,44.81,5.23,68.24,14.25,51.25,3.7,49.91,1.25,54.86,50.25,13.89,86.31,25.95,47.08,5.5,39.7,8.29,47.41,3.42,49.91,1.25,58.31,49.61,13.71,66.83,20.09,50.36,5.88,47.43,9.91,47.04,3.39,49.91,1.25,54.24,44.82,12.39,57.08,17.16,37.5,4.38,54.78,11.44,52.1,3.76,49.91,1.25,50.38,33.57,9.28,44.9,13.5,63.63,7.43,37.33,7.8,51.87,3.74,49.91,1.25,43.0
202607120208,2026-07-12,02,8R,daily,67.6,18.69,61.95,18.62,31.46,3.67,50.0,10.44,50.0,3.61,50.0,1.26,56.29,53.26,14.72,52.21,15.69,28.43,3.32,50.0,10.44,50.0,3.61,50.0,1.26,49.05,50.25,13.89,40.03,12.03,36.81,4.3,50.0,10.44,50.0,3.61,50.0,1.26,45.53,49.61,13.71,61.95,18.62,47.87,5.59,50.0,10.44,50.0,3.61,50.0,1.26,53.24,44.82,12.39,49.77,14.96,26.66,3.11,50.0,10.44,50.0,3.61,50.0,1.26,45.77,33.57,9.28,40.03,12.03,31.2,3.64,50.0,10.44,50.0,3.61,50.0,1.26,40.27
202607120208,2026-07-12,02,8R,realtime,67.6,18.69,61.95,18.62,31.46,3.67,67.48,14.09,50.67,3.66,49.91,1.25,59.99,53.26,14.72,52.21,15.69,28.43,3.32,57.81,12.07,50.7,3.66,49.91,1.25,50.73,50.25,13.89,40.03,12.03,36.81,4.3,46.43,9.7,47.72,3.44,49.91,1.25,44.62,49.61,13.71,61.95,18.62,47.87,5.59,33.29,6.95,47.16,3.4,49.91,1.25,49.54,44.82,12.39,49.77,14.96,26.66,3.11,43.07,9.0,53.23,3.84,49.91,1.25,44.56,33.57,9.28,40.03,12.03,31.2,3.64,51.9,10.84,50.37,3.64,49.91,1.25,40.69
202607120209,2026-07-12,02,9R,daily,67.6,18.69,105.8,31.8,20.87,2.44,50.0,10.44,50.0,3.61,50.0,1.26,68.24,53.26,14.72,93.62,28.14,34.86,4.07,50.0,10.44,50.0,3.61,50.0,1.26,62.25,50.25,13.89,103.37,31.07,46.19,5.39,50.0,10.44,50.0,3.61,50.0,1.26,65.67,49.61,13.71,44.9,13.5,33.59,3.92,50.0,10.44,50.0,3.61,50.0,1.26,46.44,44.82,12.39,74.13,22.29,51.77,6.05,50.0,10.44,50.0,3.61,50.0,1.26,56.03,33.57,9.28,42.47,12.77,32.77,3.83,50.0,10.44,50.0,3.61,50.0,1.26,41.18
