レースコード,レース日,レース場コード,レース回,状態,1枠_枠番pt,1枠_寄与_枠番pt,1枠_選手pt,1枠_寄与_選手pt,1枠_モーターpt,1枠_寄与_モーターpt,1枠_展示pt,1枠_寄与_展示pt,1枠_気象pt,1枠_寄与_気象pt,1枠_展開優位pt,1枠_寄与_展開優位pt,1枠_強さpt,2枠_枠番pt,2枠_寄与_枠番pt,2枠_選手pt,2枠_寄与_選手pt,2枠_モーターpt,2枠_寄与_モーターpt,2枠_展示pt,2枠_寄与_展示pt,2枠_気象pt,2枠_寄与_気象pt,2枠_展開優位pt,2枠_寄与_展開優位pt,2枠_強さpt,3枠_枠番pt,3枠_寄与_枠番pt,3枠_選手pt,3枠_寄与_選手pt,3枠_モーターpt,3枠_寄与_モーターpt,3枠_展示pt,3枠_寄与_展示pt,3枠_気象pt,3枠_寄与_気象pt,3枠_展開優位pt,3枠_寄与_展開優位pt,3枠_強さpt,4枠_枠番pt,4枠_寄与_枠番pt,4枠_選手pt,4枠_寄与_選手pt,4枠_モーターpt,4枠_寄与_モーターpt,4枠_展示pt,4枠_寄与_展示pt,4枠_気象pt,4枠_寄与_気象pt,4枠_展開優位pt,4枠_寄与_展開優位pt,4枠_強さpt,5枠_枠番pt,5枠_寄与_枠番pt,5枠_選手pt,5枠_寄与_選手pt,5枠_モーターpt,5枠_寄与_モーターpt,5枠_展示pt,5枠_寄与_展示pt,5枠_気象pt,5枠_寄与_気象pt,5枠_展開優位pt,5枠_寄与_展開優位pt,5枠_強さpt,6枠_枠番pt,6枠_寄与_枠番pt,6枠_選手pt,6枠_寄与_選手pt,6枠_モーターpt,6枠_寄与_モーターpt,6枠_展示pt,6枠_寄与_展示pt,6枠_気象pt,6枠_寄与_気象pt,6枠_展開優位pt,6枠_寄与_展開優位pt,6枠_強さpt
202607030401,2026-07-03,04,1R,daily,67.74,21.17,39.86,11.36,50.0,5.65,50.0,10.35,50.0,2.57,50.0,1.55,52.66,53.79,16.81,44.76,12.75,50.0,5.65,50.0,10.35,50.0,2.57,50.0,1.55,49.69,51.51,16.1,42.31,12.06,50.0,5.65,50.0,10.35,50.0,2.57,50.0,1.55,48.28,50.38,15.74,42.31,12.06,50.0,5.65,50.0,10.35,50.0,2.57,50.0,1.55,47.93,42.01,13.13,54.56,15.55,50.0,5.65,50.0,10.35,50.0,2.57,50.0,1.55,48.8,34.13,10.66,30.06,8.57,50.0,5.65,50.0,10.35,50.0,2.57,50.0,1.55,39.36
202607030401,2026-07-03,04,1R,realtime,67.74,21.17,39.86,11.36,50.0,5.65,45.49,9.42,53.61,2.75,49.86,1.55,51.9,53.79,16.81,44.76,12.75,50.0,5.65,41.83,8.66,41.41,2.13,49.86,1.55,47.55,51.51,16.1,42.31,12.06,50.0,5.65,42.94,8.89,53.13,2.73,49.86,1.55,46.97,50.38,15.74,42.31,12.06,50.0,5.65,51.27,10.62,51.89,2.67,49.86,1.55,48.28,42.01,13.13,54.56,15.55,50.0,5.65,67.75,14.03,66.47,3.42,49.86,1.55,53.32,34.13,10.66,30.06,8.57,50.0,5.65,50.74,10.51,33.27,1.71,49.86,1.55,38.65
202607030402,2026-07-03,04,2R,daily,67.74,21.17,54.56,15.55,50.0,5.65,50.0,10.35,50.0,2.57,50.0,1.55,56.84,53.79,16.81,42.31,12.06,50.0,5.65,50.0,10.35,50.0,2.57,50.0,1.55,48.99,51.51,16.1,44.76,12.75,50.0,5.65,50.0,10.35,50.0,2.57,50.0,1.55,48.98,50.38,15.74,44.76,12.75,50.0,5.65,50.0,10.35,50.0,2.57,50.0,1.55,48.63,42.01,13.13,32.51,9.26,50.0,5.65,50.0,10.35,50.0,2.57,50.0,1.55,42.52,34.13,10.66,44.76,12.75,50.0,5.65,50.0,10.35,50.0,2.57,50.0,1.55,43.55
202607030402,2026-07-03,04,2R,realtime,67.74,21.17,54.56,15.55,50.0,5.65,66.98,13.87,53.61,2.75,49.86,1.55,60.54,53.79,16.81,42.31,12.06,50.0,5.65,51.47,10.66,41.41,2.13,49.86,1.55,48.85,51.51,16.1,44.76,12.75,50.0,5.65,57.69,11.95,53.13,2.73,49.86,1.55,50.73,50.38,15.74,44.76,12.75,50.0,5.65,53.81,11.14,51.89,2.67,49.86,1.55,49.51,42.01,13.13,32.51,9.26,50.0,5.65,27.53,5.7,66.47,3.42,49.86,1.55,38.71,34.13,10.66,44.76,12.75,50.0,5.65,42.53,8.81,33.27,1.71,49.86,1.55,41.14
202607030403,2026-07-03,04,3R,daily,67.74,21.17,39.86,11.36,50.0,5.65,50.0,10.35,50.0,2.57,50.0,1.55,52.66,53.79,16.81,49.66,14.15,50.0,5.65,50.0,10.35,50.0,2.57,50.0,1.55,51.09,51.51,16.1,49.66,14.15,50.0,5.65,50.0,10.35,50.0,2.57,50.0,1.55,50.37,50.38,15.74,32.51,9.26,50.0,5.65,50.0,10.35,50.0,2.57,50.0,1.55,45.13,42.01,13.13,61.91,17.64,50.0,5.65,50.0,10.35,50.0,2.57,50.0,1.55,50.9,34.13,10.66,101.11,28.81,50.0,5.65,50.0,10.35,50.0,2.57,50.0,1.55,59.6
202607030403,2026-07-03,04,3R,realtime,67.74,21.17,39.86,11.36,50.0,5.65,41.8,8.66,53.95,2.77,49.86,1.55,51.16,53.79,16.81,49.66,14.15,50.0,5.65,65.8,13.63,42.43,2.18,49.86,1.55,53.97,51.51,16.1,49.66,14.15,50.0,5.65,53.93,11.17,55.05,2.83,49.86,1.55,51.44,34.13,10.66,32.51,9.26,50.0,5.65,36.85,7.63,29.01,1.49,-27.58,-0.86,33.85,50.38,15.74,61.91,17.64,50.0,5.65,43.66,9.04,52.51,2.7,89.75,2.78,53.56,42.01,13.13,101.11,28.81,50.0,5.65,57.97,12.01,66.82,3.43,87.43,2.71,65.74
202607030404,2026-07-03,04,4R,daily,67.74,21.17,42.31,12.06,50.0,5.65,50.0,10.35,50.0,2.57,50.0,1.55,53.35,53.79,16.81,47.21,13.45,50.0,5.65,50.0,10.35,50.0,2.57,50.0,1.55,50.39,51.51,16.1,52.11,14.85,50.0,5.65,50.0,10.35,50.0,2.57,50.0,1.55,51.07,50.38,15.74,37.41,10.66,50.0,5.65,50.0,10.35,50.0,2.57,50.0,1.55,46.53,42.01,13.13,44.76,12.75,50.0,5.65,50.0,10.35,50.0,2.57,50.0,1.55,46.01,34.13,10.66,66.81,19.04,50.0,5.65,50.0,10.35,50.0,2.57,50.0,1.55,49.83
202607030405,2026-07-03,04,5R,daily,67.74,21.17,49.66,14.15,50.0,5.65,50.0,10.35,50.0,2.57,50.0,1.55,55.45,53.79,16.81,39.86,11.36,50.0,5.65,50.0,10.35,50.0,2.57,50.0,1.55,48.29,51.51,16.1,52.11,14.85,50.0,5.65,50.0,10.35,50.0,2.57,50.0,1.55,51.07,50.38,15.74,49.66,14.15,50.0,5.65,50.0,10.35,50.0,2.57,50.0,1.55,50.02,42.01,13.13,47.21,13.45,50.0,5.65,50.0,10.35,50.0,2.57,50.0,1.55,46.71,34.13,10.66,47.21,13.45,50.0,5.65,50.0,10.35,50.0,2.57,50.0,1.55,44.24
202607030406,2026-07-03,04,6R,daily,67.74,21.17,49.66,14.15,50.0,5.65,50.0,10.35,50.0,2.57,50.0,1.55,55.45,53.79,16.81,42.31,12.06,50.0,5.65,50.0,10.35,50.0,2.57,50.0,1.55,48.99,51.51,16.1,64.36,18.34,50.0,5.65,50.0,10.35,50.0,2.57,50.0,1.55,54.56,50.38,15.74,32.51,9.26,50.0,5.65,50.0,10.35,50.0,2.57,50.0,1.55,45.13,42.01,13.13,54.56,15.55,50.0,5.65,50.0,10.35,50.0,2.57,50.0,1.55,48.8,34.13,10.66,44.76,12.75,50.0,5.65,50.0,10.35,50.0,2.57,50.0,1.55,43.55
202607030407,2026-07-03,04,7R,daily,67.74,21.17,47.21,13.45,50.0,5.65,50.0,10.35,50.0,2.57,50.0,1.55,54.75,53.79,16.81,47.21,13.45,50.0,5.65,50.0,10.35,50.0,2.57,50.0,1.55,50.39,51.51,16.1,44.76,12.75,50.0,5.65,50.0,10.35,50.0,2.57,50.0,1.55,48.98,50.38,15.74,30.06,8.57,50.0,5.65,50.0,10.35,50.0,2.57,50.0,1.55,44.44,42.01,13.13,91.31,26.02,50.0,5.65,50.0,10.35,50.0,2.57,50.0,1.55,59.27,34.13,10.66,49.66,14.15,50.0,5.65,50.0,10.35,50.0,2.57,50.0,1.55,44.94
