レースコード,レース日,レース場コード,レース回,1枠_登録番号,1枠_推定ST,1枠_推定ST_p25,1枠_推定ST_p75,2枠_登録番号,2枠_推定ST,2枠_推定ST_p25,2枠_推定ST_p75,3枠_登録番号,3枠_推定ST,3枠_推定ST_p25,3枠_推定ST_p75,4枠_登録番号,4枠_推定ST,4枠_推定ST_p25,4枠_推定ST_p75,5枠_登録番号,5枠_推定ST,5枠_推定ST_p25,5枠_推定ST_p75,6枠_登録番号,6枠_推定ST,6枠_推定ST_p25,6枠_推定ST_p75
202609020501,2026-09-02,05,01R,3454,0.1413,0.1037,0.179,5197,0.1572,0.1115,0.2028,4630,0.1707,0.1362,0.2053,3482,0.1376,0.1026,0.1727,3880,0.1904,0.1454,0.2353,5301,0.165,0.1313,0.1988
202609020502,2026-09-02,05,02R,4572,0.1334,0.0958,0.1709,5091,0.1513,0.1127,0.1899,4407,0.1547,0.1141,0.1952,4113,0.169,0.131,0.207,5066,0.1477,0.1087,0.1867,3654,0.1594,0.1158,0.203
202609020503,2026-09-02,05,03R,5036,0.1212,0.082,0.1603,5315,0.179,0.1303,0.2277,4631,0.164,0.1193,0.2086,5114,0.1625,0.1298,0.1953,4740,0.1729,0.1353,0.2106,5038,0.1534,0.1124,0.1944
202609020504,2026-09-02,05,04R,3805,0.121,0.0886,0.1534,3556,0.1483,0.1089,0.1878,3912,0.1277,0.0849,0.1705,3497,0.1629,0.1185,0.2073,4639,0.1588,0.1151,0.2025,4962,0.1609,0.1226,0.1993
202609020505,2026-09-02,05,05R,3381,0.1174,0.0817,0.153,5050,0.1423,0.1053,0.1794,4930,0.1277,0.0884,0.167,4876,0.1524,0.116,0.1889,4649,0.1214,0.0883,0.1544,4910,0.1524,0.1136,0.1911
202609020506,2026-09-02,05,06R,3482,0.1331,0.0981,0.1682,3880,0.1905,0.1455,0.2354,5091,0.1453,0.1067,0.1839,4808,0.1452,0.1051,0.1852,3441,0.1752,0.1301,0.2203,5096,0.152,0.1193,0.1846
202609020507,2026-09-02,05,07R,4631,0.1625,0.1178,0.2071,4898,0.163,0.1123,0.2137,4113,0.166,0.128,0.204,4594,0.1407,0.1026,0.1788,5197,0.1571,0.1114,0.2027,4532,0.1584,0.1214,0.1953
202609020508,2026-09-02,05,08R,5301,0.1441,0.1104,0.1779,4740,0.173,0.1354,0.2107,4639,0.1529,0.1092,0.1966,4407,0.1577,0.1171,0.1982,5315,0.1789,0.1302,0.2276,4572,0.1543,0.1167,0.1918
202609020509,2026-09-02,05,09R,4962,0.14,0.1017,0.1784,5038,0.14,0.099,0.181,4910,0.133,0.0942,0.1717,3912,0.1307,0.0879,0.1735,5050,0.1422,0.1052,0.1793,4630,0.1901,0.1556,0.2247
202609020510,2026-09-02,05,10R,4649,0.114,0.0809,0.147,5066,0.1478,0.1088,0.1868,4808,0.1422,0.1021,0.1822,4930,0.1307,0.0914,0.17,3556,0.1482,0.1088,0.1877,5036,0.1421,0.1029,0.1812
202609020511,2026-09-02,05,11R,4532,0.1375,0.1005,0.1744,4876,0.1554,0.119,0.1919,4594,0.1377,0.0996,0.1758,5096,0.1356,0.1029,0.1682,3381,0.1248,0.0891,0.1604,3805,0.1419,0.1095,0.1743
202609020512,2026-09-02,05,12R,5089,0.1422,0.1051,0.1794,3909,0.0985,0.0694,0.1276,4150,0.1236,0.0909,0.1564,5280,0.146,0.1056,0.1865,4832,0.1483,0.1058,0.1907,5166,0.1613,0.1228,0.1998
202609020601,2026-09-02,06,01R,3932,0.157,0.1115,0.2026,5079,0.1849,0.1402,0.2297,3518,0.1988,0.1421,0.2555,3801,0.1601,0.1192,0.2011,5436,0.1982,0.1481,0.2483,4994,0.1923,0.1524,0.2322
202609020602,2026-09-02,06,02R,4510,0.2262,0.1829,0.2694,5248,0.1843,0.141,0.2275,5146,0.1479,0.1104,0.1854,5389,0.1671,0.1215,0.2127,4190,0.1779,0.1357,0.22,3778,0.221,0.174,0.268
202609020603,2026-09-02,06,03R,3580,0.1736,0.1202,0.227,4825,0.1302,0.0921,0.1683,4936,0.2131,0.1651,0.261,5052,0.1494,0.0973,0.2015,5439,0.2069,0.1566,0.2572,5151,0.2211,0.1823,0.2598
202609020604,2026-09-02,06,04R,4464,0.1914,0.1463,0.2365,4853,0.2044,0.1576,0.2512,3302,0.1605,0.1149,0.2062,4246,0.1675,0.1313,0.2037,5346,0.2115,0.1559,0.2671,5324,0.2181,0.1751,0.2611
