レースコード,レース日,レース場コード,レース回,1枠_登録番号,1枠_推定ST,1枠_推定ST_p25,1枠_推定ST_p75,2枠_登録番号,2枠_推定ST,2枠_推定ST_p25,2枠_推定ST_p75,3枠_登録番号,3枠_推定ST,3枠_推定ST_p25,3枠_推定ST_p75,4枠_登録番号,4枠_推定ST,4枠_推定ST_p25,4枠_推定ST_p75,5枠_登録番号,5枠_推定ST,5枠_推定ST_p25,5枠_推定ST_p75,6枠_登録番号,6枠_推定ST,6枠_推定ST_p25,6枠_推定ST_p75
202609050101,2026-09-05,01,01R,3653,0.2218,0.1724,0.2713,4562,0.181,0.1405,0.2215,3277,0.1609,0.12,0.2018,4232,0.162,0.1178,0.2062,5122,0.2084,0.1637,0.2531,4342,0.1585,0.1153,0.2016
202609050102,2026-09-05,01,02R,3852,0.1804,0.138,0.2227,5181,0.1745,0.1357,0.2132,4380,0.1544,0.1064,0.2024,4919,0.1759,0.139,0.2127,4513,0.1643,0.1259,0.2027,5228,0.1767,0.1355,0.2178
202609050103,2026-09-05,01,03R,3202,0.1804,0.1338,0.227,5048,0.1733,0.1323,0.2143,4992,0.1414,0.1063,0.1764,3874,0.1407,0.0985,0.1829,3686,0.1731,0.1404,0.2057,5012,0.163,0.1248,0.2011
202609050104,2026-09-05,01,04R,4557,0.1765,0.1358,0.2172,4943,0.1437,0.0999,0.1875,4195,0.1439,0.1084,0.1794,3681,0.1614,0.1222,0.2007,3319,0.1582,0.1231,0.1932,4538,0.1751,0.1249,0.2252
202609050105,2026-09-05,01,05R,4161,0.141,0.1036,0.1783,4028,0.1526,0.1133,0.192,4531,0.1401,0.1041,0.1761,4440,0.1715,0.122,0.221,4562,0.1809,0.1404,0.2214,5430,0.1947,0.1497,0.2396
202609050106,2026-09-05,01,06R,3743,0.1331,0.0942,0.172,3305,0.1617,0.1227,0.2008,3653,0.2233,0.1739,0.2728,3867,0.1817,0.1288,0.2347,4181,0.1883,0.1436,0.2331,5107,0.2073,0.1646,0.25
202609050107,2026-09-05,01,07R,4040,0.1362,0.0973,0.175,5122,0.2085,0.1638,0.2532,3946,0.1485,0.1133,0.1837,5048,0.1703,0.1293,0.2113,3852,0.1878,0.1454,0.2301,5070,0.2042,0.1601,0.2484
202609050108,2026-09-05,01,08R,4033,0.1351,0.1,0.1702,3277,0.1669,0.126,0.2078,4943,0.1377,0.0939,0.1815,5181,0.1715,0.1327,0.2102,4044,0.1279,0.0881,0.1676,4992,0.1608,0.1257,0.1958
202609050109,2026-09-05,01,09R,3475,0.1726,0.1259,0.2194,4342,0.1451,0.1019,0.1882,3319,0.1523,0.1172,0.1873,4513,0.1614,0.123,0.1998,4440,0.1744,0.1249,0.2239,4027,0.185,0.1425,0.2276
202609050110,2026-09-05,01,10R,4195,0.1424,0.1069,0.1779,4118,0.1493,0.1112,0.1873,3686,0.1672,0.1345,0.1998,4877,0.1377,0.1,0.1753,4531,0.146,0.11,0.182,5344,0.143,0.1015,0.1844
202609050111,2026-09-05,01,11R,3874,0.1362,0.094,0.1784,4538,0.1617,0.1115,0.2118,5228,0.1573,0.1161,0.1984,4040,0.1407,0.1018,0.1795,4161,0.1484,0.111,0.1857,4232,0.1784,0.1342,0.2226
202609050112,2026-09-05,01,12R,3946,0.147,0.1118,0.1822,4044,0.128,0.0882,0.1677,4019,0.1597,0.1196,0.1998,3743,0.1376,0.0987,0.1765,4025,0.1698,0.1259,0.2138,4028,0.166,0.1267,0.2054
202609050201,2026-09-05,02,01R,4945,0.1664,0.1289,0.204,4665,0.1736,0.1298,0.2175,4138,0.1383,0.0935,0.183,4129,0.1835,0.1305,0.2366,5419,0.2268,0.1733,0.2803,3911,0.18,0.1385,0.2215
202609050202,2026-09-05,02,02R,5102,0.1924,0.1505,0.2343,4486,0.1756,0.1295,0.2217,5309,0.1598,0.1161,0.2035,4103,0.2111,0.1626,0.2596,4213,0.1826,0.1375,0.2278,5217,0.2343,0.189,0.2797
202609050203,2026-09-05,02,03R,4315,0.1529,0.1177,0.1881,4177,0.1634,0.1186,0.2081,3929,0.1457,0.105,0.1865,5145,0.1453,0.1099,0.1806,4324,0.1292,0.0929,0.1656,5364,0.1741,0.1281,0.2201
202609050204,2026-09-05,02,04R,4650,0.1482,0.1068,0.1896,3893,0.1615,0.1192,0.2038,4787,0.1171,0.0814,0.1529,5111,0.1345,0.0963,0.1727,5330,0.1456,0.1013,0.1899,4495,0.1608,0.1206,0.201
202609050205,2026-09-05,02,05R,4403,0.1269,0.0862,0.1677,3992,0.1611,0.1232,0.1991,3935,0.1356,0.0985,0.1728,4573,0.1525,0.1151,0.1898,4665,0.1735,0.1297,0.2174,3352,0.173,0.1313,0.2148
202609050206,2026-09-05,02,06R,4145,0.2413,0.1996,0.283,4193,0.1448,0.1015,0.1881,5217,0.2149,0.1696,0.2603,4306,0.1821,0.1442,0.22,3566,0.181,0.1339,0.2281,3532,0.2071,0.1614,0.2529
