レースコード,レース日,レース場コード,レース回,1枠_登録番号,1枠_推定ST,1枠_推定ST_p25,1枠_推定ST_p75,2枠_登録番号,2枠_推定ST,2枠_推定ST_p25,2枠_推定ST_p75,3枠_登録番号,3枠_推定ST,3枠_推定ST_p25,3枠_推定ST_p75,4枠_登録番号,4枠_推定ST,4枠_推定ST_p25,4枠_推定ST_p75,5枠_登録番号,5枠_推定ST,5枠_推定ST_p25,5枠_推定ST_p75,6枠_登録番号,6枠_推定ST,6枠_推定ST_p25,6枠_推定ST_p75
202609170401,2026-09-17,04,01R,5022,0.1553,0.1155,0.1952,3857,0.1737,0.1298,0.2177,4082,0.1819,0.1382,0.2255,3107,0.1771,0.1329,0.2214,4053,0.1692,0.1283,0.2101,4697,0.1781,0.1313,0.2248
202609170402,2026-09-17,04,02R,4200,0.1587,0.1133,0.204,3876,0.1648,0.1225,0.2072,3564,0.1514,0.1132,0.1897,5424,0.1934,0.1479,0.2388,3963,0.1602,0.118,0.2024,4880,0.1674,0.1299,0.2049
202609170403,2026-09-17,04,03R,4367,0.1878,0.1427,0.233,4180,0.1492,0.1131,0.1854,5253,0.2354,0.1856,0.2852,4610,0.168,0.1153,0.2208,5393,0.2147,0.1594,0.27,4422,0.1701,0.1279,0.2123
202609170404,2026-09-17,04,04R,4421,0.1721,0.1122,0.232,3439,0.1516,0.1164,0.1867,5237,0.1515,0.1121,0.191,3105,0.1525,0.1161,0.1888,5105,0.1709,0.1313,0.2105,3915,0.1955,0.1509,0.2401
202609170405,2026-09-17,04,05R,5031,0.1396,0.0961,0.1831,3771,0.1363,0.099,0.1737,5104,0.1471,0.1111,0.1832,3432,0.1749,0.13,0.2198,3385,0.1464,0.107,0.1858,4508,0.2107,0.1668,0.2547
202609170406,2026-09-17,04,06R,3904,0.1558,0.1157,0.1959,4651,0.1571,0.1096,0.2046,5023,0.1714,0.1261,0.2167,4932,0.1448,0.1037,0.186,5022,0.1627,0.1229,0.2026,4976,0.1943,0.1484,0.2401
202609170407,2026-09-17,04,07R,5081,0.184,0.1409,0.2271,4659,0.1447,0.1057,0.1837,5209,0.1755,0.129,0.222,5253,0.2384,0.1886,0.2882,3107,0.18,0.1358,0.2243,5424,0.2098,0.1643,0.2552
202609170408,2026-09-17,04,08R,3313,0.1514,0.1102,0.1926,4421,0.1796,0.1197,0.2395,4200,0.1602,0.1148,0.2055,3951,0.2005,0.1589,0.2422,4180,0.1491,0.113,0.1853,3747,0.1617,0.1245,0.1988
202609170409,2026-09-17,04,09R,4610,0.1635,0.1108,0.2163,3564,0.1574,0.1192,0.1957,4377,0.1348,0.0958,0.1738,5104,0.1501,0.1141,0.1862,3105,0.1554,0.119,0.1917,4082,0.2013,0.1576,0.2449
202609170410,2026-09-17,04,10R,5004,0.1546,0.1127,0.1965,4932,0.1478,0.1067,0.189,3771,0.1303,0.093,0.1677,3439,0.1486,0.1134,0.1837,4367,0.1952,0.1501,0.2404,3857,0.1871,0.1432,0.2311
