レースコード,レース日,レース場コード,レース回,1枠_登録番号,1枠_推定ST,1枠_推定ST_p25,1枠_推定ST_p75,2枠_登録番号,2枠_推定ST,2枠_推定ST_p25,2枠_推定ST_p75,3枠_登録番号,3枠_推定ST,3枠_推定ST_p25,3枠_推定ST_p75,4枠_登録番号,4枠_推定ST,4枠_推定ST_p25,4枠_推定ST_p75,5枠_登録番号,5枠_推定ST,5枠_推定ST_p25,5枠_推定ST_p75,6枠_登録番号,6枠_推定ST,6枠_推定ST_p25,6枠_推定ST_p75
202609160512,2026-09-16,05,12R,4238,0.1195,0.0843,0.1547,4371,0.1359,0.0973,0.1745,4571,0.1402,0.0946,0.1857,4847,0.1245,0.0856,0.1634,3783,0.1389,0.1007,0.1771,4166,0.1325,0.0994,0.1655
202609160701,2026-09-16,07,01R,5385,0.1265,0.0833,0.1698,5197,0.1566,0.1117,0.2015,5240,0.1703,0.1097,0.2309,5178,0.1679,0.1232,0.2126,5364,0.1635,0.1212,0.2058,5411,0.1752,0.1285,0.2219
202609160702,2026-09-16,07,02R,5288,0.1352,0.09,0.1805,5246,0.1616,0.1116,0.2116,5232,0.1566,0.1108,0.2023,5325,0.1604,0.1224,0.1984,5434,0.1683,0.1278,0.2089,5196,0.2484,0.2036,0.2931
202609160703,2026-09-16,07,03R,5214,0.1637,0.1177,0.2096,5128,0.164,0.1216,0.2064,5068,0.1317,0.0865,0.1768,5432,0.1334,0.0895,0.1772,5269,0.1226,0.0845,0.1606,5266,0.1676,0.1248,0.2103
202609160704,2026-09-16,07,04R,5331,0.1318,0.0828,0.1807,5166,0.1537,0.1152,0.1923,5280,0.1314,0.0905,0.1722,5239,0.1489,0.1036,0.1942,5301,0.1439,0.1076,0.1803,5337,0.1899,0.1442,0.2357
202609160705,2026-09-16,07,05R,5332,0.1678,0.1283,0.2074,5243,0.153,0.1169,0.1891,5279,0.1315,0.0823,0.1807,5385,0.131,0.0878,0.1743,5234,0.1383,0.1003,0.1762,5303,0.1641,0.122,0.2063
202609160706,2026-09-16,07,06R,5256,0.163,0.129,0.1971,5175,0.1537,0.1053,0.2021,5275,0.131,0.0905,0.1716,5308,0.1623,0.1135,0.211,5240,0.1762,0.1156,0.2368,5434,0.1818,0.1413,0.2224
202609160707,2026-09-16,07,07R,5221,0.1323,0.0973,0.1673,5207,0.1828,0.1405,0.225,5252,0.1183,0.0816,0.155,5246,0.1586,0.1086,0.2086,5128,0.1639,0.1215,0.2063,5364,0.177,0.1347,0.2193
202609160708,2026-09-16,07,08R,5134,0.1324,0.0949,0.1699,5330,0.1413,0.0951,0.1875,5266,0.1482,0.1054,0.1909,5222,0.1726,0.1327,0.2126,5239,0.1518,0.1065,0.1971,5169,0.1958,0.1491,0.2425
202609160709,2026-09-16,07,09R,5255,0.1862,0.1429,0.2295,5238,0.1648,0.1254,0.2041,5325,0.1574,0.1194,0.1954,5145,0.148,0.1107,0.1853,5411,0.1617,0.115,0.2084,5432,0.1498,0.1059,0.1936
