レースコード,レース日,レース場コード,レース回,1枠_登録番号,1枠_推定ST,1枠_推定ST_p25,1枠_推定ST_p75,2枠_登録番号,2枠_推定ST,2枠_推定ST_p25,2枠_推定ST_p75,3枠_登録番号,3枠_推定ST,3枠_推定ST_p25,3枠_推定ST_p75,4枠_登録番号,4枠_推定ST,4枠_推定ST_p25,4枠_推定ST_p75,5枠_登録番号,5枠_推定ST,5枠_推定ST_p25,5枠_推定ST_p75,6枠_登録番号,6枠_推定ST,6枠_推定ST_p25,6枠_推定ST_p75
202609040201,2026-09-04,02,01R,3992,0.1566,0.1198,0.1935,5398,0.1847,0.1408,0.2285,4650,0.1532,0.1119,0.1944,5419,0.2292,0.1753,0.2831,4945,0.174,0.1351,0.2128,4145,0.2581,0.2192,0.297
202609040202,2026-09-04,02,02R,4129,0.1825,0.1306,0.2345,5309,0.1657,0.1202,0.2113,4324,0.1242,0.0874,0.161,4995,0.1705,0.1331,0.2078,4403,0.1318,0.0933,0.1703,3532,0.1782,0.1317,0.2247
202609040203,2026-09-04,02,03R,4495,0.1385,0.098,0.1789,4505,0.1505,0.1086,0.1924,3978,0.1705,0.1306,0.2104,3659,0.1614,0.125,0.1979,5102,0.1965,0.1561,0.2369,5364,0.1602,0.1141,0.2063
202609040204,2026-09-04,02,04R,3911,0.1607,0.1191,0.2023,4213,0.1819,0.1367,0.227,4959,0.1315,0.0981,0.1648,4193,0.1433,0.0999,0.1867,5111,0.1407,0.1028,0.1786,3352,0.1739,0.1317,0.216
202609040205,2026-09-04,02,05R,3746,0.1564,0.1228,0.19,4315,0.1602,0.124,0.1963,4665,0.171,0.1273,0.2146,4787,0.1199,0.0833,0.1565,5419,0.2321,0.1782,0.286,3935,0.1545,0.1169,0.192
202609040206,2026-09-04,02,06R,3929,0.1441,0.1028,0.1853,4573,0.1546,0.1158,0.1934,3532,0.1588,0.1123,0.2053,4145,0.2417,0.2028,0.2806,4103,0.216,0.1709,0.261,5330,0.1567,0.1135,0.1999
202609040207,2026-09-04,02,07R,5217,0.2167,0.1716,0.2618,5288,0.1323,0.0871,0.1775,5398,0.1787,0.1348,0.2225,4129,0.187,0.1351,0.239,5364,0.1467,0.1006,0.1928,4138,0.161,0.1171,0.2049
202609040208,2026-09-04,02,08R,4306,0.1804,0.1435,0.2172,4650,0.1592,0.1179,0.2004,3566,0.1779,0.1314,0.2245,5309,0.1627,0.1172,0.2083,4486,0.175,0.1278,0.2222,4959,0.1509,0.1175,0.1842
202609040209,2026-09-04,02,09R,4785,0.1813,0.1324,0.2302,3746,0.1639,0.1303,0.1975,4213,0.1759,0.1307,0.221,4403,0.1289,0.0904,0.1674,4505,0.1504,0.1085,0.1923,4177,0.1717,0.13,0.2135
202609040210,2026-09-04,02,10R,5111,0.1333,0.0954,0.1712,5145,0.1506,0.1163,0.1849,4103,0.2101,0.165,0.2551,4665,0.174,0.1303,0.2176,3992,0.164,0.1272,0.2009,4324,0.1436,0.1068,0.1804
202609040211,2026-09-04,02,11R,3978,0.169,0.1291,0.2089,5330,0.1433,0.1001,0.1865,4945,0.1681,0.1292,0.2069,5217,0.2212,0.1761,0.2663,4315,0.1601,0.1239,0.1962,3893,0.1762,0.1336,0.2188
202609040212,2026-09-04,02,12R,4787,0.1154,0.0788,0.152,4995,0.1735,0.1361,0.2108,5288,0.1263,0.0811,0.1715,4486,0.1721,0.1249,0.2193,4573,0.1545,0.1157,0.1933,4193,0.1597,0.1163,0.2031
202609040601,2026-09-04,06,01R,3518,0.2,0.1435,0.2565,4853,0.2068,0.1602,0.2535,3801,0.1597,0.1169,0.2025,4510,0.2333,0.1878,0.2789,4464,0.1988,0.1551,0.2425,5439,0.2118,0.1582,0.2653
202609040602,2026-09-04,06,02R,4900,0.1571,0.1109,0.2032,5346,0.2064,0.1513,0.2616,5324,0.2008,0.1579,0.2437,4246,0.1631,0.1265,0.1996,5079,0.1874,0.1409,0.234,4011,0.1702,0.1281,0.2122
202609040603,2026-09-04,06,03R,4098,0.2116,0.1718,0.2514,3932,0.1639,0.1198,0.208,4994,0.1715,0.1323,0.2107,3474,0.173,0.1344,0.2116,5436,0.2014,0.1521,0.2508,4938,0.1523,0.1159,0.1887
202609040604,2026-09-04,06,04R,4117,0.2005,0.1603,0.2408,3357,0.1992,0.15,0.2485,3528,0.1881,0.1446,0.2316,4190,0.1729,0.1312,0.2146,5340,0.1574,0.1051,0.2097,5389,0.1808,0.1349,0.2266
202609040605,2026-09-04,06,05R,3580,0.1686,0.1174,0.2197,3801,0.1657,0.1229,0.2085,3611,0.1317,0.0944,0.1689,4317,0.1682,0.1236,0.2127,3579,0.1686,0.1234,0.2137,4225,0.17,0.131,0.209
202609040606,2026-09-04,06,06R,4936,0.2015,0.1517,0.2513,5052,0.1588,0.1073,0.2103,4853,0.2008,0.1542,0.2475,4433,0.1705,0.1268,0.2142,3518,0.2074,0.1509,0.2639,5079,0.2009,0.1544,0.2475
202609040607,2026-09-04,06,07R,3232,0.1469,0.1115,0.1824,4484,0.1986,0.1213,0.2758,5346,0.2004,0.1453,0.2556,4098,0.2161,0.1763,0.2559,5151,0.2035,0.1645,0.2426,4313,0.1671,0.1276,0.2067
202609040608,2026-09-04,06,08R,4994,0.17,0.1308,0.2092,3302,0.1669,0.1231,0.2107,3357,0.1932,0.144,0.2425,4464,0.1959,0.1522,0.2396,5439,0.1983,0.1447,0.2518,4246,0.1795,0.1429,0.216
202609040609,2026-09-04,06,09R,3474,0.1685,0.1299,0.2071,4510,0.2363,0.1908,0.2819,5340,0.1515,0.0992,0.2038,3528,0.1911,0.1476,0.2346,4317,0.1711,0.1265,0.2156,5436,0.2149,0.1656,0.2643
202609040610,2026-09-04,06,10R,4938,0.1314,0.095,0.1678,4190,0.1759,0.1342,0.2176,3579,0.1627,0.1175,0.2078,3611,0.1347,0.0974,0.1719,4900,0.1645,0.1183,0.2106,3932,0.1773,0.1332,0.2214
202609040611,2026-09-04,06,11R,4433,0.166,0.1223,0.2097,4936,0.209,0.1592,0.2588,4117,0.202,0.1618,0.2423,4484,0.1956,0.1183,0.2728,3580,0.176,0.1248,0.2271,3232,0.1678,0.1324,0.2033
202609040612,2026-09-04,06,12R,4825,0.1203,0.083,0.1575,4208,0.1463,0.1105,0.1821,5188,0.1326,0.0893,0.1758,4419,0.1456,0.1058,0.1855,5248,0.1799,0.1361,0.2236,3618,0.1857,0.1412,0.2303
