レースコード,レース日,レース場コード,レース回,1枠_登録番号,1枠_推定ST,1枠_推定ST_p25,1枠_推定ST_p75,2枠_登録番号,2枠_推定ST,2枠_推定ST_p25,2枠_推定ST_p75,3枠_登録番号,3枠_推定ST,3枠_推定ST_p25,3枠_推定ST_p75,4枠_登録番号,4枠_推定ST,4枠_推定ST_p25,4枠_推定ST_p75,5枠_登録番号,5枠_推定ST,5枠_推定ST_p25,5枠_推定ST_p75,6枠_登録番号,6枠_推定ST,6枠_推定ST_p25,6枠_推定ST_p75
202609010501,2026-09-01,05,01R,5036,0.1222,0.0832,0.1611,4407,0.1605,0.119,0.2021,5096,0.1358,0.1037,0.1679,4898,0.1603,0.1083,0.2122,3497,0.165,0.1191,0.2109,4649,0.1349,0.1017,0.1681
202609010502,2026-09-01,05,02R,4740,0.1646,0.1265,0.2026,4832,0.1504,0.1083,0.1925,4808,0.1412,0.1003,0.1821,3482,0.137,0.1011,0.1729,4113,0.1722,0.1332,0.2111,3454,0.1647,0.1265,0.2028
202609010503,2026-09-01,05,03R,5114,0.1588,0.1258,0.1918,3441,0.1744,0.1288,0.2199,3556,0.1455,0.1063,0.1847,4572,0.1408,0.1031,0.1784,3912,0.1355,0.0919,0.179,5089,0.1648,0.127,0.2026
202609010504,2026-09-01,05,04R,4910,0.1337,0.0955,0.1718,4876,0.1566,0.1194,0.1939,3805,0.1223,0.0898,0.1548,5091,0.1448,0.107,0.1826,5301,0.1511,0.1167,0.1854,3909,0.1111,0.0815,0.1407
202609010505,2026-09-01,05,05R,4630,0.1695,0.1344,0.2045,3497,0.1651,0.1192,0.211,4594,0.1398,0.1011,0.1785,5066,0.1497,0.1125,0.1869,5036,0.1296,0.0906,0.1685,5280,0.1642,0.1234,0.205
202609010506,2026-09-01,05,06R,4639,0.1515,0.1072,0.1958,3654,0.1465,0.1023,0.1907,5050,0.137,0.0997,0.1744,4150,0.1264,0.0929,0.16,4407,0.1604,0.1189,0.202,3482,0.1534,0.1175,0.1893
202609010507,2026-09-01,05,07R,4930,0.126,0.0862,0.1657,4113,0.1723,0.1333,0.2112,3912,0.1296,0.086,0.1731,4973,0.1814,0.1425,0.2203,3441,0.1743,0.1287,0.2198,4532,0.1566,0.119,0.1943
202609010508,2026-09-01,05,08R,3880,0.186,0.1414,0.2305,5166,0.1477,0.1083,0.1871,4967,0.1477,0.1078,0.1876,3454,0.1483,0.1101,0.1864,4572,0.1437,0.106,0.1813,3381,0.1389,0.1023,0.1756
202609010509,2026-09-01,05,09R,5038,0.1318,0.0905,0.1731,4962,0.1469,0.1082,0.1857,5301,0.1452,0.1108,0.1795,4631,0.1653,0.1205,0.2101,5091,0.1477,0.1099,0.1855,4898,0.1767,0.1247,0.2286
202609010510,2026-09-01,05,10R,3909,0.0902,0.0606,0.1198,4649,0.1215,0.0883,0.1547,5066,0.1467,0.1095,0.1839,4832,0.1474,0.1053,0.1895,5096,0.1417,0.1096,0.1738,3556,0.1649,0.1257,0.2041
202609010511,2026-09-01,05,11R,5089,0.1439,0.1061,0.1817,5280,0.1508,0.11,0.1916,4973,0.1784,0.1395,0.2173,4594,0.1428,0.1041,0.1815,4876,0.1565,0.1193,0.1938,3805,0.1417,0.1092,0.1742
202609010512,2026-09-01,05,12R,4532,0.1357,0.0981,0.1734,3381,0.1255,0.0889,0.1622,4150,0.1234,0.0899,0.157,4808,0.1442,0.1033,0.1851,5166,0.1476,0.1082,0.187,4930,0.1469,0.1071,0.1866
202609010601,2026-09-01,06,01R,3474,0.1683,0.1289,0.2077,5324,0.2064,0.162,0.2507,5146,0.1508,0.1133,0.1883,5346,0.2089,0.1516,0.2662,4484,0.2101,0.1295,0.2906,4098,0.2372,0.1967,0.2778
202609010602,2026-09-01,06,02R,3778,0.2055,0.16,0.2509,3528,0.1916,0.1474,0.2358,3611,0.1359,0.0989,0.173,3302,0.1698,0.1256,0.214,4900,0.1675,0.1212,0.2138,3618,0.1878,0.1421,0.2336
202609010603,2026-09-01,06,03R,3579,0.1717,0.1281,0.2152,5188,0.1444,0.1007,0.1882,3357,0.204,0.1571,0.2508,4011,0.1432,0.1014,0.185,4317,0.175,0.1278,0.2223,5389,0.1848,0.1389,0.2308
202609010604,2026-09-01,06,04R,4938,0.1302,0.0923,0.1681,4246,0.1719,0.1349,0.2089,4853,0.1996,0.1524,0.2467,5436,0.1994,0.1511,0.2478,3801,0.1625,0.1207,0.2043,5248,0.1985,0.1546,0.2423
202609010605,2026-09-01,06,05R,5151,0.2007,0.1613,0.2401,4098,0.2238,0.1833,0.2644,4190,0.1725,0.1295,0.2155,4510,0.2293,0.1852,0.2734,4117,0.2119,0.1689,0.255,4464,0.2135,0.1681,0.2588
202609010606,2026-09-01,06,06R,5346,0.2044,0.1471,0.2617,4433,0.1767,0.1343,0.2191,3580,0.1726,0.1191,0.2261,4936,0.2112,0.1663,0.2562,3232,0.1508,0.1129,0.1886,3518,0.2168,0.1593,0.2744
202609010607,2026-09-01,06,07R,3302,0.1653,0.1211,0.2095,4313,0.1353,0.0996,0.171,4225,0.134,0.0954,0.1726,5324,0.2034,0.159,0.2477,5188,0.1443,0.1006,0.1881,5079,0.1982,0.1525,0.2439
202609010608,2026-09-01,06,08R,3611,0.1344,0.0974,0.1715,4484,0.2102,0.1296,0.2907,5052,0.1505,0.0987,0.2023,4208,0.1478,0.1115,0.1842,5340,0.1554,0.1044,0.2064,5439,0.2185,0.1677,0.2694
