記録日,場コード,モーター番号,節数,走数,Σw,Σw2,n_eff,加重平均残差,素点
2026-09-04,02,6,3,14,10.83416,8.417361,13.944871,0.53203,0.30984
2026-09-04,02,7,2,12,9.119395,6.941732,11.980204,0.147236,0.08025
2026-09-04,02,8,3,14,10.869508,8.471508,13.9463,0.370528,0.215795
2026-09-04,02,9,2,13,9.895981,7.54633,12.977228,-0.426581,-0.240927
2026-09-04,02,10,2,12,9.17225,7.022403,11.980254,0.2575,0.14035
2026-09-04,02,11,2,13,9.816693,7.425292,12.978273,-0.166737,-0.094174
2026-09-04,02,12,2,13,9.922318,7.586417,12.977455,-0.199121,-0.112462
2026-09-04,02,13,2,13,9.914006,7.574457,12.97618,-0.112817,-0.063715
2026-09-04,02,14,2,13,9.904293,7.55829,12.978467,0.121922,0.068863
2026-09-04,02,15,2,12,9.093059,6.901645,11.980291,0.526051,0.286722
2026-09-04,02,16,2,13,9.905598,7.562217,12.975145,-0.035384,-0.019983
2026-09-04,02,17,2,12,9.111083,6.929772,11.979015,0.026532,0.01446
2026-09-04,02,18,2,13,9.922318,7.586417,12.977455,0.238405,0.134649
2026-09-04,02,19,2,12,9.181963,7.03857,11.978065,-0.289949,-0.158022
2026-09-04,02,20,2,13,9.914006,7.574457,12.97618,0.020424,0.011535
2026-09-04,02,21,2,13,9.860223,7.490918,12.978916,0.154683,0.087368
2026-09-04,02,22,2,13,9.922318,7.586417,12.977455,0.299509,0.16916
2026-09-04,02,24,2,11,8.387352,6.405845,10.981794,-0.029683,-0.015536
2026-09-04,02,25,2,10,8.165664,6.705883,9.943221,-0.405434,-0.20214
2026-09-04,02,26,2,13,9.904293,7.55829,12.978467,0.4446,0.251115
2026-09-04,02,27,2,11,8.37904,6.393885,10.980541,0.387962,0.203047
2026-09-04,02,28,2,11,8.743842,6.999887,10.922288,-0.50958,-0.266021
2026-09-04,02,29,2,14,10.637641,8.098104,13.973567,0.368596,0.214845
2026-09-04,02,30,2,10,7.862045,6.220826,9.936261,0.636377,0.317171
2026-09-04,02,31,2,12,9.603146,7.736543,11.920107,-0.762741,-0.414777
2026-09-04,02,32,2,12,9.631113,7.781945,11.919685,-0.453421,-0.246565
2026-09-04,02,33,2,13,10.346436,8.293632,12.907341,-0.367851,-0.207269
2026-09-04,02,34,2,10,8.018748,6.471672,9.935659,0.680942,0.339372
2026-09-04,02,35,2,12,9.475885,7.535773,11.915485,0.482332,0.262245
2026-09-04,02,36,2,12,9.584739,7.706993,11.919981,0.528905,0.287616
2026-09-04,02,37,2,9,7.158197,5.731123,8.940619,-0.75261,-0.355258
2026-09-04,02,38,1,6,5.124113,4.376804,5.999021,0.137799,0.051669
2026-09-04,02,39,1,4,2.894635,2.094868,3.999733,0.209377,0.059819
2026-09-04,02,40,2,13,10.346436,8.293632,12.907341,-0.470824,-0.26529
2026-09-04,02,41,1,5,3.618366,2.618794,4.999466,-0.689175,-0.229709
2026-09-04,02,42,2,10,8.13906,6.664769,9.939474,0.489365,0.24394
2026-09-04,02,44,2,12,9.61303,7.753457,11.9186,0.206179,0.112113
2026-09-04,02,45,2,16,13.104712,10.757048,15.964741,0.35103,0.215835
2026-09-04,02,46,3,19,11.496045,7.505788,17.60762,-0.132349,-0.08441
2026-09-04,02,47,3,21,15.011238,11.302177,19.93751,-0.242961,-0.161805
2026-09-04,02,48,2,14,11.497152,9.462168,13.96979,0.212731,0.123981
2026-09-04,02,58,6,41,26.005686,17.32059,39.045765,-0.077474,-0.061677
2026-09-04,02,63,6,41,22.855464,13.554479,38.538717,0.488447,0.387817
2026-09-04,06,1,6,47,33.067744,24.58959,44.469051,-0.061445,-0.050165
2026-09-04,06,2,6,46,33.680033,25.773441,44.012153,0.126841,0.103357
2026-09-04,06,3,6,43,27.597918,19.372764,39.315253,-0.042734,-0.034069
2026-09-04,06,5,6,46,32.710082,24.593656,43.505101,0.368417,0.29956
2026-09-04,06,6,6,44,32.41149,24.917325,42.15961,0.093611,0.075664
2026-09-04,06,7,6,45,32.08621,24.360628,42.261836,-0.214138,-0.173164
2026-09-04,06,8,6,41,27.582042,19.547369,38.919253,-0.221276,-0.176043
2026-09-04,06,9,6,38,25.073977,17.807343,35.305904,-0.258149,-0.20117
2026-09-04,06,11,6,41,27.155865,19.011514,38.789179,0.108646,0.086377
2026-09-04,06,13,6,45,33.588031,26.001,43.388939,0.502188,0.408126
2026-09-04,06,14,6,43,27.514378,18.993615,39.857656,-0.047878,-0.038275
2026-09-04,06,16,6,46,31.603918,23.373259,42.732922,-0.266107,-0.215644
2026-09-04,06,17,6,43,31.538503,24.034646,41.38514,0.107646,0.086697
2026-09-04,06,18,6,41,25.515267,17.497377,37.207225,-0.252523,-0.19903
2026-09-04,06,19,6,41,30.268813,23.161049,39.55784,0.062443,0.049843
2026-09-04,06,20,6,49,34.335589,25.437377,46.346471,0.092489,0.076075
2026-09-04,06,22,6,47,33.53268,25.237101,44.555063,0.199688,0.163085
2026-09-04,06,23,6,47,34.066934,25.925969,44.764228,0.10398,0.084993
2026-09-04,06,24,6,40,24.713841,16.735626,36.495434,-0.19174,-0.150502
2026-09-04,06,26,6,46,34.183845,26.389678,44.280013,0.438456,0.35768
2026-09-04,06,30,5,32,22.093911,16.844117,28.979906,-0.088924,-0.066111
2026-09-04,06,32,6,43,32.047465,24.739833,41.513621,0.296621,0.23904
2026-09-04,06,34,6,44,31.075264,23.17757,41.664075,-0.470156,-0.379153
2026-09-04,06,36,6,40,24.425602,16.78024,35.554321,-0.62525,-0.487996
2026-09-04,06,37,6,47,33.004812,24.723375,44.060232,0.116442,0.094903
2026-09-04,06,38,6,45,33.408502,25.762383,43.323944,-0.091378,-0.074242
2026-09-04,06,41,6,41,25.795588,18.232509,36.495929,0.043145,0.033866
2026-09-04,06,45,6,46,29.912048,20.748166,43.12336,0.132795,0.107797
2026-09-04,06,46,6,46,29.428996,20.384205,42.487102,0.132662,0.107387
2026-09-04,06,48,6,45,33.334084,25.608775,43.38986,-0.084334,-0.068538
2026-09-04,06,49,6,44,32.792927,25.391405,42.351972,-0.007122,-0.005761
2026-09-04,06,51,6,41,27.088196,18.942107,38.737526,-0.059379,-0.047196
2026-09-04,06,52,6,44,29.35483,20.64243,41.74441,0.18846,0.152039
2026-09-04,06,53,6,43,27.709369,19.842323,38.695526,-0.305104,-0.242448
2026-09-04,06,54,6,41,27.73726,19.947545,38.568937,0.226971,0.180239
2026-09-04,06,55,6,49,31.36129,21.62684,45.47731,0.205419,0.168392
2026-09-04,06,56,6,41,25.319879,17.020278,37.666617,-0.195167,-0.154223
2026-09-04,06,58,6,42,26.065448,18.000838,37.743106,0.096001,0.075893
2026-09-04,06,59,6,43,27.520063,19.388137,39.062746,0.528833,0.421046
2026-09-04,06,61,6,45,30.643102,21.95028,42.778483,0.455854,0.369483
2026-09-04,06,62,6,42,26.906378,18.550812,39.025417,0.207689,0.165326
2026-09-04,06,63,6,45,29.771535,21.038808,42.129016,0.020476,0.016548
2026-09-04,06,66,6,44,28.115354,19.507432,40.52164,0.145536,0.11673
2026-09-04,07,11,2,16,13.688713,11.811063,15.86486,0.369863,0.226864
2026-09-04,07,12,2,15,12.735701,10.905629,14.872877,-0.183705,-0.109847
2026-09-04,07,13,1,7,5.420616,4.198455,6.998546,-0.43765,-0.180187
2026-09-04,07,14,2,17,14.464285,12.412575,16.855128,0.524993,0.329502
2026-09-04,07,15,2,15,12.887789,11.173047,14.865693,-0.001176,-0.000703
2026-09-04,07,16,2,19,16.176612,13.897253,18.82982,0.124319,0.081198
2026-09-04,07,17,2,16,13.840469,12.077371,15.86095,-0.436784,-0.267887
2026-09-04,07,18,2,15,12.895012,11.181102,14.871641,-0.017645,-0.010551
2026-09-04,07,19,2,16,13.838887,12.072001,15.864378,0.515129,0.315964
2026-09-04,07,20,2,15,12.716054,10.871856,14.873084,-0.425066,-0.254172
2026-09-04,07,21,2,15,12.735453,10.90471,14.873552,0.018108,0.010828
2026-09-04,07,22,2,16,13.710148,11.85084,15.861167,-0.265671,-0.162941
2026-09-04,07,23,2,14,11.293082,9.134097,13.962375,-0.267725,-0.155998
2026-09-04,07,24,2,12,9.647831,7.777581,11.967815,-0.647246,-0.352612
2026-09-04,07,25,2,13,10.58436,8.643173,12.961522,0.010328,0.00583
2026-09-04,07,26,2,12,9.714797,7.888565,11.963809,-0.260299,-0.141786
2026-09-04,07,27,1,6,5.163538,4.444083,5.999466,0.335013,0.125623
2026-09-04,07,28,2,13,10.517303,8.53195,12.964641,0.126297,0.071301
2026-09-04,07,29,2,13,10.498498,8.501216,12.965024,0.462184,0.260928
2026-09-04,07,30,2,13,10.518382,8.535439,12.961999,0.415445,0.234518
2026-09-04,07,31,2,16,12.920297,10.46242,15.95559,0.671899,0.413034
2026-09-04,07,32,2,13,10.527188,8.548864,12.963322,0.353788,0.199721
2026-09-04,07,46,2,14,11.951012,10.289728,13.880512,-0.585863,-0.340532
2026-09-04,07,47,2,17,14.278143,12.09555,16.854577,-0.025475,-0.015989
2026-09-04,07,48,2,20,17.088334,14.72849,19.826279,-0.06425,-0.042708
2026-09-04,07,49,2,19,16.32167,14.140716,18.838997,-0.034299,-0.022406
2026-09-04,07,50,2,14,11.953174,10.297127,13.875556,-0.058163,-0.033802
2026-09-04,07,51,2,14,11.933195,10.262244,13.876218,-0.374151,-0.217447
2026-09-04,07,52,2,18,15.243579,13.026702,17.837722,0.167683,0.107447
2026-09-04,07,53,2,18,15.537086,13.525144,17.848315,0.137874,0.088365
2026-09-04,07,54,2,16,13.688713,11.811063,15.86486,-0.882409,-0.541247
2026-09-04,07,55,2,14,11.940171,10.26938,13.882793,-0.323077,-0.187801
2026-09-04,07,56,2,16,13.679328,11.795609,15.86387,-0.529728,-0.324914
2026-09-04,07,57,2,13,10.527394,8.549499,12.962866,-0.249322,-0.140746
2026-09-04,07,58,2,13,10.58436,8.643173,12.961522,-1.166388,-0.658413
2026-09-04,07,59,2,13,10.58436,8.643173,12.961522,-0.090499,-0.051086
2026-09-04,07,60,2,14,11.19908,8.980927,13.965082,0.190726,0.111141
2026-09-04,07,61,2,11,8.854131,7.147621,10.968074,-0.462511,-0.241932
2026-09-04,07,62,2,13,10.536199,8.562924,12.964205,0.247419,0.139678
2026-09-04,07,63,2,13,10.58436,8.643173,12.961522,-0.182088,-0.102787
2026-09-04,07,64,2,13,10.507304,8.51464,12.966307,0.038447,0.021707
2026-09-04,07,65,2,14,11.301888,9.147522,13.963635,-0.292555,-0.170472
2026-09-04,07,66,2,14,11.378061,9.273134,13.960789,0.238786,0.139129
2026-09-04,07,77,6,41,25.208804,17.405933,36.509608,0.122426,0.096103
2026-09-04,09,11,6,34,24.541651,18.499139,32.557875,0.06729,0.051479
2026-09-04,09,12,6,38,23.542606,15.4525,35.868262,0.172483,0.134879
2026-09-04,09,13,6,40,28.948857,21.778383,38.48019,-0.185565,-0.147288
2026-09-04,09,14,6,36,25.803666,19.348734,34.412029,0.235659,0.182597
2026-09-04,09,15,6,42,26.54258,17.512401,40.229124,0.076519,0.061285
2026-09-04,09,16,6,41,26.652911,18.712007,37.963735,-0.172441,-0.136489
2026-09-04,09,18,6,35,23.236522,16.675481,32.379034,0.031947,0.024408
2026-09-04,09,20,6,40,27.878446,20.301831,38.282644,-0.262295,-0.20797
2026-09-04,09,21,6,37,26.644838,19.900717,35.674464,0.047842,0.037367
2026-09-04,09,22,6,41,22.967624,13.695815,38.516274,-0.040583,-0.032218
2026-09-04,09,23,6,34,22.367756,15.485128,32.309485,-0.053572,-0.04091
2026-09-04,09,24,5,39,24.216105,15.868107,36.955872,0.102791,0.0809
2026-09-04,09,25,4,25,15.649766,10.386393,23.580389,0.290633,0.204084
2026-09-04,09,26,5,33,24.160286,18.482323,31.582579,0.373877,0.283965
2026-09-04,09,27,4,27,13.848245,7.184692,26.692014,0.106749,0.077655
2026-09-04,09,28,6,37,20.616145,12.204872,34.824241,-0.258233,-0.200623
2026-09-04,09,30,6,45,30.256484,21.686706,42.212719,0.264498,0.21384
2026-09-04,09,31,6,39,28.222377,21.235309,37.508404,0.184581,0.145729
2026-09-04,09,32,6,41,27.57731,19.800869,38.40781,0.098659,0.078278
