レースコード,レース日,レース場コード,レース回,状態,1枠_枠番pt,1枠_寄与_枠番pt,1枠_選手pt,1枠_寄与_選手pt,1枠_モーターpt,1枠_寄与_モーターpt,1枠_展示pt,1枠_寄与_展示pt,1枠_気象pt,1枠_寄与_気象pt,1枠_強さpt,2枠_枠番pt,2枠_寄与_枠番pt,2枠_選手pt,2枠_寄与_選手pt,2枠_モーターpt,2枠_寄与_モーターpt,2枠_展示pt,2枠_寄与_展示pt,2枠_気象pt,2枠_寄与_気象pt,2枠_強さpt,3枠_枠番pt,3枠_寄与_枠番pt,3枠_選手pt,3枠_寄与_選手pt,3枠_モーターpt,3枠_寄与_モーターpt,3枠_展示pt,3枠_寄与_展示pt,3枠_気象pt,3枠_寄与_気象pt,3枠_強さpt,4枠_枠番pt,4枠_寄与_枠番pt,4枠_選手pt,4枠_寄与_選手pt,4枠_モーターpt,4枠_寄与_モーターpt,4枠_展示pt,4枠_寄与_展示pt,4枠_気象pt,4枠_寄与_気象pt,4枠_強さpt,5枠_枠番pt,5枠_寄与_枠番pt,5枠_選手pt,5枠_寄与_選手pt,5枠_モーターpt,5枠_寄与_モーターpt,5枠_展示pt,5枠_寄与_展示pt,5枠_気象pt,5枠_寄与_気象pt,5枠_強さpt,6枠_枠番pt,6枠_寄与_枠番pt,6枠_選手pt,6枠_寄与_選手pt,6枠_モーターpt,6枠_寄与_モーターpt,6枠_展示pt,6枠_寄与_展示pt,6枠_気象pt,6枠_寄与_気象pt,6枠_強さpt
202608091404,2026-08-09,14,4R,realtime,66.44,24.63,55.7,10.65,50.44,5.49,71.31,16.26,52.4,5.3,62.33,52.08,19.31,46.89,8.97,56.93,6.19,60.59,13.82,41.36,4.18,52.47,52.19,19.35,41.61,7.96,35.88,3.9,46.75,10.66,55.0,5.56,47.43,49.59,18.39,43.37,8.3,51.62,5.62,45.47,10.37,45.43,4.59,47.26,45.11,16.73,45.13,8.63,41.84,4.55,35.5,8.1,59.69,6.03,44.04,34.45,12.77,53.93,10.32,52.99,5.77,40.22,9.17,46.09,4.66,42.68
202608091405,2026-08-09,14,5R,daily,66.44,24.63,52.17,9.98,61.85,6.73,50.0,11.4,50.0,5.05,57.8,52.08,19.31,41.61,7.96,43.17,4.7,50.0,11.4,50.0,5.05,48.42,52.19,19.35,43.37,8.3,52.45,5.71,50.0,11.4,50.0,5.05,49.81,49.59,18.39,43.37,8.3,37.96,4.13,50.0,11.4,50.0,5.05,47.27,45.11,16.73,57.46,10.99,61.49,6.69,50.0,11.4,50.0,5.05,50.86,34.45,12.77,39.85,7.62,43.08,4.69,50.0,11.4,50.0,5.05,41.54
202608091405,2026-08-09,14,5R,realtime,66.44,24.63,52.17,9.98,58.08,6.32,61.57,14.04,43.78,4.42,59.4,52.08,19.31,41.61,7.96,43.79,4.76,33.3,7.59,44.04,4.45,44.08,52.19,19.35,43.37,8.3,49.08,5.34,45.42,10.36,52.38,5.29,48.64,49.59,18.39,43.37,8.3,42.47,4.62,42.49,9.69,60.74,6.14,47.13,45.11,16.73,57.46,10.99,58.34,6.35,57.87,13.2,50.37,5.09,52.36,34.45,12.77,39.85,7.62,44.59,4.85,59.16,13.49,48.68,4.92,43.66
202608091406,2026-08-09,14,6R,daily,66.44,24.63,46.89,8.97,60.09,6.54,50.0,11.4,50.0,5.05,56.6,52.08,19.31,46.89,8.97,50.82,5.53,50.0,11.4,50.0,5.05,50.27,52.19,19.35,41.61,7.96,53.87,5.86,50.0,11.4,50.0,5.05,49.63,49.59,18.39,41.61,7.96,60.36,6.57,50.0,11.4,50.0,5.05,49.37,45.11,16.73,50.41,9.64,66.24,7.21,50.0,11.4,50.0,5.05,50.03,34.45,12.77,59.22,11.33,46.92,5.11,50.0,11.4,50.0,5.05,45.66
202608091406,2026-08-09,14,6R,realtime,66.44,24.63,46.89,8.97,58.67,6.38,50.65,11.55,40.49,4.09,55.63,52.08,19.31,46.89,8.97,50.7,5.52,47.73,10.88,41.06,4.15,48.83,52.19,19.35,41.61,7.96,49.89,5.43,38.86,8.86,53.89,5.45,47.05,49.59,18.39,41.61,7.96,53.0,5.77,55.91,12.75,66.77,6.75,51.61,45.11,16.73,50.41,9.64,63.08,6.86,54.65,12.46,50.41,5.1,50.79,34.45,12.77,59.22,11.33,48.37,5.26,52.0,11.86,47.38,4.79,46.01
202608091407,2026-08-09,14,7R,daily,66.44,24.63,48.65,9.31,56.15,6.11,50.0,11.4,50.0,5.05,56.51,52.08,19.31,43.37,8.3,58.61,6.38,50.0,11.4,50.0,5.05,50.44,52.19,19.35,45.13,8.63,33.89,3.69,50.0,11.4,50.0,5.05,48.13,49.59,18.39,48.65,9.31,51.68,5.62,50.0,11.4,50.0,5.05,49.77,45.11,16.73,60.98,11.66,58.97,6.42,50.0,11.4,50.0,5.05,51.26,34.45,12.77,45.13,8.63,69.28,7.54,50.0,11.4,50.0,5.05,45.4
202608091407,2026-08-09,14,7R,realtime,66.44,24.63,48.65,9.31,49.8,5.42,65.37,14.91,40.85,4.13,58.39,52.08,19.31,43.37,8.3,53.99,5.87,60.2,13.73,41.06,4.15,51.36,52.19,19.35,45.13,8.63,37.74,4.11,52.73,12.03,53.25,5.38,49.5,49.59,18.39,48.65,9.31,46.6,5.07,27.41,6.25,65.46,6.62,45.63,45.11,16.73,60.98,11.66,59.75,6.5,39.79,9.07,50.72,5.13,49.09,34.45,12.77,45.13,8.63,48.69,5.3,54.33,12.39,48.66,4.92,44.01
202608091408,2026-08-09,14,8R,daily,66.44,24.63,43.37,8.3,57.81,6.29,50.0,11.4,50.0,5.05,55.68,52.08,19.31,41.61,7.96,60.76,6.61,50.0,11.4,50.0,5.05,50.34,52.19,19.35,46.89,8.97,52.56,5.72,50.0,11.4,50.0,5.05,50.49,49.59,18.39,46.89,8.97,34.93,3.8,50.0,11.4,50.0,5.05,47.61,45.11,16.73,41.61,7.96,56.4,6.14,50.0,11.4,50.0,5.05,47.28,34.45,12.77,50.41,9.64,52.38,5.7,50.0,11.4,50.0,5.05,44.57
202608091408,2026-08-09,14,8R,realtime,66.44,24.63,43.37,8.3,62.83,6.84,73.17,16.69,44.13,4.46,60.91,52.08,19.31,41.61,7.96,56.78,6.18,45.86,10.46,44.04,4.45,48.36,52.19,19.35,46.89,8.97,52.94,5.76,57.13,13.03,51.74,5.23,52.34,49.59,18.39,46.89,8.97,35.81,3.9,49.78,11.35,59.43,6.01,48.61,45.11,16.73,41.61,7.96,57.06,6.21,33.57,7.65,50.68,5.12,43.67,34.45,12.77,50.41,9.64,42.39,4.61,40.32,9.19,49.96,5.05,41.27
202608091409,2026-08-09,14,9R,daily,66.44,24.63,43.37,8.3,45.34,4.93,50.0,11.4,50.0,5.05,54.32,52.08,19.31,48.65,9.31,37.59,4.09,50.0,11.4,50.0,5.05,49.16,52.19,19.35,41.61,7.96,54.85,5.97,50.0,11.4,50.0,5.05,49.73,49.59,18.39,48.65,9.31,49.44,5.38,50.0,11.4,50.0,5.05,49.53,45.11,16.73,45.13,8.63,63.79,6.94,50.0,11.4,50.0,5.05,48.76,34.45,12.77,31.04,5.94,39.85,4.34,50.0,11.4,50.0,5.05,39.5
