場コード,レース回,n,1コース勝率,2コース勝率,3コース勝率,4コース勝率,5コース勝率,6コース勝率
17,3,147,48.52,19.86,14.64,8.61,6.97,1.40
17,4,147,50.04,12.25,19.21,11.66,4.43,2.42
17,5,147,54.61,11.23,12.61,11.15,8.49,1.91
17,6,147,61.21,10.22,13.11,11.15,2.90,1.40
17,7,146,51.32,14.86,15.22,11.72,5.98,0.90
17,8,147,55.12,11.74,12.10,11.66,7.47,1.91
17,9,147,55.63,10.72,13.11,11.66,7.47,1.40
17,10,147,54.11,14.78,16.16,8.10,5.44,1.40
17,11,147,65.78,9.20,13.11,6.58,4.94,0.39
17,12,146,69.69,7.72,12.16,7.63,1.90,0.90
18,1,154,76.63,4.98,8.16,6.54,3.44,0.25
18,2,154,66.83,9.88,8.65,10.95,3.44,0.25
18,3,155,69.43,9.35,11.05,6.51,2.93,0.74
18,4,154,65.85,15.77,10.12,5.56,1.97,0.74
18,5,154,59.47,9.88,12.57,11.44,5.89,0.74
18,6,153,54.84,14.37,11.16,12.48,4.93,2.22
18,7,153,54.84,14.86,16.08,9.53,3.95,0.75
18,8,154,51.63,20.18,14.04,8.50,5.40,0.25
18,9,153,58.29,13.87,13.62,8.05,3.95,2.22
18,10,152,55.61,13.94,13.19,9.58,5.45,2.24
18,11,151,62.85,14.01,9.77,8.63,3.98,0.75
18,12,155,75.28,6.91,7.14,6.51,2.93,1.23
19,1,128,58.80,14.98,10.09,11.50,3.04,1.58
19,2,128,54.87,16.11,12.90,7.56,6.97,1.58
19,3,129,56.24,8.75,13.95,11.43,7.49,2.13
19,4,128,55.43,11.05,15.71,9.25,6.97,1.58
19,5,129,62.39,11.55,12.27,7.52,5.26,1.01
19,6,128,54.31,14.42,15.15,9.81,5.29,1.02
19,7,128,59.93,9.93,12.34,10.94,4.73,2.14
19,8,128,64.98,12.17,11.22,8.13,3.04,0.46
19,9,127,63.66,8.85,11.28,7.61,5.32,3.29
19,10,127,66.48,8.29,10.15,7.04,5.32,2.72
19,11,127,68.74,10.55,10.15,8.17,1.93,0.46
19,12,127,70.44,9.42,7.89,8.17,2.49,1.59
20,1,138,54.81,14.15,11.86,11.70,6.48,0.99
20,2,138,51.62,12.55,13.46,13.83,5.95,2.59
20,3,138,43.11,18.40,17.18,13.30,5.95,2.06
20,4,137,50.83,14.76,14.07,13.90,4.91,1.53
20,5,138,73.43,14.68,4.42,5.85,1.16,0.46
20,6,136,52.17,13.23,14.14,10.21,6.02,4.23
20,7,136,61.85,12.69,8.23,10.75,4.94,1.54
20,8,136,66.69,15.91,8.23,6.45,1.72,1.00
20,9,135,64.35,11.14,7.73,8.65,4.97,3.17
20,10,135,64.89,13.30,8.81,8.65,3.35,1.01
20,11,135,73.54,8.43,7.73,5.94,3.89,0.47
20,12,119,64.52,8.64,11.42,10.65,3.07,1.69
21,1,139,68.44,8.49,6.00,8.84,6.65,1.59
21,2,142,60.60,8.35,7.99,14.43,6.54,2.08
21,3,142,62.68,5.23,13.19,9.23,8.11,1.56
21,4,142,65.81,6.27,10.59,8.71,6.54,2.08
21,5,142,66.33,7.31,8.51,6.10,8.63,3.13
21,6,142,43.93,15.64,16.84,10.79,9.15,3.65
21,7,142,57.99,12.00,7.47,12.35,8.63,1.56
21,8,141,50.44,19.92,12.74,9.80,6.06,1.05
21,9,141,63.53,10.49,9.07,7.70,7.63,1.57
21,10,141,60.39,10.49,11.17,8.23,7.10,2.62
21,11,141,63.01,7.87,13.26,9.27,5.01,1.57
21,12,142,65.29,8.87,11.11,7.66,5.50,1.56
22,1,134,71.00,11.69,8.09,7.48,1.49,0.25
22,2,134,55.78,19.84,12.98,8.02,3.12,0.25
22,3,134,48.17,11.69,31.46,4.21,3.12,1.34
22,4,134,44.91,22.02,18.96,10.19,3.66,0.25
22,5,134,49.80,20.39,12.98,10.74,5.29,0.80
22,6,134,50.89,17.13,15.16,9.65,4.75,2.43
22,7,135,57.10,13.79,12.37,10.14,6.34,0.25
22,8,134,64.48,14.95,8.64,6.93,3.66,1.34
22,9,134,63.93,12.78,12.44,5.30,3.66,1.88
22,10,135,64.13,14.87,11.29,6.35,2.02,1.33
22,11,135,69.54,9.47,11.83,5.81,3.10,0.25
22,12,134,71.54,11.69,9.18,5.30,1.49,0.80
23,1,127,76.11,6.19,8.41,4.23,4.59,0.48
23,2,129,63.53,13.38,7.75,7.53,7.33,0.47
23,3,129,59.06,7.79,15.58,12.00,3.98,1.59
23,4,128,47.03,17.39,13.42,12.07,6.81,3.28
23,5,129,64.65,11.15,7.75,9.21,6.21,1.03
23,6,129,48.45,17.29,14.46,9.21,9.00,1.59
23,7,128,43.66,18.51,15.10,11.51,7.93,3.28
23,8,128,49.28,18.51,13.98,10.38,6.25,1.60
23,9,128,49.28,18.51,17.35,7.01,5.68,2.16
23,10,128,56.02,17.95,8.92,9.82,5.68,1.60
23,11,128,63.33,12.33,8.36,7.01,7.37,1.60
23,12,128,68.94,7.84,10.05,7.57,4.00,1.60
24,1,136,51.13,13.92,13.98,12.55,6.95,1.47
24,2,135,54.10,19.94,9.19,9.91,4.83,2.02
24,3,135,50.32,19.40,11.90,9.91,7.53,0.94
24,4,136,56.50,12.31,11.30,11.47,7.49,0.93
24,5,137,54.60,12.78,13.91,9.81,7.45,1.46
24,6,137,56.73,11.71,8.56,13.01,8.52,1.46
24,7,137,71.71,7.97,9.63,6.06,3.17,1.46
24,8,137,69.57,10.64,9.10,7.13,2.64,0.93
24,9,137,64.76,11.17,9.63,6.60,6.38,1.46
24,10,137,71.17,7.97,5.89,5.53,6.38,3.07
24,11,137,75.45,5.83,6.42,6.06,5.31,0.93
24,12,136,69.94,8.01,10.76,6.10,3.73,1.47
