レースコード,レース日,レース場コード,レース回,艇1_選手名,艇1_枠番別勝率,艇1_枠番別平均ST,艇1_枠番別平均スタート順,艇1_過去1走_着順,艇1_過去1走_進入,艇1_過去1走_グレード,艇1_過去2走_着順,艇1_過去2走_進入,艇1_過去2走_グレード,艇1_過去3走_着順,艇1_過去3走_進入,艇1_過去3走_グレード,艇1_過去4走_着順,艇1_過去4走_進入,艇1_過去4走_グレード,艇1_過去5走_着順,艇1_過去5走_進入,艇1_過去5走_グレード,艇1_過去6走_着順,艇1_過去6走_進入,艇1_過去6走_グレード,艇1_過去7走_着順,艇1_過去7走_進入,艇1_過去7走_グレード,艇1_過去8走_着順,艇1_過去8走_進入,艇1_過去8走_グレード,艇1_過去9走_着順,艇1_過去9走_進入,艇1_過去9走_グレード,艇1_過去10走_着順,艇1_過去10走_進入,艇1_過去10走_グレード,艇2_選手名,艇2_枠番別勝率,艇2_枠番別平均ST,艇2_枠番別平均スタート順,艇2_過去1走_着順,艇2_過去1走_進入,艇2_過去1走_グレード,艇2_過去2走_着順,艇2_過去2走_進入,艇2_過去2走_グレード,艇2_過去3走_着順,艇2_過去3走_進入,艇2_過去3走_グレード,艇2_過去4走_着順,艇2_過去4走_進入,艇2_過去4走_グレード,艇2_過去5走_着順,艇2_過去5走_進入,艇2_過去5走_グレード,艇2_過去6走_着順,艇2_過去6走_進入,艇2_過去6走_グレード,艇2_過去7走_着順,艇2_過去7走_進入,艇2_過去7走_グレード,艇2_過去8走_着順,艇2_過去8走_進入,艇2_過去8走_グレード,艇2_過去9走_着順,艇2_過去9走_進入,艇2_過去9走_グレード,艇2_過去10走_着順,艇2_過去10走_進入,艇2_過去10走_グレード,艇3_選手名,艇3_枠番別勝率,艇3_枠番別平均ST,艇3_枠番別平均スタート順,艇3_過去1走_着順,艇3_過去1走_進入,艇3_過去1走_グレード,艇3_過去2走_着順,艇3_過去2走_進入,艇3_過去2走_グレード,艇3_過去3走_着順,艇3_過去3走_進入,艇3_過去3走_グレード,艇3_過去4走_着順,艇3_過去4走_進入,艇3_過去4走_グレード,艇3_過去5走_着順,艇3_過去5走_進入,艇3_過去5走_グレード,艇3_過去6走_着順,艇3_過去6走_進入,艇3_過去6走_グレード,艇3_過去7走_着順,艇3_過去7走_進入,艇3_過去7走_グレード,艇3_過去8走_着順,艇3_過去8走_進入,艇3_過去8走_グレード,艇3_過去9走_着順,艇3_過去9走_進入,艇3_過去9走_グレード,艇3_過去10走_着順,艇3_過去10走_進入,艇3_過去10走_グレード,艇4_選手名,艇4_枠番別勝率,艇4_枠番別平均ST,艇4_枠番別平均スタート順,艇4_過去1走_着順,艇4_過去1走_進入,艇4_過去1走_グレード,艇4_過去2走_着順,艇4_過去2走_進入,艇4_過去2走_グレード,艇4_過去3走_着順,艇4_過去3走_進入,艇4_過去3走_グレード,艇4_過去4走_着順,艇4_過去4走_進入,艇4_過去4走_グレード,艇4_過去5走_着順,艇4_過去5走_進入,艇4_過去5走_グレード,艇4_過去6走_着順,艇4_過去6走_進入,艇4_過去6走_グレード,艇4_過去7走_着順,艇4_過去7走_進入,艇4_過去7走_グレード,艇4_過去8走_着順,艇4_過去8走_進入,艇4_過去8走_グレード,艇4_過去9走_着順,艇4_過去9走_進入,艇4_過去9走_グレード,艇4_過去10走_着順,艇4_過去10走_進入,艇4_過去10走_グレード,艇5_選手名,艇5_枠番別勝率,艇5_枠番別平均ST,艇5_枠番別平均スタート順,艇5_過去1走_着順,艇5_過去1走_進入,艇5_過去1走_グレード,艇5_過去2走_着順,艇5_過去2走_進入,艇5_過去2走_グレード,艇5_過去3走_着順,艇5_過去3走_進入,艇5_過去3走_グレード,艇5_過去4走_着順,艇5_過去4走_進入,艇5_過去4走_グレード,艇5_過去5走_着順,艇5_過去5走_進入,艇5_過去5走_グレード,艇5_過去6走_着順,艇5_過去6走_進入,艇5_過去6走_グレード,艇5_過去7走_着順,艇5_過去7走_進入,艇5_過去7走_グレード,艇5_過去8走_着順,艇5_過去8走_進入,艇5_過去8走_グレード,艇5_過去9走_着順,艇5_過去9走_進入,艇5_過去9走_グレード,艇5_過去10走_着順,艇5_過去10走_進入,艇5_過去10走_グレード,艇6_選手名,艇6_枠番別勝率,艇6_枠番別平均ST,艇6_枠番別平均スタート順,艇6_過去1走_着順,艇6_過去1走_進入,艇6_過去1走_グレード,艇6_過去2走_着順,艇6_過去2走_進入,艇6_過去2走_グレード,艇6_過去3走_着順,艇6_過去3走_進入,艇6_過去3走_グレード,艇6_過去4走_着順,艇6_過去4走_進入,艇6_過去4走_グレード,艇6_過去5走_着順,艇6_過去5走_進入,艇6_過去5走_グレード,艇6_過去6走_着順,艇6_過去6走_進入,艇6_過去6走_グレード,艇6_過去7走_着順,艇6_過去7走_進入,艇6_過去7走_グレード,艇6_過去8走_着順,艇6_過去8走_進入,艇6_過去8走_グレード,艇6_過去9走_着順,艇6_過去9走_進入,艇6_過去9走_グレード,艇6_過去10走_着順,艇6_過去10走_進入,艇6_過去10走_グレード
202609150401,2026-09-15,04,01R,富田 恕生,6.2,0.19,4.5,4,,IP,4,,IP,1,,IP,5,,IP,4,,IP,2,,IP,1,,IP,3,,IP,1,,IP,4,,IP,内山 文典,6.4,0.14,3.1,1,,G3,4,,IP,1,1,IP,欠,,IP,2,,IP,4,,IP,4,,IP,1,,IP,3,,IP,2,,IP,河野 主樹,5.6,0.13,2.2,4,,IP,F,,IP,4,,IP,4,,IP,1,,IP,3,,IP,2,,IP,1,,IP,3,,IP,4,,IP,熊倉 幹太,1.4,0.18,3.2,6,,IP,6,,IP,6,6,IP,6,6,IP,6,,IP,6,,IP,6,,IP,6,6,IP,5,,IP,4,,IP,桑原 啓,3.7,0.18,3.3,2,,G3,5,,G3,6,,IP,6,,G3,6,,G3,4,4,IP,4,,G3,2,,IP,4,,IP,4,,IP,森 貴洋,2.5,0.15,4.4,6,,IP,5,,IP,5,,IP,5,,IP,6,,IP,6,,IP,5,,IP,5,,IP,3,,IP,3,,IP
202609150402,2026-09-15,04,02R,永井 亮次,8.4,0.14,3.0,1,,IP,1,,IP,3,,IP,1,,IP,3,,IP,1,,IP,1,,IP,2,,IP,3,,G3,2,,IP,渡辺 空依,6.5,0.14,2.3,1,,IP,2,,IP,1,,IP,5,,IP,2,,IP,5,,IP,6,,IP,2,,IP,2,,IP,2,,IP,牧 宏次,6.5,0.16,2.9,2,,IP,4,,IP,3,,IP,6,,IP,3,,IP,2,,IP,3,,IP,2,,IP,1,,IP,2,,IP,阿波 勝哉,6.0,0.18,4.5,1,,IP,4,,IP,1,,IP,2,5,IP,4,,IP,3,,IP,3,,IP,4,6,IP,5,6,G3,3,,IP,大平 誉史明,4.1,0.13,2.5,6,,IP,3,,IP,4,,IP,6,,IP,2,,IP,3,,IP,3,,IP,6,6,IP,4,4,IP,5,,IP,山口 修路,4.6,0.21,4.8,3,,IP,3,,IP,5,5,IP,6,,IP,3,,IP,3,5,IP,2,,G3,6,,G3,4,,IP,3,,IP
202609150403,2026-09-15,04,03R,木下 陽介,6.3,0.17,3.1,1,,IP,1,,IP,2,,IP,1,,IP,2,,IP,2,,IP,5,,IP,5,,IP,4,,IP,6,,IP,平岡 重典,4.7,0.17,3.9,6,,IP,5,,IP,1,,IP,4,,IP,5,,IP,4,,IP,3,3,IP,5,,IP,2,,IP,2,,IP,永田 啓二,7.0,0.11,2.0,1,,IP,2,,IP,6,,IP,2,,IP,3,,IP,1,,IP,2,,IP,2,,IP,3,,IP,4,,IP,藤原 駿,1.0,0.22,4.6,6,5,IP,6,,IP,6,,IP,6,,IP,6,6,IP,落,,IP,5,5,IP,6,5,IP,6,5,IP,6,,IP,森作 広大,2.8,0.22,4.7,6,,IP,3,,IP,2,,IP,6,,IP,6,,IP,5,,IP,4,,IP,5,,IP,6,,IP,5,,IP,上野 秀和,3.7,0.13,3.1,5,5,IP,5,,IP,3,,IP,1,,IP,6,5,IP,6,,IP,2,,IP,5,,IP,4,,IP,6,,IP
202609150404,2026-09-15,04,04R,小野 京平,4.4,0.15,4.0,5,,IP,6,,IP,6,,IP,5,,IP,3,2,IP,2,,IP,1,,IP,5,,IP,1,,IP,5,,IP,早川 尚人,5.2,0.15,3.4,5,,IP,3,,IP,2,,IP,4,,IP,3,,IP,2,,IP,4,,IP,3,,IP,3,,IP,5,,IP,澤崎 雄哉,4.8,0.16,3.5,3,,IP,6,,IP,6,,IP,3,,IP,2,,IP,5,4,IP,5,,G3,2,,IP,3,,IP,2,,G3,濱崎 誠,5.9,0.18,2.7,4,,IP,1,,IP,3,,G3,2,,G3,3,,G3,6,,IP,4,,IP,3,,IP,3,,IP,2,5,G3,中辻 崇人,5.7,0.21,3.2,1,,IP,妨,,IP,1,,IP,6,,IP,4,,IP,3,,IP,3,6,G1,5,6,G1,3,,IP,1,,IP,渡邉 睦広,4.7,0.13,2.6,3,,IP,6,5,IP,6,,IP,6,,IP,4,,IP,5,,IP,2,5,IP,3,,IP,1,,G3,2,,G3
202609150405,2026-09-15,04,05R,國弘 翔平,8.0,0.12,2.0,2,,IP,2,,IP,2,,IP,2,,IP,1,,IP,4,,IP,1,,IP,1,,IP,2,,IP,3,,IP,馬場 剛,7.89,0.13,2.2,欠,,G3,1,,IP,2,,IP,4,,IP,1,,IP,2,,IP,2,,IP,4,,IP,2,,IP,1,,IP,金山 立樹,4.3,0.15,3.4,6,4,IP,3,,IP,5,,IP,6,,IP,6,,IP,2,,IP,5,,IP,2,,G3,3,,IP,2,,IP,原田 秀弥,6.2,0.16,3.9,2,,IP,2,,IP,3,,IP,3,,IP,3,,IP,4,,IP,2,,IP,4,,IP,4,,IP,2,,IP,宮迫 暢彦,1.4,0.18,4.1,5,,IP,6,,IP,6,,IP,5,,IP,6,,IP,5,,IP,5,,IP,6,,IP,6,,G3,6,,IP,大場 広孝,3.4,0.15,4.1,6,,IP,6,,IP,4,,IP,3,,IP,4,,IP,5,,IP,5,,IP,3,,IP,3,,IP,5,,IP
202609150406,2026-09-15,04,06R,折下 寛法,9.0,0.1,2.3,1,,IP,1,,IP,2,,IP,3,,G3,1,,IP,3,,IP,1,,IP,1,,IP,1,,IP,1,,IP,山田 丈,6.78,0.13,2.7,欠,,IP,3,,IP,6,,IP,1,,IP,3,,G2,4,,G2,2,,IP,1,,IP,1,,IP,4,,IP,本吉 正樹,4.1,0.14,2.8,2,,IP,6,,IP,3,,IP,4,,IP,3,,IP,4,,IP,3,,IP,6,,IP,6,,IP,4,,IP,森 貴洋,5.2,0.16,4.2,6,,IP,3,,IP,4,,IP,3,,IP,2,,IP,2,,IP,2,,IP,5,,IP,6,,IP,2,,IP,木下 翔太,6.0,0.14,2.5,3,2,IP,3,,IP,4,,IP,5,,IP,3,,IP,2,,SG,4,,IP,4,,IP,1,,G2,3,,G2,永松 良教,3.5,0.19,5.1,4,5,IP,3,,IP,3,,IP,5,,IP,4,,IP,6,,IP,3,,IP,4,,IP,6,,IP,6,,IP
202609150407,2026-09-15,04,07R,繁野谷 圭介,8.5,0.2,4.3,2,,IP,1,,IP,1,,IP,2,,IP,2,,IP,1,,IP,1,,IP,1,,IP,6,,G3,1,,G3,伊藤 尚汰,4.5,0.16,4.6,6,,IP,2,,IP,5,,IP,2,,IP,4,4,IP,4,,IP,1,,IP,6,,IP,3,3,IP,6,,IP,新開 航,7.6,0.14,3.3,1,,IP,1,,IP,1,,IP,5,,SG,4,,IP,2,4,G2,1,,G2,6,,SG,4,,G1,1,,IP,三浦 裕貴,3.3,0.13,4.0,6,,IP,6,,IP,4,,IP,5,,IP,3,,G3,5,5,IP,6,6,IP,4,,IP,3,5,IP,3,,IP,永井 亮次,3.89,0.19,3.9,6,,IP,3,,IP,5,,IP,4,,IP,4,,IP,5,,IP,3,,IP,5,6,IP,転,6,G3,2,,IP,内山 文典,3.2,0.14,2.9,5,,G3,6,,G3,5,,IP,3,5,IP,6,,IP,6,,IP,6,,IP,3,,IP,3,,IP,3,,IP
202609150408,2026-09-15,04,08R,野間 大樹,9.2,0.17,3.0,1,,IP,1,,IP,2,,IP,1,,IP,2,,G3,1,,IP,2,,IP,1,,IP,1,,IP,2,,IP,木下 陽介,5.4,0.14,2.5,3,,IP,1,,IP,4,,IP,2,3,IP,2,,IP,3,,IP,5,,IP,5,,IP,5,,IP,3,,IP,石川 吉鎬,3.1,0.19,3.7,3,,IP,6,,IP,4,,IP,4,,IP,4,,IP,5,,IP,5,,IP,3,,IP,5,,IP,F,,IP,桑原 啓,3.8,0.14,2.9,6,,G3,5,,G3,6,,IP,2,,IP,5,5,G3,5,,G3,3,,IP,5,,G3,3,,IP,2,,IP,小野 京平,3.8,0.16,3.5,5,,IP,6,,IP,3,4,IP,3,,IP,6,,IP,6,,IP,1,,IP,6,,IP,5,,IP,2,6,IP,佐藤 大佑,3.5,0.19,3.7,2,,IP,6,,IP,4,,G2,6,,G2,5,,IP,1,,IP,6,,IP,5,,G3,5,,G2,6,,IP
202609150409,2026-09-15,04,09R,芦澤 望,8.6,0.16,2.9,1,,G3,1,,IP,3,,IP,4,,IP,1,,IP,1,,IP,1,,IP,2,,IP,1,,IP,2,,IP,篠原 飛翔,5.9,0.16,3.4,2,,IP,4,,IP,2,,IP,6,,IP,3,,IP,2,,IP,2,,IP,4,,IP,2,,IP,4,,IP,大平 誉史明,6.3,0.16,2.4,3,,IP,6,,IP,5,,IP,3,,IP,1,,IP,2,,IP,2,,IP,2,,IP,3,,IP,2,,G3,上野 秀和,4.1,0.16,3.7,1,,IP,4,,IP,6,,IP,4,5,IP,3,,IP,5,,IP,6,,IP,6,,IP,3,5,IP,3,,IP,金山 立樹,5.4,0.2,4.2,5,,IP,4,,IP,5,,IP,3,,IP,1,,G3,5,,G3,2,,IP,2,,IP,2,2,IP,4,,IP,早川 尚人,3.8,0.15,2.6,6,,IP,3,5,IP,3,,IP,4,,IP,5,,IP,5,,IP,5,,IP,3,,IP,6,5,IP,2,5,IP
202609150410,2026-09-15,04,10R,中辻 崇人,9.6,0.18,3.4,1,,IP,1,,IP,1,,IP,1,,IP,1,,IP,1,,IP,1,,IP,1,,IP,3,,IP,1,,IP,河野 主樹,4.9,0.15,3.6,5,,IP,4,,IP,4,,IP,5,,IP,4,,IP,2,,IP,2,,IP,1,,IP,6,,IP,4,,IP,佐藤 大騎,2.8,0.17,4.2,2,,IP,3,,IP,6,,IP,5,,IP,5,,IP,6,,IP,6,,IP,6,4,IP,5,,IP,4,,IP,國崎 良春,4.5,0.14,2.2,4,5,G3,2,,IP,5,,IP,3,,IP,4,,IP,3,5,IP,6,,IP,2,,IP,5,,IP,4,,IP,牧 宏次,6.4,0.15,2.6,2,,IP,2,,IP,4,,IP,3,,IP,3,,IP,3,,IP,4,,IP,4,,IP,2,,IP,1,,IP,森作 広大,1.7,0.28,5.5,6,,IP,5,,IP,4,5,IP,6,,IP,6,,IP,5,,IP,6,,IP,5,,IP,5,,IP,6,,IP
