レースコード,レース日,レース場コード,レース回,艇1_選手名,艇1_枠番別勝率,艇1_枠番別平均ST,艇1_枠番別平均スタート順,艇1_過去1走_着順,艇1_過去1走_進入,艇1_過去1走_グレード,艇1_過去2走_着順,艇1_過去2走_進入,艇1_過去2走_グレード,艇1_過去3走_着順,艇1_過去3走_進入,艇1_過去3走_グレード,艇1_過去4走_着順,艇1_過去4走_進入,艇1_過去4走_グレード,艇1_過去5走_着順,艇1_過去5走_進入,艇1_過去5走_グレード,艇1_過去6走_着順,艇1_過去6走_進入,艇1_過去6走_グレード,艇1_過去7走_着順,艇1_過去7走_進入,艇1_過去7走_グレード,艇1_過去8走_着順,艇1_過去8走_進入,艇1_過去8走_グレード,艇1_過去9走_着順,艇1_過去9走_進入,艇1_過去9走_グレード,艇1_過去10走_着順,艇1_過去10走_進入,艇1_過去10走_グレード,艇2_選手名,艇2_枠番別勝率,艇2_枠番別平均ST,艇2_枠番別平均スタート順,艇2_過去1走_着順,艇2_過去1走_進入,艇2_過去1走_グレード,艇2_過去2走_着順,艇2_過去2走_進入,艇2_過去2走_グレード,艇2_過去3走_着順,艇2_過去3走_進入,艇2_過去3走_グレード,艇2_過去4走_着順,艇2_過去4走_進入,艇2_過去4走_グレード,艇2_過去5走_着順,艇2_過去5走_進入,艇2_過去5走_グレード,艇2_過去6走_着順,艇2_過去6走_進入,艇2_過去6走_グレード,艇2_過去7走_着順,艇2_過去7走_進入,艇2_過去7走_グレード,艇2_過去8走_着順,艇2_過去8走_進入,艇2_過去8走_グレード,艇2_過去9走_着順,艇2_過去9走_進入,艇2_過去9走_グレード,艇2_過去10走_着順,艇2_過去10走_進入,艇2_過去10走_グレード,艇3_選手名,艇3_枠番別勝率,艇3_枠番別平均ST,艇3_枠番別平均スタート順,艇3_過去1走_着順,艇3_過去1走_進入,艇3_過去1走_グレード,艇3_過去2走_着順,艇3_過去2走_進入,艇3_過去2走_グレード,艇3_過去3走_着順,艇3_過去3走_進入,艇3_過去3走_グレード,艇3_過去4走_着順,艇3_過去4走_進入,艇3_過去4走_グレード,艇3_過去5走_着順,艇3_過去5走_進入,艇3_過去5走_グレード,艇3_過去6走_着順,艇3_過去6走_進入,艇3_過去6走_グレード,艇3_過去7走_着順,艇3_過去7走_進入,艇3_過去7走_グレード,艇3_過去8走_着順,艇3_過去8走_進入,艇3_過去8走_グレード,艇3_過去9走_着順,艇3_過去9走_進入,艇3_過去9走_グレード,艇3_過去10走_着順,艇3_過去10走_進入,艇3_過去10走_グレード,艇4_選手名,艇4_枠番別勝率,艇4_枠番別平均ST,艇4_枠番別平均スタート順,艇4_過去1走_着順,艇4_過去1走_進入,艇4_過去1走_グレード,艇4_過去2走_着順,艇4_過去2走_進入,艇4_過去2走_グレード,艇4_過去3走_着順,艇4_過去3走_進入,艇4_過去3走_グレード,艇4_過去4走_着順,艇4_過去4走_進入,艇4_過去4走_グレード,艇4_過去5走_着順,艇4_過去5走_進入,艇4_過去5走_グレード,艇4_過去6走_着順,艇4_過去6走_進入,艇4_過去6走_グレード,艇4_過去7走_着順,艇4_過去7走_進入,艇4_過去7走_グレード,艇4_過去8走_着順,艇4_過去8走_進入,艇4_過去8走_グレード,艇4_過去9走_着順,艇4_過去9走_進入,艇4_過去9走_グレード,艇4_過去10走_着順,艇4_過去10走_進入,艇4_過去10走_グレード,艇5_選手名,艇5_枠番別勝率,艇5_枠番別平均ST,艇5_枠番別平均スタート順,艇5_過去1走_着順,艇5_過去1走_進入,艇5_過去1走_グレード,艇5_過去2走_着順,艇5_過去2走_進入,艇5_過去2走_グレード,艇5_過去3走_着順,艇5_過去3走_進入,艇5_過去3走_グレード,艇5_過去4走_着順,艇5_過去4走_進入,艇5_過去4走_グレード,艇5_過去5走_着順,艇5_過去5走_進入,艇5_過去5走_グレード,艇5_過去6走_着順,艇5_過去6走_進入,艇5_過去6走_グレード,艇5_過去7走_着順,艇5_過去7走_進入,艇5_過去7走_グレード,艇5_過去8走_着順,艇5_過去8走_進入,艇5_過去8走_グレード,艇5_過去9走_着順,艇5_過去9走_進入,艇5_過去9走_グレード,艇5_過去10走_着順,艇5_過去10走_進入,艇5_過去10走_グレード,艇6_選手名,艇6_枠番別勝率,艇6_枠番別平均ST,艇6_枠番別平均スタート順,艇6_過去1走_着順,艇6_過去1走_進入,艇6_過去1走_グレード,艇6_過去2走_着順,艇6_過去2走_進入,艇6_過去2走_グレード,艇6_過去3走_着順,艇6_過去3走_進入,艇6_過去3走_グレード,艇6_過去4走_着順,艇6_過去4走_進入,艇6_過去4走_グレード,艇6_過去5走_着順,艇6_過去5走_進入,艇6_過去5走_グレード,艇6_過去6走_着順,艇6_過去6走_進入,艇6_過去6走_グレード,艇6_過去7走_着順,艇6_過去7走_進入,艇6_過去7走_グレード,艇6_過去8走_着順,艇6_過去8走_進入,艇6_過去8走_グレード,艇6_過去9走_着順,艇6_過去9走_進入,艇6_過去9走_グレード,艇6_過去10走_着順,艇6_過去10走_進入,艇6_過去10走_グレード
202609220101,2026-09-22,01,01R,村上 宗太郎,7.4,0.16,2.7,2,,IP,2,,IP,1,,IP,1,,IP,1,,IP,2,,IP,3,,IP,5,,IP,1,,IP,5,,IP,武田 光史,7.2,0.13,3.2,3,,IP,3,,G3,6,,G3,2,,IP,1,,IP,1,,IP,2,,IP,3,,G3,3,,G3,1,,IP,浜本 裕己,5.4,0.16,3.0,4,4,IP,4,,IP,3,2,IP,4,,IP,2,,IP,3,,IP,4,,IP,2,,IP,2,,IP,5,,IP,港 理樹,3.2,0.21,4.4,5,,IP,6,,IP,4,,IP,3,5,IP,6,,IP,3,6,IP,6,,IP,6,5,IP,3,,IP,4,5,IP,菊池 峰晴,3.2,0.23,4.4,3,,IP,6,,IP,6,,IP,3,4,IP,5,,IP,5,,IP,2,,IP,5,,IP,5,,IP,5,,IP,小川 晃司,5.9,0.14,2.8,3,,IP,5,,IP,4,,IP,2,,IP,2,,IP,1,,IP,2,,IP,6,,IP,4,,IP,2,,IP
202609220102,2026-09-22,01,02R,大廣 咲季,5.3,0.15,3.3,5,,IP,6,,IP,3,,IP,6,,IP,1,,IP,2,,IP,4,,G3,1,,IP,6,,IP,1,,IP,島倉 都,3.6,0.18,4.1,4,,IP,3,,IP,6,,IP,4,,G3,5,,G3,5,,G3,6,,IP,2,,IP,3,,IP,5,,IP,小野 桜,5.4,0.16,3.0,6,,IP,6,,IP,1,,IP,5,,IP,2,,IP,1,,G3,2,,G3,3,,IP,5,,IP,3,,IP,津田 裕絵,6.0,0.21,4.2,2,,IP,4,,IP,2,,IP,1,,IP,2,,IP,4,,IP,2,,IP,4,,IP,4,,IP,5,,IP,阿部 未侑,2.0,0.21,4.3,6,,IP,3,6,IP,5,6,IP,6,,IP,4,6,IP,5,,IP,6,,IP,F,6,IP,5,,IP,6,6,IP,櫻本 あゆみ,4.2,0.17,4.1,4,,IP,2,,IP,2,5,IP,5,,G1,6,,G3,4,,G2,エ,,IP,6,,IP,4,,IP,2,,IP
202609220103,2026-09-22,01,03R,中村 駿平,3.8,0.18,3.6,4,,IP,5,,IP,4,,IP,4,,IP,6,,IP,5,,IP,3,,IP,1,,IP,4,,IP,6,,IP,奈須 啓太,5.4,0.13,3.4,1,3,IP,2,,IP,6,,IP,5,,IP,1,,IP,3,,IP,5,1,IP,4,,IP,6,,IP,1,,IP,岡村 仁,6.4,0.16,3.5,1,,IP,2,,IP,6,4,IP,1,,IP,4,,IP,1,,IP,4,,IP,3,4,IP,1,2,IP,6,2,IP,浜先 真範,5.6,0.08,2.4,4,5,IP,1,5,IP,3,,IP,3,,IP,4,,IP,4,,IP,3,,IP,2,,IP,5,,IP,4,,IP,北川 幸典,4.8,0.19,3.6,3,,IP,5,6,G3,6,,G3,2,4,IP,5,,IP,2,,IP,3,,IP,3,,IP,6,,IP,2,,IP,楠原 正剛,2.3,0.17,4.1,5,,IP,5,,IP,6,3,IP,5,3,IP,3,,IP,6,,IP,5,,IP,6,,IP,5,5,IP,4,,G3
202609220104,2026-09-22,01,04R,樋口 由加里,7.6,0.15,2.7,1,,IP,4,,IP,1,,IP,1,,G3,1,,IP,1,,IP,1,,IP,5,,IP,5,,IP,2,,IP,藤原 菜希,6.2,0.11,2.4,3,,IP,6,,IP,転,,IP,2,,G3,1,,G3,4,,IP,1,,IP,2,,IP,1,,IP,4,,IP,蜂須 瑞生,5.5,0.15,2.2,4,,G1,2,,G1,2,,IP,2,,IP,5,,IP,6,,IP,4,,IP,2,,IP,3,,IP,4,,IP,西澤 日花里,4.4,0.16,2.8,2,,IP,4,,IP,3,,IP,4,,IP,2,,IP,6,,IP,6,,IP,F,,G3,3,,IP,3,,IP,中澤 里桜,1.4,0.2,4.8,4,6,G3,6,6,G3,6,6,IP,6,6,IP,6,6,IP,5,6,IP,6,6,IP,6,6,IP,6,6,IP,6,6,IP,金田 幸子,3.4,0.23,4.3,6,,IP,3,,IP,6,,IP,転,,G3,3,,G3,6,,IP,3,,G3,3,,IP,6,,IP,3,5,IP
202609220105,2026-09-22,01,05R,小林 孝彰,8.3,0.16,3.0,2,,G3,1,,IP,1,,IP,2,,G3,1,,IP,6,,IP,2,,IP,2,,IP,1,,IP,1,,IP,田中 豪,6.8,0.19,4.9,3,,IP,2,,IP,3,,IP,4,,IP,3,,IP,3,,IP,2,,IP,1,,IP,3,,IP,2,3,IP,吉田 慎二郎,8.2,0.16,2.5,3,,IP,2,,IP,1,,IP,5,,IP,1,,IP,2,,IP,2,4,IP,1,,IP,1,4,G3,1,4,G3,田中 辰彦,5.6,0.16,2.5,3,5,IP,5,,IP,5,,IP,4,,IP,1,,IP,3,,IP,2,,IP,4,,IP,3,,IP,2,,IP,村上 宗太郎,4.0,0.16,3.0,4,,IP,3,,IP,6,,IP,4,,IP,5,,IP,6,4,IP,5,,IP,5,,IP,1,,IP,2,,IP,大澤 普司,4.3,0.14,3.6,3,,IP,5,,IP,4,,IP,4,,IP,3,,IP,3,,G3,6,,IP,5,,IP,2,,IP,4,,IP
202609220106,2026-09-22,01,06R,若狭 奈美子,9.1,0.14,3.2,1,,IP,1,,IP,1,,IP,1,,IP,5,,IP,2,,IP,1,,G1,1,,IP,1,,IP,1,,IP,飯塚 響,4.33,0.23,3.8,6,,G3,2,,IP,1,,IP,5,,G3,1,,IP,6,,IP,6,3,IP,5,3,IP,欠,,IP,4,,IP,福島 陽子,4.0,0.22,4.8,4,,IP,3,,IP,2,,IP,3,,G3,6,,G3,5,,IP,3,,G3,5,,G3,6,,G3,4,,IP,大澤 真菜,2.6,0.16,2.7,6,,IP,6,,IP,6,,IP,3,,G3,5,,IP,2,,IP,6,,IP,6,,IP,4,,IP,6,,IP,湯淺 紀香,4.8,0.17,3.7,3,,IP,2,,IP,5,,IP,6,,G3,1,,G3,6,,G3,4,,G3,3,,IP,3,,IP,4,,IP,市川 瑚幸,1.6,0.21,3.9,6,,IP,6,,IP,5,,IP,6,,G3,6,,G3,6,,G3,6,,G3,6,,IP,3,,IP,6,,IP
202609220107,2026-09-22,01,07R,里岡 右貴,9.3,0.1,2.7,2,,IP,1,,IP,1,,IP,1,,IP,1,,IP,2,,IP,3,,IP,1,,IP,1,,IP,1,,IP,加藤 優弥,4.8,0.13,2.8,4,,IP,1,,IP,6,,IP,4,,IP,F,3,IP,4,,IP,3,,IP,1,,IP,6,,IP,2,,IP,浜先 真範,8.8,0.13,2.0,1,,IP,1,,IP,5,,IP,1,,IP,1,,IP,1,,IP,1,,IP,2,,IP,1,,IP,3,,G1,藤本 元輝,4.6,0.18,3.5,6,,IP,5,,IP,4,,IP,1,,IP,3,,IP,1,,IP,4,,IP,5,,IP,3,,IP,6,5,IP,柴田 直哉,3.9,0.17,4.1,6,,IP,1,,IP,2,,IP,5,6,IP,5,,IP,5,,IP,6,,IP,6,,IP,4,,IP,2,,IP,山下 流心,3.0,0.25,4.4,3,,IP,5,,IP,5,,IP,4,5,IP,6,,IP,5,,IP,5,5,IP,2,2,IP,5,4,IP,6,5,IP
202609220108,2026-09-22,01,08R,北村 寧々,9.6,0.14,3.1,1,,IP,1,,IP,1,,IP,1,,IP,2,,G3,1,,IP,2,,IP,1,,IP,1,,IP,1,,IP,森 陽多,3.2,0.18,3.9,2,,IP,6,,IP,5,,IP,4,,IP,3,,IP,3,,G3,6,,IP,6,3,G3,5,,G3,6,,IP,大豆生田 蒼,4.3,0.22,4.2,3,,IP,6,,IP,4,,IP,3,,IP,2,,IP,6,,IP,2,,IP,4,,IP,6,,IP,4,,IP,樋口 由加里,2.0,0.15,4.1,6,,IP,4,,IP,6,,IP,4,,IP,6,,G3,6,,G3,5,,IP,6,,IP,6,,IP,4,,IP,松尾 夏海,6.6,0.15,2.9,4,,IP,4,,IP,3,,IP,1,,IP,3,,G1,5,,IP,1,,IP,1,,IP,1,,G3,6,,IP,津田 裕絵,3.8,0.2,4.7,6,,IP,4,,IP,4,,IP,6,,IP,4,5,IP,3,,IP,5,,IP,5,,IP,1,4,IP,4,,IP
202609220109,2026-09-22,01,09R,田中 辰彦,9.4,0.16,3.8,1,,IP,3,,IP,1,,IP,1,,IP,1,,IP,1,,IP,1,,IP,1,,IP,1,,IP,2,,IP,大澤 普司,5.8,0.16,3.5,2,,IP,2,,IP,2,,IP,3,,IP,5,,IP,2,,G3,3,,IP,5,,IP,3,,G3,4,,IP,菊池 峰晴,3.8,0.22,4.4,2,,IP,5,,IP,5,,IP,4,,IP,4,,IP,5,,IP,1,,IP,4,,IP,6,,IP,6,,IP,浜本 裕己,6.5,0.13,1.5,4,5,IP,2,,IP,2,,IP,3,3,IP,2,,IP,4,,IP,1,,IP,2,,IP,6,,IP,2,,IP,中村 駿平,2.6,0.13,2.7,6,6,IP,5,,IP,6,,IP,F,,IP,4,,IP,5,,IP,2,,IP,6,,IP,6,,IP,3,,IP,岡村 仁,4.9,0.15,2.6,4,,IP,6,,IP,4,,IP,6,,IP,2,,IP,2,,IP,2,1,IP,6,,IP,4,,IP,2,,IP
202609220110,2026-09-22,01,10R,高石 梨菜,7.7,0.16,3.1,1,,IP,2,,IP,3,,IP,1,,IP,1,,G3,1,,IP,1,,IP,2,,G3,6,,G3,4,,IP,小野 桜,5.5,0.18,3.2,4,,IP,2,,IP,3,,IP,2,,IP,6,,IP,3,,IP,4,,IP,2,,G3,3,,G3,4,,IP,櫻本 あゆみ,6.2,0.12,2.4,2,,IP,2,,IP,3,,G1,1,,G3,5,,G2,5,,IP,4,5,IP,4,,IP,4,,IP,1,,IP,嶋田 有里,4.7,0.17,2.9,4,5,IP,2,,IP,1,,G3,2,,G3,5,6,IP,4,,G3,4,,G3,6,,IP,4,,IP,5,,G3,若狭 奈美子,5.0,0.18,4.3,4,,IP,6,,IP,4,,IP,3,,IP,4,,G1,3,,IP,5,,G3,2,,IP,2,,IP,3,,IP,中澤 里桜,1.1,0.27,5.1,6,,IP,5,,IP,6,,IP,6,,IP,6,,IP,6,,IP,6,,IP,6,,IP,6,,IP,6,,IP
