レースコード,レース日,レース場コード,レース回,状態,買い目1,買い目2,買い目3,買い目4,買い目5,決まり手1,決まり手2,決まり手3,決まり手4,決まり手5
202608290101,2026-08-29,01,1R,daily,4-1-5,4-1-3,4-5-1,3-1-4,4-1-2,まくり,差し,まくり,まくり差し,まくり
202608290102,2026-08-29,01,2R,daily,4-1-2,4-1-3,2-1-4,4-1-5,3-1-4,まくり,差し,差し,まくり,まくり差し
202608290103,2026-08-29,01,3R,daily,2-1-5,2-1-3,2-1-4,5-1-2,3-1-2,差し,差し,差し,まくり差し,まくり差し
202608290104,2026-08-29,01,4R,daily,4-1-3,3-1-4,4-1-2,2-1-4,4-1-5,差し,まくり差し,まくり,差し,まくり
202608290105,2026-08-29,01,5R,daily,3-1-4,3-1-2,2-1-3,2-1-4,4-1-3,まくり差し,まくり差し,差し,差し,差し
202608290106,2026-08-29,01,6R,daily,3-1-4,4-1-5,2-1-3,4-1-3,4-1-2,まくり差し,まくり,差し,差し,まくり
202608290107,2026-08-29,01,7R,daily,2-1-3,3-1-2,2-3-1,3-2-1,3-1-4,差し,まくり差し,差し,まくり,まくり差し
202608290108,2026-08-29,01,8R,daily,2-1-5,2-1-3,5-1-2,3-1-5,5-1-3,差し,差し,まくり差し,まくり差し,まくり差し
202608290109,2026-08-29,01,9R,daily,3-1-4,3-1-2,2-1-3,3-1-5,4-1-3,まくり差し,まくり差し,差し,まくり差し,差し
202608290109,2026-08-29,01,9R,realtime,3-1-4,4-1-3,2-1-3,3-1-2,3-1-5,まくり差し,差し,差し,まくり差し,まくり差し
202608290110,2026-08-29,01,10R,daily,2-1-4,2-1-3,4-1-2,3-1-4,4-1-5,差し,差し,まくり,まくり差し,まくり
202608290111,2026-08-29,01,11R,daily,3-1-4,4-1-5,3-1-5,4-1-3,2-1-3,まくり差し,まくり,まくり差し,差し,差し
202608290112,2026-08-29,01,12R,daily,2-1-3,2-1-4,3-1-2,3-1-4,4-1-2,差し,差し,まくり差し,まくり差し,まくり
202608290401,2026-08-29,04,1R,daily,2-1-3,2-1-4,2-1-5,4-1-2,3-1-2,差し,差し,差し,まくり,まくり差し
202608290402,2026-08-29,04,2R,daily,2-1-3,2-1-4,2-1-5,3-1-2,5-1-2,差し,差し,差し,まくり差し,まくり差し
202608290403,2026-08-29,04,3R,daily,2-1-3,2-3-1,2-1-4,2-1-5,3-1-2,差し,差し,差し,差し,まくり差し
202608290404,2026-08-29,04,4R,daily,2-1-3,3-1-2,3-1-5,2-1-4,3-1-4,差し,まくり差し,まくり差し,差し,まくり差し
202608290405,2026-08-29,04,5R,daily,2-1-3,2-1-4,3-1-4,3-1-2,2-1-6,差し,差し,まくり差し,まくり差し,差し
202608290406,2026-08-29,04,6R,daily,3-1-4,3-1-2,2-1-3,3-1-5,2-1-4,まくり差し,まくり差し,差し,まくり差し,差し
202608290407,2026-08-29,04,7R,daily,2-1-5,2-1-3,3-1-2,2-5-1,3-1-5,差し,差し,まくり差し,差し,まくり差し
202608290408,2026-08-29,04,8R,daily,4-1-2,4-1-5,4-1-3,4-1-6,4-2-1,まくり,まくり,差し,まくり,まくり
202608290409,2026-08-29,04,9R,daily,4-1-5,5-1-4,3-1-4,4-1-3,3-1-5,まくり,まくり差し,まくり差し,差し,まくり差し
202608290410,2026-08-29,04,10R,daily,3-1-4,3-1-2,3-1-5,2-1-3,2-1-4,まくり差し,まくり差し,まくり差し,差し,差し
202608290411,2026-08-29,04,11R,daily,2-1-4,4-2-1,2-4-1,4-1-2,2-1-3,差し,まくり,差し,まくり,差し
202608290412,2026-08-29,04,12R,daily,4-1-5,3-1-4,3-1-5,4-1-3,4-1-2,まくり,まくり差し,まくり差し,差し,まくり
202608290501,2026-08-29,05,1R,daily,2-1-3,2-1-4,2-1-5,2-3-1,3-1-2,差し,差し,差し,差し,まくり差し
202608290502,2026-08-29,05,2R,daily,3-1-2,3-1-4,2-1-3,3-1-5,3-2-1,まくり差し,まくり差し,差し,まくり差し,まくり
202608290503,2026-08-29,05,3R,daily,3-1-4,3-1-2,3-1-5,2-1-3,2-1-4,まくり差し,まくり差し,まくり差し,差し,差し
202608290504,2026-08-29,05,4R,daily,2-1-3,2-1-4,2-1-5,3-1-2,2-3-1,差し,差し,差し,まくり差し,差し
202608290505,2026-08-29,05,5R,daily,2-1-3,2-1-4,3-1-4,4-1-3,4-1-2,差し,差し,まくり差し,差し,まくり
202608290506,2026-08-29,05,6R,daily,2-1-3,2-1-4,2-1-5,2-3-1,2-3-4,差し,差し,差し,差し,まくり
