レースコード,レース日,レース場コード,レース回,状態,買い目1,買い目2,買い目3,買い目4,買い目5,決まり手1,決まり手2,決まり手3,決まり手4,決まり手5
202608170201,2026-08-17,02,1R,daily,3-1-5,3-1-2,3-1-4,2-1-3,5-1-3,まくり差し,まくり差し,まくり差し,差し,まくり差し
202608170201,2026-08-17,02,1R,realtime,3-1-2,2-1-3,2-1-5,3-1-5,3-1-4,まくり差し,差し,差し,まくり差し,まくり差し
202608170202,2026-08-17,02,2R,daily,2-1-3,2-1-4,2-1-5,2-3-1,5-1-2,差し,差し,差し,差し,まくり差し
202608170202,2026-08-17,02,2R,realtime,2-1-4,2-1-3,2-1-5,5-1-2,4-1-2,差し,差し,差し,まくり差し,まくり
202608170203,2026-08-17,02,3R,daily,2-1-3,2-1-4,2-1-5,2-3-1,2-1-6,差し,差し,差し,差し,差し
202608170203,2026-08-17,02,3R,realtime,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1,差し,差し,差し,差し,差し
202608170204,2026-08-17,02,4R,daily,2-1-3,2-1-4,2-1-5,2-4-1,2-3-1,差し,差し,差し,差し,差し
202608170204,2026-08-17,02,4R,realtime,2-1-4,2-1-3,2-1-5,2-4-1,4-1-2,差し,差し,差し,差し,まくり
202608170205,2026-08-17,02,5R,daily,2-1-4,2-1-3,2-1-5,4-1-2,2-4-1,差し,差し,差し,まくり,差し
202608170205,2026-08-17,02,5R,realtime,2-1-4,2-1-3,2-1-5,4-1-2,2-4-1,差し,差し,差し,まくり,差し
202608170206,2026-08-17,02,6R,daily,2-1-3,2-1-4,2-1-5,5-1-2,2-3-1,差し,差し,差し,まくり差し,差し
202608170206,2026-08-17,02,6R,realtime,5-1-2,2-1-5,2-1-3,2-1-4,5-1-4,まくり差し,差し,差し,差し,まくり差し
202608170207,2026-08-17,02,7R,daily,4-1-5,4-1-2,2-1-4,2-1-5,5-1-2,まくり,まくり,差し,差し,まくり差し
202608170207,2026-08-17,02,7R,realtime,2-1-4,4-1-2,5-1-2,2-1-5,2-1-3,差し,まくり,まくり差し,差し,差し
202608170208,2026-08-17,02,8R,daily,2-1-4,2-1-3,4-1-2,4-1-5,2-1-5,差し,差し,まくり,まくり,差し
202608170208,2026-08-17,02,8R,realtime,2-1-4,2-1-3,2-1-5,4-1-2,4-1-5,差し,差し,差し,まくり,まくり
202608170209,2026-08-17,02,9R,daily,3-1-4,3-1-2,3-1-5,3-4-1,3-1-6,まくり差し,まくり差し,まくり差し,まくり,まくり差し
202608170209,2026-08-17,02,9R,realtime,3-1-4,3-1-5,3-1-2,3-4-1,4-1-3,まくり差し,まくり差し,まくり差し,まくり,差し
202608170210,2026-08-17,02,10R,daily,3-1-2,3-1-4,2-1-3,3-1-5,3-2-1,まくり差し,まくり差し,差し,まくり差し,まくり
202608170210,2026-08-17,02,10R,realtime,3-1-2,3-1-4,3-1-5,2-1-3,5-1-4,まくり差し,まくり差し,まくり差し,差し,まくり
202608170211,2026-08-17,02,11R,daily,3-1-2,2-1-3,3-1-4,3-1-5,2-1-4,まくり差し,差し,まくり差し,まくり差し,差し
202608170211,2026-08-17,02,11R,realtime,4-1-5,3-1-4,3-1-5,2-1-4,4-1-2,まくり,まくり差し,まくり差し,差し,まくり
202608170212,2026-08-17,02,12R,daily,2-1-3,3-1-2,3-1-4,3-2-1,2-1-4,差し,まくり差し,まくり差し,まくり,差し
202608170212,2026-08-17,02,12R,realtime,2-1-4,4-1-5,4-1-2,2-1-3,3-1-4,差し,まくり,まくり,差し,まくり差し
202608170501,2026-08-17,05,1R,daily,3-1-4,4-1-6,4-1-2,3-1-2,2-1-3,まくり差し,まくり,まくり,まくり差し,差し
202608170501,2026-08-17,05,1R,realtime,3-1-4,3-1-6,3-1-2,4-1-3,3-1-5,まくり差し,まくり差し,まくり差し,差し,まくり差し
202608170502,2026-08-17,05,2R,daily,2-1-3,3-1-2,2-1-4,2-3-1,3-1-4,差し,まくり差し,差し,差し,まくり差し
202608170502,2026-08-17,05,2R,realtime,2-1-3,2-3-1,3-2-1,3-1-2,2-3-4,差し,差し,まくり,まくり差し,まくり
202608170503,2026-08-17,05,3R,daily,4-1-2,4-1-5,2-1-4,4-2-1,2-1-3,まくり,まくり,差し,まくり,差し
202608170503,2026-08-17,05,3R,realtime,4-1-2,4-1-5,4-5-1,4-2-1,4-1-3,まくり,まくり,まくり,まくり,差し
202608170504,2026-08-17,05,4R,daily,2-1-3,3-1-2,2-3-1,2-1-5,3-2-1,差し,まくり差し,差し,差し,まくり
202608170504,2026-08-17,05,4R,realtime,2-1-3,2-3-1,3-1-2,3-2-1,2-1-4,差し,差し,まくり差し,まくり,差し
202608170505,2026-08-17,05,5R,daily,2-1-3,2-1-5,2-1-4,2-3-1,5-1-2,差し,差し,差し,差し,まくり差し
202608170505,2026-08-17,05,5R,realtime,2-1-3,2-1-5,2-1-4,2-3-1,2-1-6,差し,差し,差し,差し,差し
202608170506,2026-08-17,05,6R,daily,4-1-5,4-1-2,4-1-6,4-1-3,4-5-1,まくり,まくり,まくり,差し,まくり
202608170506,2026-08-17,05,6R,realtime,4-1-2,4-1-3,4-1-5,4-1-6,4-2-1,まくり,差し,まくり,まくり,まくり
202608170507,2026-08-17,05,7R,daily,3-1-4,3-1-2,4-1-3,3-1-5,3-4-1,まくり差し,まくり差し,差し,まくり差し,まくり
202608170507,2026-08-17,05,7R,realtime,3-1-4,4-1-3,3-1-2,4-1-2,3-4-1,まくり差し,差し,まくり差し,まくり,まくり
202608170508,2026-08-17,05,8R,daily,2-1-5,2-1-3,5-1-2,2-1-4,2-5-1,差し,差し,まくり差し,差し,差し
202608170508,2026-08-17,05,8R,realtime,2-1-5,5-1-2,2-5-1,5-2-1,5-1-4,まくり差し,まくり差し,まくり,まくり差し,まくり差し
202608170509,2026-08-17,05,9R,daily,2-1-3,2-1-4,4-1-2,4-1-5,2-1-5,差し,差し,まくり,まくり,差し
202608170509,2026-08-17,05,9R,realtime,2-1-4,2-1-3,4-1-2,2-1-5,4-1-5,差し,差し,まくり,差し,まくり
202608170510,2026-08-17,05,10R,daily,4-1-3,4-1-2,3-1-4,4-1-5,4-2-1,差し,まくり,まくり差し,まくり,まくり
202608170510,2026-08-17,05,10R,realtime,4-1-3,3-1-4,4-1-2,4-3-1,3-4-1,差し,まくり差し,まくり,まくり,まくり
202608170511,2026-08-17,05,11R,daily,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1,差し,差し,差し,差し,差し
202608170511,2026-08-17,05,11R,realtime,2-1-3,2-1-4,2-3-1,2-1-5,2-1-6,差し,差し,差し,差し,差し
202608170512,2026-08-17,05,12R,daily,4-1-5,4-1-2,4-1-3,3-1-4,4-5-1,まくり,まくり,差し,まくり差し,まくり
202608170512,2026-08-17,05,12R,realtime,4-1-5,4-1-2,4-1-3,5-1-4,4-1-6,まくり,まくり,差し,まくり差し,まくり
202608170901,2026-08-17,09,1R,daily,2-1-3,3-1-2,3-1-4,2-1-4,3-1-5,差し,まくり差し,まくり差し,差し,まくり差し
202608170901,2026-08-17,09,1R,realtime,2-1-3,2-1-4,3-1-2,2-1-5,2-3-1,差し,差し,まくり差し,差し,差し
202608170902,2026-08-17,09,2R,daily,2-1-3,2-1-4,5-1-2,2-1-5,5-1-3,差し,差し,まくり差し,差し,まくり差し
202608170902,2026-08-17,09,2R,realtime,2-1-5,2-1-3,5-1-2,2-1-4,5-2-1,差し,差し,まくり差し,差し,まくり差し
202608170903,2026-08-17,09,3R,daily,3-1-4,3-1-2,3-1-5,2-1-3,3-1-6,まくり差し,まくり差し,まくり差し,差し,まくり差し
202608170903,2026-08-17,09,3R,realtime,3-1-2,3-1-4,3-1-6,2-1-3,3-2-1,まくり差し,まくり差し,まくり差し,差し,まくり
202608170904,2026-08-17,09,4R,daily,3-1-4,3-1-2,3-1-5,4-1-2,2-1-4,まくり差し,まくり差し,まくり差し,まくり,差し
