レースコード,レース日,レース場コード,レース回,状態,買い目1,買い目2,買い目3,買い目4,買い目5,決まり手1,決まり手2,決まり手3,決まり手4,決まり手5
202608260101,2026-08-26,01,1R,daily,3-1-2,3-1-4,2-1-3,3-1-5,4-1-3,まくり差し,まくり差し,差し,まくり差し,差し
202608260102,2026-08-26,01,2R,daily,3-1-5,3-1-4,4-1-5,5-1-4,5-1-3,まくり差し,まくり差し,まくり,まくり差し,まくり差し
202608260103,2026-08-26,01,3R,daily,3-1-4,4-1-3,4-1-5,3-1-5,3-1-2,まくり差し,差し,まくり,まくり差し,まくり差し
202608260104,2026-08-26,01,4R,daily,3-1-4,3-1-5,3-1-2,2-1-3,2-1-4,まくり差し,まくり差し,まくり差し,差し,差し
202608260105,2026-08-26,01,5R,daily,3-1-4,3-1-5,3-1-2,3-1-6,2-1-3,まくり差し,まくり差し,まくり差し,まくり差し,差し
202608260106,2026-08-26,01,6R,daily,3-1-4,3-1-5,4-1-3,3-1-2,2-1-3,まくり差し,まくり差し,差し,まくり差し,差し
202608260107,2026-08-26,01,7R,daily,3-1-4,4-1-3,3-1-5,4-1-5,3-1-2,まくり差し,差し,まくり差し,まくり,まくり差し
202608260108,2026-08-26,01,8R,daily,2-1-3,3-1-5,2-1-5,3-1-2,5-1-2,差し,まくり差し,差し,まくり差し,まくり差し
202608260109,2026-08-26,01,9R,daily,3-1-2,2-1-3,3-1-4,2-1-4,3-1-5,まくり差し,差し,まくり差し,差し,まくり差し
202608260110,2026-08-26,01,10R,daily,5-1-2,2-1-5,2-1-4,2-1-3,5-1-4,まくり差し,差し,差し,差し,まくり差し
202608260111,2026-08-26,01,11R,daily,2-1-3,2-1-5,3-1-5,3-1-2,2-1-4,差し,差し,まくり差し,まくり差し,差し
202608260112,2026-08-26,01,12R,daily,3-1-4,3-1-2,3-1-5,4-1-3,2-1-3,まくり差し,まくり差し,まくり差し,差し,差し
202608260301,2026-08-26,03,1R,daily,2-1-3,3-1-2,2-1-4,3-1-4,4-1-2,差し,まくり差し,差し,まくり差し,まくり
202608260301,2026-08-26,03,1R,realtime,3-1-4,3-1-2,3-1-5,4-1-2,4-1-3,まくり差し,まくり差し,まくり差し,まくり,差し
202608260302,2026-08-26,03,2R,daily,2-1-4,4-1-2,2-1-3,4-2-1,4-1-5,差し,まくり,差し,まくり,まくり
202608260302,2026-08-26,03,2R,realtime,2-1-4,4-1-2,2-1-3,4-2-1,2-4-1,差し,まくり,差し,まくり,差し
202608260303,2026-08-26,03,3R,daily,2-1-3,2-1-4,2-1-5,4-1-2,3-1-2,差し,差し,差し,まくり,まくり差し
202608260303,2026-08-26,03,3R,realtime,2-1-4,2-1-3,2-1-5,4-1-2,2-1-6,差し,差し,差し,まくり,差し
