レースコード,レース日,レース場コード,レース回,状態,買い目1,買い目2,買い目3,買い目4,買い目5,決まり手1,決まり手2,決まり手3,決まり手4,決まり手5
202608180501,2026-08-18,05,1R,daily,3-1-4,3-1-2,3-1-5,2-1-3,3-4-1,まくり差し,まくり差し,まくり差し,差し,まくり
202608180502,2026-08-18,05,2R,daily,2-1-3,2-1-4,2-3-1,2-3-4,2-4-1,差し,差し,差し,まくり,差し
202608180503,2026-08-18,05,3R,daily,2-1-3,2-3-1,3-2-1,3-1-2,2-3-4,差し,差し,まくり,まくり差し,まくり
202608180504,2026-08-18,05,4R,daily,3-1-5,3-1-4,3-1-2,5-1-3,5-1-2,まくり差し,まくり差し,まくり差し,まくり差し,まくり差し
202608180505,2026-08-18,05,5R,daily,2-1-3,2-1-4,2-1-5,2-3-1,2-1-6,差し,差し,差し,差し,差し
202608180506,2026-08-18,05,6R,daily,3-1-5,5-1-3,3-1-4,3-1-2,3-5-1,まくり差し,まくり差し,まくり差し,まくり差し,まくり
202608180507,2026-08-18,05,7R,daily,3-1-4,3-1-2,3-1-5,4-1-2,4-1-3,まくり差し,まくり差し,まくり差し,まくり,差し
202608180508,2026-08-18,05,8R,daily,5-1-2,5-1-3,3-1-5,5-1-4,2-1-5,まくり差し,まくり差し,まくり差し,まくり差し,差し
202608180509,2026-08-18,05,9R,daily,3-1-2,2-1-3,3-1-4,3-1-5,2-1-4,まくり差し,差し,まくり差し,まくり差し,差し
202608180510,2026-08-18,05,10R,daily,2-1-3,2-1-4,3-1-2,3-1-4,2-1-5,差し,差し,まくり差し,まくり差し,差し
202608180511,2026-08-18,05,11R,daily,2-1-3,3-1-2,2-1-4,2-1-5,2-1-6,差し,まくり差し,差し,差し,差し
202608180512,2026-08-18,05,12R,daily,2-1-4,2-1-3,4-1-2,2-1-5,2-1-6,差し,差し,まくり,差し,差し
202608180901,2026-08-18,09,1R,daily,2-1-3,2-1-4,3-1-4,3-1-2,4-1-3,差し,差し,まくり差し,まくり差し,差し
202608180901,2026-08-18,09,1R,realtime,4-1-2,2-1-3,2-1-5,4-1-5,4-1-3,まくり差し,差し,差し,まくり差し,まくり差し
202608180902,2026-08-18,09,2R,daily,2-1-4,4-1-2,2-1-3,4-2-1,3-1-4,差し,まくり,差し,まくり,まくり差し
202608180902,2026-08-18,09,2R,realtime,2-1-4,2-1-3,4-1-2,3-1-4,4-2-1,差し,差し,まくり,まくり差し,まくり
202608180903,2026-08-18,09,3R,daily,2-1-3,2-1-4,2-3-1,2-1-5,3-1-2,差し,差し,差し,差し,まくり差し
202608180904,2026-08-18,09,4R,daily,2-1-3,2-1-4,2-1-5,2-3-1,4-1-2,差し,差し,差し,差し,まくり
202608180905,2026-08-18,09,5R,daily,3-1-4,2-1-3,3-1-2,2-1-4,4-1-2,まくり差し,差し,まくり差し,差し,まくり
202608180906,2026-08-18,09,6R,daily,2-1-3,2-1-5,2-1-4,3-1-2,3-1-5,差し,差し,差し,まくり差し,まくり差し
202608180907,2026-08-18,09,7R,daily,2-1-3,3-1-2,3-1-4,2-1-4,3-1-5,差し,まくり差し,まくり差し,差し,まくり差し
202608180908,2026-08-18,09,8R,daily,5-1-3,5-1-2,3-1-5,5-1-4,3-1-4,まくり差し,まくり差し,まくり差し,まくり差し,まくり差し
202608180909,2026-08-18,09,9R,daily,3-1-2,3-1-4,3-1-5,3-2-1,2-1-3,まくり差し,まくり差し,まくり差し,まくり,差し
202608180910,2026-08-18,09,10R,daily,2-1-3,3-1-2,2-1-4,2-1-5,2-3-1,差し,まくり差し,差し,差し,差し
202608180911,2026-08-18,09,11R,daily,2-1-3,2-1-4,3-1-2,2-1-5,5-1-2,差し,差し,まくり差し,差し,まくり差し
202608180912,2026-08-18,09,12R,daily,2-1-3,2-1-4,3-1-2,3-1-4,4-1-2,差し,差し,まくり差し,まくり差し,まくり
202608181001,2026-08-18,10,1R,daily,3-1-2,3-1-4,3-1-5,2-1-3,4-1-2,まくり差し,まくり差し,まくり差し,差し,まくり
202608181001,2026-08-18,10,1R,realtime,3-1-2,3-1-4,3-1-5,2-1-3,3-1-6,まくり差し,まくり差し,まくり差し,差し,まくり差し
202608181002,2026-08-18,10,2R,daily,2-1-3,2-1-4,2-1-5,3-1-2,3-1-4,差し,差し,差し,まくり差し,まくり差し
202608181002,2026-08-18,10,2R,realtime,2-1-3,3-1-2,2-1-5,2-3-1,3-1-5,差し,まくり差し,差し,差し,まくり差し
202608181003,2026-08-18,10,3R,daily,3-1-4,3-1-5,3-1-2,2-1-3,3-2-1,まくり差し,まくり差し,まくり差し,差し,まくり
202608181003,2026-08-18,10,3R,realtime,3-1-5,3-1-2,3-1-4,3-2-1,3-5-1,まくり差し,まくり差し,まくり差し,まくり,まくり
202608181004,2026-08-18,10,4R,daily,6-1-2,6-1-4,2-1-4,2-1-3,2-1-6,まくり差し,まくり差し,差し,差し,差し
202608181004,2026-08-18,10,4R,realtime,6-1-2,6-2-1,6-1-4,6-1-5,2-1-3,まくり差し,まくり差し,まくり差し,まくり差し,差し
202608181005,2026-08-18,10,5R,daily,4-1-5,4-1-2,5-1-4,5-1-6,5-1-2,まくり,まくり,まくり差し,まくり差し,まくり差し
202608181005,2026-08-18,10,5R,realtime,5-1-6,5-1-2,5-1-4,4-1-5,6-1-5,まくり差し,まくり差し,まくり差し,まくり,まくり差し
202608181006,2026-08-18,10,6R,daily,2-1-3,2-1-5,2-1-4,5-1-2,4-1-5,差し,差し,差し,まくり差し,まくり
202608181006,2026-08-18,10,6R,realtime,5-1-2,5-1-4,2-1-5,2-1-3,2-1-4,まくり差し,まくり差し,差し,差し,差し
202608181007,2026-08-18,10,7R,daily,3-1-4,3-1-2,2-1-3,3-1-5,2-1-4,まくり差し,まくり差し,差し,まくり差し,差し
202608181008,2026-08-18,10,8R,daily,2-1-3,2-1-4,4-1-2,3-1-4,3-1-2,差し,差し,まくり,まくり差し,まくり差し
202608181009,2026-08-18,10,9R,daily,3-1-2,2-1-3,3-1-4,3-1-5,3-2-1,まくり差し,差し,まくり差し,まくり差し,まくり
202608181010,2026-08-18,10,10R,daily,2-1-3,2-1-4,2-1-5,2-1-6,3-1-2,差し,差し,差し,差し,まくり差し
202608181011,2026-08-18,10,11R,daily,2-1-3,2-1-4,2-1-5,3-1-2,3-1-4,差し,差し,差し,まくり差し,まくり差し
