レースコード,レース日,レース場コード,レース回,状態,買い目1,買い目2,買い目3,買い目4,買い目5,決まり手1,決まり手2,決まり手3,決まり手4,決まり手5
202608160402,2026-08-16,04,2R,realtime,2-1-5,2-5-1,2-1-3,5-2-1,5-1-2,差し,差し,差し,まくり差し,まくり差し
202608160403,2026-08-16,04,3R,daily,3-1-2,3-1-5,3-2-1,2-1-3,3-1-4,まくり差し,まくり差し,まくり,差し,まくり差し
202608160403,2026-08-16,04,3R,realtime,3-1-2,3-1-4,3-1-5,2-1-3,3-2-1,まくり差し,まくり差し,まくり差し,差し,まくり
202608160404,2026-08-16,04,4R,daily,2-1-4,2-1-3,4-1-2,4-2-1,2-4-1,差し,差し,まくり,まくり,差し
202608160404,2026-08-16,04,4R,realtime,2-1-4,2-1-3,4-1-2,2-1-5,4-2-1,差し,差し,まくり,差し,まくり
202608160405,2026-08-16,04,5R,daily,5-1-2,2-1-5,5-2-1,5-1-4,2-5-1,まくり差し,差し,まくり差し,まくり差し,差し
202608160405,2026-08-16,04,5R,realtime,6-1-2,5-1-2,6-1-5,6-5-1,6-2-1,まくり差し,まくり差し,まくり差し,まくり,まくり差し
202608160406,2026-08-16,04,6R,daily,2-1-4,2-1-3,4-1-2,2-1-6,2-1-5,差し,差し,まくり,差し,差し
202608160406,2026-08-16,04,6R,realtime,2-1-4,2-1-6,4-1-2,4-1-6,2-1-3,差し,差し,まくり,まくり,差し
202608160407,2026-08-16,04,7R,daily,2-1-3,2-1-4,2-1-5,2-3-1,2-4-1,差し,差し,差し,差し,差し
202608160407,2026-08-16,04,7R,realtime,2-1-4,2-1-3,2-4-1,2-3-1,2-1-5,差し,差し,差し,差し,差し
202608160408,2026-08-16,04,8R,daily,5-1-2,2-1-3,2-1-4,5-1-3,5-1-4,まくり差し,差し,差し,まくり差し,まくり差し
202608160408,2026-08-16,04,8R,realtime,2-1-4,5-1-2,2-1-5,2-1-3,2-4-1,差し,まくり差し,差し,差し,差し
202608160409,2026-08-16,04,9R,daily,4-1-5,4-1-2,4-1-3,5-1-4,2-1-4,まくり,まくり,差し,まくり差し,差し
202608160409,2026-08-16,04,9R,realtime,4-1-5,4-1-2,5-1-4,4-1-3,4-5-1,まくり,まくり,まくり差し,差し,まくり
202608160410,2026-08-16,04,10R,daily,2-1-3,2-1-4,2-1-5,3-1-2,4-1-2,差し,差し,差し,まくり差し,まくり
202608160410,2026-08-16,04,10R,realtime,2-1-4,2-1-5,2-1-3,4-1-2,2-4-1,差し,差し,差し,まくり,差し
202608160411,2026-08-16,04,11R,daily,4-1-2,3-1-4,4-1-3,2-1-3,2-1-4,まくり,まくり差し,差し,差し,差し
202608160412,2026-08-16,04,12R,daily,2-1-3,2-1-4,3-1-2,2-1-5,3-1-4,差し,差し,まくり差し,差し,まくり差し
202608160501,2026-08-16,05,1R,daily,5-1-2,2-1-3,5-1-3,5-1-4,3-1-2,まくり差し,差し,まくり差し,まくり差し,まくり差し
202608160501,2026-08-16,05,1R,realtime,2-1-3,5-1-2,5-1-3,2-1-4,2-1-5,差し,まくり差し,まくり差し,差し,差し
202608160502,2026-08-16,05,2R,daily,3-1-2,3-1-4,3-1-5,3-1-6,3-2-1,まくり差し,まくり差し,まくり差し,まくり差し,まくり
