レースコード,レース日,レース場コード,レース回,状態,買い目1,買い目2,買い目3,買い目4,買い目5,決まり手1,決まり手2,決まり手3,決まり手4,決まり手5
202608220201,2026-08-22,02,1R,daily,2-1-3,3-1-2,2-1-4,3-1-4,3-1-5,差し,まくり差し,差し,まくり差し,まくり差し
202608220201,2026-08-22,02,1R,realtime,2-1-3,3-1-2,3-1-4,2-1-4,3-1-5,差し,まくり差し,まくり差し,差し,まくり差し
202608220202,2026-08-22,02,2R,daily,2-1-3,2-1-4,2-1-5,2-3-1,2-3-4,差し,差し,差し,差し,まくり
202608220202,2026-08-22,02,2R,realtime,2-1-3,2-1-4,2-3-1,2-1-5,2-4-1,差し,差し,差し,差し,差し
202608220203,2026-08-22,02,3R,daily,2-1-4,2-1-3,4-1-2,4-2-1,2-4-1,差し,差し,まくり,まくり,差し
202608220203,2026-08-22,02,3R,realtime,2-1-3,2-1-4,2-3-1,3-1-2,4-1-2,差し,差し,差し,まくり差し,まくり
202608220204,2026-08-22,02,4R,daily,4-1-3,3-1-4,4-1-2,4-1-5,3-1-2,差し,まくり差し,まくり,まくり,まくり差し
202608220204,2026-08-22,02,4R,realtime,4-1-3,3-1-4,4-1-2,4-1-5,2-1-3,差し,まくり差し,まくり,まくり,差し
202608220205,2026-08-22,02,5R,daily,4-1-5,4-5-1,4-1-2,4-1-3,4-2-1,まくり,まくり,まくり,差し,まくり
202608220205,2026-08-22,02,5R,realtime,4-1-5,4-1-2,4-1-3,4-5-1,4-1-6,まくり,まくり,差し,まくり,まくり
202608220206,2026-08-22,02,6R,daily,4-1-5,5-1-4,4-1-2,5-1-2,5-4-1,まくり,まくり差し,まくり,まくり差し,まくり差し
202608220206,2026-08-22,02,6R,realtime,4-5-1,4-1-5,5-1-4,5-1-2,5-4-1,まくり,まくり,まくり差し,まくり差し,まくり差し
202608220207,2026-08-22,02,7R,daily,3-1-2,2-1-3,3-1-4,2-1-4,3-1-5,まくり差し,差し,まくり差し,差し,まくり差し
202608220207,2026-08-22,02,7R,realtime,2-1-4,3-1-4,3-1-2,4-1-2,2-1-3,差し,まくり差し,まくり差し,まくり,差し
202608220208,2026-08-22,02,8R,daily,2-1-3,3-1-2,2-3-1,3-2-1,3-1-4,差し,まくり差し,差し,まくり,まくり差し
202608220208,2026-08-22,02,8R,realtime,3-1-2,3-1-6,2-1-3,3-1-4,3-2-1,まくり差し,まくり差し,差し,まくり差し,まくり
202608220209,2026-08-22,02,9R,daily,3-1-2,2-1-3,3-1-5,3-2-1,3-1-4,まくり差し,差し,まくり差し,まくり,まくり差し
202608220209,2026-08-22,02,9R,realtime,3-1-2,3-1-5,2-1-3,3-1-4,3-2-1,まくり差し,まくり差し,差し,まくり差し,まくり
202608220210,2026-08-22,02,10R,daily,3-1-2,2-1-3,3-1-4,2-3-1,3-2-1,まくり差し,差し,まくり差し,差し,まくり
202608220210,2026-08-22,02,10R,realtime,3-1-2,2-1-3,3-1-4,3-2-1,2-3-1,まくり差し,差し,まくり差し,まくり,差し
202608220211,2026-08-22,02,11R,daily,5-1-2,2-1-4,2-1-3,5-1-4,2-1-5,まくり差し,差し,差し,まくり差し,差し
202608220211,2026-08-22,02,11R,realtime,5-1-2,5-1-4,5-1-3,4-1-5,5-1-6,まくり差し,まくり差し,まくり差し,まくり,まくり差し
202608220212,2026-08-22,02,12R,daily,4-1-2,2-1-4,4-1-5,4-1-3,4-2-1,まくり,差し,まくり,差し,まくり
202608220301,2026-08-22,03,1R,daily,2-1-3,3-1-2,3-1-4,2-1-4,4-1-2,差し,まくり差し,まくり差し,差し,まくり
202608220301,2026-08-22,03,1R,realtime,2-1-3,3-1-2,2-1-4,3-1-4,4-1-2,差し,まくり差し,差し,まくり差し,まくり
202608220302,2026-08-22,03,2R,daily,2-1-3,2-1-4,3-1-2,5-1-2,2-1-5,差し,差し,まくり差し,まくり差し,差し
202608220302,2026-08-22,03,2R,realtime,2-1-3,2-1-4,2-1-5,5-1-2,2-3-1,差し,差し,差し,まくり差し,差し
202608220303,2026-08-22,03,3R,daily,4-1-2,4-1-3,3-1-4,4-2-1,3-1-2,まくり,差し,まくり差し,まくり,まくり差し
202608220303,2026-08-22,03,3R,realtime,4-1-2,4-1-5,4-1-3,4-2-1,3-1-4,まくり,まくり,差し,まくり,まくり差し
202608220304,2026-08-22,03,4R,daily,4-1-2,4-1-5,4-1-3,4-2-1,4-5-1,まくり,まくり,差し,まくり,まくり
