レースコード,レース日,レース場コード,レース回,状態,買い目1,買い目2,買い目3,買い目4,買い目5,決まり手1,決まり手2,決まり手3,決まり手4,決まり手5
202608300101,2026-08-30,01,1R,daily,4-1-2,2-1-4,3-1-4,4-1-5,4-2-1,まくり,差し,まくり差し,まくり,まくり
202608300102,2026-08-30,01,2R,daily,3-1-4,4-1-2,2-1-4,4-1-3,3-1-2,まくり差し,まくり,差し,差し,まくり差し
202608300103,2026-08-30,01,3R,daily,3-1-4,4-1-3,3-4-1,3-1-2,2-1-3,まくり差し,差し,まくり,まくり差し,差し
202608300104,2026-08-30,01,4R,daily,3-1-2,3-1-4,3-1-5,2-1-3,2-1-4,まくり差し,まくり差し,まくり差し,差し,差し
202608300105,2026-08-30,01,5R,daily,3-1-5,3-1-4,3-1-2,3-5-1,5-1-3,まくり差し,まくり差し,まくり差し,まくり,まくり差し
202608300106,2026-08-30,01,6R,daily,3-1-4,3-1-5,4-1-3,3-1-2,2-1-3,まくり差し,まくり差し,差し,まくり差し,差し
202608300107,2026-08-30,01,7R,daily,3-1-4,4-1-3,3-1-5,3-1-2,2-1-3,まくり差し,差し,まくり差し,まくり差し,差し
202608300108,2026-08-30,01,8R,daily,3-1-4,4-1-3,4-1-2,4-1-6,2-1-3,まくり差し,差し,まくり,まくり,差し
202608300109,2026-08-30,01,9R,daily,4-1-5,5-1-4,3-1-4,3-1-5,4-5-1,まくり,まくり差し,まくり差し,まくり差し,まくり
202608300110,2026-08-30,01,10R,daily,2-1-3,2-1-4,3-1-2,3-1-4,4-1-2,差し,差し,まくり差し,まくり差し,まくり
202608300111,2026-08-30,01,11R,daily,2-1-4,3-1-4,4-1-2,3-1-2,2-1-3,差し,まくり差し,まくり,まくり差し,差し
202608300112,2026-08-30,01,12R,daily,3-1-5,2-1-3,3-1-4,5-1-3,3-1-2,まくり差し,差し,まくり差し,まくり差し,まくり差し
202608300401,2026-08-30,04,1R,daily,2-1-4,2-1-3,2-1-5,5-1-2,2-4-1,差し,差し,差し,まくり差し,差し
202608300402,2026-08-30,04,2R,daily,3-1-4,3-1-2,3-1-5,3-4-1,3-2-1,まくり差し,まくり差し,まくり差し,まくり,まくり
202608300403,2026-08-30,04,3R,daily,2-1-3,2-1-4,2-3-1,2-3-4,2-1-6,差し,差し,差し,まくり,差し
202608300404,2026-08-30,04,4R,daily,2-1-3,3-1-2,2-1-4,3-1-4,3-1-5,差し,まくり差し,差し,まくり差し,まくり差し
202608300405,2026-08-30,04,5R,daily,4-1-2,2-1-4,4-2-1,4-1-5,2-1-3,まくり,差し,まくり,まくり,差し
202608300406,2026-08-30,04,6R,daily,2-1-3,2-1-4,2-3-1,3-1-2,2-1-5,差し,差し,差し,まくり差し,差し
202608300407,2026-08-30,04,7R,daily,2-1-3,2-1-4,2-1-5,2-3-1,3-1-2,差し,差し,差し,差し,まくり差し
202608300408,2026-08-30,04,8R,daily,2-1-3,2-1-4,2-1-5,2-3-1,2-4-1,差し,差し,差し,差し,差し
202608300409,2026-08-30,04,9R,daily,4-1-2,4-1-5,2-1-4,4-1-3,2-1-3,まくり,まくり,差し,差し,差し
202608300410,2026-08-30,04,10R,daily,2-1-6,2-1-3,2-1-4,2-6-1,2-1-5,差し,差し,差し,差し,差し
202608300411,2026-08-30,04,11R,daily,2-1-3,2-1-4,2-1-5,4-1-2,3-1-2,差し,差し,差し,まくり,まくり差し
202608300412,2026-08-30,04,12R,daily,3-1-2,2-1-3,3-1-4,3-1-5,3-2-1,まくり差し,差し,まくり差し,まくり差し,まくり
202608300501,2026-08-30,05,1R,daily,2-1-3,2-1-4,3-1-2,3-1-4,2-3-1,差し,差し,まくり差し,まくり差し,差し
202608300502,2026-08-30,05,2R,daily,3-1-4,3-1-2,4-1-3,4-1-2,3-1-5,まくり差し,まくり差し,差し,まくり,まくり差し
202608300503,2026-08-30,05,3R,daily,2-1-3,2-1-4,2-1-5,3-1-2,2-3-1,差し,差し,差し,まくり差し,差し
202608300504,2026-08-30,05,4R,daily,2-1-3,2-1-4,2-3-1,3-1-2,2-1-5,差し,差し,差し,まくり差し,差し
202608300505,2026-08-30,05,5R,daily,4-1-2,4-1-5,3-1-2,3-1-4,3-1-5,まくり,まくり,まくり差し,まくり差し,まくり差し
202608300506,2026-08-30,05,6R,daily,3-1-4,3-1-2,3-1-5,3-1-6,4-1-3,まくり差し,まくり差し,まくり差し,まくり差し,差し
202608300507,2026-08-30,05,7R,daily,3-1-4,4-1-3,3-1-2,4-1-5,2-1-3,まくり差し,差し,まくり差し,まくり,差し
202608300508,2026-08-30,05,8R,daily,2-1-3,3-1-2,4-1-2,4-1-3,2-1-4,差し,まくり差し,まくり,差し,差し
