レースコード,予想1着,予想2着,予想3着,実際1着,実際2着,実際3着,1着的中,2着的中,3着的中,全的中,予想決まり手,決まり手,決まり手的中,艇1_予想コース,艇1_実際コース,艇2_予想コース,艇2_実際コース,艇3_予想コース,艇3_実際コース,艇4_予想コース,艇4_実際コース,艇5_予想コース,艇5_実際コース,艇6_予想コース,艇6_実際コース,コース一致数,進入完全一致,艇1_予想ST,艇1_実際ST,艇2_予想ST,艇2_実際ST,艇3_予想ST,艇3_実際ST,艇4_予想ST,艇4_実際ST,艇5_予想ST,艇5_実際ST,艇6_予想ST,艇6_実際ST,ST_MAE
202603262201,1,5,4,3,1,6,×,×,×,×,逃げ,まくり,×,1,1.0,6,3.0,5,4.0,4,5.0,3,6.0,2,2.0,2,×,0.073,0.29,0.139,0.25,0.145,0.19,0.121,0.15,0.116,0.12,0.07,0.26,0.09933333333333334
202603262202,6,4,2,2,1,3,×,×,×,×,逃げ,差し,×,6,1.0,2,2.0,4,3.0,3,4.0,5,5.0,1,6.0,2,×,0.19,0.09,0.151,0.16,0.108,0.13,0.195,0.14,0.089,0.14,0.15,0.1,0.04783333333333334
202603262203,5,1,3,1,3,5,×,×,×,×,逃げ,逃げ,○,3,1.0,2,2.0,4,3.0,6,4.0,1,5.0,5,6.0,1,×,0.078,0.1,0.095,0.27,0.134,0.15,0.139,0.2,0.128,0.26,0.146,0.11,0.07366666666666667
202603262204,6,1,2,2,3,6,×,×,×,×,逃げ,差し,×,4,1.0,2,2.0,5,3.0,6,5.0,3,6.0,1,4.0,1,×,0.113,0.27,0.149,0.3,0.121,0.28,0.115,0.36,0.135,0.46,0.114,0.24,0.19383333333333339
202603262205,4,2,5,4,6,5,○,×,○,×,逃げ,まくり,×,6,1.0,2,3.0,5,2.0,1,4.0,4,5.0,3,6.0,0,×,0.041,0.35,0.109,0.35,0.116,0.32,0.095,0.26,0.039,0.31,0.1,0.24,0.22166666666666665
202603262206,2,3,6,1,3,5,×,○,×,×,逃げ,逃げ,○,5,1.0,1,2.0,4,3.0,3,4.0,6,5.0,2,6.0,0,×,0.124,0.07,0.099,0.09,0.175,0.12,0.14,0.1,0.206,0.06,0.107,0.01,0.06683333333333334
202603262207,5,1,2,1,5,4,×,×,×,×,逃げ,逃げ,○,3,1.0,4,2.0,2,3.0,6,4.0,1,5.0,5,6.0,0,×,0.112,0.2,0.102,0.21,0.144,0.17,0.134,0.16,0.176,0.16,0.133,0.11,0.04783333333333334
202603262208,1,6,2,1,3,4,○,×,×,×,逃げ,逃げ,○,1,1.0,4,2.0,5,3.0,6,4.0,3,5.0,2,6.0,1,×,0.086,0.19,0.098,0.2,0.139,0.15,0.121,0.16,0.131,0.13,0.098,0.12,0.04650000000000001
202603262209,2,5,4,1,5,4,×,○,○,×,逃げ,逃げ,○,6,1.0,1,2.0,3,3.0,4,4.0,2,5.0,5,6.0,2,×,0.15,0.16,0.09,0.2,0.09,0.23,0.099,0.21,0.107,0.24,0.19,0.24,0.09233333333333334
202603262210,1,4,2,1,2,3,○,×,×,×,逃げ,逃げ,○,1,1.0,5,2.0,6,3.0,2,4.0,3,5.0,4,6.0,1,×,0.107,0.21,0.068,0.22,0.141,0.23,0.101,0.16,0.097,0.14,0.121,0.12,0.07450000000000001
202603262211,5,6,2,1,2,4,×,×,×,×,逃げ,逃げ,○,6,1.0,4,2.0,3,3.0,5,4.0,1,5.0,2,6.0,1,×,0.102,0.08,0.163,0.08,0.06,0.18,0.147,0.19,0.117,0.21,0.098,0.2,0.07716666666666666
202603262212,3,1,2,1,3,2,×,×,○,×,逃げ,逃げ,○,2,1.0,3,2.0,1,3.0,5,4.0,4,5.0,6,6.0,1,×,0.131,0.09,0.076,0.15,0.067,0.19,0.114,0.3,0.135,0.22,0.151,0.27,0.10466666666666667
202603261201,1,5,3,1,2,3,○,×,○,×,逃げ,逃げ,○,3,1.0,4,2.0,2,3.0,6,4.0,1,5.0,5,6.0,0,×,0.026,0.17,-0.059,0.14,-0.028,0.23,-0.052,0.21,-0.094,0.22,0.06,0.31,0.23783333333333334
202603261202,5,2,3,4,2,1,×,○,×,×,差し,,-,6,1.0,2,2.0,5,3.0,4,4.0,1,5.0,3,6.0,2,×,0.068,0.24,-0.005,0.27,-0.031,0.45,-0.033,0.28,-0.073,0.3,0.042,0.41,0.33033333333333337
202603261203,4,1,2,1,2,3,×,×,×,×,逃げ,逃げ,○,6,1.0,3,2.0,2,3.0,1,4.0,5,5.0,4,6.0,1,×,-0.042,0.2,-0.056,0.22,-0.023,0.2,-0.033,0.25,0.016,0.2,0.008,0.14,0.2233333333333333
202603261204,2,1,3,1,3,5,×,×,×,×,逃げ,逃げ,○,5,1.0,1,3.0,3,4.0,2,5.0,4,2.0,6,6.0,1,×,-0.077,0.1,-0.049,0.11,-0.005,0.06,0.029,0.1,-0.056,0.13,-0.091,0.09,0.13983333333333334
