レースコード,予想1着,予想2着,予想3着,実際1着,実際2着,実際3着,1着的中,2着的中,3着的中,全的中,予想決まり手,決まり手,決まり手的中,艇1_予想コース,艇1_実際コース,艇2_予想コース,艇2_実際コース,艇3_予想コース,艇3_実際コース,艇4_予想コース,艇4_実際コース,艇5_予想コース,艇5_実際コース,艇6_予想コース,艇6_実際コース,コース一致数,進入完全一致,艇1_予想ST,艇1_実際ST,艇2_予想ST,艇2_実際ST,艇3_予想ST,艇3_実際ST,艇4_予想ST,艇4_実際ST,艇5_予想ST,艇5_実際ST,艇6_予想ST,艇6_実際ST,ST_MAE
202603301908,2,5,4,3,1,5,×,×,×,×,逃げ,まくり,×,6,1.0,2,2.0,4,3.0,3,4.0,1,5.0,5,6.0,1,×,0.019,0.16,0.028,0.19,0.037,0.13,0.03,0.09,0.01,0.07,-0.033,0.13,0.11316666666666668
202603301701,3,2,5,1,6,5,×,×,○,×,逃げ,逃げ,○,6,1.0,2,2.0,1,4.0,5,6.0,3,5.0,4,3.0,1,×,0.005,0.06,-0.079,0.08,-0.049,0.03,-0.032,0.08,-0.07,0.03,0.031,0.05,0.08733333333333333
202603301702,6,5,1,1,5,6,×,○,×,×,逃げ,逃げ,○,3,1.0,4,2.0,5,3.0,6,4.0,1,5.0,2,6.0,0,×,-0.101,0.13,0.017,0.14,-0.071,0.09,-0.05,0.07,-0.07,0.15,0.013,0.11,0.15866666666666665
202603301703,1,5,6,4,1,3,×,×,×,×,逃げ,差し,×,3,1.0,5,2.0,6,3.0,4,4.0,1,6.0,2,5.0,1,×,0.027,0.11,-0.041,0.12,-0.004,0.14,-0.059,0.13,-0.058,0.22,-0.164,0.18,0.1998333333333333
202603301704,1,5,4,5,1,6,×,×,×,×,逃げ,差し,×,2,1.0,4,2.0,6,4.0,3,5.0,1,3.0,5,6.0,0,×,-0.092,0.12,-0.072,0.26,-0.158,0.07,0.026,0.11,-0.023,0.04,0.012,0.17,0.1795
202603301705,1,6,3,1,2,3,○,×,○,×,逃げ,逃げ,○,5,1.0,3,2.0,2,3.0,4,4.0,6,5.0,1,6.0,1,×,-0.045,0.07,-0.089,0.06,-0.068,0.1,-0.02,0.14,-0.041,0.18,-0.021,0.24,0.17900000000000002
202603301706,2,1,5,2,1,5,○,○,○,○,逃げ,差し,×,4,1.0,1,2.0,5,3.0,6,6.0,2,4.0,3,5.0,1,×,-0.043,0.22,0.016,0.2,-0.025,0.28,-0.019,0.2,-0.05,0.27,-0.084,0.24,0.26916666666666667
202603301707,3,4,6,6,2,1,×,×,×,×,逃げ,,-,3,1.0,6,2.0,1,3.0,4,4.0,5,5.0,2,6.0,2,×,-0.045,0.21,-0.047,0.26,-0.03,0.25,-0.027,0.48,-0.006,0.24,-0.15,0.21,0.32583333333333336
202603301708,2,1,4,3,1,2,×,○,×,×,逃げ,差し,×,2,1.0,1,2.0,6,3.0,3,4.0,4,5.0,5,6.0,0,×,-0.077,0.17,-0.038,0.17,0.023,0.15,-0.091,0.4,-0.044,0.37,-0.027,0.34,0.309
202603301709,3,4,1,1,2,4,×,×,×,×,逃げ,逃げ,○,3,1.0,4,2.0,1,3.0,2,4.0,6,5.0,5,6.0,0,×,-0.055,0.13,-0.016,0.14,0.024,0.21,0.034,0.2,-0.058,0.12,-0.055,0.19,0.18600000000000003
202603301710,1,2,3,1,4,3,○,×,○,×,逃げ,逃げ,○,1,1.0,2,2.0,3,3.0,6,5.0,5,4.0,4,6.0,3,×,-0.06,0.07,-0.135,0.12,-0.009,0.15,0.054,0.13,0.018,0.17,-0.054,0.23,0.17600000000000002
202603301711,4,1,6,4,3,6,○,×,○,×,逃げ,,-,3,,2,,5,3.0,1,4.0,6,5.0,4,6.0,0,×,-0.042,,0.007,,0.029,0.04,0.016,0.12,0.007,0.12,-0.055,0.13,0.10325
202603301712,1,2,5,1,2,5,○,○,○,○,逃げ,逃げ,○,1,1.0,3,2.0,5,3.0,6,4.0,2,5.0,4,6.0,1,×,-0.055,0.15,-0.004,0.17,0.039,0.13,-0.075,0.16,-0.007,0.22,0.035,0.16,0.17616666666666667
202603301601,1,3,5,1,2,4,○,×,×,×,逃げ,逃げ,○,4,1.0,5,2.0,1,3.0,3,4.0,2,6.0,6,5.0,0,×,-0.005,0.12,0.041,0.07,0.038,0.13,0.008,0.21,0.002,0.13,0.094,0.14,0.10366666666666667
202603301602,6,1,5,1,4,3,×,×,×,×,逃げ,逃げ,○,4,1.0,2,2.0,6,3.0,5,4.0,3,5.0,1,6.0,1,×,-0.012,0.1,0.037,0.1,0.045,0.08,-0.019,0.14,-0.07,0.11,0.003,0.22,0.12766666666666665
202603301603,6,4,2,2,1,3,×,×,×,×,逃げ,差し,×,6,1.0,2,3.0,5,4.0,3,5.0,4,2.0,1,6.0,0,×,0.049,0.14,0.007,0.17,0.048,0.19,0.031,0.16,0.001,0.18,0.016,0.22,0.15133333333333332
202603301604,4,1,5,1,4,2,×,×,×,×,逃げ,逃げ,○,2,1.0,3,2.0,5,3.0,1,4.0,4,5.0,6,6.0,1,×,-0.046,0.18,-0.003,0.13,0.022,0.14,0.009,0.16,0.027,0.15,0.008,0.13,0.1455
202603301605,3,6,1,1,3,4,×,×,×,×,逃げ,逃げ,○,4,1.0,2,2.0,1,3.0,5,4.0,6,5.0,3,6.0,1,×,-0.068,0.17,-0.006,0.21,0.05,0.13,0.008,0.17,0.102,0.15,0.036,0.33,0.17300000000000004
