レースコード,予想1着,予想2着,予想3着,実際1着,実際2着,実際3着,1着的中,2着的中,3着的中,全的中,予想決まり手,決まり手,決まり手的中,艇1_予想コース,艇1_実際コース,艇2_予想コース,艇2_実際コース,艇3_予想コース,艇3_実際コース,艇4_予想コース,艇4_実際コース,艇5_予想コース,艇5_実際コース,艇6_予想コース,艇6_実際コース,コース一致数,進入完全一致,艇1_予想ST,艇1_実際ST,艇2_予想ST,艇2_実際ST,艇3_予想ST,艇3_実際ST,艇4_予想ST,艇4_実際ST,艇5_予想ST,艇5_実際ST,艇6_予想ST,艇6_実際ST,ST_MAE
202603162101,3,1,5,1,2,5,×,×,○,×,逃げ,逃げ,○,3,1.0,5,2.0,1,3.0,6,,2,5.0,4,6.0,0,×,0.12,0.15,0.083,0.15,0.164,0.15,0.157,,0.13,0.14,0.218,0.16,0.0358
202603162103,6,1,4,1,2,5,×,×,×,×,逃げ,逃げ,○,2,1.0,6,2.0,3,3.0,4,4.0,5,5.0,1,6.0,3,×,0.132,0.24,0.171,0.24,0.149,0.2,0.192,0.15,0.066,0.22,0.172,0.14,0.076
202603162104,5,1,3,5,1,6,○,○,×,×,逃げ,差し,×,2,1.0,4,,3,,6,,1,5.0,5,6.0,0,×,0.081,0.14,0.182,,0.153,,0.104,,0.136,0.08,0.228,0.06,0.09433333333333334
202603162105,2,1,5,1,3,2,×,×,×,×,逃げ,逃げ,○,3,1.0,1,3.0,6,2.0,4,4.0,2,5.0,5,6.0,1,×,0.138,0.11,0.053,0.11,0.139,0.16,0.137,0.1,0.119,0.05,0.15,0.1,0.043666666666666666
202603162106,6,2,4,3,1,2,×,×,×,×,逃げ,,-,6,1.0,3,2.0,2,3.0,4,4.0,5,5.0,1,6.0,2,×,0.053,0.16,0.167,0.1,0.069,0.12,0.182,0.08,0.226,0.05,0.073,0.07,0.08433333333333333
202603162108,1,3,4,2,1,4,×,×,○,×,逃げ,,-,1,1.0,5,2.0,3,3.0,2,4.0,6,5.0,4,6.0,2,×,0.066,0.16,0.068,0.14,0.152,0.16,0.19,0.11,0.147,0.15,0.125,0.26,0.06533333333333334
202603162109,6,1,2,1,3,6,×,×,×,×,逃げ,逃げ,○,2,1.0,3,3.0,6,4.0,4,2.0,5,5.0,1,6.0,2,×,0.143,0.15,0.143,0.1,0.093,0.11,0.207,0.09,0.168,0.32,0.119,0.46,0.11283333333333334
202603162111,1,5,4,1,2,4,○,×,○,×,逃げ,逃げ,○,3,1.0,4,2.0,5,3.0,2,4.0,1,5.0,6,6.0,1,×,0.149,0.15,0.123,0.16,0.072,0.12,0.186,0.15,0.111,0.15,0.175,0.17,0.027666666666666662
202603162112,3,1,2,1,4,2,×,×,○,×,逃げ,逃げ,○,3,1.0,2,2.0,1,3.0,6,4.0,4,5.0,5,6.0,1,×,0.116,0.08,0.17,0.17,0.129,0.14,0.068,0.08,0.162,0.08,0.14,0.17,0.0285
202603161901,6,3,2,6,2,3,○,×,×,×,逃げ,まくり,×,6,1.0,2,2.0,3,3.0,5,4.0,4,5.0,1,6.0,2,×,0.021,0.19,0.074,0.23,0.05,0.25,0.07,0.27,0.089,0.28,0.052,0.19,0.17566666666666672
202603161902,6,3,5,5,1,6,×,×,×,×,逃げ,差し,×,6,1.0,5,2.0,4,3.0,3,4.0,2,5.0,1,6.0,0,×,0.039,0.17,0.005,0.21,0.068,0.17,0.061,0.14,0.118,0.18,0.036,0.18,0.1205
