stadium,n_samples,mu_waku,sigma_waku,mu_racer,sigma_racer,mu_motor4,sigma_motor4,mu_exhibit,sigma_exhibit,mu_weather,sigma_weather,w_waku,w_racer,w_motor4,w_exhibit,w_weather,mu_y,sigma_y,mse,r2,fallback
桐生,6626,5.052912,1.385639,53.916916,5.102415,0.020685,0.182525,50.000963,6.322582,6.5e-05,0.158488,0.35947,0.221501,0.121632,0.20782,0.089577,3.532448,1.696996,0.781051,0.218949,0
戸田,5449,5.042371,1.244248,53.092611,4.105032,0.027359,0.178032,49.999923,6.194692,0.000848,0.334252,0.284702,0.306275,0.125368,0.206115,0.07754,3.541751,1.693897,0.793832,0.206168,0
江戸川,5139,5.086654,1.387942,53.385227,4.26734,0.024274,0.191049,50.001635,10.002673,-0.000796,0.184802,0.467252,0.236575,0.104048,0.071359,0.120766,3.546604,1.692076,0.788342,0.211658,0
平和島,5644,5.062092,1.314205,53.139252,4.081886,0.03982,0.189539,49.99813,6.385698,0.001109,0.289777,0.318246,0.291563,0.121554,0.208269,0.060368,3.53579,1.696589,0.764851,0.235149,0
多摩川,5570,5.037801,1.460313,53.339921,4.2487,0.021851,0.205061,50.014571,5.651977,0.000335,0.199802,0.359317,0.233155,0.107804,0.21586,0.083863,3.5307,1.697884,0.704129,0.295871,0
浜名湖,6624,5.044989,1.522702,53.780955,4.984058,0.024677,0.206287,49.985977,6.077495,-0.000634,0.351357,0.385549,0.201403,0.096697,0.237686,0.078665,3.533665,1.695961,0.735783,0.264217,0
蒲郡,7036,5.049294,1.593574,53.52637,5.083249,0.004031,0.172609,50.003228,6.19873,-0.000478,0.180455,0.384519,0.250734,0.06981,0.212182,0.082755,3.535247,1.696075,0.710314,0.289686,0
常滑,6067,5.046066,1.645128,54.057659,5.24589,-6.9e-05,0.186644,49.990524,6.405132,0.000234,0.196406,0.380592,0.198891,0.07911,0.245592,0.095815,3.526949,1.698774,0.722413,0.277587,0
津,5194,5.042166,1.707205,53.80856,5.258605,-0.002788,0.186242,49.999282,5.555051,-6.7e-05,0.128101,0.420608,0.214798,0.077779,0.223948,0.062867,3.532538,1.696959,0.707374,0.292626,0
三国,5608,5.041311,1.551213,52.798729,3.555081,0.027439,0.17897,49.993899,6.997476,-0.000232,0.108061,0.383447,0.284074,0.083569,0.169102,0.079808,3.536377,1.694508,0.711234,0.288766,0
びわこ,5815,5.047449,1.478887,53.426554,4.124047,0.014751,0.192271,50.00066,5.951876,0.000169,0.134646,0.405206,0.236324,0.102443,0.17932,0.076708,3.533792,1.695734,0.729461,0.270539,0
住之江,5532,5.05078,1.714649,55.068527,6.018995,-0.035469,0.187124,50.00032,8.079572,0.000317,0.245399,0.434585,0.187573,0.115442,0.20332,0.059081,3.541215,1.694575,0.7113,0.2887,0
尼崎,6748,5.044574,1.639881,54.652731,5.778634,-0.001643,0.173671,50.000646,7.751001,0.000169,0.181931,0.399086,0.185811,0.109285,0.237525,0.068293,3.536011,1.696271,0.714014,0.285986,0
鳴門,5285,5.048345,1.32993,54.65852,5.654468,0.017745,0.201099,50.016604,5.939722,0.000323,0.165141,0.354096,0.179227,0.119461,0.233887,0.113329,3.539262,1.694842,0.786444,0.213556,0
丸亀,6269,5.056235,1.605568,53.410293,4.035731,0.014106,0.19064,49.998639,6.094445,0.000286,0.168378,0.382537,0.228203,0.094514,0.208716,0.08603,3.533897,1.696837,0.720627,0.279373,0
児島,6966,5.037571,1.581334,53.413117,4.45747,0.013644,0.179666,49.994914,5.554725,-0.000111,0.148376,0.41489,0.217836,0.089805,0.176551,0.100918,3.529285,1.698048,0.737553,0.262447,0
宮島,6378,5.057169,1.587731,54.027378,5.225795,0.004816,0.175951,49.999621,6.028583,-0.000291,0.153506,0.458697,0.194681,0.085441,0.184544,0.076636,3.543117,1.692986,0.727443,0.272557,0
徳山,6924,5.045252,1.825569,53.092673,4.087669,0.023266,0.184336,50.020868,8.090653,5.5e-05,0.152516,0.433757,0.247623,0.081979,0.185516,0.051125,3.522819,1.699534,0.636283,0.363717,0
下関,5688,5.045988,1.735089,53.384122,4.401265,-0.000215,0.163862,50.000909,6.348066,0.000106,0.139252,0.428604,0.219558,0.081781,0.189343,0.080714,3.526195,1.699471,0.691033,0.308967,0
若松,5925,5.047879,1.601938,53.88189,5.08522,-0.00335,0.161051,49.987597,7.048547,-0.000236,0.166721,0.398947,0.22292,0.073758,0.216371,0.088003,3.533502,1.696688,0.702245,0.297755,0
芦屋,4380,5.043977,1.631862,54.969621,6.147601,0.010752,0.184275,49.994343,7.101195,-0.000464,0.208441,0.455982,0.14807,0.088451,0.204149,0.103348,3.539498,1.696233,0.736808,0.263192,0
福岡,3907,5.057762,1.742252,53.996518,5.303743,0.00725,0.196417,49.990153,6.895617,-0.000362,0.14916,0.438706,0.197958,0.090878,0.241445,0.031014,3.538009,1.694864,0.644004,0.355996,0
唐津,6283,5.048412,1.656673,53.771906,4.928264,-0.00059,0.181988,49.995564,5.928912,-0.000252,0.144244,0.446598,0.223012,0.086974,0.175629,0.067788,3.541461,1.693625,0.683259,0.316741,0
大村,5905,5.04228,1.759646,53.688701,4.958142,0.003708,0.19933,49.99662,6.622774,0.000164,0.150991,0.459788,0.192933,0.083065,0.186768,0.077447,3.536325,1.695362,0.685313,0.314687,0
