レースコード,レース日,レース場コード,レース回,状態,1枠_枠番pt,1枠_寄与_枠番pt,1枠_選手pt,1枠_寄与_選手pt,1枠_モーターpt,1枠_寄与_モーターpt,1枠_展示pt,1枠_寄与_展示pt,1枠_気象pt,1枠_寄与_気象pt,1枠_強さpt,2枠_枠番pt,2枠_寄与_枠番pt,2枠_選手pt,2枠_寄与_選手pt,2枠_モーターpt,2枠_寄与_モーターpt,2枠_展示pt,2枠_寄与_展示pt,2枠_気象pt,2枠_寄与_気象pt,2枠_強さpt,3枠_枠番pt,3枠_寄与_枠番pt,3枠_選手pt,3枠_寄与_選手pt,3枠_モーターpt,3枠_寄与_モーターpt,3枠_展示pt,3枠_寄与_展示pt,3枠_気象pt,3枠_寄与_気象pt,3枠_強さpt,4枠_枠番pt,4枠_寄与_枠番pt,4枠_選手pt,4枠_寄与_選手pt,4枠_モーターpt,4枠_寄与_モーターpt,4枠_展示pt,4枠_寄与_展示pt,4枠_気象pt,4枠_寄与_気象pt,4枠_強さpt,5枠_枠番pt,5枠_寄与_枠番pt,5枠_選手pt,5枠_寄与_選手pt,5枠_モーターpt,5枠_寄与_モーターpt,5枠_展示pt,5枠_寄与_展示pt,5枠_気象pt,5枠_寄与_気象pt,5枠_強さpt,6枠_枠番pt,6枠_寄与_枠番pt,6枠_選手pt,6枠_寄与_選手pt,6枠_モーターpt,6枠_寄与_モーターpt,6枠_展示pt,6枠_寄与_展示pt,6枠_気象pt,6枠_寄与_気象pt,6枠_強さpt
202607071002,2026-07-07,10,2R,realtime,67.54,25.95,50.57,14.37,49.96,4.07,48.29,8.2,43.54,3.5,56.09,52.66,20.23,56.19,15.97,50.0,4.08,51.85,8.8,52.87,4.25,53.33,47.83,18.38,50.57,14.37,51.83,4.23,52.68,8.94,48.73,3.91,49.83,50.78,19.51,47.75,13.57,42.25,3.45,46.45,7.88,48.28,3.88,48.29,43.93,16.88,47.75,13.57,50.0,4.08,36.13,6.13,52.26,4.2,44.86,36.87,14.16,47.75,13.57,33.15,2.7,64.64,10.97,54.44,4.37,45.78
202607071003,2026-07-07,10,3R,daily,67.54,25.95,50.57,14.37,50.0,4.08,50.0,8.49,50.0,4.02,56.9,52.66,20.23,44.94,12.77,48.42,3.95,50.0,8.49,50.0,4.02,49.46,50.78,19.51,50.57,14.37,55.23,4.5,50.0,8.49,50.0,4.02,50.89,47.83,18.38,44.94,12.77,48.44,3.95,50.0,8.49,50.0,4.02,47.6,43.93,16.88,47.75,13.57,59.25,4.83,50.0,8.49,50.0,4.02,47.78,36.87,14.16,47.75,13.57,50.0,4.08,50.0,8.49,50.0,4.02,44.32
202607071003,2026-07-07,10,3R,realtime,67.54,25.95,50.57,14.37,50.0,4.08,49.72,8.44,36.46,2.93,55.76,52.66,20.23,44.94,12.77,48.42,3.95,51.57,8.75,50.89,4.09,49.79,50.78,19.51,50.57,14.37,55.23,4.5,66.76,11.33,64.95,5.22,54.93,47.83,18.38,44.94,12.77,48.44,3.95,55.21,9.37,55.57,4.46,48.93,43.93,16.88,47.75,13.57,59.25,4.83,42.29,7.18,46.76,3.76,46.22,36.87,14.16,47.75,13.57,50.0,4.08,34.5,5.86,45.5,3.65,41.32
202607071004,2026-07-07,10,4R,daily,67.54,25.95,53.38,15.17,65.07,5.31,50.0,8.49,50.0,4.02,58.93,52.66,20.23,42.13,11.97,50.0,4.08,50.0,8.49,50.0,4.02,48.78,50.78,19.51,47.75,13.57,48.75,3.98,50.0,8.49,50.0,4.02,49.56,47.83,18.38,44.94,12.77,55.19,4.5,50.0,8.49,50.0,4.02,48.15,43.93,16.88,75.88,21.56,50.0,4.08,50.0,8.49,50.0,4.02,55.02,36.87,14.16,42.13,11.97,50.0,4.08,50.0,8.49,50.0,4.02,42.72
202607071004,2026-07-07,10,4R,realtime,67.54,25.95,53.38,15.17,65.07,5.31,65.59,11.13,37.55,3.02,60.57,52.66,20.23,42.13,11.97,50.0,4.08,58.25,9.89,49.69,3.99,50.16,50.78,19.51,47.75,13.57,48.75,3.98,40.09,6.8,62.6,5.03,48.89,47.83,18.38,44.94,12.77,55.19,4.5,47.81,8.11,58.63,4.71,48.47,43.93,16.88,75.88,21.56,50.0,4.08,58.65,9.96,47.59,3.82,56.3,36.87,14.16,42.13,11.97,50.0,4.08,29.66,5.03,44.08,3.54,38.79
202607071005,2026-07-07,10,5R,daily,67.54,25.95,53.38,15.17,43.05,3.51,50.0,8.49,50.0,4.02,57.13,52.66,20.23,56.19,15.97,28.76,2.34,50.0,8.49,50.0,4.02,51.05,50.78,19.51,42.13,11.97,39.48,3.22,50.0,8.49,50.0,4.02,47.2,47.83,18.38,44.94,12.77,29.3,2.39,50.0,8.49,50.0,4.02,46.04,43.93,16.88,44.94,12.77,50.0,4.08,50.0,8.49,50.0,4.02,46.23,36.87,14.16,44.94,12.77,46.1,3.76,50.0,8.49,50.0,4.02,43.2
202607071005,2026-07-07,10,5R,realtime,67.54,25.95,53.38,15.17,43.05,3.51,53.08,9.01,34.9,2.8,56.44,52.66,20.23,56.19,15.97,28.76,2.34,47.19,8.01,57.04,4.58,51.14,50.78,19.51,42.13,11.97,39.48,3.22,48.08,8.16,47.28,3.8,46.66,47.83,18.38,44.94,12.77,29.3,2.39,48.31,8.2,45.58,3.66,45.4,43.93,16.88,44.94,12.77,50.0,4.08,54.27,9.21,54.65,4.39,47.33,36.87,14.16,44.94,12.77,46.1,3.76,49.11,8.34,60.68,4.87,43.9
202607071006,2026-07-07,10,6R,daily,67.54,25.95,47.75,13.57,58.76,4.79,50.0,8.49,50.0,4.02,56.81,52.66,20.23,47.75,13.57,50.0,4.08,50.0,8.49,50.0,4.02,50.38,50.78,19.51,42.13,11.97,45.72,3.73,50.0,8.49,50.0,4.02,47.71,47.83,18.38,42.13,11.97,47.66,3.89,50.0,8.49,50.0,4.02,46.74,43.93,16.88,59.0,16.77,50.0,4.08,50.0,8.49,50.0,4.02,50.23,36.87,14.16,50.57,14.37,50.0,4.08,50.0,8.49,50.0,4.02,45.11
202607071007,2026-07-07,10,7R,daily,67.54,25.95,47.75,13.57,42.25,3.45,50.0,8.49,50.0,4.02,55.47,52.66,20.23,47.75,13.57,50.0,4.08,50.0,8.49,50.0,4.02,50.38,50.78,19.51,42.13,11.97,37.5,3.06,50.0,8.49,50.0,4.02,47.04,47.83,18.38,50.57,14.37,44.47,3.63,50.0,8.49,50.0,4.02,48.87,43.93,16.88,42.13,11.97,44.8,3.65,50.0,8.49,50.0,4.02,45.01,36.87,14.16,59.0,16.77,62.53,5.1,50.0,8.49,50.0,4.02,48.53
202607071008,2026-07-07,10,8R,daily,67.54,25.95,44.94,12.77,50.94,4.15,50.0,8.49,50.0,4.02,55.38,52.66,20.23,47.75,13.57,33.15,2.7,50.0,8.49,50.0,4.02,49.01,50.78,19.51,42.13,11.97,50.0,4.08,50.0,8.49,50.0,4.02,48.06,47.83,18.38,50.57,14.37,50.0,4.08,50.0,8.49,50.0,4.02,49.33,43.93,16.88,44.94,12.77,59.99,4.89,50.0,8.49,50.0,4.02,47.05,36.87,14.16,44.94,12.77,48.42,3.95,50.0,8.49,50.0,4.02,43.39
202607071009,2026-07-07,10,9R,daily,67.54,25.95,44.94,12.77,55.19,4.5,50.0,8.49,50.0,4.02,55.72,52.66,20.23,44.94,12.77,46.1,3.76,50.0,8.49,50.0,4.02,49.27,50.78,19.51,53.38,15.17,56.16,4.58,50.0,8.49,50.0,4.02,51.76,47.83,18.38,50.57,14.37,51.83,4.23,50.0,8.49,50.0,4.02,49.47,43.93,16.88,44.94,12.77,50.0,4.08,50.0,8.49,50.0,4.02,46.23,36.87,14.16,44.94,12.77,48.44,3.95,50.0,8.49,50.0,4.02,43.39
202607071010,2026-07-07,10,10R,daily,67.54,25.95,47.75,13.57,50.0,4.08,50.0,8.49,50.0,4.02,56.1,52.66,20.23,50.57,14.37,50.0,4.08,50.0,8.49,50.0,4.02,51.18,50.78,19.51,50.57,14.37,50.0,4.08,50.0,8.49,50.0,4.02,50.46,47.83,18.38,53.38,15.17,43.05,3.51,50.0,8.49,50.0,4.02,49.56,43.93,16.88,53.38,15.17,50.0,4.08,50.0,8.49,50.0,4.02,48.63,36.87,14.16,42.13,11.97,50.0,4.08,50.0,8.49,50.0,4.02,42.72
202607071011,2026-07-07,10,11R,daily,67.54,25.95,47.75,13.57,50.0,4.08,50.0,8.49,50.0,4.02,56.1,52.66,20.23,44.94,12.77,50.0,4.08,50.0,8.49,50.0,4.02,49.58,50.78,19.51,47.75,13.57,50.0,4.08,50.0,8.49,50.0,4.02,49.66,47.83,18.38,53.38,15.17,65.07,5.31,50.0,8.49,50.0,4.02,51.35,43.93,16.88,42.13,11.97,37.5,3.06,50.0,8.49,50.0,4.02,44.41,36.87,14.16,50.57,14.37,55.23,4.5,50.0,8.49,50.0,4.02,45.54
202607071012,2026-07-07,10,12R,daily,67.54,25.95,75.88,21.56,50.0,4.08,50.0,8.49,50.0,4.02,64.09,52.66,20.23,59.0,16.77,62.53,5.1,50.0,8.49,50.0,4.02,54.6,50.78,19.51,56.19,15.97,50.0,4.08,50.0,8.49,50.0,4.02,52.06,47.83,18.38,59.0,16.77,50.0,4.08,50.0,8.49,50.0,4.02,51.72,43.93,16.88,61.82,17.57,70.58,5.76,50.0,8.49,50.0,4.02,52.7,36.87,14.16,56.19,15.97,28.76,2.34,50.0,8.49,50.0,4.02,44.98
202607071101,2026-07-07,11,1R,daily,68.08,27.61,53.82,12.7,50.0,4.89,50.0,9.1,50.0,3.92,58.24,52.8,21.42,39.27,9.27,54.72,5.35,50.0,9.1,50.0,3.92,49.07,51.23,20.78,44.12,10.41,50.0,4.89,50.0,9.1,50.0,3.92,49.11,49.76,20.18,51.39,12.13,39.22,3.84,50.0,9.1,50.0,3.92,49.18,44.2,17.93,31.99,7.55,50.0,4.89,50.0,9.1,50.0,3.92,43.4,33.3,13.51,53.82,12.7,47.53,4.65,50.0,9.1,50.0,3.92,43.89
202607071101,2026-07-07,11,1R,realtime,68.08,27.61,53.82,12.7,50.0,4.89,61.24,11.15,67.23,5.28,61.63,52.8,21.42,39.27,9.27,54.72,5.35,64.7,11.78,38.35,3.01,50.83,51.23,20.78,44.12,10.41,50.0,4.89,37.04,6.75,61.46,4.82,47.65,49.76,20.18,51.39,12.13,39.22,3.84,50.5,9.2,46.53,3.65,48.99,44.2,17.93,31.99,7.55,50.0,4.89,48.29,8.79,46.37,3.64,42.8,33.3,13.51,53.82,12.7,47.53,4.65,38.2,6.96,40.0,3.14,40.95
202607071102,2026-07-07,11,2R,daily,68.08,27.61,48.97,11.56,50.0,4.89,50.0,9.1,50.0,3.92,57.09,52.8,21.42,44.12,10.41,50.0,4.89,50.0,9.1,50.0,3.92,49.75,51.23,20.78,39.27,9.27,50.0,4.89,50.0,9.1,50.0,3.92,47.97,49.76,20.18,51.39,12.13,45.04,4.41,50.0,9.1,50.0,3.92,49.75,44.2,17.93,56.24,13.27,50.0,4.89,50.0,9.1,50.0,3.92,49.12,33.3,13.51,34.42,8.12,50.0,4.89,50.0,9.1,50.0,3.92,39.55
202607071103,2026-07-07,11,3R,daily,68.08,27.61,48.97,11.56,57.06,5.58,50.0,9.1,50.0,3.92,57.78,52.8,21.42,46.54,10.98,55.65,5.45,50.0,9.1,50.0,3.92,50.87,51.23,20.78,58.66,13.85,49.27,4.82,50.0,9.1,50.0,3.92,52.47,49.76,20.18,58.66,13.85,57.52,5.63,50.0,9.1,50.0,3.92,52.68,44.2,17.93,51.39,12.13,50.0,4.89,50.0,9.1,50.0,3.92,47.98,33.3,13.51,39.27,9.27,35.52,3.48,50.0,9.1,50.0,3.92,39.28
202607071104,2026-07-07,11,4R,daily,68.08,27.61,48.97,11.56,68.86,6.74,50.0,9.1,50.0,3.92,58.94,52.8,21.42,44.12,10.41,50.0,4.89,50.0,9.1,50.0,3.92,49.75,51.23,20.78,48.97,11.56,21.75,2.13,50.0,9.1,50.0,3.92,47.49,49.76,20.18,46.54,10.98,62.7,6.14,50.0,9.1,50.0,3.92,50.33,44.2,17.93,44.12,10.41,41.6,4.07,50.0,9.1,50.0,3.92,45.44,33.3,13.51,61.09,14.42,45.17,4.42,50.0,9.1,50.0,3.92,45.37
202607071105,2026-07-07,11,5R,daily,68.08,27.61,53.82,12.7,50.0,4.89,50.0,9.1,50.0,3.92,58.24,52.8,21.42,44.12,10.41,50.0,4.89,50.0,9.1,50.0,3.92,49.75,51.23,20.78,41.69,9.84,37.54,3.67,50.0,9.1,50.0,3.92,47.32,49.76,20.18,46.54,10.98,69.72,6.82,50.0,9.1,50.0,3.92,51.02,44.2,17.93,46.54,10.98,50.0,4.89,50.0,9.1,50.0,3.92,46.83,33.3,13.51,31.99,7.55,53.04,5.19,50.0,9.1,50.0,3.92,39.28
202607071106,2026-07-07,11,6R,daily,68.08,27.61,44.12,10.41,51.37,5.03,50.0,9.1,50.0,3.92,56.08,52.8,21.42,56.24,13.27,53.13,5.2,50.0,9.1,50.0,3.92,52.92,51.23,20.78,51.39,12.13,56.22,5.5,50.0,9.1,50.0,3.92,51.44,49.76,20.18,44.12,10.41,50.0,4.89,50.0,9.1,50.0,3.92,48.51,44.2,17.93,34.42,8.12,61.63,6.03,50.0,9.1,50.0,3.92,45.11,33.3,13.51,41.69,9.84,73.24,7.17,50.0,9.1,50.0,3.92,43.54
202607071107,2026-07-07,11,7R,daily,68.08,27.61,51.39,12.13,39.22,3.84,50.0,9.1,50.0,3.92,56.61,52.8,21.42,51.39,12.13,50.0,4.89,50.0,9.1,50.0,3.92,51.47,51.23,20.78,34.42,8.12,50.0,4.89,50.0,9.1,50.0,3.92,46.82,49.76,20.18,46.54,10.98,55.65,5.45,50.0,9.1,50.0,3.92,49.64,44.2,17.93,56.24,13.27,53.18,5.2,50.0,9.1,50.0,3.92,49.43,33.3,13.51,41.69,9.84,57.33,5.61,50.0,9.1,50.0,3.92,41.98
202607071108,2026-07-07,11,8R,daily,68.08,27.61,48.97,11.56,50.0,4.89,50.0,9.1,50.0,3.92,57.09,52.8,21.42,39.27,9.27,50.0,4.89,50.0,9.1,50.0,3.92,48.6,51.23,20.78,48.97,11.56,57.06,5.58,50.0,9.1,50.0,3.92,50.95,49.76,20.18,63.51,14.99,50.0,4.89,50.0,9.1,50.0,3.92,53.09,44.2,17.93,51.39,12.13,50.65,4.96,50.0,9.1,50.0,3.92,48.04,33.3,13.51,39.27,9.27,50.0,4.89,50.0,9.1,50.0,3.92,40.69
202607071109,2026-07-07,11,9R,daily,68.08,27.61,46.54,10.98,69.72,6.82,50.0,9.1,50.0,3.92,58.45,52.8,21.42,44.12,10.41,41.6,4.07,50.0,9.1,50.0,3.92,48.93,51.23,20.78,44.12,10.41,50.0,4.89,50.0,9.1,50.0,3.92,49.11,49.76,20.18,53.82,12.7,50.0,4.89,50.0,9.1,50.0,3.92,50.8,44.2,17.93,58.66,13.85,49.27,4.82,50.0,9.1,50.0,3.92,49.62,33.3,13.51,44.12,10.41,50.0,4.89,50.0,9.1,50.0,3.92,41.84
202607071110,2026-07-07,11,10R,daily,68.08,27.61,51.39,12.13,45.04,4.41,50.0,9.1,50.0,3.92,57.18,52.8,21.42,51.39,12.13,50.0,4.89,50.0,9.1,50.0,3.92,51.47,51.23,20.78,61.09,14.42,45.17,4.42,50.0,9.1,50.0,3.92,52.65,49.76,20.18,39.27,9.27,54.72,5.35,50.0,9.1,50.0,3.92,47.83,44.2,17.93,44.12,10.41,50.0,4.89,50.0,9.1,50.0,3.92,46.26,33.3,13.51,46.54,10.98,50.0,4.89,50.0,9.1,50.0,3.92,42.41
