場コード,基準節終了日,モーター番号,使用開始日,使用終了日,グレード,タイトル,使用者名,着順列
05,2026-09-13,11,2026-09-09,2026-09-13,一般,にっぽん未来プロジェクト競走ｉｎ多摩川,畑田 汰一,６１３１３４２３１３
05,2026-09-13,11,2026-08-28,2026-09-02,ＧⅢ,第１２回ホットマンカップ,岩下 巧斗,５４４　６　２１５４３１
05,2026-09-13,11,2026-08-15,2026-08-20,一般,ＢＴＳ大郷開設記念第２８回大郷葉月杯,萬 正嗣,６４６　２５３　６　６
05,2026-09-13,12,2026-08-28,2026-09-02,ＧⅢ,第１２回ホットマンカップ,小林 孝彰,６　５４５６３　２　５
05,2026-09-13,12,2026-08-08,2026-08-11,一般,第３３回神奈川新聞社賞,後藤 孝義,６　５　２４３
05,2026-09-13,12,2026-07-19,2026-07-23,一般,第６４回スポーツニッポン賞,大谷 直弘,４２４　２３２６６６
05,2026-09-13,13,2026-09-09,2026-09-13,一般,にっぽん未来プロジェクト競走ｉｎ多摩川,藤井 徹,１　４５６　５　５
05,2026-09-13,13,2026-08-28,2026-09-02,ＧⅢ,第１２回ホットマンカップ,田中 信一郎,３１６６５　２１４６３２
05,2026-09-13,13,2026-08-08,2026-08-11,一般,第３３回神奈川新聞社賞,大澤 真菜,１６６　６５６
05,2026-09-13,14,2026-08-28,2026-09-02,ＧⅢ,第１２回ホットマンカップ,後藤 浩,１４６　５６１　６６６
05,2026-09-13,14,2026-08-15,2026-08-20,一般,ＢＴＳ大郷開設記念第２８回大郷葉月杯,樋口 範政,１５３　５３２　１４４３
05,2026-09-13,14,2026-07-31,2026-08-05,一般,多摩川のおんなカップ,池田 雄祐,４　４１５５５５５　３
05,2026-09-13,15,2026-09-09,2026-09-13,一般,にっぽん未来プロジェクト競走ｉｎ多摩川,田中 堅,１　４５３　２５４６
05,2026-09-13,15,2026-08-08,2026-08-11,一般,第３３回神奈川新聞社賞,金子 和之,４１１　４４２１
05,2026-09-13,15,2026-07-31,2026-08-05,一般,多摩川のおんなカップ,佐藤 ほのか,３５６　６６６　５　５５
05,2026-09-13,16,2026-09-09,2026-09-13,一般,にっぽん未来プロジェクト競走ｉｎ多摩川,高橋 二朗,６　５５４　転　６５
05,2026-09-13,16,2026-08-28,2026-09-02,ＧⅢ,第１２回ホットマンカップ,新井 英孝,５６６　転　６５３　３５
05,2026-09-13,16,2026-08-08,2026-08-11,一般,第３３回神奈川新聞社賞,松浦 勝,５　６４５　４５
05,2026-09-13,17,2026-08-28,2026-09-02,ＧⅢ,第１２回ホットマンカップ,和田 操拓,１４１　１　２５２３転３
05,2026-09-13,17,2026-08-15,2026-08-20,一般,ＢＴＳ大郷開設記念第２８回大郷葉月杯,田邉 亮蔵,３３５　４４３　６５３
05,2026-09-13,17,2026-07-31,2026-08-05,一般,多摩川のおんなカップ,武田 正紀,４６２　１６６　４５３
05,2026-09-13,18,2026-08-28,2026-09-02,ＧⅢ,第１２回ホットマンカップ,浅見 宗孝,５６５　５　４６２　６５
05,2026-09-13,18,2026-08-15,2026-08-20,一般,ＢＴＳ大郷開設記念第２８回大郷葉月杯,濱野谷 憲吾,２２３　１２１１４１[３]
05,2026-09-13,18,2026-08-08,2026-08-11,一般,第３３回神奈川新聞社賞,中嶋 健一郎,３１２６３　６２
05,2026-09-13,19,2026-09-09,2026-09-13,一般,にっぽん未来プロジェクト競走ｉｎ多摩川,北中 元樹,２１６Ｆ２２１　３
05,2026-09-13,19,2026-08-28,2026-09-02,ＧⅢ,第１２回ホットマンカップ,三浦 敬太,４　４１３５欠欠
05,2026-09-13,19,2026-08-15,2026-08-20,一般,ＢＴＳ大郷開設記念第２８回大郷葉月杯,高井 駿弥,４　Ｆ２３　４　６　３
05,2026-09-13,20,2026-09-09,2026-09-13,一般,にっぽん未来プロジェクト競走ｉｎ多摩川,一瀬 明,５２５１２２２４１２
05,2026-09-13,20,2026-08-28,2026-09-02,ＧⅢ,第１２回ホットマンカップ,高橋 英之,３２５　３３３　４エ４６
05,2026-09-13,20,2026-08-15,2026-08-20,一般,ＢＴＳ大郷開設記念第２８回大郷葉月杯,長畑 友輔,５３２　４　１３５５２６
05,2026-09-13,21,2026-09-09,2026-09-13,一般,にっぽん未来プロジェクト競走ｉｎ多摩川,米本 圭佑,６　５　５５６４５
05,2026-09-13,21,2026-08-28,2026-09-02,ＧⅢ,第１２回ホットマンカップ,前田 翔,２３２　４１３１１１[１]
05,2026-09-13,21,2026-08-08,2026-08-11,一般,第３３回神奈川新聞社賞,浅井 翼,２　２　３５１５
05,2026-09-13,22,2026-09-09,2026-09-13,一般,にっぽん未来プロジェクト競走ｉｎ多摩川,大崎 翔,１２１　３６６６６３
05,2026-09-13,22,2026-08-08,2026-08-11,一般,第３３回神奈川新聞社賞,根岸 真優,３　５　４６４１
05,2026-09-13,22,2026-07-31,2026-08-05,一般,多摩川のおんなカップ,米田 隆弘,５　４５６　５
05,2026-09-13,23,2026-09-09,2026-09-13,一般,にっぽん未来プロジェクト競走ｉｎ多摩川,永田 秀二,５１４　３３１　１２
05,2026-09-13,23,2026-08-28,2026-09-02,ＧⅢ,第１２回ホットマンカップ,木村 浩士,　　　　　　　　５３５エ
05,2026-09-13,23,2026-08-15,2026-08-20,一般,ＢＴＳ大郷開設記念第２８回大郷葉月杯,久保原 秀人,５　５５５　６５６　２
05,2026-09-13,24,2026-09-09,2026-09-13,一般,にっぽん未来プロジェクト競走ｉｎ多摩川,山本 兼士,５　６　５４３６２
05,2026-09-13,24,2026-08-08,2026-08-11,一般,第３３回神奈川新聞社賞,都築 正治,６３４　３４５１
05,2026-09-13,24,2026-07-31,2026-08-05,一般,多摩川のおんなカップ,伊藤 喜智,２　５３２　１５１２[５]
05,2026-09-13,25,2026-09-09,2026-09-13,一般,にっぽん未来プロジェクト競走ｉｎ多摩川,川上 聡介,６　４　３６５４４５
05,2026-09-13,25,2026-08-15,2026-08-20,一般,ＢＴＳ大郷開設記念第２８回大郷葉月杯,熊倉 幹太,６　１６６６６　６　６
05,2026-09-13,25,2026-07-31,2026-08-05,一般,多摩川のおんなカップ,相原 利章,２　５５５　２６３３５４
05,2026-09-13,26,2026-09-09,2026-09-13,一般,にっぽん未来プロジェクト競走ｉｎ多摩川,上村 純一,３６３３３１２６１５
05,2026-09-13,26,2026-08-28,2026-09-02,ＧⅢ,第１２回ホットマンカップ,中村 魁生,３５２６４４４　４
05,2026-09-13,26,2026-08-15,2026-08-20,一般,ＢＴＳ大郷開設記念第２８回大郷葉月杯,一瀬 明,４５３２１　１４６６５６
05,2026-09-13,27,2026-08-28,2026-09-02,ＧⅢ,第１２回ホットマンカップ,秋元 哲,２２２　２１２２４３３１
05,2026-09-13,27,2026-08-15,2026-08-20,一般,ＢＴＳ大郷開設記念第２８回大郷葉月杯,山田 亮太,６１２　４１３３４５１５
05,2026-09-13,27,2026-07-31,2026-08-05,一般,多摩川のおんなカップ,鶴本 崇文,３２２２６　５４５　５
05,2026-09-13,28,2026-08-28,2026-09-02,ＧⅢ,第１２回ホットマンカップ,酒井 俊弘,６　２６３１落
05,2026-09-13,28,2026-08-15,2026-08-20,一般,ＢＴＳ大郷開設記念第２８回大郷葉月杯,宮下 元胤,１４２　３５２　２５５３
05,2026-09-13,28,2026-07-19,2026-07-23,一般,第６４回スポーツニッポン賞,清水 紀克,２　２４１　４６１６
05,2026-09-13,29,2026-09-09,2026-09-13,一般,にっぽん未来プロジェクト競走ｉｎ多摩川,藤田 靖弘,３３１　６２２６１１
05,2026-09-13,29,2026-08-08,2026-08-11,一般,第３３回神奈川新聞社賞,八木 治樹,５４３　１６５４
05,2026-09-13,29,2026-07-31,2026-08-05,一般,多摩川のおんなカップ,土屋 智則,３　３２２３４１３３１１
05,2026-09-13,30,2026-09-09,2026-09-13,一般,にっぽん未来プロジェクト競走ｉｎ多摩川,津久井 拓也,３２１　５６２　３４
05,2026-09-13,30,2026-08-28,2026-09-02,ＧⅢ,第１２回ホットマンカップ,荻野 裕介,５　２４
05,2026-09-13,30,2026-08-08,2026-08-11,一般,第３３回神奈川新聞社賞,眞崎 武蔵,３５３　６　６沈
05,2026-09-13,31,2026-09-09,2026-09-13,一般,にっぽん未来プロジェクト競走ｉｎ多摩川,飯島 誠,２　４６４５６　４６
05,2026-09-13,31,2026-08-28,2026-09-02,ＧⅢ,第１２回ホットマンカップ,権藤 俊光,５　３３１３１４１２[５]
05,2026-09-13,31,2026-08-15,2026-08-20,一般,ＢＴＳ大郷開設記念第２８回大郷葉月杯,若林 麗,５　１６５　３５５　４４
05,2026-09-13,32,2026-08-28,2026-09-02,ＧⅢ,第１２回ホットマンカップ,川原 正明,３　３２５４４　６２１３
05,2026-09-13,32,2026-08-15,2026-08-20,一般,ＢＴＳ大郷開設記念第２８回大郷葉月杯,岡部 大輝,６　３６６　４２５　１５
05,2026-09-13,32,2026-07-31,2026-08-05,一般,多摩川のおんなカップ,小川 知行,５６４　５６１　６　２３
05,2026-09-13,33,2026-09-09,2026-09-13,一般,にっぽん未来プロジェクト競走ｉｎ多摩川,木田 峰由季,１１３６１５３１[６]
05,2026-09-13,33,2026-08-08,2026-08-11,一般,第３３回神奈川新聞社賞,中曽 瑠華,５４６　４　３２
05,2026-09-13,33,2026-07-31,2026-08-05,一般,多摩川のおんなカップ,杉田 篤光,２４３　３２３　２５３６
05,2026-09-13,34,2026-09-09,2026-09-13,一般,にっぽん未来プロジェクト競走ｉｎ多摩川,芝田 京介,５　６　４５６４１
05,2026-09-13,34,2026-08-28,2026-09-02,ＧⅢ,第１２回ホットマンカップ,為本 智也,２　６４２３５　３６１１
05,2026-09-13,34,2026-08-15,2026-08-20,一般,ＢＴＳ大郷開設記念第２８回大郷葉月杯,高橋 二朗,４　４４５　５５３　６
05,2026-09-13,35,2026-09-09,2026-09-13,一般,にっぽん未来プロジェクト競走ｉｎ多摩川,寺本 昇平,５　４３１１４２[５]
05,2026-09-13,35,2026-08-08,2026-08-11,一般,第３３回神奈川新聞社賞,中嶋 達也,５５４４６　５
05,2026-09-13,35,2026-07-31,2026-08-05,一般,多摩川のおんなカップ,泉 具巳,５４４　４　６６１　３２
05,2026-09-13,36,2026-08-28,2026-09-02,ＧⅢ,第１２回ホットマンカップ,金田 智博,３３２　１５５４２　１２
05,2026-09-13,36,2026-08-15,2026-08-20,一般,ＢＴＳ大郷開設記念第２８回大郷葉月杯,北山 康介,１１１　２５２　３１[６]
05,2026-09-13,36,2026-08-08,2026-08-11,一般,第３３回神奈川新聞社賞,上田 洋平,６　２３４５３
05,2026-09-13,37,2026-08-28,2026-09-02,ＧⅢ,第１２回ホットマンカップ,松尾 拓,４３１　１４４４２４２４
05,2026-09-13,37,2026-08-15,2026-08-20,一般,ＢＴＳ大郷開設記念第２８回大郷葉月杯,杉山 貴博,２　５４６２２　４１６１
05,2026-09-13,37,2026-07-31,2026-08-05,一般,多摩川のおんなカップ,三角 哲男,２５５３２１３　４５６２
05,2026-09-13,38,2026-09-09,2026-09-13,一般,にっぽん未来プロジェクト競走ｉｎ多摩川,杉江 浩明,６　６　６６３　２５
05,2026-09-13,38,2026-08-08,2026-08-11,一般,第３３回神奈川新聞社賞,石田 勇斗,５　５４６２４
05,2026-09-13,38,2026-07-31,2026-08-05,一般,多摩川のおんなカップ,一色 凌雅,５　１６５４４　５３５
05,2026-09-13,39,2026-09-09,2026-09-13,一般,にっぽん未来プロジェクト競走ｉｎ多摩川,乙津 康志,６３６　６６６　３
05,2026-09-13,39,2026-08-28,2026-09-02,ＧⅢ,第１２回ホットマンカップ,渡部 悟,４　１５４５６　５３４６
