レースコード,レース日,レース場,レース回,締切時刻,取得日時,計測数,計測項目1,計測項目2,計測項目3,艇1_選手名,艇1_値1,艇1_値2,艇1_値3,艇2_選手名,艇2_値1,艇2_値2,艇2_値3,艇3_選手名,艇3_値1,艇3_値2,艇3_値3,艇4_選手名,艇4_値1,艇4_値2,艇4_値3,艇5_選手名,艇5_値1,艇5_値2,艇5_値3,艇6_選手名,艇6_値1,艇6_値2,艇6_値3
202608171001,2026-08-17,10,01R,08:32,2026-08-17T08:22:24.641512+09:00,3,一周,まわり足,直線,前出 達吉,36.92,5.68,6.68,日笠 勝弘,37.67,5.88,6.78,石田 政吾,37.55,5.55,6.78,中本 大樹,38.17,5.9,6.87,信濃 由行,37.92,5.82,6.8,直江 健成,37.37,5.73,6.73
202608171401,2026-08-17,14,01R,08:40,2026-08-17T08:31:01.702708+09:00,3,一周,まわり足,直線,島田 賢人,37.1,5.73,7.11,赤井 星璃菜,38.14,5.79,7.28,池 千夏,38.69,5.94,7.29,赤峰 和也,38.1,5.7,7.23,中岡 駿,37.89,5.74,7.1,高橋 嗣穏,38.07,5.9,7.21
202608171801,2026-08-17,18,01R,08:48,2026-08-17T08:38:26.683514+09:00,2,一周,まわり足,,石川 諒,37.1,11.43,,岡本 翔太郎,37.7,11.86,,伊藤 尚汰,37.52,11.64,,出穂 和鼓,37.78,11.82,,桂林 寛,37.92,11.92,,小林 京平,38.26,11.84,
202608171002,2026-08-17,10,02R,08:58,2026-08-17T08:48:34.487891+09:00,3,一周,まわり足,直線,松井 洪弥,37.23,5.37,6.77,田中 信一郎,37.27,5.72,6.7,寺嶋 雄,37.8,5.8,6.83,加藤 優弥,38.2,5.68,6.8,南野 利騰,37.17,5.45,6.73,金子 貴志,37.92,5.73,6.8
202608171402,2026-08-17,14,02R,09:06,2026-08-17T08:56:21.122002+09:00,3,一周,まわり足,直線,浜先 真範,36.57,5.63,6.92,服部 剛,37.48,5.83,7.02,別府 昌樹,37.2,5.61,7.07,松井 貫太,37.1,5.5,7.21,占部 一真,38.13,5.97,7.13,戸塚 邦好,37.35,5.73,7.08
