レースコード,タイトル,日次,レース日,レース場,レース回,レース名,距離(m),天候,風向,風速(m),波の高さ(cm),決まり手,単勝_艇番,単勝_払戻金,複勝_1着_艇番,複勝_1着_払戻金,複勝_2着_艇番,複勝_2着_払戻金,2連単_組番,2連単_払戻金,2連単_人気,2連複_組番,2連複_払戻金,2連複_人気,拡連複_1-2着_組番,拡連複_1-2着_払戻金,拡連複_1-2着_人気,拡連複_1-3着_組番,拡連複_1-3着_払戻金,拡連複_1-3着_人気,拡連複_2-3着_組番,拡連複_2-3着_払戻金,拡連複_2-3着_人気,3連単_組番,3連単_払戻金,3連単_人気,3連複_組番,3連複_払戻金,3連複_人気,1着_着順,1着_艇番,1着_登録番号,1着_選手名,1着_モーター番号,1着_ボート番号,1着_展示タイム,1着_進入コース,1着_スタートタイミング,1着_レースタイム,2着_着順,2着_艇番,2着_登録番号,2着_選手名,2着_モーター番号,2着_ボート番号,2着_展示タイム,2着_進入コース,2着_スタートタイミング,2着_レースタイム,3着_着順,3着_艇番,3着_登録番号,3着_選手名,3着_モーター番号,3着_ボート番号,3着_展示タイム,3着_進入コース,3着_スタートタイミング,3着_レースタイム,4着_着順,4着_艇番,4着_登録番号,4着_選手名,4着_モーター番号,4着_ボート番号,4着_展示タイム,4着_進入コース,4着_スタートタイミング,4着_レースタイム,5着_着順,5着_艇番,5着_登録番号,5着_選手名,5着_モーター番号,5着_ボート番号,5着_展示タイム,5着_進入コース,5着_スタートタイミング,5着_レースタイム,6着_着順,6着_艇番,6着_登録番号,6着_選手名,6着_モーター番号,6着_ボート番号,6着_展示タイム,6着_進入コース,6着_スタートタイミング,6着_レースタイム
201805152301,Ｇ３オールレディースＲＫＢラジオ杯,第5日,2018/05/15,唐津,01R,一般,1800,晴,南西,4,4,逃げ,1,130,1,100,3,120,1-3,200,1,1-3,180,1,1-3,110,1,1-2,160,3,2-3,300,5,1-3-2,730,2,1-2-3,320,2,1,1,4443,津 田 裕 絵,61,73,6.72,1,0.17,110.1,2,3,4730,土 屋 実沙希,57,80,6.65,3,0.18,111.5,3,2,3207,田 村 美 和,28,48,6.76,2,0.17,113.9,4,6,4784,向井田 真 紀,19,51,6.74,6,0.21,114.1,5,4,4841,高 橋 悠 花,20,89,6.74,4,0.16,116.3,6,5,4275,菅 野 はやか,31,81,6.69,5,0.21,117.7
201805152302,Ｇ３オールレディースＲＫＢラジオ杯,第5日,2018/05/15,唐津,02R,一般,1800,晴,南西,4,4,差し,2,440,2,110,1,110,2-1,600,3,1-2,120,1,1-2,110,1,2-5,170,3,1-5,120,2,2-1-5,1030,3,1-2-5,220,1,1,2,4050,田 口 節 子,50,57,6.67,2,0.17,109.7,2,1,3580,水 口 由 紀,41,59,6.68,1,0.15,110.7,3,5,4927,関 野 文,12,83,6.64,5,0.22,111.4,4,3,4525,真 子 奈津実,29,54,6.69,3,0.18,113.4,5,6,3778,安 達 美 帆,26,56,6.74,6,0.24,115.9,6,4,4765,野田部 宏 子,62,32,6.73,4,0.24,118.9
201805152303,Ｇ３オールレディースＲＫＢラジオ杯,第5日,2018/05/15,唐津,03R,一般,1800,晴,南西,4,4,逃げ,1,110,1,120,6,170,1-6,1150,4,1-6,900,3,1-6,240,5,1-2,130,1,2-6,380,8,1-6-2,1880,7,1-2-6,480,2,1,1,3334,角 ひとみ,13,41,6.68,1,0.27,109.5,2,6,4937,山 本 宝 姫,34,31,6.7,4,0.21,111.1,3,2,3704,本 部 めぐみ,21,78,6.68,2,0.23,113.6,4,5,4569,中 澤 宏 奈,18,66,6.67,3,0.21,113.6,5,4,4974,安 井 瑞 紀,11,33,6.74,5,0.15,115.7,,,,,,,,,,
201805152304,Ｇ３オールレディースＲＫＢラジオ杯,第5日,2018/05/15,唐津,04R,一般,1800,晴,南西,4,4,逃げ,1,180,1,150,2,190,1-2,630,2,1-2,460,3,1-2,210,3,1-5,340,5,2-5,460,8,1-2-5,1980,7,1-2-5,750,3,1,1,4014,片 岡 恵 里,60,72,6.65,1,0.22,109.1,2,2,4694,高 田 綾,36,38,6.59,2,0.27,111.1,3,5,3188,日 高 逸 子,24,88,6.67,5,0.2,112.0,4,4,4556,竹 井 奈 美,25,44,6.65,4,0.15,112.5,5,3,4071,古 賀 千 晶,35,82,6.71,3,0.2,114.6,6,6,4400,加 藤 奈 月,63,47,6.75,6,0.23,117.7
201805152305,Ｇ３オールレディースＲＫＢラジオ杯,第5日,2018/05/15,唐津,05R,一般,1800,晴,南西,4,4,逃げ,1,240,1,190,2,100,1-2,680,3,1-2,320,1,1-2,210,6,1-4,110,1,2-4,150,2,1-2-4,1240,1,1-2-4,300,1,1,1,4884,勝 浦 真 帆,17,53,6.7,1,0.25,109.5,2,2,4183,宇 野 弥 生,59,42,6.66,2,0.22,110.9,3,4,3435,寺 田 千 恵,53,67,6.71,4,0.19,112.2,4,5,4482,守 屋 美 穂,55,84,6.67,5,0.2,113.0,5,3,3142,西 茂登子,39,55,6.64,3,0.24,114.1,6,6,4874,池 田 奈津美,40,77,6.72,6,0.21,115.7
201805152306,Ｇ３オールレディースＲＫＢラジオ杯,第5日,2018/05/15,唐津,06R,一般,1800,晴,南西,4,4,差し,5,610,5,110,1,150,5-1,830,5,1-5,360,2,1-5,120,1,2-5,140,3,1-2,140,2,5-1-2,1380,4,1-2-5,200,1,1,5,4313,西 村 美智子,58,49,6.77,5,0.16,109.9,2,1,3483,入 船 幸 子,65,65,6.69,1,0.22,111.0,3,2,4419,原 加央理,46,85,6.67,2,0.17,113.1,4,6,3207,田 村 美 和,28,48,6.81,6,0.17,114.2,5,4,4994,山 本 梨 菜,38,50,6.65,4,0.28,116.1,6,3,3469,潮 田 浩 子,30,35,6.69,3,0.25,118.8
201805152307,Ｇ３オールレディースＲＫＢラジオ杯,第5日,2018/05/15,唐津,07R,一般,1800,晴,南西,4,4,,1,130,1,130,5,240,1-5,470,2,1-5,280,1,1-5,150,1,1-4,170,2,4-5,210,3,1-5-4,990,2,1-4-5,240,1,1,1,3175,渡 辺 千 草,23,79,6.69,1,0.27,110.2,2,5,3845,中 谷 朋 子,49,43,6.66,5,0.24,111.4,3,4,4447,深 川 麻奈美,43,87,6.71,4,0.27,112.3,4,2,4726,島 田 なぎさ,52,58,6.71,2,0.21,113.3,5,3,3704,本 部 めぐみ,21,78,6.64,3,0.29,115.3,6,6,4170,西 坂 香 松,32,34,6.71,6,0.24,117.1
201805152308,Ｇ３オールレディースＲＫＢラジオ杯,第5日,2018/05/15,唐津,08R,一般,1800,晴,南西,4,4,逃げ,1,250,1,160,3,190,1-3,1830,7,1-3,1230,6,1-3,270,6,1-4,100,1,3-4,140,2,1-3-4,3170,11,1-3-4,270,2,1,1,3994,茶 谷 桜,27,52,6.73,1,0.21,110.3,2,3,4569,中 澤 宏 奈,18,66,6.67,3,0.22,111.3,3,4,4530,小 野 生 奈,47,40,6.62,4,0.19,111.9,4,2,3778,安 達 美 帆,26,56,6.73,2,0.26,114.0,5,5,4938,小 芦 るり華,33,69,6.71,5,0.14,114.7,6,6,4841,高 橋 悠 花,20,89,6.76,6,0.22,118.1
201805152309,Ｇ３オールレディースＲＫＢラジオ杯,第5日,2018/05/15,唐津,09R,一般特賞,1800,晴,南西,3,3,逃げ,1,120,1,120,2,140,1-2,390,1,1-2,280,1,1-2,110,1,1-4,160,2,2-4,330,7,1-2-4,1320,3,1-2-4,510,2,1,1,3289,高 橋 淳 美,54,37,6.75,1,0.19,110.4,2,2,4590,渡 邉 優 美,22,63,6.74,2,0.19,112.2,3,4,4937,山 本 宝 姫,34,31,6.66,4,0.19,112.5,4,3,4784,向井田 真 紀,19,51,6.75,3,0.18,114.5,5,5,4014,片 岡 恵 里,60,72,6.66,5,0.16,115.5,6,6,4765,野田部 宏 子,62,32,6.75,6,0.27,119.5
201805152310,Ｇ３オールレディースＲＫＢラジオ杯,第5日,2018/05/15,唐津,10R,準優勝戦,1800,晴,北,5,5,逃げ,1,120,1,130,4,660,1-4,660,3,1-4,580,3,1-4,230,4,1-3,210,3,3-4,320,5,1-4-3,1530,6,1-3-4,430,3,1,1,4556,竹 井 奈 美,25,44,6.71,1,0.05,109.7,2,4,4433,川 野 芽 唯,44,86,6.72,4,0.06,110.9,3,3,4482,守 屋 美 穂,55,84,6.77,3,0.07,112.9,4,5,3334,角 ひとみ,13,41,6.69,5,0.09,113.2,5,2,4313,西 村 美智子,58,49,6.69,2,0.09,114.0,6,6,4419,原 加央理,46,85,6.72,6,0.08,116.2
201805152311,Ｇ３オールレディースＲＫＢラジオ杯,第5日,2018/05/15,唐津,11R,準優勝戦,1800,晴,北東,5,5,差し,2,930,2,110,1,100,2-1,750,3,1-2,150,1,1-2,100,1,2-3,180,4,1-3,110,2,2-1-3,1720,5,1-2-3,250,1,1,2,3845,中 谷 朋 子,49,43,6.8,2,0.11,108.9,2,1,3435,寺 田 千 恵,53,67,6.81,1,0.11,109.7,3,3,3188,日 高 逸 子,24,88,6.89,3,0.09,111.9,4,4,3580,水 口 由 紀,41,59,6.88,4,0.17,113.5,5,6,3175,渡 辺 千 草,23,79,6.8,6,0.18,114.5,6,5,4884,勝 浦 真 帆,17,53,6.85,5,0.15,115.4
201805152312,Ｇ３オールレディースＲＫＢラジオ杯,第5日,2018/05/15,唐津,12R,準優勝戦,1800,晴,北東,5,5,逃げ,1,100,1,100,2,120,1-2,240,1,1-2,220,1,1-2,120,2,1-3,100,1,2-3,360,7,1-2-3,610,1,1-2-3,360,1,1,1,4530,小 野 生 奈,47,40,6.82,1,0.09,108.9,2,2,4447,深 川 麻奈美,43,87,6.84,2,0.1,110.9,3,3,4183,宇 野 弥 生,59,42,6.84,3,0.12,112.7,4,4,3994,茶 谷 桜,27,52,6.85,4,0.21,113.4,5,5,4443,津 田 裕 絵,61,73,6.87,5,0.25,114.3,6,6,4050,田 口 節 子,50,57,6.82,6,0.27,115.9
201805152201,九州プロレス杯,第4日,2018/05/15,福岡,01R,予選,1800,晴,北,2,3,逃げ,1,110,1,140,6,400,1-6,1030,4,1-6,1530,6,1-6,270,6,1-2,180,2,2-6,400,8,1-6-2,2640,8,1-2-6,360,2,1,1,3807,岡 部 哲,45,162,6.87,1,0.17,111.0,2,6,3382,岩 谷 真,17,140,6.89,2,0.19,112.6,3,2,4420,津久井 拓 也,61,160,6.89,3,0.16,113.3,4,5,4550,石 岡 将 太,70,154,6.96,6,0.4,114.8,5,4,3189,矢 野 素 也,41,142,6.94,5,0.24,,6,3,4160,浅 野 由 将,32,111,6.94,4,0.16,
201805152202,九州プロレス杯,第4日,2018/05/15,福岡,02R,予選,1800,晴,北,2,3,まくり,3,450,3,1180,2,700,3-2,1830,8,2-3,750,3,2-3,170,3,1-3,120,2,1-2,110,1,3-2-1,3290,12,1-2-3,150,1,1,3,4438,森 作 雄 大,22,121,6.86,3,0.17,110.6,2,2,3532,柴 田 光,60,161,6.88,2,0.2,112.1,3,1,4492,本 多 宏 和,29,103,6.92,1,0.19,114.0,4,4,4465,大 西 賢,65,108,6.94,4,0.23,114.8,5,6,4668,楠 本 晃 嗣,51,118,6.9,5,0.24,,,,,,,,,,,
201805152203,九州プロレス杯,第4日,2018/05/15,福岡,03R,予選,1800,晴,北,3,3,差し,3,320,3,110,2,110,3-2,470,1,2-3,260,1,2-3,130,1,3-4,190,2,2-4,230,6,3-2-4,1460,4,2-3-4,420,2,1,3,4588,田 中 京 介,23,143,6.9,3,0.17,110.9,2,2,4049,荒 川 健 太,34,120,6.91,2,0.19,112.6,3,4,4514,上 條 嘉 嗣,28,141,6.92,4,0.16,114.3,4,6,3726,桂 林 寛,25,159,6.94,5,0.15,116.1,5,1,3628,石 間 徹,21,119,6.86,1,0.27,,6,5,5031,渡 辺 空 依,38,152,7.01,6,0.25,
201805152204,九州プロレス杯,第4日,2018/05/15,福岡,04R,予選,1800,晴,北,3,3,差し,6,180,6,120,3,100,6-3,550,3,3-6,290,1,3-6,100,1,5-6,520,9,3-5,300,6,6-3-5,4110,13,3-5-6,1150,4,1,6,4075,中 野 次 郎,35,150,6.89,4,0.27,111.8,2,3,4216,星 栄 爾,44,125,6.86,3,0.22,112.9,3,5,4985,井 本 昌 也,67,170,6.89,6,0.19,113.4,4,4,3491,富 永 茂,47,166,6.92,5,0.17,115.1,5,2,4661,中 島 昂 章,59,138,6.92,2,0.26,,6,1,4894,原 村 拓 也,58,135,6.91,1,0.25,
201805152205,九州プロレス杯,第4日,2018/05/15,福岡,05R,予選,1800,晴,北,2,3,差し,4,2650,4,960,2,170,4-2,5280,14,2-4,2980,8,2-4,320,6,1-4,170,3,1-2,160,2,4-2-1,19900,46,1-2-4,510,2,1,4,3385,渡 邉 睦 広,64,105,6.97,4,0.14,110.4,2,2,3984,坂 口 周,40,110,6.91,2,0.15,112.4,3,1,3968,茶 谷 信 次,52,131,6.86,1,0.13,112.6,4,3,3629,浅 見 昌 克,57,134,6.86,3,0.14,113.2,5,6,4379,桑 島 和 宏,13,144,6.99,6,0.2,,6,5,3948,大 町 利 克,31,107,6.91,5,0.14,
201805152206,九州プロレス杯,第4日,2018/05/15,福岡,06R,予選,1800,晴,北,2,3,逃げ,4,140,4,140,3,170,4-3,190,1,3-4,180,1,3-4,190,3,2-4,340,7,2-3,310,5,4-3-2,530,2,2-3-4,310,2,1,4,3257,田 頭 実,15,163,6.85,1,0.12,110.3,2,3,4013,中 島 孝 平,12,115,6.93,4,0.13,111.6,3,2,4164,岩 永 節 也,71,146,6.91,3,0.17,113.6,4,1,3540,大 橋 庸 志,63,165,6.92,2,0.21,115.6,5,6,3990,芹 澤 克 彦,56,168,6.88,6,0.16,,6,5,4160,浅 野 由 将,32,111,6.98,5,0.19,
201805152207,九州プロレス杯,第4日,2018/05/15,福岡,07R,予選,1800,晴,北,2,2,逃げ,2,210,2,100,3,100,2-3,190,1,2-3,140,1,2-3,150,2,2-5,180,4,3-5,420,6,2-3-5,770,3,2-3-5,370,2,1,2,4848,仲 谷 颯 仁,46,116,6.87,1,0.12,110.2,2,3,4179,広 次 修,53,117,6.89,2,0.14,112.1,3,5,3189,矢 野 素 也,41,142,7.02,3,0.21,113.6,4,6,4559,西 川 昌 希,27,112,6.9,4,0.2,115.4,5,4,5031,渡 辺 空 依,38,152,6.96,5,0.17,,,,,,,,,,,
201805152208,九州プロレス杯,第4日,2018/05/15,福岡,08R,予選  進入固定,1800,晴,北,2,2,逃げ,1,120,1,120,2,370,1-2,260,2,1-2,180,1,1-2,150,2,1-6,630,5,2-6,1200,10,1-2-6,1980,6,1-2-6,1730,6,1,1,3379,打 越 晶,42,113,6.96,1,0.11,111.0,2,2,4465,大 西 賢,65,108,6.93,2,0.18,112.2,3,6,3759,前 田 義 哲,18,157,6.96,6,0.22,114.2,4,5,4911,片 岡 大 地,48,106,6.97,5,0.26,115.7,5,4,3807,岡 部 哲,45,162,6.91,4,0.22,,6,3,4894,原 村 拓 也,58,135,6.97,3,0.19,
201805152209,九州プロレス杯,第4日,2018/05/15,福岡,09R,予選,1800,晴,北,2,2,逃げ,1,130,1,100,2,110,1-2,190,1,1-2,100,1,1-2,140,2,1-3,220,5,2-3,180,3,1-2-3,480,1,1-2-3,210,1,1,1,3629,浅 見 昌 克,57,134,6.87,1,0.18,111.1,2,2,3726,桂 林 寛,25,159,6.94,2,0.25,112.7,3,3,3809,吉 田 光,20,158,6.89,3,0.25,114.3,4,4,4550,石 岡 将 太,70,154,6.93,4,0.22,115.5,5,5,5029,中 亮 太,69,104,6.97,6,0.22,,6,6,3491,富 永 茂,47,166,6.95,5,0.22,
201805152210,九州プロレス杯,第4日,2018/05/15,福岡,10R,特賞,1800,晴,北,2,2,,3,260,3,110,1,100,3-1,640,3,1-3,200,1,1-3,110,2,2-3,220,4,1-2,100,1,3-1-2,2540,9,1-2-3,280,2,1,3,4075,中 野 次 郎,35,150,6.88,3,0.14,110.7,2,1,4216,星 栄 爾,44,125,6.94,1,0.09,111.6,3,2,4514,上 條 嘉 嗣,28,141,6.91,2,0.14,112.8,4,4,3532,柴 田 光,60,161,6.96,4,0.14,112.8,5,6,3385,渡 邉 睦 広,64,105,6.98,6,0.1,,6,5,4420,津久井 拓 也,61,160,6.97,5,0.11,
201805152211,九州プロレス杯,第4日,2018/05/15,福岡,11R,特選,1800,晴,北,2,2,逃げ,1,100,1,100,2,100,1-2,240,1,1-2,310,2,1-2,100,1,1-6,210,4,2-6,650,8,1-2-6,760,1,1-2-6,490,2,1,1,3257,田 頭 実,15,163,6.82,1,0.07,109.2,2,2,4492,本 多 宏 和,29,103,6.96,2,0.15,111.9,3,6,4588,田 中 京 介,23,143,6.92,6,0.09,113.3,4,5,3984,坂 口 周,40,110,6.94,5,0.12,114.0,5,4,4179,広 次 修,53,117,6.98,4,0.09,,6,3,3382,岩 谷 真,17,140,6.86,3,0.11,
201805152212,九州プロレス杯,第4日,2018/05/15,福岡,12R,福岡選抜,1800,晴,北,1,2,逃げ,1,130,1,100,5,570,1-5,1240,4,1-5,910,3,1-5,370,5,1-3,130,2,3-5,440,8,1-5-3,3630,13,1-3-5,690,3,1,1,4013,中 島 孝 平,12,115,6.92,1,0.19,110.1,2,5,3379,打 越 晶,42,113,6.89,4,0.13,111.2,3,3,4848,仲 谷 颯 仁,46,116,6.93,3,0.14,112.3,4,2,3968,茶 谷 信 次,52,131,6.92,2,0.16,113.5,5,6,4049,荒 川 健 太,34,120,6.95,5,0.13,,6,4,4438,森 作 雄 大,22,121,6.89,6,0.14,
201805152001,ナッセ杯,第1日,2018/05/15,若松,01R,予選,1800,晴,北,2,2,逃げ,1,200,1,120,2,190,1-2,340,1,1-2,260,1,1-2,140,1,1-3,150,2,2-3,220,3,1-2-3,560,1,1-2-3,220,1,1,1,3823,本 部 真 吾,7,36,6.87,1,0.19,111.4,2,2,4839,四 宮 与 寛,45,50,6.84,2,0.21,112.0,3,3,3164,森 脇 徹,57,49,6.9,3,0.31,114.2,4,4,3851,森 田 昭 彦,39,52,6.87,4,0.25,114.5,5,5,3138,椎 名 政 浩,9,38,6.91,5,0.26,,6,6,5022,伊 藤 尚 汰,35,71,6.81,6,0.28,
201805152002,ナッセ杯,第1日,2018/05/15,若松,02R,予選,1800,晴,北,2,2,逃げ,1,240,1,110,3,100,1-3,470,1,1-3,350,2,1-3,100,1,1-4,130,3,3-4,110,2,1-3-4,630,1,1-3-4,150,1,1,1,4068,幸 田 智 裕,10,62,6.84,1,0.12,110.8,2,3,3939,渡 辺 真 至,36,27,6.85,3,0.15,111.6,3,4,4302,西 野 翔 太,60,17,6.79,4,0.13,113.5,4,2,4698,高 山 隆 成,52,64,6.83,2,0.18,113.7,5,5,3867,松 浦 勝,14,70,6.88,5,0.12,,6,6,5041,荒 牧 凪 沙,20,33,6.86,6,0.13,
201805152003,ナッセ杯,第1日,2018/05/15,若松,03R,予選,1800,晴,北,2,2,逃げ,1,190,1,150,2,250,1-2,1060,5,1-2,800,4,1-2,320,5,1-3,220,2,2-3,440,6,1-2-3,2470,9,1-2-3,630,4,1,1,3870,寺 嶋 雄,61,63,6.88,1,0.14,111.2,2,2,3865,関 道,23,40,6.88,2,0.16,112.2,3,3,4042,丸 岡 正 典,1,58,6.84,3,0.17,112.5,4,5,3915,繁野谷 圭 介,29,45,6.88,5,0.17,114.5,5,6,3643,米 田 隆 弘,3,18,6.9,6,0.17,,6,4,3769,佐 竹 恒 彦,34,39,6.98,4,0.19,
