レースコード,タイトル,レース日,レース場,レース回,風速(m),風向,波の高さ(cm),天候,気温(℃),水温(℃),艇1_艇番,艇1_コース,艇1_体重(kg),艇1_体重調整(kg),艇1_展示タイム,艇1_チルト調整,艇1_スタート展示,艇2_艇番,艇2_コース,艇2_体重(kg),艇2_体重調整(kg),艇2_展示タイム,艇2_チルト調整,艇2_スタート展示,艇3_艇番,艇3_コース,艇3_体重(kg),艇3_体重調整(kg),艇3_展示タイム,艇3_チルト調整,艇3_スタート展示,艇4_艇番,艇4_コース,艇4_体重(kg),艇4_体重調整(kg),艇4_展示タイム,艇4_チルト調整,艇4_スタート展示,艇5_艇番,艇5_コース,艇5_体重(kg),艇5_体重調整(kg),艇5_展示タイム,艇5_チルト調整,艇5_スタート展示,艇6_艇番,艇6_コース,艇6_体重(kg),艇6_体重調整(kg),艇6_展示タイム,艇6_チルト調整,艇6_スタート展示
201709230201,ニッカン・コム杯,2017-09-23,2,01R,0.0,1,0.0,1,23.0,24.0,1,1,53.0,0.0,6.76,-0.5,0.15,2,2,53.5,0.0,6.73,-0.5,0.19,3,3,54.4,0.0,6.82,-0.5,0.55,4,6,51.0,0.0,6.88,-0.5,0.08,5,4,51.6,0.0,6.85,-0.5,0.01,6,5,50.5,0.5,6.81,-0.5,0.02
201709230202,ニッカン・コム杯,2017-09-23,2,02R,1.0,,1.0,2,21.0,24.0,1,1,50.5,0.5,6.76,-0.5,-0.01,2,2,53.3,0.0,6.78,-0.5,0.18,3,3,53.1,0.0,6.9,-0.5,0.19,4,4,50.5,0.5,6.8,-0.5,0.28,5,5,51.2,0.0,6.87,-0.5,0.08,6,6,50.0,1.0,6.79,-0.5,0.02
201709230203,ニッカン・コム杯,2017-09-23,2,03R,1.0,,1.0,2,21.0,24.0,1,1,52.0,0.0,6.81,-0.5,0.18,2,2,54.5,0.0,6.77,-0.5,-0.05,3,3,51.0,0.0,6.84,-0.5,0.22,4,4,52.9,0.0,6.82,-0.5,0.03,5,5,51.5,0.0,6.8,-0.5,-0.03,6,6,51.7,0.0,6.83,-0.5,0.15
201709230204,ニッカン・コム杯,2017-09-23,2,04R,1.0,,1.0,2,21.0,24.0,1,1,52.3,0.0,6.87,-0.5,0.01,2,2,51.0,0.0,6.78,0.0,0.02,3,3,54.8,0.0,6.81,-0.5,-0.1,4,4,52.4,0.0,6.74,-0.5,-0.01,5,5,50.5,0.5,6.85,-0.5,-0.05,6,6,54.6,0.0,6.94,-0.5,0.15
201709230205,ニッカン・コム杯,2017-09-23,2,05R,1.0,,1.0,2,22.0,24.0,1,1,51.0,0.0,6.67,-0.5,-0.01,2,2,52.6,0.0,6.79,-0.5,0.04,3,3,52.4,0.0,6.87,-0.5,0.19,4,4,55.8,0.0,6.83,-0.5,0.01,5,5,51.0,0.0,6.83,-0.5,0.04,6,6,54.2,0.0,6.82,-0.5,0.05
201709230206,ニッカン・コム杯,2017-09-23,2,06R,1.0,,1.0,2,22.0,24.0,1,1,52.3,0.0,6.79,-0.5,0.11,2,2,53.3,0.0,6.8,-0.5,0.04,3,3,50.5,0.5,6.78,-0.5,0.17,4,4,51.0,0.0,6.79,-0.5,0.11,5,5,54.2,0.0,6.82,-0.5,0.18,6,6,52.3,0.0,6.72,0.5,0.15
201709230207,ニッカン・コム杯,2017-09-23,2,07R,1.0,,1.0,2,22.0,24.0,1,1,52.6,0.0,6.82,-0.5,0.23,2,2,54.4,0.0,6.74,-0.5,0.15,3,3,52.0,0.0,6.79,-0.5,0.01,4,4,51.2,0.0,6.88,-0.5,0.23,5,5,53.3,0.0,6.84,-0.5,0.18,6,6,51.4,0.0,6.75,-0.5,0.21
201709230208,ニッカン・コム杯,2017-09-23,2,08R,2.0,,1.0,1,22.0,24.0,1,1,52.4,0.0,6.83,-0.5,0.12,2,2,50.0,1.0,6.68,-0.5,0.03,3,3,53.5,0.0,6.73,-0.5,0.28,4,4,51.5,0.0,6.81,-0.5,0.02,5,5,51.0,0.0,6.77,-0.5,0.01,6,6,54.8,0.0,6.74,-0.5,-0.04
201709230209,ニッカン・コム杯,2017-09-23,2,09R,2.0,,1.0,2,23.0,24.0,1,1,53.2,0.0,6.77,-0.5,0.11,2,2,50.5,0.5,6.82,-0.5,0.04,3,3,54.6,0.0,6.84,-0.5,0.11,4,4,51.0,0.0,6.77,-0.5,-0.09,5,5,51.0,0.0,6.84,-0.5,0.26,6,6,52.4,0.0,6.83,-0.5,-0.08
201709230210,ニッカン・コム杯,2017-09-23,2,10R,1.0,,1.0,2,23.0,24.0,1,1,54.5,0.0,6.72,-0.5,-0.01,2,2,52.3,0.0,6.82,0.0,0.04,3,4,51.0,0.0,6.72,-0.5,-0.03,4,5,52.0,0.0,6.8,0.0,0.02,5,6,54.2,0.0,6.84,-0.5,0.06,6,3,50.5,0.5,6.7,-0.5,0.14
201709230211,ニッカン・コム杯,2017-09-23,2,11R,1.0,,1.0,2,23.0,24.0,1,1,52.9,0.0,6.88,-0.5,-0.12,2,2,51.0,0.0,6.73,-0.5,0.07,3,3,52.6,0.0,6.83,-0.5,0.01,4,4,53.3,0.0,6.89,-0.5,-0.13,5,5,52.3,0.0,6.82,-0.5,0.11,6,6,52.4,0.0,6.79,-0.5,0.19
201709230212,ニッカン・コム杯,2017-09-23,2,12R,0.0,1,0.0,2,23.0,24.0,1,1,50.5,0.5,6.77,-0.5,0.12,2,2,52.4,0.0,6.76,-0.5,0.09,3,3,51.0,0.0,6.86,-0.5,0.08,4,4,51.7,0.0,6.77,-0.5,0.05,5,5,55.8,0.0,6.83,-0.5,0.19,6,6,54.2,0.0,6.85,-0.5,0.07
201709230401,ＢＯＡＴＢｏｙカップ,2017-09-23,4,01R,4.0,1,3.0,2,23.5,24.0,1,1,51.0,0.0,6.63,0.0,-0.03,2,3,55.8,0.0,6.79,-0.5,0.35,3,4,49.5,1.5,6.83,-0.5,0.2,4,5,50.5,0.5,6.71,-0.5,-0.14,5,6,52.8,0.0,6.65,-0.5,-0.09,6,2,52.1,0.0,6.68,0.0,0.15
201709230402,ＢＯＡＴＢｏｙカップ,2017-09-23,4,02R,6.0,1,4.0,2,21.0,24.0,1,1,51.0,0.0,6.64,-0.5,0.19,2,2,52.9,0.0,6.71,-0.5,0.18,3,3,52.0,0.0,6.79,-0.5,0.17,4,4,56.9,0.0,6.69,-0.5,0.05,5,6,51.0,0.0,6.7,-0.5,-0.04,6,5,53.4,0.0,6.76,-0.5,0.02
201709230403,ＢＯＡＴＢｏｙカップ,2017-09-23,4,03R,5.0,1,4.0,2,21.0,23.0,1,1,54.2,0.0,6.65,-0.5,0.26,2,2,54.1,0.0,6.72,-0.5,0.23,3,3,52.1,0.0,6.71,-0.5,0.47,4,4,54.6,0.0,6.7,-0.5,0.06,5,,51.0,0.0,,,,6,5,51.1,0.0,6.73,-0.5,0.08
201709230404,ＢＯＡＴＢｏｙカップ,2017-09-23,4,04R,4.0,1,3.0,2,21.5,23.0,1,1,50.5,0.5,6.78,-0.5,-0.1,2,2,51.3,0.0,6.68,-0.5,-0.04,3,3,54.4,0.0,6.68,-0.5,-0.11,4,5,52.6,0.0,6.6,0.0,-0.01,5,4,52.0,0.0,6.61,0.5,-0.01,6,6,51.1,0.0,6.66,-0.5,-0.24
201709230405,ＢＯＡＴＢｏｙカップ,2017-09-23,4,05R,6.0,1,4.0,2,22.0,23.0,1,1,50.5,0.5,6.7,-0.5,-0.01,2,2,53.0,0.0,6.71,-0.5,0.03,3,3,50.5,0.5,6.75,-0.5,0.01,4,5,53.8,0.0,6.76,-0.5,-0.06,5,6,59.3,0.0,6.8,0.0,-0.05,6,4,53.0,0.0,6.79,-0.5,0.19
201709230406,ＢＯＡＴＢｏｙカップ,2017-09-23,4,06R,5.0,1,3.0,2,22.0,23.0,1,1,52.0,0.0,6.75,-0.5,0.06,2,2,51.0,0.0,6.74,-0.5,0.21,3,3,53.1,0.0,6.85,-0.5,0.06,4,4,55.8,0.0,6.85,-0.5,0.04,5,5,51.3,0.0,6.82,-0.5,0.02,6,6,52.5,0.0,6.81,-0.5,0.17
201709230407,ＢＯＡＴＢｏｙカップ,2017-09-23,4,07R,4.0,1,3.0,2,22.5,23.0,1,3,53.1,0.0,6.72,-0.5,0.04,2,4,51.0,0.0,6.73,-0.5,0.12,3,5,54.1,0.0,6.78,-0.5,0.09,4,1,53.7,0.0,6.63,0.0,0.11,5,2,52.1,0.0,6.69,0.0,-0.01,6,6,52.9,0.0,6.75,-0.5,-0.02
201709230408,ＢＯＡＴＢｏｙカップ,2017-09-23,4,08R,4.0,1,3.0,2,22.5,23.0,1,1,53.6,0.0,6.74,-0.5,0.15,2,2,52.1,0.0,6.79,-0.5,0.14,3,3,50.5,0.5,6.66,-0.5,0.04,4,4,49.5,1.5,6.78,-0.5,0.08,5,5,53.0,0.0,6.76,-0.5,0.18,6,6,51.0,0.0,6.67,-0.5,-0.03
