レースコード,レース日,レース場,レース回,締切時刻,取得日時,状態,艇1_体重(kg),艇1_体重調整(kg),艇1_展示タイム,艇1_チルト,艇2_体重(kg),艇2_体重調整(kg),艇2_展示タイム,艇2_チルト,艇3_体重(kg),艇3_体重調整(kg),艇3_展示タイム,艇3_チルト,艇4_体重(kg),艇4_体重調整(kg),艇4_展示タイム,艇4_チルト,艇5_体重(kg),艇5_体重調整(kg),艇5_展示タイム,艇5_チルト,艇6_体重(kg),艇6_体重調整(kg),艇6_展示タイム,艇6_チルト
202608112101,2026-08-11,21,01R,08:32,2026-08-11T08:22:21.600116+09:00,1,52.1,0.0,6.7,-0.5,53.5,0.0,6.78,0.0,52.9,0.0,6.78,0.0,46.0,1.0,6.78,0.0,56.2,0.0,6.83,0.0,51.0,1.0,6.78,-0.5
202608112301,2026-08-11,23,01R,08:44,2026-08-11T08:34:25.457672+09:00,1,52.0,0.0,6.77,0.0,51.5,0.5,6.88,-0.5,54.8,0.0,6.89,-0.5,51.0,1.0,6.91,0.0,43.5,3.5,6.97,-0.5,52.5,0.0,6.89,0.0
202608112102,2026-08-11,21,02R,08:58,2026-08-11T08:48:21.558114+09:00,1,52.8,0.0,6.72,0.0,52.0,0.0,6.74,0.0,52.0,0.0,6.74,-0.5,54.5,0.0,6.73,0.0,47.0,0.0,6.66,0.0,52.8,0.0,6.79,-0.5
202608112302,2026-08-11,23,02R,09:10,2026-08-11T09:01:04.262297+09:00,1,53.7,0.0,6.76,0.0,52.7,0.0,6.87,-0.5,55.0,0.0,6.81,0.0,52.0,0.0,6.96,-0.5,52.2,0.0,6.95,0.0,46.5,0.5,6.84,0.0
202608112103,2026-08-11,21,03R,09:24,2026-08-11T09:14:24.627785+09:00,1,47.4,0.0,6.72,-0.5,52.0,0.0,6.75,0.0,53.8,0.0,6.83,0.0,53.7,0.0,6.73,0.0,52.7,0.0,6.75,0.0,52.0,0.0,6.77,-0.5
202608112303,2026-08-11,23,03R,09:36,2026-08-11T09:26:25.994404+09:00,1,52.0,0.0,6.83,0.0,56.5,0.0,6.86,-0.5,51.0,1.0,6.87,0.0,58.2,0.0,6.93,-0.5,53.4,0.0,6.85,-0.5,48.0,0.0,6.84,0.0
202608112104,2026-08-11,21,04R,09:50,2026-08-11T09:40:25.826804+09:00,1,53.0,0.0,6.69,0.5,47.0,0.0,6.71,0.0,52.0,0.0,6.74,0.0,52.3,0.0,6.71,0.0,52.6,0.0,6.74,0.0,52.0,0.0,6.74,0.0
