レースコード,レース日,レース場,レース回,ステータス,計測数,計測項目1,計測項目2,計測項目3,艇1_選手名,艇1_値1,艇1_値2,艇1_値3,艇2_選手名,艇2_値1,艇2_値2,艇2_値3,艇3_選手名,艇3_値1,艇3_値2,艇3_値3,艇4_選手名,艇4_値1,艇4_値2,艇4_値3,艇5_選手名,艇5_値1,艇5_値2,艇5_値3,艇6_選手名,艇6_値1,艇6_値2,艇6_値3
202512170101,2025-12-17,1,01R,1,3,半周ラップ,まわり足,直線,山下 流心,18.3,4.44,7.63,武田 正紀,18.51,4.55,7.6,高野 心吾,18.32,4.43,7.62,堤 啓輔,18.1,4.49,7.52,芹澤 克彦,18.58,4.41,7.59,森 弘行,18.88,4.46,7.69
202512170102,2025-12-17,1,02R,1,3,半周ラップ,まわり足,直線,西田 靖,18.34,4.34,7.58,岡部 大輔,18.46,4.22,7.54,滝沢 芳行,18.43,4.78,7.56,重野 哲之,18.74,4.4,7.66,浅見 昌克,18.39,4.6,7.66,森 晋太郎,18.18,4.34,7.53
202512170103,2025-12-17,1,03R,1,3,半周ラップ,まわり足,直線,浜本 裕己,18.54,4.41,7.49,松尾 基成,18.42,4.47,7.7,長尾 京志郎,18.82,4.55,7.68,木谷 賢太,18.38,4.32,7.62,松竹 大輔,18.74,4.35,7.67,堀本 翔太,18.61,4.5,7.4
202512170104,2025-12-17,1,04R,1,3,半周ラップ,まわり足,直線,柘植 政浩,18.65,4.5,7.41,荻野 裕介,18.49,4.38,7.65,相馬 翔,18.78,4.38,7.75,奥平 拓也,18.39,4.19,7.68,有賀 達也,18.13,4.4,7.61,松井 友汰,18.46,4.31,7.66
202512170105,2025-12-17,1,05R,1,3,半周ラップ,まわり足,直線,桑原 啓,18.22,4.37,7.64,桂林 寛,18.78,4.56,7.73,武田 正紀,18.76,4.66,7.69,三宅 健太,18.54,4.38,7.7,中野 希一,18.33,4.37,7.65,茶谷 信次,18.4,4.46,7.6
202512170106,2025-12-17,1,06R,1,3,半周ラップ,まわり足,直線,西丸 侑太朗,18.46,4.41,7.59,土屋 太朗,18.31,4.32,7.59,森 弘行,18.85,4.47,7.49,森下 勇,18.53,4.39,7.57,岡部 大輔,18.71,4.42,7.72,高野 心吾,18.5,4.34,7.62
202512170107,2025-12-17,1,07R,1,3,半周ラップ,まわり足,直線,岡村 仁,18.55,4.54,7.58,芹澤 克彦,18.86,4.57,7.58,浅見 昌克,18.63,4.72,7.68,今坂 晃広,19.36,4.9,7.73,松尾 基成,18.82,4.62,7.57,堤 啓輔,18.83,4.42,7.5
202512170108,2025-12-17,1,08R,1,3,半周ラップ,まわり足,直線,松竹 大輔,18.61,4.38,7.53,森 晋太郎,18.74,4.7,7.58,荻野 裕介,18.62,4.4,7.58,長尾 京志郎,19.14,4.49,7.59,柘植 政浩,18.78,4.27,7.5,鈴木 雄登,18.21,4.48,7.53
202512170109,2025-12-17,1,09R,1,3,半周ラップ,まわり足,直線,相馬 翔,18.74,4.46,7.58,奥平 拓也,18.7,4.42,7.71,三宅 健太,19.0,4.55,7.69,桂林 寛,18.87,4.71,7.63,重野 哲之,19.02,4.33,7.61,塚越 陸斗,18.7,5.02,7.52
202512170110,2025-12-17,1,10R,1,3,半周ラップ,まわり足,直線,松井 友汰,18.51,4.62,7.55,中野 希一,18.68,4.41,7.8,木谷 賢太,18.44,4.58,7.69,土屋 太朗,18.46,4.59,7.6,西田 靖,18.92,4.68,7.58,桑原 啓,18.52,4.9,7.7
