レースコード,予想1着,予想2着,予想3着,実際1着,実際2着,実際3着,1着的中,2着的中,3着的中,全的中,予想決まり手,決まり手,決まり手的中,艇1_予想コース,艇1_実際コース,艇2_予想コース,艇2_実際コース,艇3_予想コース,艇3_実際コース,艇4_予想コース,艇4_実際コース,艇5_予想コース,艇5_実際コース,艇6_予想コース,艇6_実際コース,コース一致数,進入完全一致,艇1_予想ST,艇1_実際ST,艇2_予想ST,艇2_実際ST,艇3_予想ST,艇3_実際ST,艇4_予想ST,艇4_実際ST,艇5_予想ST,艇5_実際ST,艇6_予想ST,艇6_実際ST,ST_MAE
202601152401,1,4,5,4,5,3,×,×,×,×,逃げ,,-,1.0,1.0,2.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0,6,○,0.05,0.24,0.11,0.26,0.03,0.21,0.24,0.24,0.16,0.24,0.17,0.25,0.11333333333333333
202601152402,1,2,6,6,1,5,×,×,×,×,逃げ,差し,×,1.0,1.0,2.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0,6,○,0.12,0.15,0.04,0.13,0.06,0.11,0.07,0.14,-0.06,0.07,0.01,0.06,0.06999999999999999
202601152403,1,2,3,2,1,6,×,×,×,×,逃げ,差し,×,1.0,1.0,2.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0,6,○,0.14,0.1,0.19,0.19,0.19,0.17,0.26,0.15,0.09,0.09,0.03,0.09,0.03833333333333334
202601152404,3,2,1,1,4,6,×,×,×,×,逃げ,逃げ,○,1.0,1.0,2.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0,6,○,0.16,0.13,0.18,0.12,0.11,0.09,0.47,0.07,0.18,0.1,0.26,0.08,0.12833333333333333
202601152405,1,3,5,3,1,5,×,×,○,×,逃げ,差し,×,1.0,1.0,2.0,2.0,3.0,3.0,4.0,6.0,5.0,4.0,6.0,5.0,3,×,0.04,0.15,0.06,0.16,0.18,0.17,0.09,0.19,0.07,0.14,0.05,0.14,0.08
202601152406,2,1,5,5,2,4,×,×,×,×,逃げ,まくり,×,1.0,1.0,2.0,2.0,3.0,6.0,4.0,3.0,5.0,4.0,6.0,5.0,2,×,0.1,0.14,0.1,0.09,0.06,0.14,0.08,0.12,0.14,0.11,0.19,0.08,0.05166666666666667
202601152407,1,3,2,1,3,2,○,○,○,○,逃げ,逃げ,○,1.0,1.0,2.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0,6,○,-0.1,0.16,0.05,0.17,0.04,0.19,0.05,0.19,0.06,0.18,-0.06,0.16,0.16833333333333333
202601152408,1,4,3,4,3,6,×,×,×,×,逃げ,まくり,×,1.0,1.0,2.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0,6,○,0.12,0.12,0.2,0.06,0.26,0.07,0.11,0.03,0.21,0.12,0.17,0.11,0.09333333333333334
202601152409,1,3,4,1,3,5,○,○,×,×,逃げ,逃げ,○,1.0,1.0,2.0,2.0,3.0,3.0,4.0,,5.0,5.0,6.0,6.0,5,×,0.16,0.15,0.2,0.16,0.3,0.16,0.25,,0.04,0.13,-0.03,0.15,0.092
202601152410,1,2,3,1,2,5,○,○,×,×,逃げ,逃げ,○,1.0,1.0,2.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0,6,○,0.13,0.13,0.22,0.15,0.21,0.18,0.13,0.18,0.02,0.16,0.05,0.21,0.075
202601152411,1,2,4,1,2,4,○,○,○,○,逃げ,逃げ,○,1.0,1.0,2.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0,6,○,0.24,0.08,0.17,0.02,0.12,0.05,0.08,0.07,0.12,0.09,0.16,0.13,0.07500000000000001
202601152412,1,3,2,1,4,3,○,×,×,×,逃げ,逃げ,○,1.0,1.0,2.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0,6,○,0.16,0.19,0.05,0.19,0.04,0.18,0.06,0.25,-0.08,0.36,-0.23,0.36,0.25499999999999995
