レースコード,予想1着,予想2着,予想3着,実際1着,実際2着,実際3着,1着的中,2着的中,3着的中,全的中,予想決まり手,決まり手,決まり手的中,艇1_予想コース,艇1_実際コース,艇2_予想コース,艇2_実際コース,艇3_予想コース,艇3_実際コース,艇4_予想コース,艇4_実際コース,艇5_予想コース,艇5_実際コース,艇6_予想コース,艇6_実際コース,コース一致数,進入完全一致,艇1_予想ST,艇1_実際ST,艇2_予想ST,艇2_実際ST,艇3_予想ST,艇3_実際ST,艇4_予想ST,艇4_実際ST,艇5_予想ST,艇5_実際ST,艇6_予想ST,艇6_実際ST,ST_MAE
202601272401,1,3,5,4,6,1,×,×,×,×,逃げ,,-,1.0,1.0,2.0,3.0,4.0,6.0,5.0,4.0,6.0,5.0,3.0,2.0,1,×,0.09,0.21,0.06,0.17,0.1,0.28,0.01,0.18,-0.03,0.23,0.07,0.18,0.15833333333333335
202601272402,1,3,5,4,1,2,×,×,×,×,逃げ,まくり,×,1.0,1.0,2.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0,6,○,0.1,0.17,0.07,0.15,0.14,0.19,0.08,0.13,0.12,0.21,0.15,0.23,0.06999999999999999
202601272403,1,3,6,3,1,5,×,×,×,×,逃げ,差し,×,1.0,1.0,2.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0,6,○,0.17,0.12,0.14,0.18,0.09,0.2,-0.02,0.22,-0.03,0.16,-0.02,0.24,0.14833333333333334
202601272404,1,4,5,1,2,5,○,×,○,×,逃げ,逃げ,○,1.0,1.0,2.0,2.0,3.0,3.0,4.0,5.0,5.0,4.0,6.0,6.0,4,×,0.01,0.1,0.01,0.13,0.06,0.2,0.12,0.38,-0.01,0.34,0.08,0.4,0.21333333333333337
202601272405,1,2,6,1,4,2,○,×,×,×,逃げ,逃げ,○,1.0,1.0,2.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0,6,○,0.01,0.16,0.03,0.18,0.04,0.17,-0.12,0.14,-0.03,0.14,-0.08,0.19,0.18833333333333332
202601272406,1,4,2,1,3,2,○,×,○,×,逃げ,逃げ,○,1.0,1.0,2.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0,6,○,0.09,0.15,0.11,0.15,0.1,0.12,0.01,0.22,-0.06,0.27,0.02,0.21,0.14166666666666664
202601272407,1,2,3,3,2,1,×,○,×,×,逃げ,,-,1.0,1.0,2.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0,6,○,0.22,0.16,0.3,0.12,0.19,0.14,0.01,0.14,0.07,0.15,0.24,0.15,0.09833333333333333
202601272408,1,2,3,3,1,6,×,×,×,×,逃げ,まくり,×,1.0,1.0,2.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0,6,○,0.21,0.21,0.15,0.19,0.2,0.22,0.05,0.26,-0.03,0.25,0.13,0.19,0.10166666666666668
202601272409,1,3,2,1,3,5,○,○,×,×,逃げ,逃げ,○,1.0,1.0,2.0,,3.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0,5,×,0.03,0.03,-0.01,,0.07,0.06,0.06,0.09,0.0,0.13,0.15,0.19,0.042
202601272410,1,2,3,1,2,6,○,○,×,×,逃げ,逃げ,○,1.0,1.0,2.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0,6,○,0.01,0.04,-0.06,0.19,-0.11,0.2,0.29,0.24,0.15,0.16,0.11,0.2,0.12333333333333335
202601272411,1,2,3,5,1,2,×,×,×,×,逃げ,,-,1.0,1.0,2.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0,6,○,0.17,0.04,0.04,0.11,-0.02,0.13,0.01,0.15,0.07,0.13,0.23,0.16,0.10333333333333335
202601272412,1,2,3,1,2,5,○,○,×,×,逃げ,逃げ,○,1.0,1.0,2.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0,6,○,0.05,0.1,0.06,0.12,0.28,0.15,0.05,0.28,0.19,0.12,0.16,0.27,0.10833333333333334
202601272101,1,2,3,1,6,4,○,×,×,×,逃げ,逃げ,○,1.0,1.0,2.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0,6,○,0.11,0.22,0.03,0.18,-0.01,0.23,0.23,0.21,0.14,0.22,0.11,0.24,0.12166666666666666
202601272102,1,4,3,1,4,3,○,○,○,○,逃げ,逃げ,○,1.0,1.0,2.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0,6,○,0.02,0.2,0.03,0.28,0.02,0.22,-0.01,0.17,0.17,0.21,0.21,0.29,0.155
202601272103,1,4,2,1,2,3,○,×,×,×,逃げ,逃げ,○,1.0,1.0,2.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0,6,○,0.04,0.19,0.05,0.14,0.05,0.17,0.11,0.13,0.19,0.12,0.11,0.22,0.09333333333333334
202601272104,1,2,4,1,3,2,○,×,×,×,逃げ,逃げ,○,1.0,1.0,2.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0,6,○,-0.03,0.15,0.11,0.13,0.11,0.15,0.19,0.08,0.11,0.05,0.15,0.09,0.07833333333333332
202601272105,1,4,2,4,1,6,×,×,×,×,逃げ,まくり,×,1.0,1.0,2.0,2.0,3.0,3.0,4.0,4.0,5.0,6.0,6.0,5.0,4,×,0.07,0.12,0.1,0.12,0.28,0.12,0.16,0.07,0.1,0.15,0.03,0.12,0.07666666666666666
