レースコード,タイトル,日次,レース日,レース場,レース回,レース名,距離(m),天候,風向,風速(m),波の高さ(cm),決まり手,単勝_艇番,単勝_払戻金,複勝_1着_艇番,複勝_1着_払戻金,複勝_2着_艇番,複勝_2着_払戻金,2連単_組番,2連単_払戻金,2連単_人気,2連複_組番,2連複_払戻金,2連複_人気,拡連複_1-2着_組番,拡連複_1-2着_払戻金,拡連複_1-2着_人気,拡連複_1-3着_組番,拡連複_1-3着_払戻金,拡連複_1-3着_人気,拡連複_2-3着_組番,拡連複_2-3着_払戻金,拡連複_2-3着_人気,3連単_組番,3連単_払戻金,3連単_人気,3連複_組番,3連複_払戻金,3連複_人気,1着_着順,1着_艇番,1着_登録番号,1着_選手名,1着_モーター番号,1着_ボート番号,1着_展示タイム,1着_進入コース,1着_スタートタイミング,1着_レースタイム,2着_着順,2着_艇番,2着_登録番号,2着_選手名,2着_モーター番号,2着_ボート番号,2着_展示タイム,2着_進入コース,2着_スタートタイミング,2着_レースタイム,3着_着順,3着_艇番,3着_登録番号,3着_選手名,3着_モーター番号,3着_ボート番号,3着_展示タイム,3着_進入コース,3着_スタートタイミング,3着_レースタイム,4着_着順,4着_艇番,4着_登録番号,4着_選手名,4着_モーター番号,4着_ボート番号,4着_展示タイム,4着_進入コース,4着_スタートタイミング,4着_レースタイム,5着_着順,5着_艇番,5着_登録番号,5着_選手名,5着_モーター番号,5着_ボート番号,5着_展示タイム,5着_進入コース,5着_スタートタイミング,5着_レースタイム,6着_着順,6着_艇番,6着_登録番号,6着_選手名,6着_モーター番号,6着_ボート番号,6着_展示タイム,6着_進入コース,6着_スタートタイミング,6着_レースタイム
201704032101,Ｇ３オールレディース　マクール杯,第3日,2017/04/03,芦屋,01R,予選,1800,晴,南東,2,2,逃げ,1,110,1,100,4,150,1-4,300,1,1-4,210,1,1-4,110,1,1-2,220,4,2-4,590,9,1-4-2,1940,7,1-2-4,1040,4,1,1,4050,田 口 節 子,2,50,6.74,1,0.13,107.7,2,4,4117,廣 中 智紗衣,40,66,6.75,4,0.18,108.3,3,2,4569,中 澤 宏 奈,21,39,6.79,2,0.12,111.0,4,6,4546,浜 田 亜理沙,43,59,6.78,6,0.19,112.1,5,5,4738,清 埜 翔 子,26,25,6.73,5,0.22,,6,3,4585,渡 邉 千 晴,31,37,6.73,3,0.14,
201704032102,Ｇ３オールレディース　マクール杯,第3日,2017/04/03,芦屋,02R,予選,1800,晴,南西,4,4,差し,4,170,4,120,2,300,4-2,550,3,2-4,440,2,2-4,140,3,1-4,100,1,1-2,130,2,4-2-1,1060,3,1-2-4,180,1,1,4,3232,山 川 美由紀,46,68,6.72,4,0.13,108.2,2,2,4689,豊 田 結,1,20,6.7,2,0.37,109.2,3,1,3317,大 山 博 美,51,70,6.72,1,0.12,111.1,4,6,4893,渡 邉 真奈美,19,15,6.74,5,0.07,113.5,5,5,4929,梅 内 夕貴奈,33,65,6.75,6,0.14,,6,3,4841,高 橋 悠 花,4,40,6.7,3,0.26,
201704032103,Ｇ３オールレディース　マクール杯,第3日,2017/04/03,芦屋,03R,予選,1800,晴,南西,3,3,まくり,3,270,3,120,1,120,3-1,720,4,1-3,290,1,1-3,170,1,2-3,630,10,1-2,240,4,3-1-2,4690,19,1-2-3,880,3,1,3,4611,今 井 美 亜,52,28,6.88,3,0.12,107.4,2,1,4286,平 田 さやか,45,35,6.9,1,0.09,109.9,3,2,2995,小神野 紀代子,32,19,6.83,2,0.14,111.2,4,6,4525,真 子 奈津実,60,56,6.85,6,0.09,112.8,5,5,4065,金 田 幸 子,59,57,6.9,5,0.13,,6,4,4849,森 田 太 陽,55,43,6.84,4,0.17,
201704032104,Ｇ３オールレディース　マクール杯,第3日,2017/04/03,芦屋,04R,予選  進入固定,1800,晴,西,4,4,逃げ,1,100,1,100,2,170,1-2,420,2,1-2,350,2,1-2,150,2,1-4,110,1,2-4,180,3,1-2-4,570,2,1-2-4,180,1,1,1,3188,日 高 逸 子,16,38,6.82,1,0.07,108.8,2,2,4283,石 井 裕 美,48,24,6.85,2,0.08,111.6,3,4,4746,大豆生田 蒼,18,42,6.82,4,0.1,112.4,4,5,4891,寺 島 美 里,13,64,6.75,5,0.16,113.1,5,6,4936,戸 敷 晃 美,10,60,6.73,6,0.13,,6,3,4781,西 舘 果 里,28,27,6.8,3,0.13,
201704032105,Ｇ３オールレディース　マクール杯,第3日,2017/04/03,芦屋,05R,予選,1800,晴,西,5,5,まくり,3,640,3,170,1,100,3-1,1200,5,1-3,400,2,1-3,120,2,2-3,130,3,1-2,100,1,3-1-2,1760,6,1-2-3,130,1,1,3,3470,新 田 芳 美,29,14,6.83,3,0.05,108.6,2,1,4045,佐々木 裕 美,9,26,6.79,1,0.17,110.7,3,2,3435,寺 田 千 恵,35,45,6.88,2,0.16,110.9,4,5,4569,中 澤 宏 奈,21,39,6.86,4,0.07,112.5,5,6,4722,竹 野 未 華,3,44,6.82,5,0.12,,6,4,4947,間 庭 菜 摘,24,62,6.9,6,0.12,
201704032106,Ｇ３オールレディース　マクール杯,第3日,2017/04/03,芦屋,06R,予選,1800,晴,西,5,5,差し,2,160,2,110,3,680,2-3,970,5,2-3,890,5,2-3,320,5,2-5,210,3,3-5,570,9,2-3-5,2590,10,2-3-5,990,5,1,2,3801,五反田 忍,11,33,6.85,2,0.16,109.2,2,3,3207,田 村 美 和,41,55,6.96,3,0.14,111.0,3,5,3334,角 ひとみ,49,48,6.81,5,0.21,111.9,4,4,3302,谷 川 里 江,36,34,6.91,4,0.17,113.4,5,1,4400,加 藤 奈 月,15,67,6.89,1,0.17,,6,6,4806,佐 藤 享 子,38,41,6.87,6,0.29,
201704032107,Ｇ３オールレディース　マクール杯,第3日,2017/04/03,芦屋,07R,予選  進入固定,1800,晴,西,5,5,まくり,2,540,2,130,6,590,2-6,16100,20,2-6,8990,12,2-6,780,11,1-2,130,1,1-6,520,8,2-6-1,41750,62,1-2-6,1740,6,1,2,4546,浜 田 亜理沙,43,59,6.93,2,0.19,108.4,2,6,4849,森 田 太 陽,55,43,6.9,6,0.2,110.4,3,1,4478,櫻 本 あゆみ,47,49,6.94,1,0.29,111.5,4,3,4770,小 野 真 歩,27,69,6.87,3,0.31,114.1,5,4,4473,藤 堂 里 香,5,12,6.89,4,0.21,,6,5,4927,関 野 文,20,21,6.9,5,0.22,
201704032108,Ｇ３オールレディース　マクール杯,第3日,2017/04/03,芦屋,08R,予選,1800,晴,西,5,5,まくり,3,190,3,120,1,130,3-1,310,2,1-3,130,1,1-3,110,1,3-5,290,4,1-5,370,6,3-1-5,1270,5,1-3-5,560,2,1,3,4183,宇 野 弥 生,39,13,6.84,3,0.11,108.3,2,1,4746,大豆生田 蒼,18,42,6.83,1,0.41,110.4,3,5,4841,高 橋 悠 花,4,40,6.87,4,0.07,112.5,4,2,4585,渡 邉 千 晴,31,37,6.8,2,0.31,112.9,5,6,4929,梅 内 夕貴奈,33,65,6.89,6,0.11,,6,4,4891,寺 島 美 里,13,64,6.84,5,0.25,
201704032109,Ｇ３オールレディース　マクール杯,第3日,2017/04/03,芦屋,09R,予選,1800,晴,西,6,6,差し,3,140,3,150,6,510,3-6,1540,7,3-6,1080,4,3-6,210,3,2-3,110,1,2-6,220,5,3-6-2,2760,11,2-3-6,320,2,1,3,3188,日 高 逸 子,16,38,6.9,3,0.25,108.8,2,6,4117,廣 中 智紗衣,40,66,6.94,6,0.29,110.3,3,2,4045,佐々木 裕 美,9,26,6.87,2,0.15,112.4,4,1,3943,三 松 直 美,56,11,6.98,1,0.21,114.0,5,4,2995,小神野 紀代子,32,19,6.9,4,0.31,,6,5,4893,渡 邉 真奈美,19,15,6.95,5,0.27,
201704032110,Ｇ３オールレディース　マクール杯,第3日,2017/04/03,芦屋,10R,特賞,1800,晴,西,6,6,差し,4,250,4,100,1,110,4-1,490,2,1-4,200,1,1-4,170,2,4-5,440,7,1-5,430,6,4-1-5,2020,7,1-4-5,650,3,1,4,3435,寺 田 千 恵,35,45,6.86,4,0.11,108.8,2,1,3302,谷 川 里 江,36,34,6.89,1,0.13,110.4,3,5,4525,真 子 奈津実,60,56,6.84,5,0.09,112.1,4,2,4286,平 田 さやか,45,35,6.9,2,0.15,112.6,5,3,4478,櫻 本 あゆみ,47,49,6.87,3,0.17,,6,6,4726,島 田 なぎさ,23,30,6.83,6,0.13,
