レースコード,予想1着,予想2着,予想3着,実際1着,実際2着,実際3着,1着的中,2着的中,3着的中,全的中,予想決まり手,決まり手,決まり手的中,艇1_予想コース,艇1_実際コース,艇2_予想コース,艇2_実際コース,艇3_予想コース,艇3_実際コース,艇4_予想コース,艇4_実際コース,艇5_予想コース,艇5_実際コース,艇6_予想コース,艇6_実際コース,コース一致数,進入完全一致,艇1_予想ST,艇1_実際ST,艇2_予想ST,艇2_実際ST,艇3_予想ST,艇3_実際ST,艇4_予想ST,艇4_実際ST,艇5_予想ST,艇5_実際ST,艇6_予想ST,艇6_実際ST,ST_MAE
202605012401,5,6,4,2,1,5,×,×,×,×,,差し,-,1,1.0,2,2.0,3,3.0,4,4.0,5,5.0,6,6.0,6,○,0.07,0.09,0.041,0.09,-0.022,0.17,0.129,0.18,-0.016,0.15,-0.003,0.44,0.1535
202605012402,5,6,4,3,1,4,×,×,○,×,,まくり,-,1,1.0,2,2.0,3,4.0,4,5.0,5,6.0,6,3.0,2,×,0.053,0.32,0.002,0.37,0.029,0.17,0.064,0.22,0.049,0.21,-0.008,0.31,0.23516666666666666
202605012403,6,4,5,1,2,6,×,×,×,×,,逃げ,-,1,1.0,2,3.0,3,4.0,4,5.0,5,6.0,6,2.0,1,×,0.005,0.05,0.066,0.17,-0.004,0.13,-0.013,0.39,0.003,0.29,0.117,0.19,0.17433333333333334
202605012404,6,2,5,6,1,2,○,×,×,×,,,-,1,2.0,2,3.0,3,,4,,5,6.0,6,1.0,0,×,-0.042,0.37,-0.025,,0.104,,0.027,,-0.011,0.16,0.075,0.08,0.19599999999999998
202605012405,2,6,4,1,5,4,×,×,○,×,,逃げ,-,1,1.0,2,2.0,3,3.0,4,4.0,5,5.0,6,6.0,6,○,-0.03,0.18,0.027,0.19,-0.011,0.19,-0.019,0.18,0.002,0.24,0.104,0.24,0.1911666666666667
202605012406,2,4,5,2,4,1,○,○,×,×,,まくり,-,1,1.0,2,4.0,3,5.0,4,2.0,5,6.0,6,3.0,1,×,-0.006,0.13,0.115,0.07,-0.021,0.09,0.084,0.22,-0.035,0.11,-0.027,0.2,0.13333333333333333
202605012407,6,2,5,1,4,3,×,×,×,×,,逃げ,-,1,1.0,2,2.0,3,3.0,4,4.0,5,5.0,6,6.0,6,○,-0.044,0.2,0.076,0.25,-0.013,0.14,0.005,0.2,0.154,0.25,0.076,0.15,0.156
202605012408,6,5,4,5,1,3,×,×,×,×,,差し,-,1,1.0,2,3.0,3,5.0,4,4.0,5,2.0,6,6.0,3,×,-0.011,0.19,0.009,0.19,-0.007,0.1,0.049,0.22,0.104,0.11,0.161,0.2,0.1175
202605012409,6,4,5,1,3,6,×,×,×,×,,,-,1,1.0,2,2.0,3,3.0,4,4.0,5,5.0,6,6.0,6,○,0.007,0.28,-0.033,0.21,-0.038,0.24,0.043,0.21,0.066,0.24,0.099,0.24,0.21266666666666667
202605012410,5,6,2,1,2,3,×,×,×,×,,逃げ,-,1,1.0,2,2.0,3,3.0,4,4.0,5,5.0,6,6.0,6,○,-0.007,0.18,0.053,0.16,-0.017,0.18,-0.007,0.16,0.041,0.18,0.006,0.18,0.16183333333333336
202605012411,3,6,5,5,1,6,×,×,×,×,,差し,-,1,1.0,2,2.0,3,3.0,4,4.0,5,5.0,6,6.0,6,○,0.003,0.14,-0.047,0.19,0.005,0.12,0.002,0.26,0.012,0.21,-0.003,0.25,0.19966666666666666
202605012412,2,3,5,2,1,5,○,×,○,×,,差し,-,1,1.0,2,2.0,3,3.0,4,4.0,5,5.0,6,6.0,6,○,0.104,0.13,0.084,0.13,0.073,0.19,-0.03,0.13,0.064,0.11,0.029,0.09,0.076
202605012204,6,4,5,4,2,5,×,×,○,×,,まくり,-,1,1.0,2,2.0,3,3.0,4,4.0,5,5.0,6,6.0,6,○,0.103,0.26,0.125,0.19,0.145,0.17,0.159,0.12,0.17,0.17,0.136,0.12,0.05033333333333334
202605012205,3,6,5,1,6,2,×,○,×,×,,逃げ,-,1,1.0,2,2.0,3,3.0,4,4.0,5,5.0,6,6.0,6,○,0.129,0.04,0.249,0.08,0.087,0.12,0.164,0.15,0.06,0.26,0.158,0.11,0.09216666666666669
202605012206,6,5,4,3,5,1,×,○,×,×,,まくり,-,1,1.0,2,2.0,3,3.0,4,4.0,5,5.0,6,6.0,6,○,0.137,0.11,0.074,0.14,0.167,0.13,0.18,0.12,0.174,0.11,0.125,0.15,0.04650000000000001
202605012207,6,5,3,5,3,1,×,×,×,×,,,-,1,1.0,2,2.0,3,3.0,4,4.0,5,5.0,6,6.0,6,○,0.111,0.14,0.201,0.13,0.166,0.11,0.178,0.17,0.083,0.18,0.16,0.26,0.06016666666666667
202605012209,6,2,5,1,3,4,×,×,×,×,,逃げ,-,1,1.0,2,2.0,3,3.0,4,4.0,5,5.0,6,6.0,6,○,0.098,0.2,0.184,0.28,0.088,0.26,0.221,0.24,0.134,0.25,0.121,0.22,0.10066666666666667
202605012210,6,5,4,2,1,3,×,×,×,×,,差し,-,1,1.0,2,2.0,3,3.0,4,4.0,5,5.0,6,6.0,6,○,0.054,0.15,0.125,0.16,0.179,0.21,0.139,0.21,0.172,0.25,0.179,0.25,0.06366666666666666
202605012211,6,5,3,1,4,3,×,×,○,×,,逃げ,-,1,1.0,2,2.0,3,3.0,4,4.0,5,5.0,6,6.0,6,○,0.078,0.21,0.112,0.21,0.124,0.19,0.156,0.18,0.168,0.27,0.089,0.27,0.10049999999999999
202605012212,6,5,4,1,5,6,×,○,×,×,,逃げ,-,1,1.0,2,2.0,3,3.0,4,4.0,5,5.0,6,6.0,6,○,0.199,0.1,0.15,0.11,0.156,0.14,0.165,0.22,0.191,0.21,0.21,0.15,0.04816666666666666
202605011901,6,4,5,1,6,4,×,×,×,×,,逃げ,-,1,1.0,2,2.0,3,3.0,4,5.0,5,6.0,6,4.0,3,×,0.068,0.24,0.041,0.38,0.07,0.51,0.032,0.43,0.047,0.41,0.016,0.41,0.35100000000000003
202605011902,6,4,5,1,5,3,×,×,×,×,,逃げ,-,1,1.0,2,2.0,3,3.0,4,4.0,5,5.0,6,6.0,6,○,0.029,0.13,0.03,0.17,0.035,0.1,0.055,0.04,0.028,0.11,0.055,0.19,0.08966666666666667
202605011903,6,5,4,1,2,3,×,×,×,×,,,-,1,1.0,2,2.0,3,3.0,4,4.0,5,6.0,6,5.0,4,×,0.035,0.17,-0.01,0.14,0.075,0.12,0.063,0.13,0.096,0.23,0.052,0.12,0.09983333333333333
202605011904,6,5,4,3,1,2,×,×,×,×,,差し,-,1,1.0,2,2.0,3,3.0,4,4.0,5,5.0,6,6.0,6,○,0.014,0.02,0.054,0.11,0.02,0.08,0.024,0.07,-0.021,0.11,0.017,0.15,0.07200000000000001
202605011905,6,5,4,1,5,3,×,○,×,×,,逃げ,-,1,1.0,2,2.0,3,3.0,4,4.0,5,5.0,6,6.0,6,○,0.037,0.28,0.018,0.33,0.012,0.28,0.043,0.18,0.039,0.13,0.025,0.09,0.18600000000000003
202605011906,6,5,3,4,1,3,×,×,○,×,,差し,-,1,1.0,2,2.0,3,3.0,4,4.0,5,5.0,6,6.0,6,○,0.084,0.14,0.02,0.11,0.011,0.08,0.133,0.1,0.059,0.11,0.022,0.17,0.07450000000000001
202605011907,6,5,2,3,4,1,×,×,×,×,,逃げ,-,1,2.0,2,3.0,3,1.0,4,4.0,5,5.0,6,6.0,3,×,0.029,0.29,0.006,0.27,0.065,0.24,0.044,0.26,0.057,0.21,0.076,0.16,0.19216666666666668
202605011908,6,5,4,1,4,5,×,×,×,×,,逃げ,-,1,1.0,2,2.0,3,3.0,4,4.0,5,5.0,6,6.0,6,○,0.059,0.11,0.045,0.2,0.05,0.15,0.07,0.12,0.067,0.18,-0.02,0.17,0.10983333333333334
202605011909,6,5,4,3,1,6,×,×,×,×,,差し,-,1,1.0,2,2.0,3,3.0,4,5.0,5,6.0,6,4.0,3,×,0.042,0.15,0.059,0.15,0.043,0.14,0.067,0.2,-0.019,0.17,0.01,0.17,0.12966666666666668
202605011910,6,5,3,1,2,3,×,×,○,×,,逃げ,-,1,1.0,2,2.0,3,3.0,4,4.0,5,5.0,6,6.0,6,○,0.136,0.18,0.078,0.24,0.025,0.19,0.019,0.29,0.024,0.22,0.072,0.22,0.1643333333333333
202605011911,6,5,2,1,2,5,×,×,×,×,,,-,1,2.0,2,1.0,3,3.0,4,4.0,5,5.0,6,6.0,4,×,0.066,0.15,0.089,0.15,0.027,0.11,0.055,0.09,0.017,0.07,0.03,0.12,0.06766666666666665
202605011912,6,5,4,1,5,2,×,○,×,×,,逃げ,-,1,1.0,2,2.0,3,3.0,4,4.0,5,5.0,6,6.0,6,○,0.084,0.21,0.054,0.22,0.106,0.22,0.068,0.23,0.042,0.18,0.056,0.17,0.1366666666666667
202605011801,6,5,4,1,2,3,×,×,×,×,,逃げ,-,1,1.0,2,2.0,3,3.0,4,4.0,5,5.0,6,6.0,6,○,0.02,0.29,0.016,0.18,-0.03,0.21,0.015,0.17,0.013,0.19,0.01,0.19,0.19766666666666666
