レースコード,タイトル,レース日,レース場,レース回,風速(m),風向,波の高さ(cm),天候,気温(℃),水温(℃),艇1_艇番,艇1_コース,艇1_体重(kg),艇1_体重調整(kg),艇1_展示タイム,艇1_チルト調整,艇1_スタート展示,艇2_艇番,艇2_コース,艇2_体重(kg),艇2_体重調整(kg),艇2_展示タイム,艇2_チルト調整,艇2_スタート展示,艇3_艇番,艇3_コース,艇3_体重(kg),艇3_体重調整(kg),艇3_展示タイム,艇3_チルト調整,艇3_スタート展示,艇4_艇番,艇4_コース,艇4_体重(kg),艇4_体重調整(kg),艇4_展示タイム,艇4_チルト調整,艇4_スタート展示,艇5_艇番,艇5_コース,艇5_体重(kg),艇5_体重調整(kg),艇5_展示タイム,艇5_チルト調整,艇5_スタート展示,艇6_艇番,艇6_コース,艇6_体重(kg),艇6_体重調整(kg),艇6_展示タイム,艇6_チルト調整,艇6_スタート展示
202206150401,第２２回日刊ゲンダイ杯,2022-06-15,4,01R,3.0,1,3.0,2,17.0,20.0,1,1,52.0,0.0,6.77,-0.5,0.12,2,2,51.5,0.5,6.9,-0.5,0.14,3,3,56.6,0.0,6.92,-0.5,0.09,4,4,54.3,0.0,6.87,-0.5,-0.01,5,6,53.4,0.0,6.86,0.0,0.67,6,5,52.2,0.0,6.87,0.0,0.11
202206150402,第２２回日刊ゲンダイ杯,2022-06-15,4,02R,2.0,1,3.0,3,17.0,20.0,1,1,52.0,0.0,6.71,-0.5,0.08,2,2,54.9,0.0,6.87,-0.5,0.3,3,3,52.9,0.0,6.9,0.0,0.2,4,4,52.0,0.0,6.89,0.5,0.08,5,5,51.5,0.5,6.9,0.0,0.08,6,6,52.3,0.0,6.83,0.0,0.13
202206150403,第２２回日刊ゲンダイ杯,2022-06-15,4,03R,2.0,1,3.0,3,17.0,20.0,1,1,54.0,0.0,6.88,-0.5,0.04,2,3,52.0,0.0,6.78,0.0,0.09,3,4,53.0,0.0,6.87,-0.5,0.07,4,5,53.5,0.0,6.91,0.0,0.05,5,6,52.3,0.0,6.85,-0.5,0.11,6,2,49.5,2.5,6.9,-0.5,-0.06
202206150404,第２２回日刊ゲンダイ杯,2022-06-15,4,04R,1.0,1,3.0,3,17.0,20.0,1,1,51.0,1.0,6.8,-0.5,0.04,2,2,52.6,0.0,6.87,-0.5,0.13,3,3,52.0,0.0,6.83,0.0,0.05,4,4,50.0,2.0,6.93,0.0,0.17,5,5,52.0,0.0,6.81,0.0,0.12,6,6,52.1,0.0,6.9,-0.5,0.21
202206150405,第２２回日刊ゲンダイ杯,2022-06-15,4,05R,0.0,1,3.0,3,17.0,20.0,1,1,52.0,0.0,6.84,-0.5,0.03,2,2,50.5,1.5,6.8,0.0,0.15,3,3,51.0,1.0,6.95,-0.5,0.04,4,4,53.2,0.0,6.83,-0.5,0.11,5,5,52.1,0.0,6.9,-0.5,0.07,6,6,53.4,0.0,6.83,-0.5,0.24
202206150406,第２２回日刊ゲンダイ杯,2022-06-15,4,06R,2.0,1,3.0,2,18.0,20.0,1,1,54.5,0.0,6.86,-0.5,0.2,2,2,52.0,0.0,6.88,0.0,0.23,3,3,51.5,0.5,6.83,-0.5,0.11,4,4,51.5,0.5,6.91,0.0,0.13,5,5,52.0,0.0,6.73,0.0,0.02,6,6,56.6,0.0,6.82,0.0,0.33
202206150407,第２２回日刊ゲンダイ杯,2022-06-15,4,07R,1.0,1,3.0,2,18.0,20.0,1,1,52.9,0.0,6.86,-0.5,0.13,2,2,56.7,0.0,6.89,-0.5,0.07,3,3,52.0,0.0,6.81,-0.5,-0.06,4,4,52.0,0.0,6.78,0.0,0.11,5,5,51.5,0.5,6.97,-0.5,0.18,6,6,51.0,1.0,6.81,-0.5,0.13
202206150408,第２２回日刊ゲンダイ杯,2022-06-15,4,08R,2.0,1,3.0,2,18.0,20.0,1,1,49.5,2.5,6.77,-0.5,0.1,2,2,52.2,0.0,6.81,-0.5,0.12,3,3,52.6,0.0,6.84,-0.5,0.05,4,5,52.5,0.0,6.8,-0.5,0.09,5,6,54.9,0.0,6.81,-0.5,0.06,6,4,51.5,0.5,6.85,-0.5,0.19
202206150409,第２２回日刊ゲンダイ杯,2022-06-15,4,09R,3.0,1,3.0,3,18.0,20.0,1,1,52.0,0.0,6.77,0.5,0.11,2,2,54.0,0.0,6.85,0.0,0.06,3,3,52.0,0.0,6.87,0.0,0.21,4,4,52.0,0.0,6.85,-0.5,0.05,5,5,52.0,0.0,6.84,-0.5,0.07,6,6,54.0,0.0,6.9,-0.5,0.08
202206150410,第２２回日刊ゲンダイ杯,2022-06-15,4,10R,2.0,1,3.0,3,18.0,20.0,1,2,50.0,2.0,6.89,0.0,0.27,2,3,54.5,0.0,6.86,-0.5,0.07,3,1,49.5,2.5,6.86,-0.5,0.71,4,4,52.2,0.0,6.82,0.0,0.2,5,5,51.0,1.0,6.8,-0.5,0.01,6,6,56.1,0.0,6.91,-0.5,0.01
