レースコード,レース日,レース場,レース回,締切時刻,取得日時,艇1_コース,艇1_スタート展示,艇2_コース,艇2_スタート展示,艇3_コース,艇3_スタート展示,艇4_コース,艇4_スタート展示,艇5_コース,艇5_スタート展示,艇6_コース,艇6_スタート展示
202511080201,2025-11-08,02,01R,,backfill-from-daily,1,-0.09,2,-0.01,3,-0.04,4,-0.09,5,-0.12,6,-0.16
202511080202,2025-11-08,02,02R,,backfill-from-daily,1,-0.15,2,-0.05,3,-0.03,4,-0.08,6,-0.12,5,-0.06
202511080203,2025-11-08,02,03R,,backfill-from-daily,1,0.24,2,0.13,3,0.07,4,0.03,5,0.11,6,0.11
202511080204,2025-11-08,02,04R,,backfill-from-daily,1,-0.02,2,-0.03,3,0.18,4,0.14,5,0.06,6,0.14
202511080205,2025-11-08,02,05R,,backfill-from-daily,1,0.07,2,0.17,3,0.13,4,0.13,5,0.05,6,0.12
202511080206,2025-11-08,02,06R,,backfill-from-daily,1,0.01,2,0.06,3,0.04,4,-0.05,5,-0.03,6,-0.03
202511080207,2025-11-08,02,07R,,backfill-from-daily,1,0.12,2,0.04,3,0.05,4,0.15,5,0.13,6,0.17
202511080208,2025-11-08,02,08R,,backfill-from-daily,1,0.03,2,-0.05,3,0.17,4,0.02,5,0.06,6,0.18
202511080209,2025-11-08,02,09R,,backfill-from-daily,1,0.18,2,0.13,3,0.17,4,0.03,5,0.07,6,0.16
202511080210,2025-11-08,02,10R,,backfill-from-daily,1,-0.01,2,-0.17,3,-0.16,4,0.09,5,0.15,6,0.25
202511080211,2025-11-08,02,11R,,backfill-from-daily,1,0.18,2,0.0,3,-0.06,4,0.26,5,0.15,6,0.15
202511080212,2025-11-08,02,12R,,backfill-from-daily,1,0.12,2,0.26,3,0.11,4,0.51,5,0.29,6,0.29
202511080301,2025-11-08,03,01R,,backfill-from-daily,1,-0.25,2,0.13,3,0.14,4,0.01,5,0.02,6,-0.05
202511080302,2025-11-08,03,02R,,backfill-from-daily,1,0.13,2,0.09,3,0.08,4,0.01,5,-0.1,6,0.14
202511080303,2025-11-08,03,03R,,backfill-from-daily,1,0.04,2,0.07,3,0.01,4,0.61,5,0.25,6,0.29
202511080304,2025-11-08,03,04R,,backfill-from-daily,1,0.34,2,0.12,3,-0.01,4,0.08,5,0.02,6,0.17
202511080305,2025-11-08,03,05R,,backfill-from-daily,1,-0.05,2,-0.16,3,-0.15,4,-0.16,5,-0.14,6,-0.11
202511080306,2025-11-08,03,06R,,backfill-from-daily,1,-0.16,2,-0.15,3,-0.08,4,0.09,5,0.01,6,-0.14
202511080307,2025-11-08,03,07R,,backfill-from-daily,1,0.17,2,0.01,3,0.03,4,0.18,5,-0.01,6,-0.08
202511080308,2025-11-08,03,08R,,backfill-from-daily,1,0.33,2,0.29,3,0.29,4,0.23,5,0.37,6,0.31
202511080309,2025-11-08,03,09R,,backfill-from-daily,1,0.17,2,0.01,3,0.14,4,0.13,5,0.19,6,0.09
202511080310,2025-11-08,03,10R,,backfill-from-daily,1,0.09,2,0.14,3,0.06,4,0.02,5,-0.09,6,0.17
202511080311,2025-11-08,03,11R,,backfill-from-daily,1,0.14,2,0.21,3,0.11,4,0.02,5,0.02,6,0.14
202511080312,2025-11-08,03,12R,,backfill-from-daily,1,0.18,2,0.27,3,0.17,4,0.04,5,0.01,6,0.29
202511080601,2025-11-08,06,01R,,backfill-from-daily,1,0.06,2,0.02,3,0.06,4,-0.07,5,0.01,6,0.05
202511080602,2025-11-08,06,02R,,backfill-from-daily,1,-0.05,2,0.03,3,-0.03,4,0.02,5,-0.08,6,-0.04
202511080603,2025-11-08,06,03R,,backfill-from-daily,1,-0.02,2,0.02,6,-0.21,3,0.01,4,0.03,5,-0.03
202511080604,2025-11-08,06,04R,,backfill-from-daily,1,-0.06,2,-0.03,3,-0.06,4,0.03,5,0.23,6,0.05
202511080605,2025-11-08,06,05R,,backfill-from-daily,1,0.15,2,0.03,3,0.03,4,0.02,5,0.08,6,0.03
202511080606,2025-11-08,06,06R,,backfill-from-daily,1,0.04,2,0.12,3,0.02,4,0.02,5,0.04,6,0.14
202511080607,2025-11-08,06,07R,,backfill-from-daily,1,0.04,2,-0.04,3,0.1,4,0.1,5,0.09,6,0.23
202511080608,2025-11-08,06,08R,,backfill-from-daily,1,0.05,2,-0.03,3,-0.01,4,0.17,5,0.17,6,0.07
202511080609,2025-11-08,06,09R,,backfill-from-daily,1,-0.01,2,-0.08,3,0.03,4,0.23,5,0.2,6,0.05
202511080610,2025-11-08,06,10R,,backfill-from-daily,1,-0.01,2,0.11,3,0.07,5,0.19,4,-0.07,6,-0.08
202511080611,2025-11-08,06,11R,,backfill-from-daily,1,-0.03,2,0.12,3,0.05,4,0.05,5,0.11,6,0.21
202511080612,2025-11-08,06,12R,,backfill-from-daily,1,-0.03,3,0.22,2,0.07,4,0.12,5,-0.01,6,0.0
202511080701,2025-11-08,07,01R,,backfill-from-daily,1,0.1,2,0.1,3,0.06,4,0.11,5,0.09,6,0.1
202511080702,2025-11-08,07,02R,,backfill-from-daily,1,0.25,2,0.01,3,0.08,4,0.03,5,-0.09,6,-0.09
202511080703,2025-11-08,07,03R,,backfill-from-daily,1,-0.09,2,-0.12,3,-0.05,4,0.1,5,0.08,6,0.08
202511080704,2025-11-08,07,04R,,backfill-from-daily,1,0.17,2,0.03,3,0.12,4,0.08,5,0.12,6,0.06
202511080705,2025-11-08,07,05R,,backfill-from-daily,1,-0.05,2,-0.02,3,-0.03,4,-0.01,5,0.01,6,0.07
202511080706,2025-11-08,07,06R,,backfill-from-daily,1,0.04,2,0.0,3,-0.06,4,0.03,5,0.0,6,-0.02
202511080707,2025-11-08,07,07R,,backfill-from-daily,1,-0.01,2,-0.1,3,-0.12,4,-0.11,5,-0.14,6,-0.12
202511080708,2025-11-08,07,08R,,backfill-from-daily,1,0.06,2,0.06,3,0.01,4,0.18,5,0.01,6,0.11
202511080709,2025-11-08,07,09R,,backfill-from-daily,1,0.17,2,0.05,3,-0.08,4,0.16,5,0.07,6,0.05
202511080710,2025-11-08,07,10R,,backfill-from-daily,1,0.0,2,0.2,3,0.03,4,0.15,5,-0.02,6,-0.01
202511080711,2025-11-08,07,11R,,backfill-from-daily,1,0.11,2,-0.01,3,0.33,4,-0.03,5,0.03,6,0.04
202511080712,2025-11-08,07,12R,,backfill-from-daily,1,0.09,2,0.21,3,0.11,4,0.23,5,0.14,6,0.09
202511080901,2025-11-08,09,01R,,backfill-from-daily,1,0.14,2,0.12,3,0.03,4,0.13,5,0.13,6,0.14
202511080902,2025-11-08,09,02R,,backfill-from-daily,1,0.11,2,0.25,3,0.01,4,0.08,5,0.04,6,0.05
202511080903,2025-11-08,09,03R,,backfill-from-daily,1,0.08,2,-0.08,3,0.06,4,-0.02,5,-0.13,6,-0.09
202511080904,2025-11-08,09,04R,,backfill-from-daily,1,0.04,2,-0.01,3,-0.1,4,0.09,5,0.07,6,0.13
202511080905,2025-11-08,09,05R,,backfill-from-daily,1,0.01,2,-0.03,3,-0.02,4,0.1,5,0.01,6,0.13
202511080906,2025-11-08,09,06R,,backfill-from-daily,,,1,-0.01,3,0.09,5,0.12,2,0.04,4,0.16
202511080907,2025-11-08,09,07R,,backfill-from-daily,1,0.22,2,0.04,3,0.08,4,0.0,5,-0.01,6,-0.1
202511080908,2025-11-08,09,08R,,backfill-from-daily,1,-0.02,2,0.04,6,0.12,3,0.05,4,-0.14,5,-0.01
202511080909,2025-11-08,09,09R,,backfill-from-daily,1,0.1,2,0.09,3,0.08,4,0.05,5,0.05,6,0.15
202511080910,2025-11-08,09,10R,,backfill-from-daily,1,0.03,2,0.1,3,0.06,4,-0.03,5,0.03,6,0.07
202511080911,2025-11-08,09,11R,,backfill-from-daily,1,0.12,2,0.01,3,0.15,4,0.08,5,-0.01,6,-0.03
202511080912,2025-11-08,09,12R,,backfill-from-daily,1,0.11,2,0.05,3,0.08,4,-0.07,5,-0.11,6,-0.04
202511081501,2025-11-08,15,01R,,backfill-from-daily,1,-0.1,2,-0.03,3,0.09,4,0.05,5,-0.01,6,0.04
202511081502,2025-11-08,15,02R,,backfill-from-daily,1,0.11,2,0.12,3,0.15,4,0.05,5,0.02,6,-0.03
202511081503,2025-11-08,15,03R,,backfill-from-daily,1,-0.12,2,-0.13,3,-0.07,4,0.07,5,0.01,6,0.15
202511081504,2025-11-08,15,04R,,backfill-from-daily,1,-0.14,2,0.04,4,0.06,5,0.14,3,0.04,6,-0.03
