レースコード,タイトル,レース日,レース場,レース回,風速(m),風向,波の高さ(cm),天候,気温(℃),水温(℃),艇1_艇番,艇1_コース,艇1_体重(kg),艇1_体重調整(kg),艇1_展示タイム,艇1_チルト調整,艇1_スタート展示,艇2_艇番,艇2_コース,艇2_体重(kg),艇2_体重調整(kg),艇2_展示タイム,艇2_チルト調整,艇2_スタート展示,艇3_艇番,艇3_コース,艇3_体重(kg),艇3_体重調整(kg),艇3_展示タイム,艇3_チルト調整,艇3_スタート展示,艇4_艇番,艇4_コース,艇4_体重(kg),艇4_体重調整(kg),艇4_展示タイム,艇4_チルト調整,艇4_スタート展示,艇5_艇番,艇5_コース,艇5_体重(kg),艇5_体重調整(kg),艇5_展示タイム,艇5_チルト調整,艇5_スタート展示,艇6_艇番,艇6_コース,艇6_体重(kg),艇6_体重調整(kg),艇6_展示タイム,艇6_チルト調整,艇6_スタート展示
202603170101,ルーキーシリーズ第６戦　みどり市議会議長杯,2026-03-17,1,01R,1.0,8,1.0,1,7.0,12.0,1,1,52.0,0.0,6.78,0.0,0.04,2,2,52.0,0.0,6.68,0.0,0.07,3,3,55.6,0.0,6.72,-0.5,0.02,4,4,53.4,0.0,6.74,-0.5,0.08,5,5,53.0,0.0,6.82,0.0,0.15,6,6,53.4,0.0,6.77,0.0,0.13
202603170102,ルーキーシリーズ第６戦　みどり市議会議長杯,2026-03-17,1,02R,4.0,1,3.0,1,11.0,12.0,1,1,55.6,0.0,6.77,-0.5,0.25,2,2,52.1,0.0,6.71,0.0,0.04,3,3,53.0,0.0,6.81,0.0,0.12,4,4,52.0,0.0,6.66,-0.5,0.06,5,5,51.0,1.0,6.62,-0.5,0.04,6,6,52.0,0.0,6.58,0.0,0.04
202603170103,ルーキーシリーズ第６戦　みどり市議会議長杯,2026-03-17,1,03R,3.0,1,2.0,1,11.0,12.0,1,1,53.4,0.0,6.78,0.0,0.13,2,2,52.0,0.0,6.87,-0.5,0.13,3,3,52.0,0.0,6.88,-0.5,0.59,4,5,51.5,0.5,6.76,0.0,-0.12,5,4,52.4,0.0,6.94,-0.5,-0.04,6,6,52.1,0.0,6.84,-0.5,-0.17
202603170104,ルーキーシリーズ第６戦　みどり市議会議長杯,2026-03-17,1,04R,4.0,1,3.0,1,11.0,12.0,1,1,52.6,0.0,6.61,-0.5,0.07,2,2,53.9,0.0,6.62,-0.5,0.04,3,3,52.8,0.0,6.73,0.0,0.02,4,4,53.0,0.0,6.63,0.0,0.01,5,5,53.1,0.0,6.8,-0.5,-0.01,6,6,53.2,0.0,6.67,0.0,0.19
202603170105,ルーキーシリーズ第６戦　みどり市議会議長杯,2026-03-17,1,05R,5.0,1,4.0,1,11.0,12.0,1,1,52.4,0.0,6.57,-0.5,0.21,2,2,52.0,0.0,6.62,-0.5,0.17,3,3,53.4,0.0,6.72,-0.5,0.18,4,4,52.3,0.0,6.55,0.0,0.13,5,5,51.5,0.5,6.67,0.0,0.25,6,6,53.4,0.0,6.66,-0.5,0.29
202603170106,ルーキーシリーズ第６戦　みどり市議会議長杯,2026-03-17,1,06R,4.0,1,3.0,1,10.0,12.0,1,1,52.9,0.0,6.56,-0.5,0.09,2,2,52.0,0.0,6.56,-0.5,0.01,3,3,51.5,0.5,6.64,0.0,0.0,4,4,49.5,2.5,6.74,0.0,0.21,5,5,55.6,0.0,6.65,-0.5,0.17,6,6,53.0,0.0,6.74,-0.5,0.13
202603170107,ルーキーシリーズ第６戦　みどり市議会議長杯,2026-03-17,1,07R,3.0,1,2.0,1,10.0,12.0,1,1,53.4,0.0,6.7,-0.5,0.09,2,2,52.3,0.0,6.91,0.0,0.05,3,3,54.1,0.0,6.82,-0.5,0.04,4,4,53.0,0.0,6.86,0.0,0.23,5,5,51.5,0.5,6.81,0.0,0.08,6,6,52.0,0.0,6.68,-0.5,0.16
202603170108,ルーキーシリーズ第６戦　みどり市議会議長杯,2026-03-17,1,08R,1.0,1,1.0,1,10.0,12.0,1,1,52.1,0.0,6.63,0.0,0.03,2,2,52.0,0.0,6.66,0.0,0.07,3,3,53.4,0.0,6.77,0.0,0.08,4,4,53.2,0.0,6.62,-0.5,0.11,5,5,51.5,0.5,6.71,-0.5,0.08,6,6,51.5,0.5,6.7,0.0,-0.06
202603170109,ルーキーシリーズ第６戦　みどり市議会議長杯,2026-03-17,1,09R,1.0,1,1.0,1,9.0,12.0,1,1,51.0,1.0,6.76,-0.5,0.08,2,2,52.3,0.0,6.89,-0.5,0.12,3,3,53.7,0.0,6.7,-0.5,0.02,4,4,51.5,0.5,6.72,0.0,0.08,5,5,53.4,0.0,6.78,-0.5,0.05,6,6,52.8,0.0,6.82,-0.5,0.03
202603170110,ルーキーシリーズ第６戦　みどり市議会議長杯,2026-03-17,1,10R,2.0,1,1.0,1,9.0,12.0,1,1,52.8,0.0,6.75,0.0,-0.03,2,2,52.3,0.0,6.74,-0.5,-0.01,3,3,52.4,0.0,6.71,-0.5,-0.02,4,4,52.0,0.0,6.71,0.0,-0.12,5,5,52.0,0.0,6.76,0.0,-0.16,6,6,51.0,1.0,6.66,-0.5,-0.05
