レースコード,レース日,レース場,レース回,締切時刻,取得日時,結果記録時刻,決まり手,1着_艇番,1着_選手名,1着_レースタイム,2着_艇番,2着_選手名,2着_レースタイム,3着_艇番,3着_選手名,3着_レースタイム,4着_艇番,4着_選手名,4着_レースタイム,5着_艇番,5着_選手名,5着_レースタイム,6着_艇番,6着_選手名,6着_レースタイム,1コース_艇番,1コース_スタートタイミング,1コース_F,2コース_艇番,2コース_スタートタイミング,2コース_F,3コース_艇番,3コース_スタートタイミング,3コース_F,4コース_艇番,4コース_スタートタイミング,4コース_F,5コース_艇番,5コース_スタートタイミング,5コース_F,6コース_艇番,6コース_スタートタイミング,6コース_F,天候,風向,風速(m),波の高さ(cm),気温(℃),水温(℃)
202605052301,2026-05-05,23,01R,08:32,,,逃　げ,1,山本　　梨菜,"1'49""1",4,津留　浩一郎,"1'50""6",5,岩永　　節也,"1'51""6",3,田中　　宏典,"1'52""2",6,久保田　凪紗,"1'54""9",2,中野　　和裕,"1'55""1",1,0.23,,2,0.31,,4,0.28,,3,0.22,,5,0.21,,6,0.17,,1,6,3.0,3.0,15.0,19.0
202605052302,2026-05-05,23,02R,08:58,,,逃　げ,1,定松　　勇樹,"1'47""7",2,桑原　　　啓,"1'50""2",3,酒見　　峻介,"1'51""6",4,飯田　　庄吾,"1'53""5",5,浦田　　晃嗣,"1'53""8",6,恵良　　琴美,"1'56""2",1,0.11,,3,0.15,,2,0.16,,4,0.19,,5,0.16,,6,0.2,,1,6,4.0,4.0,17.0,19.0
202605052303,2026-05-05,23,03R,09:24,,,まくり差し,4,常住　　　蓮,"1'48""1",1,武富　　智亮,"1'49""8",2,池田　奈津美,"1'51""5",3,松江　　秀徳,"1'52""8",6,知念　　伶奈,"1'55""4",,,,1,0.08,,2,0.08,,4,0.07,,3,0.09,,5,-0.01,F,6,0.07,,1,6,4.0,4.0,17.0,19.0
202605052304,2026-05-05,23,04R,09:50,,,恵まれ,1,小野　　勇作,"1'48""6",6,末永　　和也,"1'50""3",2,宮地　　元輝,"1'52""7",3,宮地　　博士,"1'53""8",5,山浦　　　槙,"1'56""1",,,,1,0.07,,2,0.06,,3,0.06,,4,-0.02,F,6,0.07,,5,0.08,,1,6,4.0,4.0,17.0,19.0
202605052305,2026-05-05,23,05R,10:17,,,逃　げ,1,高田　　　明,"1'47""9",6,深川　　真二,"1'48""9",3,中島　　真二,"1'50""8",2,下河　　雅史,"1'51""8",4,小玉　　啓太,"1'52""3",5,久保田　凪紗,"1'55""8",1,0.06,,6,0.11,,2,0.17,,3,0.12,,4,0.08,,5,0.12,,1,6,4.0,4.0,18.0,19.0
202605052306,2026-05-05,23,06R,10:45,,,まくり,6,上野　真之介,"1'48""5",1,冨成　　謙児,"1'49""9",2,間庭　　菜摘,"1'50""6",3,藤田　　浩人,"1'52""4",4,高橋　　龍治,"1'54""1",5,恵良　　琴美,"1'55""8",1,0.15,,2,0.22,,3,0.2,,5,0.22,,6,0.06,,4,0.38,,1,6,4.0,4.0,19.0,19.0
202605052307,2026-05-05,23,07R,11:19,,,逃　げ,1,飯田　　庄吾,"1'48""2",5,安河内　　将,"1'49""2",3,町田　　洸希,"1'50""8",6,山田　　康二,"1'50""9",2,浦田　　晃嗣,"1'53""2",4,田中　太一郎,"1'55""8",1,0.12,,2,0.11,,3,0.11,,4,0.11,,5,0.09,,6,0.07,,1,6,2.0,2.0,20.0,19.0
202605052308,2026-05-05,23,08R,11:48,,,まくり,6,峰　　　竜太,"1'48""1",2,古賀　　繁輝,"1'50""7",5,田中　　宏典,"1'52""2",3,吉田　　　光,"1'52""5",4,岡部　　大輔,"1'54""7",1,津留　浩一郎,"1'58""0",1,0.27,,4,0.26,,6,0.22,,2,0.16,,3,0.21,,5,0.23,,1,5,3.0,3.0,20.0,19.0
202605052309,2026-05-05,23,09R,12:26,,,まくり差し,3,小柳　　勝希,"1'48""0",1,小玉　　啓太,"1'49""2",4,中島　　友和,"1'51""6",2,富永　夏哉人,"1'52""4",6,山浦　　　槙,"1'53""7",5,竹田　　広樹,"1'54""3",1,0.12,,2,0.12,,3,0.13,,4,0.17,,5,0.17,,6,0.16,,1,6,3.0,3.0,21.0,19.0
202605052310,2026-05-05,23,10R,13:00,,,逃　げ,1,上野　真之介,"1'48""9",2,末永　　和也,"1'49""9",3,常住　　　蓮,"1'50""5",6,高橋　　龍治,"1'53""1",5,中島　　真二,"1'54""2",4,武富　　智亮,"1'55""7",1,0.08,,2,0.21,,3,0.22,,4,0.17,,5,0.18,,6,0.17,,1,7,3.0,3.0,21.0,19.0
202605052311,2026-05-05,23,11R,13:36,,,逃　げ,1,山田　　康二,"1'48""5",4,定松　　勇樹,"1'49""6",3,山本　　梨菜,"1'51""9",6,下河　　雅史,"1'53""7",2,安河内　　将,"2'11""8",,,,1,0.01,,2,0.03,,3,0.0,,4,0.01,,5,-0.01,F,6,0.04,,1,1,6.0,6.0,19.0,19.0
202605052312,2026-05-05,23,12R,14:14,,,逃　げ,1,峰　　　竜太,"1'47""5",3,宮地　　元輝,"1'49""5",2,深川　　真二,"1'50""8",4,古賀　　繁輝,"1'53""0",6,桑原　　　啓,"1'54""7",5,町田　　洸希,"1'55""6",1,0.03,,2,0.07,,3,0.06,,4,0.05,,5,0.09,,6,0.16,,1,1,5.0,5.0,20.0,19.0
202605052001,2026-05-05,20,01R,15:20,,,差　し,2,大賀　龍之介,"1'51""4",1,伊藤　　尚汰,"1'52""7",5,長尾　京志郎,"1'54""5",4,大庭　　元明,"1'55""4",3,宮地　　秀祈,,,,,1,0.18,,2,0.16,,3,0.11,,4,0.07,,5,0.12,,6,0.19,,1,3,5.0,5.0,21.0,18.0
202605052002,2026-05-05,20,02R,15:44,,,逃　げ,1,鐘ヶ江　真司,"1'51""3",2,野見山　拓己,"1'52""8",5,奈須　　啓太,"1'53""7",3,前田　健太郎,"1'54""0",6,今井　　貴士,,4,佐藤　謙史朗,,1,0.08,,2,0.05,,3,0.15,,4,0.13,,5,0.08,,6,0.08,,1,3,5.0,5.0,21.0,18.0
202605052003,2026-05-05,20,03R,16:10,,,まくり差し,4,高山　　敬悟,"1'49""7",3,水摩　　　敦,"1'52""0",6,篠崎　　元志,"1'53""4",5,岩崎　　正哉,"1'54""4",2,江夏　　　満,,1,原田　　雄次,,1,0.13,,2,0.15,,3,0.09,,4,0.11,,5,0.17,,6,0.19,,1,3,4.0,4.0,20.0,18.0
202605052004,2026-05-05,20,04R,16:34,,,まくり差し,5,瓜生　　正義,"1'50""0",1,松井　　貫太,"1'51""7",6,村本　　大成,"1'53""7",4,羽野　　　諒,"1'54""4",2,平田　　忠則,,3,石倉　　洋行,,1,0.19,,2,0.14,,3,0.16,,4,0.11,,5,0.09,,6,0.16,,1,3,4.0,4.0,20.0,18.0
202605052005,2026-05-05,20,05R,16:58,,,逃　げ,1,竹井　　貴史,"1'50""0",2,池永　　　太,"1'51""0",6,土井　　歩夢,"1'52""9",4,塩田　　北斗,"1'53""8",3,大場　　広孝,,5,山口　　広樹,,1,0.07,,2,0.07,,3,0.07,,4,0.1,,5,0.18,,6,0.14,,1,3,4.0,4.0,20.0,18.0
202605052006,2026-05-05,20,06R,17:23,,,逃　げ,1,木下　　大將,"1'49""9",4,宮地　　秀祈,"1'51""0",6,岡村　　慶太,"1'51""1",2,佐藤　謙史朗,"1'53""6",5,柴田　　朋哉,,3,伊藤　　尚汰,,1,0.14,,2,0.31,,3,0.17,,4,0.2,,5,0.16,,6,0.16,,1,3,3.0,3.0,20.0,18.0
202605052007,2026-05-05,20,07R,17:52,,,逃　げ,1,益田　　啓司,"1'50""1",2,上原　健次郎,"1'51""1",4,原田　　雄次,"1'53""0",5,井芹　　大志,"1'54""2",3,森清　　友翔,,6,藤森　　陸斗,,1,0.18,,2,0.24,,3,0.22,,4,0.25,,5,0.23,,6,0.23,,1,3,2.0,2.0,20.0,18.0
202605052008,2026-05-05,20,08R,18:21,,,逃　げ,1,鶴田　　勇雄,"1'50""2",2,前田　　将太,"1'51""2",4,富田　　恕生,"1'52""9",5,國弘　　翔平,"1'54""3",3,加倉　　侑征,,6,甲斐　　貴大,,1,0.19,,2,0.2,,3,0.18,,4,0.19,,5,0.11,,6,0.09,,1,8,2.0,2.0,20.0,18.0
