レースコード,レース日,レース場,レース回,締切時刻,取得日時,艇1_コース,艇1_スタート展示,艇2_コース,艇2_スタート展示,艇3_コース,艇3_スタート展示,艇4_コース,艇4_スタート展示,艇5_コース,艇5_スタート展示,艇6_コース,艇6_スタート展示
202601090401,2026-01-09,04,01R,,backfill-from-daily,1,0.01,2,0.01,3,-0.01,4,-0.02,5,0.11,6,0.02
202601090402,2026-01-09,04,02R,,backfill-from-daily,1,-0.02,2,-0.13,3,-0.15,4,-0.12,5,-0.12,6,-0.19
202601090403,2026-01-09,04,03R,,backfill-from-daily,1,0.26,3,0.01,2,0.17,6,-0.13,5,-0.09,4,-0.09
202601090404,2026-01-09,04,04R,,backfill-from-daily,1,-0.03,2,-0.06,3,-0.06,4,-0.01,5,0.01,6,-0.03
202601090405,2026-01-09,04,05R,,backfill-from-daily,1,0.12,2,0.01,3,0.07,4,-0.04,5,-0.09,6,0.11
202601090406,2026-01-09,04,06R,,backfill-from-daily,1,0.07,2,0.16,3,-0.06,4,-0.09,6,0.01,5,-0.06
202601090407,2026-01-09,04,07R,,backfill-from-daily,1,0.01,2,0.02,3,0.04,4,-0.03,5,0.05,6,0.07
202601090408,2026-01-09,04,08R,,backfill-from-daily,1,-0.02,2,0.07,3,0.07,4,0.03,5,0.05,6,0.06
202601090409,2026-01-09,04,09R,,backfill-from-daily,1,-0.05,2,-0.04,3,0.11,4,-0.01,5,-0.04,6,-0.06
202601090410,2026-01-09,04,10R,,backfill-from-daily,1,-0.06,2,0.17,3,0.17,4,-0.01,5,-0.04,6,-0.04
202601090411,2026-01-09,04,11R,,backfill-from-daily,1,-0.03,2,0.03,3,0.04,6,0.07,4,0.02,5,0.04
202601090412,2026-01-09,04,12R,,backfill-from-daily,1,0.03,2,0.15,3,0.06,4,0.08,5,0.1,6,0.09
202601090601,2026-01-09,06,01R,,backfill-from-daily,1,0.06,2,0.04,3,-0.03,4,0.08,6,-0.02,5,0.06
202601090602,2026-01-09,06,02R,,backfill-from-daily,1,-0.05,2,0.03,3,-0.01,4,0.11,5,0.12,6,0.06
202601090603,2026-01-09,06,03R,,backfill-from-daily,1,0.04,2,0.02,3,0.04,4,0.0,5,0.01,6,0.17
202601090604,2026-01-09,06,04R,,backfill-from-daily,1,0.1,2,0.06,3,0.09,4,0.03,5,0.03,6,0.04
202601090605,2026-01-09,06,05R,,backfill-from-daily,1,-0.04,2,0.22,3,-0.04,4,-0.01,5,0.05,6,0.07
202601090606,2026-01-09,06,06R,,backfill-from-daily,1,-0.01,2,0.01,3,0.28,4,0.01,5,0.02,6,0.06
202601090607,2026-01-09,06,07R,,backfill-from-daily,1,0.27,2,-0.01,3,-0.03,4,0.13,5,0.0,6,-0.07
202601090608,2026-01-09,06,08R,,backfill-from-daily,1,0.03,2,0.17,3,0.21,4,0.18,5,0.04,6,0.04
