レースコード,タイトル,日次,レース日,レース場,レース回,レース名,距離(m),天候,風向,風速(m),波の高さ(cm),決まり手,単勝_艇番,単勝_払戻金,複勝_1着_艇番,複勝_1着_払戻金,複勝_2着_艇番,複勝_2着_払戻金,2連単_組番,2連単_払戻金,2連単_人気,2連複_組番,2連複_払戻金,2連複_人気,拡連複_1-2着_組番,拡連複_1-2着_払戻金,拡連複_1-2着_人気,拡連複_1-3着_組番,拡連複_1-3着_払戻金,拡連複_1-3着_人気,拡連複_2-3着_組番,拡連複_2-3着_払戻金,拡連複_2-3着_人気,3連単_組番,3連単_払戻金,3連単_人気,3連複_組番,3連複_払戻金,3連複_人気,1着_着順,1着_艇番,1着_登録番号,1着_選手名,1着_モーター番号,1着_ボート番号,1着_展示タイム,1着_進入コース,1着_スタートタイミング,1着_レースタイム,2着_着順,2着_艇番,2着_登録番号,2着_選手名,2着_モーター番号,2着_ボート番号,2着_展示タイム,2着_進入コース,2着_スタートタイミング,2着_レースタイム,3着_着順,3着_艇番,3着_登録番号,3着_選手名,3着_モーター番号,3着_ボート番号,3着_展示タイム,3着_進入コース,3着_スタートタイミング,3着_レースタイム,4着_着順,4着_艇番,4着_登録番号,4着_選手名,4着_モーター番号,4着_ボート番号,4着_展示タイム,4着_進入コース,4着_スタートタイミング,4着_レースタイム,5着_着順,5着_艇番,5着_登録番号,5着_選手名,5着_モーター番号,5着_ボート番号,5着_展示タイム,5着_進入コース,5着_スタートタイミング,5着_レースタイム,6着_着順,6着_艇番,6着_登録番号,6着_選手名,6着_モーター番号,6着_ボート番号,6着_展示タイム,6着_進入コース,6着_スタートタイミング,6着_レースタイム
201911121906,ＣＯＭＥ　ＯＮ！ＦＭ　ＣＵＰ,第3日,2019/11/12,下関,06R,一般,1800,晴,北,2,2,逃げ,1,280,1,140,2,230,1-2,590,4,1-2,330,2,1-2,160,2,1-4,300,6,2-4,270,5,1-2-4,2030,8,1-2-4,980,4,1,1,3982,福 田 理,61,21,6.77,1,0.26,109.4,2,2,3406,中 里 英 夫,63,44,6.8,2,0.25,110.3,3,4,3832,下 田 哲 也,46,42,6.81,4,0.25,111.9,4,3,3556,田 中 信一郎,37,39,6.81,3,0.29,113.0,5,5,3398,有 田 岳,29,26,6.81,5,0.25,,6,6,3801,五反田 忍,62,25,6.74,6,0.56,
201911121907,ＣＯＭＥ　ＯＮ！ＦＭ　ＣＵＰ,第3日,2019/11/12,下関,07R,ふく〜る戦,1800,晴,北,2,2,差し,3,210,3,100,1,100,3-1,280,2,1-3,120,1,1-3,110,1,3-6,310,6,1-6,340,7,3-1-6,1430,6,1-3-6,750,4,1,3,3573,前 本 泰 和,53,37,6.72,2,0.23,108.4,2,1,4607,鶴 田 勇 雄,45,64,6.71,1,0.25,111.3,3,6,4689,豊 田 結,41,57,6.79,6,0.18,112.6,4,2,3340,池 田 雷 太,50,62,6.83,3,0.24,114.2,5,5,3804,中 渡 修 作,68,11,6.8,5,0.24,,6,4,4670,芦 村 幸 香,58,68,6.75,4,0.29,
201911121908,ＣＯＭＥ　ＯＮ！ＦＭ　ＣＵＰ,第3日,2019/11/12,下関,08R,一般,1800,晴,北,2,2,逃げ,2,340,2,140,5,210,2-5,3170,10,2-5,1750,6,2-5,360,8,2-4,120,1,4-5,150,2,2-5-4,4950,21,2-4-5,360,2,1,2,3661,柳 瀬 興 志,18,70,6.8,1,0.12,110.4,2,5,3790,佐 口 達 也,67,49,6.84,4,0.15,110.8,3,4,4052,興 津 藍,54,34,6.73,3,0.13,111.6,4,6,3681,山 谷 央,31,22,6.8,5,0.16,112.5,5,3,4846,佐 藤 駿 介,65,50,6.83,2,0.13,,,,,,,,,,,
201911121909,ＣＯＭＥ　ＯＮ！ＦＭ　ＣＵＰ,第3日,2019/11/12,下関,09R,準優勝戦,1800,晴,北,2,2,逃げ,1,210,1,180,4,460,1-4,2690,8,1-4,1310,5,1-4,480,7,1-5,660,10,4-5,1060,14,1-4-5,15100,47,1-4-5,4690,15,1,1,4409,坂 元 浩 仁,55,55,6.81,1,0.18,107.9,2,4,3919,村 上 純,23,61,6.8,3,0.26,110.1,3,5,4257,古 川 健,17,58,6.82,5,0.29,112.1,4,2,3159,江 口 晃 生,69,18,6.78,2,0.24,112.4,5,6,4190,長 嶋 万 記,27,30,6.79,6,0.26,,6,3,4467,渡 邉 俊 介,52,24,6.81,4,0.27,
201911121910,ＣＯＭＥ　ＯＮ！ＦＭ　ＣＵＰ,第3日,2019/11/12,下関,10R,準優勝戦,1800,晴,北,2,2,逃げ,1,100,1,220,2,310,1-2,220,1,1-2,190,1,1-2,180,2,1-6,480,7,2-6,830,12,1-2-6,1740,5,1-2-6,1150,5,1,1,3556,田 中 信一郎,37,39,6.8,1,0.17,109.0,2,2,4220,深 川 和 仁,12,59,6.73,2,0.13,110.2,3,6,3793,高 橋 真 吾,36,56,6.75,6,0.05,111.1,4,4,4825,倉 持 莉 々,25,65,6.75,4,0.12,111.2,5,5,4254,川 島 圭 司,28,45,6.72,5,0.15,,6,3,3539,金 子 順 一,19,60,6.76,3,0.15,
201911121911,ＣＯＭＥ　ＯＮ！ＦＭ　ＣＵＰ,第3日,2019/11/12,下関,11R,準優勝戦,1800,晴,北,1,1,逃げ,1,100,1,100,4,310,1-4,1120,5,1-4,1250,4,1-4,310,4,1-3,190,2,3-4,1090,11,1-4-3,5300,15,1-3-4,1590,6,1,1,3573,前 本 泰 和,53,37,6.73,1,0.11,108.2,2,4,4271,川 崎 公 靖,13,66,6.75,4,0.11,110.4,3,3,3832,下 田 哲 也,46,42,6.78,3,0.11,110.8,4,2,4052,興 津 藍,54,34,6.7,2,0.09,112.0,5,5,3406,中 里 英 夫,63,44,6.78,5,0.13,,6,6,4006,小 野 勇 作,57,19,6.71,6,0.16,
201911121912,ＣＯＭＥ　ＯＮ！ＦＭ　ＣＵＰ,第3日,2019/11/12,下関,12R,一般,1800,晴,北,1,1,差し,2,420,2,270,6,730,2-6,2600,11,2-6,1990,8,2-6,340,5,1-2,290,3,1-6,650,11,2-6-1,13020,54,1-2-6,1680,10,1,2,4689,豊 田 結,41,57,6.78,2,0.13,109.1,2,6,4224,大 橋 栄里佳,20,53,6.69,6,0.15,110.8,3,1,4670,芦 村 幸 香,58,68,6.73,1,0.16,112.1,4,4,4246,喜 多 那由夏,39,33,6.81,4,0.19,112.4,5,5,4170,西 坂 香 松,34,23,6.72,5,0.18,,6,3,3801,五反田 忍,62,25,6.72,3,0.14,
201911121401,第３回鳴門天然温泉あらたえの湯なるみ丸カップ競走,第6日,2019/11/12,鳴門,01R,一般戦,1800,晴,北西,4,4,差し,2,620,2,130,1,100,2-1,1080,4,1-2,200,1,1-2,120,1,2-4,330,7,1-4,200,3,2-1-4,5910,14,1-2-4,420,2,1,2,4836,大 谷 健 太,13,79,6.79,2,0.14,108.1,2,1,4739,中 村 晃 朋,79,20,6.78,1,0.16,110.1,3,4,4203,小 倉 康 典,18,65,6.93,4,0.15,111.8,4,3,3797,岩 井 繁,51,78,6.79,3,0.17,113.1,5,6,5019,柴 田 百 恵,31,64,6.82,6,0.15,,6,5,3750,笠 井 広 幸,63,10,6.83,5,0.13,
201911121402,第３回鳴門天然温泉あらたえの湯なるみ丸カップ競走,第6日,2019/11/12,鳴門,02R,一般戦,1800,晴,北西,4,4,逃げ,1,100,1,140,6,1130,1-6,6680,18,1-6,6900,11,1-6,800,9,1-2,220,2,2-6,850,10,1-6-2,27990,65,1-2-6,3280,9,1,1,4243,西 村 歩,73,29,6.81,1,0.23,108.9,2,6,3673,小 林 享,71,35,6.87,6,0.25,110.0,3,2,3614,谷 勝 幸,76,59,6.79,2,0.21,111.8,4,3,3569,増 田 進,67,16,6.86,3,0.24,112.5,5,5,4892,柴 田 直 哉,11,19,6.8,5,0.18,,6,4,4231,鈴 木 裕 隆,65,72,6.84,4,0.25,
201911121403,第３回鳴門天然温泉あらたえの湯なるみ丸カップ競走,第6日,2019/11/12,鳴門,03R,一般戦,1800,晴,北西,3,3,差し,3,370,3,110,1,100,3-1,1150,6,1-3,260,1,1-3,140,1,3-6,440,8,1-6,210,4,3-1-6,3490,12,1-3-6,440,2,1,3,3302,谷 川 里 江,26,14,6.76,3,0.16,108.6,2,1,4539,金 子 賢 志,33,62,6.8,1,0.11,109.9,3,6,3725,向 達 哉,62,18,6.7,6,0.11,112.3,4,5,4635,峰 重 力 也,29,82,6.88,5,0.08,113.0,5,2,4284,山 本 良 一,16,26,6.8,2,0.2,,6,4,3741,松 尾 基 成,22,63,6.81,4,0.15,
201911121404,第３回鳴門天然温泉あらたえの湯なるみ丸カップ競走,第6日,2019/11/12,鳴門,04R,一般戦,1800,晴,北西,4,4,まくり,4,1820,4,1120,5,890,4-5,20580,28,4-5,6430,13,4-5,1270,14,4-6,840,10,5-6,840,10,4-5-6,77110,102,4-5-6,9570,20,1,4,4035,杉 江 浩 明,37,33,6.81,4,0.1,108.7,2,5,4277,金 田 大 輔,25,69,6.71,5,0.06,110.2,3,6,3075,中 村 裕 将,10,74,6.8,6,0.12,112.0,4,2,3894,池 田 明 美,61,56,6.69,2,0.21,113.2,5,1,2942,瀬 尾 達 也,14,21,6.77,1,0.12,,6,3,2903,山 崎 毅,24,55,6.82,3,0.18,
