レースコード,レース日,レース場,レース回,締切時刻,取得日時,計測数,計測項目1,計測項目2,計測項目3,艇1_選手名,艇1_値1,艇1_値2,艇1_値3,艇2_選手名,艇2_値1,艇2_値2,艇2_値3,艇3_選手名,艇3_値1,艇3_値2,艇3_値3,艇4_選手名,艇4_値1,艇4_値2,艇4_値3,艇5_選手名,艇5_値1,艇5_値2,艇5_値3,艇6_選手名,艇6_値1,艇6_値2,艇6_値3
202606292101,2026-06-29,21,01R,08:32,2026-06-29T08:22:26.979438+09:00,3,一周,まわり足,直線,鳥飼 眞,36.65,7.69,7.73,小玉 啓太,36.56,7.74,7.68,上瀧 絢也,36.68,7.84,7.72,井上 大輔,37.1,7.93,7.81,尾形 栄治,36.95,7.91,7.75,村本 大成,36.99,8.04,7.7
202606291001,2026-06-29,10,01R,08:39,2026-06-29T08:30:25.743488+09:00,3,一周,まわり足,直線,古田 祐貴,36.88,5.53,6.68,岡本 大,37.62,6.02,6.75,上田 紗奈,37.5,5.95,6.6,小川 時光,37.7,5.88,6.73,中嶋 達也,37.23,5.63,6.73,出口 飛龍,37.72,5.9,6.78
202606291801,2026-06-29,18,01R,08:46,2026-06-29T08:36:21.105085+09:00,2,一周,まわり足,,平田 さやか,37.14,11.5,,津留 浩一郎,37.49,11.68,,横田 茂,37.89,11.89,,中嶋 誠一郎,37.34,11.65,,加木 郁,37.34,11.67,,宮城 那菜,37.64,11.82,
